t,stamp,laptop_elias,phone_elias,keys_elias,wallet_elias,backpack_elias,jacket_elias,mug_elias,notebook_elias,pen_elias,water_bottle_elias,yoga_mat_elias,book_elias,glasses_elias,charger_elias,blanket_elias,towel_elias,hairbrush_elias,laundry_basket_elias,vacuum_cleaner_elias,pot_elias
8220,d05 Sat 17:00,bedroom,bedroom,entry,entry,entry,entry,kitchen,bedroom,bedroom,bedroom,living,bedroom,bedroom,bedroom,bedroom,bathroom,bathroom,bedroom,bedroom,kitchen
8280,d05 Sat 18:00,bedroom,bedroom,entry,entry,entry,entry,kitchen,bedroom,bedroom,bedroom,living,bedroom,bedroom,bedroom,bedroom,bathroom,bathroom,bedroom,bedroom,kitchen
8340,d05 Sat 19:00,bedroom,bedroom,entry,entry,entry,entry,kitchen,bedroom,bedroom,bedroom,living,bedroom,bedroom,bedroom,bedroom,bathroom,bathroom,bedroom,bedroom,kitchen
8400,d05 Sat 20:00,bedroom,bedroom,entry,entry,entry,entry,kitchen,bedroom,bedroom,bedroom,living,bedroom,bedroom,bedroom,bedroom,bathroom,bathroom,bedroom,bedroom,kitchen
8460,d05 Sat 21:00,bedroom,bedroom,entry,entry,entry,entry,kitchen,bedroom,bedroom,bedroom,living,bedroom,bedroom,bedroom,bedroom,bathroom,bathroom,bedroom,bedroom,kitchen
8520,d05 Sat 22:00,bedroom,bedroom,entry,entry,entry,entry,kitchen,bedroom,bedroom,bedroom,bathroom,bathroom,bedroom,bathroom,bedroom,bathroom,bathroom,bedroom,bedroom,kitchen
8580,d05 Sat 23:00,bedroom,bedroom,entry,entry,entry,entry,kitchen,bedroom,bedroom,bedroom,living,bedroom,bedroom,bedroom,bedroom,bathroom,bathroom,bedroom,bedroom,kitchen
8640,d06 Sun 00:00,bedroom,bedroom,entry,entry,entry,entry,kitchen,bedroom,bedroom,bedroom,living,bedroom,bedroom,bedroom,bedroom,bathroom,bathroom,bedroom,bedroom,kitchen
8700,d06 Sun 01:00,bedroom,bedroom,entry,entry,entry,entry,kitchen,bedroom,bedroom,bedroom,living,bedroom,bedroom,bedroom,bedroom,bathroom,bathroom,bedroom,bedroom,kitchen
8760,d06 Sun 02:00,bedroom,bedroom,entry,entry,entry,entry,kitchen,bedroom,bedroom,bedroom,living,bedroom,bedroom,bedroom,bedroom,bathroom,bathroom,bedroom,bedroom,kitchen
8820,d06 Sun 03:00,bedroom,bedroom,entry,entry,entry,entry,kitchen,bedroom,bedroom,bedroom,living,bedroom,bedroom,bedroom,bedroom,bathroom,bathroom,bedroom,bedroom,kitchen
8880,d06 Sun 04:00,bedroom,bedroom,entry,entry,entry,entry,kitchen,bedroom,bedroom,bedroom,living,bedroom,bedroom,bedroom,bedroom,bathroom,bathroom,bedroom,bedroom,kitchen
8940,d06 Sun 05:00,bedroom,bedroom,entry,entry,entry,entry,kitchen,bedroom,bedroom,bedroom,living,bedroom,bedroom,bedroom,bedroom,bathroom,bathroom,bedroom,bedroom,kitchen
9000,d06 Sun 06:00,bedroom,bedroom,entry,entry,entry,entry,kitchen,bedroom,bedroom,bedroom,living,bedroom,bedroom,bedroom,bedroom,bathroom,bathroom,bedroom,bedroom,kitchen
9060,d06 Sun 07:00,bedroom,bedroom,entry,entry,entry,entry,kitchen,bedroom,bedroom,bedroom,living,bedroom,bedroom,bedroom,bedroom,bathroom,bathroom,bedroom,bedroom,kitchen
9120,d06 Sun 08:00,bedroom,bedroom,entry,entry,entry,entry,kitchen,bedroom,bedroom,bedroom,living,bedroom,bedroom,bedroom,bedroom,bathroom,bathroom,bedroom,bedroom,kitchen
9180,d06 Sun 09:00,bedroom,bedroom,entry,entry,bedroom,entry,kitchen,bedroom,bedroom,bedroom,living,bedroom,bedroom,bedroom,bedroom,bathroom,bathroom,bedroom,bedroom,kitchen
9240,d06 Sun 10:00,bedroom,bedroom,entry,entry,bedroom,entry,kitchen,bedroom,kitchen,bedroom,living,kitchen,bedroom,bedroom,bedroom,bathroom,bathroom,bedroom,bedroom,kitchen
9300,d06 Sun 11:00,kitchen,bedroom,entry,entry,bedroom,entry,kitchen,bedroom,kitchen,bedroom,living,kitchen,bedroom,bedroom,bedroom,bathroom,bathroom,bedroom,entry,kitchen
9360,d06 Sun 12:00,outside,outside,outside,outside,outside,outside,kitchen,outside,outside,outside,living,kitchen,outside,bedroom,bedroom,bathroom,bathroom,bedroom,bedroom,kitchen
9420,d06 Sun 13:00,outside,outside,outside,outside,outside,outside,kitchen,outside,outside,outside,living,kitchen,outside,bedroom,bedroom,bathroom,bathroom,bedroom,bedroom,kitchen
9480,d06 Sun 14:00,outside,outside,outside,outside,outside,outside,kitchen,outside,outside,outside,living,kitchen,outside,bedroom,bedroom,bathroom,bathroom,bedroom,bedroom,kitchen
9540,d06 Sun 15:00,bedroom,bedroom,entry,entry,entry,entry,kitchen,bedroom,bedroom,bedroom,living,kitchen,bedroom,bedroom,bedroom,bathroom,bathroom,bedroom,bedroom,kitchen
9600,d06 Sun 16:00,bedroom,bedroom,entry,entry,entry,entry,kitchen,bedroom,bedroom,bedroom,living,kitchen,bedroom,bedroom,bedroom,bathroom,bathroom,bedroom,bedroom,kitchen
9660,d06 Sun 17:00,bedroom,bedroom,entry,entry,entry,entry,kitchen,bedroom,bedroom,bedroom,living,kitchen,bedroom,bedroom,bedroom,bathroom,bathroom,bedroom,bedroom,kitchen
9720,d06 Sun 18:00,bedroom,bedroom,entry,entry,entry,entry,kitchen,bedroom,bedroom,bedroom,living,kitchen,bedroom,bedroom,bedroom,bathroom,bathroom,bedroom,bedroom,kitchen
9780,d06 Sun 19:00,bedroom,bedroom,entry,entry,entry,entry,kitchen,bedroom,bedroom,bedroom,living,kitchen,kitchen,bedroom,bedroom,bathroom,bathroom,bedroom,bedroom,kitchen
9840,d06 Sun 20:00,bedroom,bedroom,entry,entry,entry,entry,kitchen,bedroom,bedroom,bedroom,bathroom,bathroom,kitchen,bathroom,bedroom,bathroom,bathroom,bedroom,bedroom,kitchen
9900,d06 Sun 21:00,bedroom,bedroom,entry,entry,entry,entry,kitchen,bedroom,bedroom,bedroom,living,bedroom,bedroom,bedroom,bedroom,bathroom,bathroom,bedroom,bedroom,kitchen
9960,d06 Sun 22:00,bedroom,bedroom,entry,entry,entry,entry,kitchen,bedroom,bedroom,bedroom,living,bedroom,bedroom,bedroom,bedroom,bathroom,bathroom,bedroom,bedroom,kitchen
10020,d06 Sun 23:00,bedroom,bedroom,entry,entry,entry,entry,kitchen,bedroom,bedroom,bedroom,living,bedroom,bedroom,bedroom,bedroom,bathroom,bathroom,bedroom,bedroom,kitchen
10080,d07 Mon 00:00,bedroom,bedroom,entry,entry,entry,entry,kitchen,bedroom,bedroom,bedroom,living,bedroom,bedroom,bedroom,bedroom,bathroom,bathroom,bedroom,bedroom,kitchen
10140,d07 Mon 01:00,bedroom,bedroom,entry,entry,entry,entry,kitchen,bedroom,bedroom,bedroom,living,bedroom,bedroom,bedroom,bedroom,bathroom,bathroom,bedroom,bedroom,kitchen
10200,d07 Mon 02:00,bedroom,bedroom,entry,entry,entry,entry,kitchen,bedroom,bedroom,bedroom,living,bedroom,bedroom,bedroom,bedroom,bathroom,bathroom,bedroom,bedroom,kitchen
10260,d07 Mon 03:00,bedroom,bedroom,entry,entry,entry,entry,kitchen,bedroom,bedroom,bedroom,living,bedroom,bedroom,bedroom,bedroom,bathroom,bathroom,bedroom,bedroom,kitchen
10320,d07 Mon 04:00,bedroom,bedroom,entry,entry,entry,entry,kitchen,bedroom,bedroom,bedroom,living,bedroom,bedroom,bedroom,bedroom,bathroom,bathroom,bedroom,bedroom,kitchen
10380,d07 Mon 05:00,bedroom,bedroom,entry,entry,entry,entry,kitchen,bedroom,bedroom,bedroom,living,bedroom,bedroom,bedroom,bedroom,bathroom,bathroom,bedroom,bedroom,kitchen
10440,d07 Mon 06:00,bedroom,bedroom,entry,entry,entry,entry,kitchen,bedroom,bedroom,bedroom,living,bedroom,bedroom,bedroom,bedroom,bathroom,bathroom,bedroom,bedroom,kitchen
10500,d07 Mon 07:00,bedroom,bedroom,entry,entry,entry,entry,kitchen,bedroom,bedroom,bedroom,living,bedroom,bedroom,bedroom,bedroom,bathroom,bathroom,bedroom,bedroom,kitchen
10560,d07 Mon 08:00,bedroom,bedroom,entry,entry,entry,entry,kitchen,kitchen,bedroom,bedroom,living,bedroom,bedroom,bedroom,bedroom,bathroom,bathroom,bedroom,bedroom,kitchen
10620,d07 Mon 09:00,outside,outside,outside,outside,outside,outside,kitchen,outside,outside,outside,living,living,outside,bedroom,bedroom,bathroom,bathroom,bedroom,bedroom,kitchen
10680,d07 Mon 10:00,outside,outside,outside,outside,outside,outside,kitchen,outside,outside,outside,living,living,outside,bedroom,bedroom,bathroom,bathroom,bedroom,bedroom,kitchen
10740,d07 Mon 11:00,outside,outside,outside,outside,outside,outside,kitchen,outside,outside,outside,living,living,outside,bedroom,bedroom,bathroom,bathroom,bedroom,bedroom,kitchen
10800,d07 Mon 12:00,outside,outside,outside,outside,outside,outside,kitchen,outside,outside,outside,living,living,outside,bedroom,bedroom,bathroom,bathroom,bedroom,bedroom,kitchen
10860,d07 Mon 13:00,outside,outside,outside,outside,outside,outside,kitchen,outside,outside,outside,living,living,outside,bedroom,bedroom,bathroom,bathroom,bedroom,bedroom,kitchen
10920,d07 Mon 14:00,outside,outside,outside,outside,outside,outside,kitchen,outside,outside,outside,living,living,outside,bedroom,bedroom,bathroom,bathroom,bedroom,bedroom,kitchen
10980,d07 Mon 15:00,outside,outside,outside,outside,outside,outside,kitchen,outside,outside,outside,living,living,outside,bedroom,bedroom,bathroom,bathroom,bedroom,bedroom,kitchen
11040,d07 Mon 16:00,outside,outside,outside,outside,outside,outside,kitchen,outside,outside,outside,living,living,outside,bedroom,bedroom,bathroom,bathroom,bedroom,bedroom,kitchen
11100,d07 Mon 17:00,outside,outside,outside,outside,outside,outside,kitchen,outside,outside,outside,living,living,outside,bedroom,bedroom,bathroom,bathroom,bedroom,bedroom,kitchen
11160,d07 Mon 18:00,bedroom,bedroom,bedroom,bedroom,bedroom,bedroom,kitchen,bedroom,bedroom,bedroom,living,living,bedroom,bedroom,bedroom,bathroom,bathroom,bedroom,bedroom,kitchen
11220,d07 Mon 19:00,outside,outside,outside,outside,outside,outside,kitchen,outside,outside,outside,living,living,outside,bedroom,bedroom,bathroom,bathroom,bedroom,bedroom,kitchen
11280,d07 Mon 20:00,bedroom,bedroom,entry,entry,entry,entry,kitchen,bedroom,bedroom,bedroom,living,living,bedroom,bedroom,bedroom,bathroom,bathroom,bedroom,bedroom,kitchen
11340,d07 Mon 21:00,bedroom,bedroom,entry,entry,entry,entry,kitchen,bedroom,bedroom,bedroom,living,living,bedroom,bedroom,bedroom,bathroom,bathroom,bedroom,bedroom,kitchen
11400,d07 Mon 22:00,bedroom,bedroom,entry,entry,entry,entry,kitchen,bedroom,bedroom,bedroom,bathroom,bathroom,bedroom,bathroom,bedroom,bathroom,bathroom,bedroom,bedroom,kitchen
11460,d07 Mon 23:00,bedroom,bedroom,entry,entry,entry,entry,kitchen,bedroom,bedroom,bedroom,living,bedroom,bedroom,bedroom,bedroom,bathroom,bathroom,bedroom,bedroom,kitchen
11520,d08 Tue 00:00,bedroom,bedroom,entry,entry,entry,entry,kitchen,bedroom,bedroom,bedroom,living,bedroom,bedroom,bedroom,bedroom,bathroom,bathroom,bedroom,bedroom,kitchen
11580,d08 Tue 01:00,bedroom,bedroom,entry,entry,entry,entry,kitchen,bedroom,bedroom,bedroom,living,bedroom,bedroom,bedroom,bedroom,bathroom,bathroom,bedroom,bedroom,kitchen
11640,d08 Tue 02:00,bedroom,bedroom,entry,entry,entry,entry,kitchen,bedroom,bedroom,bedroom,living,bedroom,bedroom,bedroom,bedroom,bathroom,bathroom,bedroom,bedroom,kitchen
11700,d08 Tue 03:00,bedroom,bedroom,entry,entry,entry,entry,kitchen,bedroom,bedroom,bedroom,living,bedroom,bedroom,bedroom,bedroom,bathroom,bathroom,bedroom,bedroom,kitchen
11760,d08 Tue 04:00,bedroom,bedroom,entry,entry,entry,entry,kitchen,bedroom,bedroom,bedroom,living,bedroom,bedroom,bedroom,bedroom,bathroom,bathroom,bedroom,bedroom,kitchen
11820,d08 Tue 05:00,bedroom,bedroom,entry,entry,entry,entry,kitchen,bedroom,bedroom,bedroom,living,bedroom,bedroom,bedroom,bedroom,bathroom,bathroom,bedroom,bedroom,kitchen
11880,d08 Tue 06:00,bedroom,bedroom,entry,entry,entry,entry,kitchen,bedroom,bedroom,bedroom,living,bedroom,bedroom,bedroom,bedroom,bathroom,bathroom,bedroom,bedroom,kitchen
11940,d08 Tue 07:00,bedroom,bedroom,entry,entry,entry,entry,kitchen,bedroom,bedroom,bedroom,living,bedroom,bedroom,bedroom,bedroom,bathroom,bathroom,bedroom,bedroom,kitchen
12000,d08 Tue 08:00,bedroom,bedroom,entry,entry,entry,entry,kitchen,bedroom,bedroom,bedroom,living,bedroom,bedroom,bedroom,bedroom,bathroom,kitchen,bedroom,bedroom,kitchen
12060,d08 Tue 09:00,outside,outside,outside,outside,outside,outside,kitchen,outside,outside,outside,living,bedroom,outside,bedroom,bedroom,bathroom,bathroom,bedroom,bedroom,kitchen
12120,d08 Tue 10:00,outside,outside,outside,outside,outside,outside,kitchen,outside,outside,outside,living,bedroom,outside,bedroom,bedroom,bathroom,bathroom,bedroom,bedroom,kitchen
12180,d08 Tue 11:00,outside,outside,outside,outside,outside,outside,kitchen,outside,outside,outside,living,bedroom,outside,bedroom,bedroom,bathroom,bathroom,bedroom,bedroom,kitchen
12240,d08 Tue 12:00,outside,outside,outside,outside,outside,outside,kitchen,outside,outside,outside,living,bedroom,outside,bedroom,bedroom,bathroom,bathroom,bedroom,bedroom,kitchen
12300,d08 Tue 13:00,outside,outside,outside,outside,outside,outside,kitchen,outside,outside,outside,living,bedroom,outside,bedroom,bedroom,bathroom,bathroom,bedroom,bedroom,kitchen
12360,d08 Tue 14:00,outside,outside,outside,outside,outside,outside,kitchen,outside,outside,outside,living,bedroom,outside,bedroom,bedroom,bathroom,bathroom,bedroom,bedroom,kitchen
12420,d08 Tue 15:00,outside,outside,outside,outside,outside,outside,kitchen,outside,outside,outside,living,bedroom,outside,bedroom,bedroom,bathroom,bathroom,bedroom,bedroom,kitchen
12480,d08 Tue 16:00,outside,outside,outside,outside,outside,outside,kitchen,outside,outside,outside,living,bedroom,outside,bedroom,bedroom,bathroom,bathroom,bedroom,bedroom,kitchen
12540,d08 Tue 17:00,outside,outside,outside,outside,outside,outside,kitchen,outside,outside,outside,living,bedroom,outside,bedroom,bedroom,bathroom,bathroom,bedroom,bedroom,kitchen
12600,d08 Tue 18:00,outside,outside,outside,outside,outside,outside,kitchen,outside,outside,outside,living,bedroom,outside,bedroom,bedroom,bathroom,bathroom,bedroom,bedroom,kitchen
12660,d08 Tue 19:00,bedroom,bedroom,bedroom,bedroom,bedroom,entry,kitchen,bedroom,bedroom,kitchen,living,bedroom,bedroom,bedroom,bedroom,bathroom,bathroom,bedroom,bedroom,kitchen
12720,d08 Tue 20:00,bedroom,bedroom,bedroom,bedroom,bedroom,entry,kitchen,bedroom,bedroom,kitchen,living,bedroom,bedroom,bedroom,bedroom,bathroom,bathroom,bedroom,bedroom,kitchen
12780,d08 Tue 21:00,bathroom,bathroom,bathroom,bathroom,bathroom,entry,kitchen,bedroom,bedroom,kitchen,bathroom,bathroom,bedroom,bathroom,bedroom,bathroom,bathroom,bedroom,bedroom,kitchen
12840,d08 Tue 22:00,bathroom,bathroom,bathroom,bathroom,bathroom,entry,kitchen,bedroom,bedroom,kitchen,bathroom,bathroom,bedroom,bathroom,bedroom,bathroom,bathroom,bedroom,bedroom,kitchen
12900,d08 Tue 23:00,bathroom,bathroom,bathroom,bathroom,bathroom,entry,kitchen,bedroom,bedroom,kitchen,bathroom,bathroom,bedroom,bathroom,bedroom,bathroom,bathroom,bedroom,bedroom,kitchen
12960,d09 Wed 00:00,bedroom,bedroom,bedroom,bedroom,bedroom,entry,kitchen,bedroom,bedroom,kitchen,living,bedroom,bedroom,bedroom,bedroom,bathroom,bathroom,bedroom,bedroom,kitchen
13020,d09 Wed 01:00,bedroom,bedroom,bedroom,bedroom,bedroom,entry,kitchen,bedroom,bedroom,kitchen,living,bedroom,bedroom,bedroom,bedroom,bathroom,bathroom,bedroom,bedroom,kitchen
13080,d09 Wed 02:00,bedroom,bedroom,bedroom,bedroom,bedroom,entry,kitchen,bedroom,bedroom,kitchen,living,bedroom,bedroom,bedroom,bedroom,bathroom,bathroom,bedroom,bedroom,kitchen
13140,d09 Wed 03:00,bedroom,bedroom,bedroom,bedroom,bedroom,entry,kitchen,bedroom,bedroom,kitchen,living,bedroom,bedroom,bedroom,bedroom,bathroom,bathroom,bedroom,bedroom,kitchen
13200,d09 Wed 04:00,bedroom,bedroom,bedroom,bedroom,bedroom,entry,kitchen,bedroom,bedroom,kitchen,living,bedroom,bedroom,bedroom,bedroom,bathroom,bathroom,bedroom,bedroom,kitchen
13260,d09 Wed 05:00,bedroom,bedroom,bedroom,bedroom,bedroom,entry,kitchen,bedroom,bedroom,kitchen,living,bedroom,bedroom,bedroom,bedroom,bathroom,bathroom,bedroom,bedroom,kitchen
13320,d09 Wed 06:00,bedroom,bedroom,bedroom,bedroom,bedroom,entry,kitchen,bedroom,bedroom,kitchen,living,bedroom,bedroom,bedroom,bedroom,bathroom,bathroom,bedroom,bedroom,kitchen
13380,d09 Wed 07:00,bedroom,bedroom,bedroom,bedroom,bedroom,entry,kitchen,bedroom,bedroom,kitchen,living,bedroom,bedroom,bedroom,bedroom,bathroom,bathroom,bedroom,bedroom,kitchen
13440,d09 Wed 08:00,kitchen,kitchen,kitchen,kitchen,kitchen,entry,kitchen,bedroom,bedroom,bedroom,living,bedroom,bedroom,bedroom,bedroom,bathroom,bathroom,bedroom,bedroom,kitchen
13500,d09 Wed 09:00,outside,outside,outside,outside,outside,outside,kitchen,outside,outside,outside,living,bedroom,outside,bedroom,bedroom,bathroom,bathroom,bedroom,bedroom,kitchen
13560,d09 Wed 10:00,outside,outside,outside,outside,outside,outside,kitchen,outside,outside,outside,living,bedroom,outside,bedroom,bedroom,bathroom,bathroom,bedroom,bedroom,kitchen
13620,d09 Wed 11:00,outside,outside,outside,outside,outside,outside,kitchen,outside,outside,outside,living,bedroom,outside,bedroom,bedroom,bathroom,bathroom,bedroom,bedroom,kitchen
13680,d09 Wed 12:00,outside,outside,outside,outside,outside,outside,kitchen,outside,outside,outside,living,bedroom,outside,bedroom,bedroom,bathroom,bathroom,bedroom,bedroom,kitchen
13740,d09 Wed 13:00,outside,outside,outside,outside,outside,outside,kitchen,outside,outside,outside,living,bedroom,outside,bedroom,bedroom,bathroom,bathroom,bedroom,bedroom,kitchen
13800,d09 Wed 14:00,outside,outside,outside,outside,outside,outside,kitchen,outside,outside,outside,living,bedroom,outside,bedroom,bedroom,bathroom,bathroom,bedroom,bedroom,kitchen
13860,d09 Wed 15:00,outside,outside,outside,outside,outside,outside,kitchen,outside,outside,outside,living,bedroom,outside,bedroom,bedroom,bathroom,bathroom,bedroom,bedroom,kitchen
13920,d09 Wed 16:00,outside,outside,outside,outside,outside,outside,kitchen,outside,outside,outside,living,bedroom,outside,bedroom,bedroom,bathroom,bathroom,bedroom,bedroom,kitchen
13980,d09 Wed 17:00,outside,outside,outside,outside,outside,outside,kitchen,outside,outside,outside,living,bedroom,outside,bedroom,bedroom,bathroom,bathroom,bedroom,bedroom,kitchen
14040,d09 Wed 18:00,outside,outside,outside,outside,outside,outside,kitchen,outside,outside,outside,living,bedroom,outside,bedroom,bedroom,bathroom,bathroom,bedroom,bedroom,kitchen
14100,d09 Wed 19:00,kitchen,kitchen,kitchen,bedroom,entry,entry,kitchen,kitchen,bedroom,kitchen,living,bedroom,bedroom,bedroom,bedroom,bathroom,bathroom,bedroom,bedroom,kitchen
14160,d09 Wed 20:00,bedroom,bedroom,bedroom,bedroom,entry,entry,kitchen,bedroom,bedroom,kitchen,living,living,bedroom,bedroom,bedroom,bathroom,bathroom,bedroom,bedroom,kitchen
14220,d09 Wed 21:00,bedroom,bedroom,bedroom,bedroom,entry,entry,kitchen,bedroom,bedroom,kitchen,living,living,bedroom,bedroom,bedroom,bathroom,bathroom,bedroom,bedroom,kitchen
14280,d09 Wed 22:00,bathroom,bathroom,bathroom,bedroom,entry,entry,kitchen,bathroom,bedroom,kitchen,bathroom,bathroom,bedroom,bathroom,bedroom,bathroom,bathroom,bedroom,bedroom,kitchen
14340,d09 Wed 23:00,bedroom,bedroom,bedroom,bedroom,entry,entry,kitchen,bedroom,bedroom,kitchen,living,bedroom,bedroom,bedroom,bedroom,bathroom,bathroom,bedroom,bedroom,kitchen
14400,d10 Thu 00:00,bedroom,bedroom,bedroom,bedroom,entry,entry,kitchen,bedroom,bedroom,kitchen,living,bedroom,bedroom,bedroom,bedroom,bathroom,bathroom,bedroom,bedroom,kitchen
14460,d10 Thu 01:00,bedroom,bedroom,bedroom,bedroom,entry,entry,kitchen,bedroom,bedroom,kitchen,living,bedroom,bedroom,bedroom,bedroom,bathroom,bathroom,bedroom,bedroom,kitchen
14520,d10 Thu 02:00,bedroom,bedroom,bedroom,bedroom,entry,entry,kitchen,bedroom,bedroom,kitchen,living,bedroom,bedroom,bedroom,bedroom,bathroom,bathroom,bedroom,bedroom,kitchen
14580,d10 Thu 03:00,bedroom,bedroom,bedroom,bedroom,entry,entry,kitchen,bedroom,bedroom,kitchen,living,bedroom,bedroom,bedroom,bedroom,bathroom,bathroom,bedroom,bedroom,kitchen
14640,d10 Thu 04:00,bedroom,bedroom,bedroom,bedroom,entry,entry,kitchen,bedroom,bedroom,kitchen,living,bedroom,bedroom,bedroom,bedroom,bathroom,bathroom,bedroom,bedroom,kitchen
14700,d10 Thu 05:00,bedroom,bedroom,bedroom,bedroom,entry,entry,kitchen,bedroom,bedroom,kitchen,living,bedroom,bedroom,bedroom,bedroom,bathroom,bathroom,bedroom,bedroom,kitchen
14760,d10 Thu 06:00,bedroom,bedroom,bedroom,bedroom,entry,entry,kitchen,bedroom,bedroom,kitchen,living,bedroom,bedroom,bedroom,bedroom,bathroom,bathroom,bedroom,bedroom,kitchen
14820,d10 Thu 07:00,bedroom,bedroom,bedroom,bedroom,entry,entry,kitchen,bedroom,bedroom,kitchen,living,bedroom,bedroom,bedroom,bedroom,bathroom,bathroom,bedroom,bedroom,kitchen
14880,d10 Thu 08:00,kitchen,kitchen,kitchen,bedroom,entry,entry,kitchen,kitchen,bedroom,kitchen,bedroom,bedroom,bedroom,bedroom,bedroom,bathroom,kitchen,bedroom,bedroom,kitchen
14940,d10 Thu 09:00,outside,outside,outside,outside,outside,outside,kitchen,outside,outside,outside,bedroom,bedroom,outside,bedroom,bedroom,bathroom,bathroom,bedroom,bedroom,kitchen
15000,d10 Thu 10:00,outside,outside,outside,outside,outside,outside,kitchen,outside,outside,outside,bedroom,bedroom,outside,bedroom,bedroom,bathroom,bathroom,bedroom,bedroom,kitchen
15060,d10 Thu 11:00,outside,outside,outside,outside,outside,outside,kitchen,outside,outside,outside,bedroom,bedroom,outside,bedroom,bedroom,bathroom,bathroom,bedroom,bedroom,kitchen
15120,d10 Thu 12:00,outside,outside,outside,outside,outside,outside,kitchen,outside,outside,outside,bedroom,bedroom,outside,bedroom,bedroom,bathroom,bathroom,bedroom,bedroom,kitchen
15180,d10 Thu 13:00,outside,outside,outside,outside,outside,outside,kitchen,outside,outside,outside,bedroom,bedroom,outside,bedroom,bedroom,bathroom,bathroom,bedroom,bedroom,kitchen
15240,d10 Thu 14:00,outside,outside,outside,outside,outside,outside,kitchen,outside,outside,outside,bedroom,bedroom,outside,bedroom,bedroom,bathroom,bathroom,bedroom,bedroom,kitchen
15300,d10 Thu 15:00,outside,outside,outside,outside,outside,outside,kitchen,outside,outside,outside,bedroom,bedroom,outside,bedroom,bedroom,bathroom,bathroom,bedroom,bedroom,kitchen
15360,d10 Thu 16:00,outside,outside,outside,outside,outside,outside,kitchen,outside,outside,outside,bedroom,bedroom,outside,bedroom,bedroom,bathroom,bathroom,bedroom,bedroom,kitchen
15420,d10 Thu 17:00,outside,outside,outside,outside,outside,outside,kitchen,outside,outside,outside,bedroom,bedroom,outside,bedroom,bedroom,bathroom,bathroom,bedroom,bedroom,kitchen
15480,d10 Thu 18:00,outside,outside,outside,outside,outside,outside,kitchen,outside,outside,outside,bedroom,bedroom,outside,bedroom,bedroom,bathroom,bathroom,bedroom,bedroom,kitchen
15540,d10 Thu 19:00,bathroom,bathroom,entry,entry,entry,entry,kitchen,bedroom,bedroom,kitchen,bedroom,bedroom,bedroom,bedroom,bedroom,bathroom,bathroom,bedroom,bedroom,kitchen
15600,d10 Thu 20:00,bedroom,bedroom,entry,entry,entry,entry,kitchen,bedroom,bedroom,kitchen,bedroom,bedroom,bedroom,bedroom,bedroom,bathroom,bathroom,bedroom,bedroom,kitchen
15660,d10 Thu 21:00,bedroom,bedroom,entry,entry,entry,entry,kitchen,bedroom,bedroom,kitchen,bedroom,bedroom,bedroom,bedroom,bedroom,bathroom,bathroom,bedroom,bedroom,kitchen
15720,d10 Thu 22:00,bedroom,bedroom,entry,entry,entry,entry,kitchen,bedroom,bedroom,kitchen,bedroom,bedroom,bedroom,bedroom,bedroom,bathroom,bathroom,bedroom,bedroom,kitchen
15780,d10 Thu 23:00,bedroom,bedroom,entry,entry,entry,entry,kitchen,bedroom,bedroom,kitchen,living,bedroom,bedroom,bedroom,bedroom,bathroom,bathroom,bedroom,bedroom,kitchen
15840,d11 Fri 00:00,bedroom,bedroom,entry,entry,entry,entry,kitchen,bedroom,bedroom,kitchen,living,bedroom,bedroom,bedroom,bedroom,bathroom,bathroom,bedroom,bedroom,kitchen
15900,d11 Fri 01:00,bedroom,bedroom,entry,entry,entry,entry,kitchen,bedroom,bedroom,kitchen,living,bedroom,bedroom,bedroom,bedroom,bathroom,bathroom,bedroom,bedroom,kitchen
15960,d11 Fri 02:00,bedroom,bedroom,entry,entry,entry,entry,kitchen,bedroom,bedroom,kitchen,living,bedroom,bedroom,bedroom,bedroom,bathroom,bathroom,bedroom,bedroom,kitchen
16020,d11 Fri 03:00,bedroom,bedroom,entry,entry,entry,entry,kitchen,bedroom,bedroom,kitchen,living,bedroom,bedroom,bedroom,bedroom,bathroom,bathroom,bedroom,bedroom,kitchen
16080,d11 Fri 04:00,bedroom,bedroom,entry,entry,entry,entry,kitchen,bedroom,bedroom,kitchen,living,bedroom,bedroom,bedroom,bedroom,bathroom,bathroom,bedroom,bedroom,kitchen
16140,d11 Fri 05:00,bedroom,bedroom,entry,entry,entry,entry,kitchen,bedroom,bedroom,kitchen,living,bedroom,bedroom,bedroom,bedroom,bathroom,bathroom,bedroom,bedroom,kitchen
16200,d11 Fri 06:00,bedroom,bedroom,entry,entry,entry,entry,kitchen,bedroom,bedroom,kitchen,living,bedroom,bedroom,bedroom,bedroom,bathroom,bathroom,bedroom,bedroom,kitchen
16260,d11 Fri 07:00,kitchen,kitchen,entry,entry,entry,entry,kitchen,bedroom,bedroom,kitchen,living,bedroom,bedroom,bedroom,bedroom,bathroom,bathroom,bedroom,bedroom,kitchen
16320,d11 Fri 08:00,kitchen,kitchen,entry,entry,entry,entry,kitchen,bedroom,bedroom,kitchen,living,bedroom,bedroom,bedroom,bedroom,bathroom,bathroom,bedroom,bedroom,kitchen
16380,d11 Fri 09:00,outside,outside,outside,outside,outside,outside,kitchen,outside,outside,outside,living,living,outside,bedroom,bedroom,bathroom,bathroom,bedroom,bedroom,kitchen
16440,d11 Fri 10:00,outside,outside,outside,outside,outside,outside,kitchen,outside,outside,outside,living,living,outside,bedroom,bedroom,bathroom,bathroom,bedroom,bedroom,kitchen
