t,stamp,phone_marie,keys_marie,wallet_marie,laptop_marie,backpack_marie,lunchbox_marie,water_bottle_marie,jacket_marie,headphones_marie,glasses_marie,charger_marie,notebook_marie,pen_marie,book_marie,mug_marie,bowl_marie,plate_marie,pot_shared_1,pan_shared_1,remote_shared_1,blanket_marie,towel_marie,laundry_basket_marie,medication_bottle_marie,hairbrush_marie,makeup_kit_marie,umbrella_marie,suitcase_marie,watering_can_marie,yoga_mat_marie
5820,d04 Fri 01:00,outside,outside,outside,outside,outside,kitchen,outside,outside,outside,kitchen,kitchen,outside,kitchen,living,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,bathroom,bedroom,bathroom,bathroom,outside,outside,outside,kitchen,outside
5880,d04 Fri 02:00,outside,outside,outside,outside,outside,kitchen,outside,outside,outside,kitchen,kitchen,outside,kitchen,living,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,bathroom,bedroom,bathroom,bathroom,outside,outside,outside,kitchen,outside
5940,d04 Fri 03:00,outside,outside,outside,outside,outside,kitchen,outside,outside,outside,kitchen,kitchen,outside,kitchen,living,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,bathroom,bedroom,bathroom,bathroom,outside,outside,outside,kitchen,outside
6000,d04 Fri 04:00,outside,outside,outside,outside,outside,kitchen,outside,outside,outside,kitchen,kitchen,outside,kitchen,living,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,bathroom,bedroom,bathroom,bathroom,outside,outside,outside,kitchen,outside
6060,d04 Fri 05:00,outside,outside,outside,outside,outside,kitchen,outside,outside,outside,kitchen,kitchen,outside,kitchen,living,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,bathroom,bedroom,bathroom,bathroom,outside,outside,outside,kitchen,outside
6120,d04 Fri 06:00,bedroom,entry,kitchen,kitchen,kitchen,kitchen,kitchen,entry,kitchen,kitchen,kitchen,kitchen,kitchen,living,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,bathroom,bedroom,bathroom,bathroom,bathroom,entry,bedroom,kitchen,living
6180,d04 Fri 07:00,bedroom,entry,kitchen,kitchen,kitchen,kitchen,kitchen,entry,kitchen,kitchen,kitchen,kitchen,kitchen,living,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,bathroom,bedroom,bathroom,bathroom,bathroom,entry,bedroom,kitchen,living
6240,d04 Fri 08:00,bedroom,entry,kitchen,kitchen,kitchen,kitchen,kitchen,entry,kitchen,kitchen,kitchen,kitchen,kitchen,living,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,bathroom,bedroom,bedroom,bathroom,bathroom,entry,bedroom,kitchen,living
6300,d04 Fri 09:00,bedroom,entry,kitchen,kitchen,kitchen,kitchen,kitchen,entry,kitchen,kitchen,kitchen,kitchen,kitchen,living,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,bathroom,bedroom,bedroom,bathroom,bathroom,entry,bedroom,kitchen,living
6360,d04 Fri 10:00,bedroom,entry,kitchen,kitchen,kitchen,kitchen,kitchen,entry,kitchen,kitchen,kitchen,kitchen,kitchen,living,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,bathroom,bedroom,bedroom,bathroom,bathroom,entry,bedroom,kitchen,living
6420,d04 Fri 11:00,bedroom,entry,kitchen,kitchen,kitchen,kitchen,kitchen,entry,kitchen,kitchen,kitchen,kitchen,kitchen,living,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,bathroom,bedroom,bedroom,bathroom,bathroom,entry,bedroom,kitchen,living
6480,d04 Fri 12:00,bedroom,entry,kitchen,kitchen,kitchen,kitchen,kitchen,entry,kitchen,kitchen,kitchen,kitchen,kitchen,living,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,bathroom,bedroom,bedroom,bathroom,bathroom,entry,bedroom,kitchen,living
6540,d04 Fri 13:00,bedroom,entry,kitchen,kitchen,kitchen,kitchen,kitchen,entry,kitchen,kitchen,kitchen,kitchen,kitchen,living,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,bathroom,bedroom,bedroom,bathroom,bathroom,entry,bedroom,kitchen,living
6600,d04 Fri 14:00,bedroom,entry,kitchen,kitchen,kitchen,kitchen,kitchen,entry,kitchen,kitchen,kitchen,kitchen,kitchen,living,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,bathroom,bedroom,bedroom,bathroom,bathroom,entry,bedroom,kitchen,living
6660,d04 Fri 15:00,bedroom,entry,kitchen,kitchen,kitchen,kitchen,kitchen,entry,kitchen,kitchen,kitchen,kitchen,kitchen,living,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,bathroom,bedroom,bedroom,bathroom,bathroom,entry,bedroom,kitchen,living
6720,d04 Fri 16:00,bedroom,entry,kitchen,kitchen,kitchen,kitchen,kitchen,entry,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,kitchen,kitchen,kitchen,kitchen,living,living,bathroom,bedroom,bedroom,bathroom,bathroom,entry,bedroom,kitchen,living
6780,d04 Fri 17:00,bedroom,entry,kitchen,kitchen,kitchen,kitchen,kitchen,entry,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,kitchen,kitchen,kitchen,kitchen,living,living,bathroom,kitchen,bedroom,bathroom,bathroom,entry,bedroom,kitchen,living
6840,d04 Fri 18:00,bedroom,entry,kitchen,kitchen,kitchen,kitchen,kitchen,entry,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,kitchen,kitchen,kitchen,kitchen,living,living,bathroom,kitchen,bedroom,bathroom,bathroom,entry,bedroom,kitchen,living
6900,d04 Fri 19:00,bedroom,entry,kitchen,kitchen,kitchen,kitchen,kitchen,entry,kitchen,bedroom,kitchen,kitchen,kitchen,living,living,kitchen,kitchen,kitchen,kitchen,living,living,bathroom,kitchen,bedroom,bedroom,bathroom,entry,bedroom,kitchen,living
6960,d04 Fri 20:00,bedroom,entry,kitchen,kitchen,kitchen,kitchen,kitchen,entry,kitchen,bedroom,kitchen,kitchen,kitchen,living,living,kitchen,kitchen,kitchen,kitchen,living,living,bathroom,kitchen,bedroom,bedroom,bathroom,entry,bedroom,kitchen,living
7020,d04 Fri 21:00,bedroom,entry,kitchen,kitchen,kitchen,kitchen,kitchen,entry,kitchen,bedroom,kitchen,kitchen,kitchen,living,living,kitchen,kitchen,kitchen,kitchen,living,living,bathroom,kitchen,bedroom,bedroom,bathroom,entry,bedroom,kitchen,living
7080,d04 Fri 22:00,bedroom,entry,kitchen,kitchen,kitchen,kitchen,kitchen,entry,kitchen,bedroom,kitchen,kitchen,kitchen,living,living,kitchen,kitchen,kitchen,kitchen,living,living,bathroom,kitchen,bedroom,bedroom,bathroom,entry,bedroom,kitchen,living
7140,d04 Fri 23:00,bedroom,entry,kitchen,kitchen,kitchen,kitchen,kitchen,entry,kitchen,bedroom,kitchen,kitchen,kitchen,living,living,kitchen,kitchen,kitchen,kitchen,living,living,bathroom,kitchen,bedroom,bedroom,bathroom,entry,bedroom,kitchen,living
7200,d05 Sat 00:00,bedroom,entry,kitchen,kitchen,kitchen,kitchen,kitchen,entry,kitchen,bedroom,kitchen,kitchen,kitchen,living,living,kitchen,kitchen,kitchen,kitchen,living,living,bathroom,kitchen,bedroom,bedroom,bathroom,entry,bedroom,kitchen,living
7260,d05 Sat 01:00,outside,outside,outside,outside,outside,outside,outside,outside,outside,bedroom,kitchen,outside,kitchen,living,living,kitchen,kitchen,kitchen,kitchen,living,living,bathroom,kitchen,bedroom,bedroom,outside,outside,outside,kitchen,outside
7320,d05 Sat 02:00,outside,outside,outside,outside,outside,outside,outside,outside,outside,bedroom,kitchen,outside,kitchen,living,living,kitchen,kitchen,kitchen,kitchen,living,living,bathroom,kitchen,bedroom,bedroom,outside,outside,outside,kitchen,outside
7380,d05 Sat 03:00,outside,outside,outside,outside,outside,outside,outside,outside,outside,bedroom,kitchen,outside,kitchen,living,living,kitchen,kitchen,kitchen,kitchen,living,living,bathroom,kitchen,bedroom,bedroom,outside,outside,outside,kitchen,outside
7440,d05 Sat 04:00,outside,outside,outside,outside,outside,outside,outside,outside,outside,bedroom,kitchen,outside,kitchen,living,living,kitchen,kitchen,kitchen,kitchen,living,living,bathroom,kitchen,bedroom,bedroom,outside,outside,outside,kitchen,outside
7500,d05 Sat 05:00,outside,outside,outside,outside,outside,outside,outside,outside,outside,bedroom,kitchen,outside,kitchen,living,living,kitchen,kitchen,kitchen,kitchen,living,living,bathroom,kitchen,bedroom,bedroom,outside,outside,outside,kitchen,outside
7560,d05 Sat 06:00,outside,outside,outside,outside,outside,outside,outside,outside,outside,bedroom,kitchen,outside,kitchen,living,living,kitchen,kitchen,kitchen,kitchen,living,living,bathroom,kitchen,bedroom,bedroom,outside,outside,outside,kitchen,outside
7620,d05 Sat 07:00,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,entry,kitchen,bedroom,kitchen,kitchen,kitchen,living,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,bathroom,kitchen,bedroom,bedroom,bathroom,entry,bedroom,kitchen,living
7680,d05 Sat 08:00,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,entry,kitchen,bedroom,kitchen,kitchen,kitchen,living,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,bathroom,kitchen,bedroom,bedroom,bathroom,entry,bedroom,kitchen,living
7740,d05 Sat 09:00,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,entry,kitchen,bedroom,kitchen,kitchen,kitchen,living,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,bathroom,kitchen,bedroom,bedroom,bathroom,entry,bedroom,kitchen,living
7800,d05 Sat 10:00,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,entry,kitchen,bedroom,kitchen,kitchen,kitchen,living,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,bathroom,kitchen,bedroom,bedroom,bathroom,entry,bedroom,kitchen,living
7860,d05 Sat 11:00,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,entry,kitchen,bedroom,kitchen,kitchen,kitchen,living,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,bathroom,kitchen,bedroom,bedroom,bathroom,entry,bedroom,kitchen,living
7920,d05 Sat 12:00,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,entry,kitchen,bedroom,kitchen,kitchen,kitchen,living,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,bathroom,kitchen,bedroom,bedroom,bathroom,entry,bedroom,kitchen,living
7980,d05 Sat 13:00,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,entry,kitchen,bedroom,kitchen,kitchen,kitchen,living,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,bathroom,kitchen,bedroom,bedroom,bathroom,entry,bedroom,kitchen,living
8040,d05 Sat 14:00,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,entry,kitchen,bedroom,kitchen,kitchen,kitchen,living,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,bathroom,kitchen,bedroom,bedroom,bathroom,entry,bedroom,kitchen,living
8100,d05 Sat 15:00,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,entry,kitchen,bedroom,kitchen,kitchen,kitchen,living,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,bathroom,kitchen,bedroom,bedroom,bathroom,entry,bedroom,kitchen,living
8160,d05 Sat 16:00,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,entry,kitchen,bedroom,kitchen,kitchen,kitchen,living,living,kitchen,kitchen,kitchen,kitchen,living,living,bathroom,kitchen,bedroom,bedroom,bathroom,entry,bedroom,kitchen,living
8220,d05 Sat 17:00,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,entry,kitchen,bedroom,kitchen,kitchen,kitchen,kitchen,living,kitchen,kitchen,kitchen,kitchen,living,living,bathroom,kitchen,bedroom,bedroom,bathroom,entry,bedroom,kitchen,living
8280,d05 Sat 18:00,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,entry,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,kitchen,kitchen,kitchen,kitchen,living,living,bathroom,kitchen,bedroom,bedroom,bathroom,entry,bedroom,kitchen,living
8340,d05 Sat 19:00,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,entry,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,bathroom,kitchen,bedroom,bedroom,bathroom,entry,bedroom,kitchen,living
8400,d05 Sat 20:00,bedroom,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,entry,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,bathroom,kitchen,bedroom,bedroom,bathroom,entry,bedroom,kitchen,living
8460,d05 Sat 21:00,bedroom,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,entry,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,bathroom,kitchen,bedroom,bedroom,bathroom,entry,bedroom,kitchen,living
8520,d05 Sat 22:00,bedroom,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,entry,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,bathroom,kitchen,bedroom,bedroom,bathroom,entry,bedroom,kitchen,living
8580,d05 Sat 23:00,bedroom,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,entry,kitchen,kitchen,bathroom,bedroom,bedroom,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,bathroom,kitchen,bathroom,bathroom,bathroom,entry,bedroom,kitchen,living
8640,d06 Sun 00:00,bedroom,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,entry,kitchen,kitchen,bathroom,bedroom,bedroom,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,bathroom,kitchen,bathroom,bathroom,bathroom,entry,bedroom,kitchen,living
8700,d06 Sun 01:00,bedroom,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,entry,kitchen,kitchen,bathroom,bedroom,bedroom,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,bathroom,kitchen,bathroom,bathroom,bathroom,entry,bedroom,kitchen,living
8760,d06 Sun 02:00,bedroom,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,entry,kitchen,kitchen,bathroom,bedroom,bedroom,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,bathroom,kitchen,bathroom,bathroom,bathroom,entry,bedroom,kitchen,living
8820,d06 Sun 03:00,bedroom,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,entry,kitchen,kitchen,bathroom,bedroom,bedroom,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,bathroom,kitchen,bathroom,bathroom,bathroom,entry,bedroom,kitchen,living
8880,d06 Sun 04:00,bedroom,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,entry,kitchen,kitchen,bathroom,bedroom,bedroom,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,bathroom,kitchen,bathroom,bathroom,bathroom,entry,bedroom,kitchen,living
8940,d06 Sun 05:00,bedroom,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,entry,kitchen,kitchen,bathroom,bedroom,bedroom,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,bathroom,kitchen,bathroom,bathroom,bathroom,entry,bedroom,kitchen,living
9000,d06 Sun 06:00,bedroom,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,entry,kitchen,kitchen,bathroom,bedroom,bedroom,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,bathroom,kitchen,bathroom,bathroom,bathroom,entry,bedroom,kitchen,living
9060,d06 Sun 07:00,bedroom,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,entry,kitchen,kitchen,bathroom,bedroom,bedroom,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,bathroom,kitchen,bathroom,bathroom,bathroom,entry,bedroom,kitchen,living
9120,d06 Sun 08:00,bedroom,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,entry,kitchen,kitchen,bathroom,bedroom,bedroom,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,bathroom,kitchen,bathroom,bathroom,bathroom,entry,bedroom,kitchen,living
9180,d06 Sun 09:00,bedroom,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,entry,kitchen,kitchen,bathroom,bedroom,bedroom,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,bedroom,kitchen,bathroom,bathroom,bathroom,entry,bedroom,kitchen,living
9240,d06 Sun 10:00,outside,outside,outside,outside,outside,outside,outside,outside,outside,kitchen,bathroom,outside,bedroom,kitchen,living,kitchen,kitchen,kitchen,kitchen,kitchen,living,bedroom,kitchen,bathroom,bathroom,outside,outside,outside,kitchen,outside
9300,d06 Sun 11:00,outside,outside,outside,outside,outside,outside,outside,outside,outside,kitchen,bathroom,outside,bedroom,kitchen,living,kitchen,kitchen,kitchen,kitchen,kitchen,living,bedroom,kitchen,bathroom,bathroom,outside,outside,outside,kitchen,outside
9360,d06 Sun 12:00,bathroom,bathroom,bathroom,bathroom,bathroom,bathroom,bathroom,bathroom,bathroom,kitchen,bathroom,bathroom,bedroom,kitchen,living,kitchen,kitchen,kitchen,kitchen,kitchen,living,bedroom,bedroom,bathroom,bathroom,bathroom,bathroom,bathroom,kitchen,bathroom
9420,d06 Sun 13:00,outside,outside,outside,outside,outside,outside,outside,outside,outside,kitchen,bathroom,outside,bedroom,kitchen,living,kitchen,kitchen,kitchen,kitchen,kitchen,living,bedroom,bedroom,bathroom,bathroom,outside,outside,outside,kitchen,outside
9480,d06 Sun 14:00,bedroom,entry,kitchen,kitchen,kitchen,kitchen,kitchen,entry,bedroom,bedroom,bathroom,bedroom,kitchen,living,living,kitchen,kitchen,kitchen,kitchen,kitchen,living,bedroom,bedroom,bathroom,bathroom,bathroom,kitchen,bedroom,kitchen,living
9540,d06 Sun 15:00,bedroom,entry,kitchen,kitchen,kitchen,kitchen,kitchen,entry,bedroom,bedroom,bathroom,bedroom,kitchen,living,living,kitchen,kitchen,kitchen,kitchen,kitchen,living,bedroom,bedroom,bathroom,bathroom,bathroom,kitchen,bedroom,kitchen,living
9600,d06 Sun 16:00,bedroom,entry,kitchen,kitchen,kitchen,kitchen,kitchen,entry,bedroom,bedroom,bathroom,bedroom,kitchen,living,living,kitchen,kitchen,kitchen,kitchen,kitchen,living,bedroom,bedroom,bathroom,bathroom,bathroom,kitchen,bedroom,kitchen,living
9660,d06 Sun 17:00,bedroom,entry,kitchen,kitchen,kitchen,kitchen,kitchen,entry,bedroom,bedroom,bathroom,bedroom,kitchen,living,living,kitchen,kitchen,kitchen,kitchen,kitchen,living,bedroom,bedroom,bathroom,bathroom,bathroom,kitchen,bedroom,kitchen,living
9720,d06 Sun 18:00,bedroom,entry,kitchen,kitchen,kitchen,kitchen,kitchen,entry,bedroom,kitchen,bathroom,bedroom,kitchen,living,living,kitchen,kitchen,kitchen,kitchen,kitchen,living,bedroom,bedroom,bathroom,bathroom,bathroom,kitchen,bedroom,kitchen,living
9780,d06 Sun 19:00,bedroom,entry,kitchen,kitchen,kitchen,kitchen,kitchen,entry,bedroom,kitchen,bathroom,bedroom,kitchen,living,living,kitchen,kitchen,kitchen,kitchen,kitchen,living,bedroom,bedroom,bathroom,bathroom,bathroom,kitchen,bedroom,kitchen,living
9840,d06 Sun 20:00,bedroom,entry,kitchen,kitchen,kitchen,kitchen,kitchen,entry,bedroom,kitchen,bathroom,bedroom,kitchen,living,living,kitchen,kitchen,kitchen,kitchen,kitchen,living,bedroom,bedroom,bathroom,bathroom,bathroom,kitchen,bedroom,kitchen,living
9900,d06 Sun 21:00,bedroom,entry,kitchen,kitchen,kitchen,kitchen,kitchen,entry,bedroom,kitchen,bathroom,bedroom,kitchen,living,living,kitchen,kitchen,kitchen,kitchen,kitchen,living,bedroom,bedroom,bathroom,bathroom,bathroom,kitchen,bedroom,kitchen,living
9960,d06 Sun 22:00,bedroom,entry,kitchen,kitchen,kitchen,kitchen,kitchen,entry,bedroom,kitchen,bathroom,bedroom,kitchen,living,living,kitchen,kitchen,kitchen,kitchen,kitchen,living,bedroom,bedroom,bathroom,bathroom,bathroom,kitchen,bedroom,kitchen,living
10020,d06 Sun 23:00,bedroom,entry,kitchen,kitchen,kitchen,kitchen,kitchen,entry,bedroom,kitchen,bathroom,bedroom,kitchen,living,living,kitchen,kitchen,kitchen,kitchen,kitchen,living,bedroom,bedroom,bathroom,bathroom,bathroom,kitchen,bedroom,kitchen,living
10080,d07 Mon 00:00,bedroom,entry,kitchen,kitchen,kitchen,kitchen,kitchen,entry,bedroom,kitchen,bathroom,bedroom,kitchen,living,living,kitchen,kitchen,kitchen,kitchen,kitchen,living,bedroom,bedroom,bathroom,bathroom,bathroom,kitchen,bedroom,kitchen,living
10140,d07 Mon 01:00,bedroom,entry,kitchen,kitchen,kitchen,kitchen,kitchen,entry,bedroom,kitchen,bathroom,bedroom,kitchen,living,living,kitchen,kitchen,kitchen,kitchen,kitchen,living,bedroom,bedroom,bathroom,bathroom,bathroom,bedroom,bedroom,kitchen,living
10200,d07 Mon 02:00,bedroom,entry,kitchen,kitchen,kitchen,kitchen,kitchen,entry,bedroom,kitchen,bathroom,bedroom,kitchen,living,living,kitchen,kitchen,kitchen,kitchen,kitchen,living,bedroom,bedroom,bathroom,bathroom,bathroom,bedroom,bedroom,kitchen,living
10260,d07 Mon 03:00,bedroom,entry,kitchen,kitchen,kitchen,kitchen,kitchen,entry,bedroom,kitchen,bathroom,bedroom,kitchen,living,living,kitchen,kitchen,kitchen,kitchen,kitchen,living,bedroom,bedroom,bathroom,bathroom,bathroom,bedroom,bedroom,kitchen,living
10320,d07 Mon 04:00,bedroom,entry,kitchen,kitchen,kitchen,kitchen,kitchen,entry,bedroom,kitchen,bathroom,bedroom,kitchen,living,living,kitchen,kitchen,kitchen,kitchen,kitchen,living,bedroom,bedroom,bathroom,bathroom,bathroom,bedroom,bedroom,kitchen,living
10380,d07 Mon 05:00,bedroom,entry,kitchen,kitchen,kitchen,kitchen,kitchen,entry,bedroom,kitchen,bathroom,bedroom,kitchen,living,living,kitchen,kitchen,kitchen,kitchen,kitchen,living,bedroom,bedroom,bathroom,bathroom,bathroom,bedroom,bedroom,kitchen,living
10440,d07 Mon 06:00,bedroom,entry,kitchen,kitchen,kitchen,kitchen,kitchen,entry,bedroom,kitchen,bathroom,bedroom,kitchen,living,living,kitchen,kitchen,kitchen,kitchen,kitchen,living,bedroom,bedroom,bathroom,bathroom,bathroom,bedroom,bedroom,kitchen,living
10500,d07 Mon 07:00,bedroom,entry,kitchen,kitchen,kitchen,kitchen,kitchen,entry,bedroom,kitchen,bathroom,bedroom,kitchen,living,living,kitchen,kitchen,kitchen,kitchen,kitchen,living,bedroom,bedroom,bathroom,bathroom,bathroom,bedroom,bedroom,kitchen,living
10560,d07 Mon 08:00,bedroom,entry,kitchen,kitchen,kitchen,kitchen,kitchen,entry,bedroom,kitchen,bathroom,bedroom,kitchen,living,living,kitchen,kitchen,kitchen,kitchen,kitchen,living,bedroom,bedroom,bathroom,bathroom,bathroom,bedroom,bedroom,kitchen,living
10620,d07 Mon 09:00,bedroom,entry,kitchen,kitchen,kitchen,kitchen,kitchen,entry,bedroom,kitchen,bathroom,bedroom,kitchen,living,living,kitchen,kitchen,kitchen,kitchen,kitchen,living,bedroom,bedroom,bathroom,bathroom,bathroom,kitchen,bedroom,kitchen,living
10680,d07 Mon 10:00,bedroom,entry,kitchen,kitchen,kitchen,kitchen,kitchen,entry,bedroom,kitchen,bathroom,bedroom,kitchen,living,living,kitchen,kitchen,kitchen,kitchen,kitchen,living,bedroom,bedroom,bathroom,bathroom,bathroom,kitchen,bedroom,kitchen,living
10740,d07 Mon 11:00,outside,outside,outside,outside,outside,outside,outside,outside,outside,kitchen,bathroom,outside,kitchen,living,living,kitchen,kitchen,kitchen,kitchen,kitchen,living,bedroom,bedroom,bathroom,bathroom,outside,outside,outside,kitchen,outside
10800,d07 Mon 12:00,bedroom,entry,entry,kitchen,kitchen,kitchen,kitchen,entry,bedroom,kitchen,bathroom,bedroom,kitchen,living,living,kitchen,kitchen,kitchen,kitchen,kitchen,living,bedroom,bedroom,bathroom,bathroom,bathroom,entry,bedroom,kitchen,living
10860,d07 Mon 13:00,bedroom,entry,entry,kitchen,kitchen,kitchen,kitchen,entry,bedroom,kitchen,bathroom,bedroom,kitchen,living,living,kitchen,kitchen,kitchen,kitchen,kitchen,living,bedroom,bedroom,bathroom,bathroom,bathroom,entry,bedroom,kitchen,living
10920,d07 Mon 14:00,bedroom,entry,entry,kitchen,kitchen,kitchen,kitchen,entry,bedroom,kitchen,bathroom,bedroom,kitchen,living,living,kitchen,kitchen,kitchen,kitchen,kitchen,living,bedroom,bedroom,bathroom,bathroom,bathroom,entry,bedroom,kitchen,living
10980,d07 Mon 15:00,bedroom,entry,entry,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,kitchen,bathroom,bedroom,kitchen,living,living,kitchen,kitchen,kitchen,kitchen,kitchen,living,bedroom,bedroom,bathroom,bathroom,bathroom,entry,bedroom,kitchen,living
11040,d07 Mon 16:00,bedroom,entry,entry,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,kitchen,bathroom,bedroom,kitchen,living,living,kitchen,kitchen,kitchen,kitchen,kitchen,living,bedroom,bedroom,bathroom,bathroom,bathroom,entry,bedroom,kitchen,living
11100,d07 Mon 17:00,bedroom,entry,entry,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,kitchen,bathroom,bedroom,kitchen,living,living,kitchen,kitchen,kitchen,kitchen,kitchen,living,bedroom,bedroom,bathroom,bathroom,bathroom,entry,bedroom,kitchen,living
11160,d07 Mon 18:00,bedroom,entry,entry,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,kitchen,bathroom,bedroom,kitchen,living,living,kitchen,kitchen,kitchen,kitchen,kitchen,living,bedroom,bedroom,bathroom,bathroom,bathroom,entry,bedroom,kitchen,living
11220,d07 Mon 19:00,bedroom,entry,entry,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,kitchen,bathroom,bedroom,kitchen,living,living,kitchen,kitchen,kitchen,kitchen,kitchen,living,bedroom,bedroom,bathroom,bathroom,bathroom,entry,bedroom,kitchen,living
11280,d07 Mon 20:00,bedroom,entry,entry,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,kitchen,bathroom,bedroom,kitchen,living,living,kitchen,kitchen,kitchen,kitchen,living,living,bedroom,bedroom,bathroom,bathroom,bathroom,entry,bedroom,kitchen,living
11340,d07 Mon 21:00,bedroom,entry,entry,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,kitchen,bathroom,bedroom,kitchen,living,living,kitchen,kitchen,kitchen,kitchen,living,living,bedroom,bedroom,bathroom,bathroom,bathroom,entry,bedroom,kitchen,living
11400,d07 Mon 22:00,bedroom,entry,entry,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,kitchen,bathroom,bedroom,bathroom,living,living,kitchen,kitchen,kitchen,kitchen,living,living,bedroom,bedroom,bathroom,bathroom,bathroom,entry,bedroom,kitchen,living
11460,d07 Mon 23:00,bedroom,entry,entry,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,kitchen,bedroom,bedroom,bedroom,living,living,kitchen,kitchen,kitchen,kitchen,living,living,bedroom,bedroom,bedroom,bathroom,kitchen,entry,bedroom,kitchen,living
