t,stamp,phone_elena,keys_elena,wallet_elena,backpack_elena,jacket_elena,water_bottle_elena,lunchbox_elena,laptop_elena,charger_elena,notebook_elena,pen_elena,glasses_elena,headphones_elena,mug_elena,bowl_1,bowl_2,plate_1,plate_2,pot_1,pan_1,book_elena,blanket_elena,remote_1,watering_can_elena,umbrella_elena,laundry_basket_elena,towel_1,hairbrush_elena,medication_bottle_elena,suitcase_elena
5880,d04 Fri 02:00,entry,entry,kitchen,entry,entry,kitchen,kitchen,kitchen,entry,bedroom,bedroom,kitchen,bedroom,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,kitchen,kitchen,entry,bedroom,bathroom,bedroom,bathroom,bedroom
5940,d04 Fri 03:00,entry,entry,kitchen,entry,entry,kitchen,kitchen,kitchen,entry,bedroom,bedroom,kitchen,bedroom,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,kitchen,kitchen,entry,bedroom,bathroom,bedroom,bathroom,bedroom
6000,d04 Fri 04:00,entry,entry,kitchen,entry,entry,kitchen,kitchen,kitchen,entry,bedroom,bedroom,kitchen,bedroom,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,kitchen,kitchen,entry,bedroom,bathroom,bedroom,bathroom,bedroom
6060,d04 Fri 05:00,entry,entry,kitchen,entry,entry,kitchen,kitchen,kitchen,entry,bedroom,bedroom,kitchen,bedroom,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,kitchen,kitchen,entry,bedroom,bathroom,bedroom,bathroom,bedroom
6120,d04 Fri 06:00,entry,entry,kitchen,entry,entry,kitchen,kitchen,kitchen,entry,bedroom,bedroom,kitchen,bedroom,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,kitchen,kitchen,entry,bedroom,bathroom,bedroom,bathroom,bedroom
6180,d04 Fri 07:00,entry,entry,kitchen,entry,entry,kitchen,kitchen,kitchen,entry,bedroom,bedroom,kitchen,bedroom,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,kitchen,kitchen,entry,bedroom,bathroom,bedroom,bathroom,bedroom
6240,d04 Fri 08:00,outside,outside,outside,outside,outside,outside,outside,kitchen,outside,bedroom,bedroom,outside,outside,outside,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,kitchen,kitchen,outside,bedroom,bathroom,bedroom,bathroom,outside
6300,d04 Fri 09:00,outside,outside,outside,outside,outside,outside,outside,kitchen,outside,bedroom,bedroom,outside,outside,outside,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,kitchen,kitchen,outside,bedroom,bathroom,bedroom,bathroom,outside
6360,d04 Fri 10:00,outside,outside,outside,outside,outside,outside,outside,kitchen,outside,bedroom,bedroom,outside,outside,outside,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,kitchen,kitchen,outside,bedroom,bathroom,bedroom,bathroom,outside
6420,d04 Fri 11:00,outside,outside,outside,outside,outside,outside,outside,kitchen,outside,bedroom,bedroom,outside,outside,outside,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,kitchen,kitchen,outside,bedroom,bathroom,bedroom,bathroom,outside
6480,d04 Fri 12:00,outside,outside,outside,outside,outside,outside,outside,kitchen,outside,bedroom,bedroom,outside,outside,outside,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,kitchen,kitchen,outside,bedroom,bathroom,bedroom,bathroom,outside
6540,d04 Fri 13:00,outside,outside,outside,outside,outside,outside,outside,kitchen,outside,bedroom,bedroom,outside,outside,outside,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,kitchen,kitchen,outside,bedroom,bathroom,bedroom,bathroom,outside
6600,d04 Fri 14:00,outside,outside,outside,outside,outside,outside,outside,kitchen,outside,bedroom,bedroom,outside,outside,outside,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,kitchen,kitchen,outside,bedroom,bathroom,bedroom,bathroom,outside
6660,d04 Fri 15:00,outside,outside,outside,outside,outside,outside,outside,kitchen,outside,bedroom,bedroom,outside,outside,outside,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,kitchen,kitchen,outside,bedroom,bathroom,bedroom,bathroom,outside
6720,d04 Fri 16:00,outside,outside,outside,outside,outside,outside,outside,kitchen,outside,bedroom,bedroom,outside,outside,outside,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,kitchen,kitchen,outside,bedroom,bathroom,bedroom,bathroom,outside
6780,d04 Fri 17:00,outside,outside,outside,outside,outside,outside,outside,kitchen,outside,bedroom,bedroom,outside,outside,outside,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,kitchen,kitchen,outside,bedroom,bathroom,bedroom,bathroom,outside
6840,d04 Fri 18:00,outside,outside,outside,outside,outside,outside,outside,kitchen,outside,bedroom,bedroom,outside,outside,outside,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,kitchen,kitchen,outside,bedroom,bathroom,bedroom,bathroom,outside
6900,d04 Fri 19:00,outside,outside,outside,outside,outside,outside,outside,kitchen,outside,bedroom,bedroom,outside,outside,outside,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,kitchen,kitchen,outside,bedroom,bathroom,bedroom,bathroom,outside
6960,d04 Fri 20:00,outside,outside,outside,outside,outside,outside,outside,kitchen,outside,bedroom,bedroom,outside,outside,outside,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,kitchen,kitchen,outside,bedroom,bathroom,bedroom,bathroom,outside
7020,d04 Fri 21:00,entry,entry,entry,entry,entry,kitchen,kitchen,entry,entry,entry,entry,bedroom,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,kitchen,kitchen,entry,bedroom,bathroom,bedroom,bathroom,bedroom
7080,d04 Fri 22:00,entry,entry,entry,entry,entry,kitchen,kitchen,bedroom,entry,kitchen,entry,bedroom,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,kitchen,kitchen,entry,bedroom,bathroom,bedroom,bathroom,bedroom
7140,d04 Fri 23:00,entry,entry,entry,entry,entry,kitchen,kitchen,bedroom,entry,kitchen,entry,bedroom,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,kitchen,kitchen,entry,bedroom,bathroom,bedroom,bathroom,bedroom
7200,d05 Sat 00:00,entry,entry,entry,entry,entry,kitchen,kitchen,bedroom,entry,kitchen,entry,bedroom,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,kitchen,kitchen,entry,bedroom,bathroom,bedroom,bathroom,bedroom
7260,d05 Sat 01:00,entry,entry,entry,entry,entry,kitchen,kitchen,bedroom,entry,kitchen,entry,bedroom,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,kitchen,kitchen,entry,bedroom,bathroom,bedroom,bathroom,bedroom
7320,d05 Sat 02:00,entry,entry,entry,entry,entry,kitchen,kitchen,bedroom,entry,kitchen,entry,bedroom,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,kitchen,kitchen,entry,bedroom,bathroom,bedroom,bathroom,bedroom
7380,d05 Sat 03:00,entry,entry,entry,entry,entry,kitchen,kitchen,bedroom,entry,kitchen,entry,bedroom,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,kitchen,kitchen,entry,bedroom,bathroom,bedroom,bathroom,bedroom
7440,d05 Sat 04:00,entry,entry,entry,entry,entry,kitchen,kitchen,bedroom,entry,kitchen,entry,bedroom,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,kitchen,kitchen,entry,bedroom,bathroom,bedroom,bathroom,bedroom
7500,d05 Sat 05:00,entry,entry,entry,entry,entry,kitchen,kitchen,bedroom,entry,kitchen,entry,bedroom,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,kitchen,kitchen,entry,bedroom,bathroom,bedroom,bathroom,bedroom
7560,d05 Sat 06:00,entry,entry,entry,entry,entry,kitchen,kitchen,bedroom,entry,kitchen,entry,bedroom,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,kitchen,kitchen,entry,bedroom,bathroom,bedroom,bathroom,bedroom
7620,d05 Sat 07:00,entry,entry,entry,entry,entry,kitchen,kitchen,bedroom,entry,kitchen,entry,bedroom,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,kitchen,kitchen,entry,bedroom,bathroom,bedroom,bathroom,bedroom
7680,d05 Sat 08:00,entry,entry,entry,entry,entry,kitchen,kitchen,bedroom,entry,kitchen,entry,bedroom,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,kitchen,kitchen,entry,bedroom,bathroom,bedroom,bathroom,bedroom
7740,d05 Sat 09:00,entry,entry,entry,entry,entry,kitchen,kitchen,bedroom,entry,kitchen,entry,bedroom,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,kitchen,kitchen,entry,bedroom,bathroom,bedroom,bathroom,bedroom
7800,d05 Sat 10:00,outside,outside,outside,outside,outside,outside,outside,bedroom,outside,kitchen,entry,outside,outside,outside,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,kitchen,kitchen,outside,bedroom,bathroom,bedroom,bathroom,outside
7860,d05 Sat 11:00,entry,entry,entry,entry,entry,kitchen,kitchen,bedroom,entry,kitchen,entry,bedroom,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,kitchen,kitchen,entry,bedroom,bathroom,bedroom,bathroom,bedroom
7920,d05 Sat 12:00,entry,entry,kitchen,entry,entry,kitchen,kitchen,bedroom,entry,kitchen,entry,bedroom,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,kitchen,kitchen,entry,bedroom,bathroom,bedroom,bathroom,bedroom
7980,d05 Sat 13:00,entry,entry,kitchen,entry,entry,kitchen,kitchen,bedroom,entry,kitchen,entry,bedroom,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,kitchen,kitchen,entry,bedroom,bathroom,bedroom,bathroom,bedroom
8040,d05 Sat 14:00,entry,entry,kitchen,entry,entry,kitchen,kitchen,bedroom,entry,kitchen,entry,bedroom,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,kitchen,kitchen,entry,bedroom,bathroom,bedroom,bathroom,bedroom
8100,d05 Sat 15:00,outside,outside,outside,outside,outside,outside,outside,bedroom,outside,kitchen,entry,outside,outside,outside,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,kitchen,kitchen,outside,bedroom,bathroom,bedroom,bathroom,outside
8160,d05 Sat 16:00,outside,outside,outside,outside,outside,outside,outside,bedroom,outside,kitchen,entry,outside,outside,outside,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,kitchen,kitchen,outside,bedroom,bathroom,bedroom,bathroom,outside
8220,d05 Sat 17:00,outside,outside,outside,outside,outside,outside,outside,bedroom,outside,kitchen,entry,outside,outside,outside,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,kitchen,kitchen,outside,bedroom,bathroom,bedroom,bathroom,outside
8280,d05 Sat 18:00,outside,outside,outside,outside,outside,outside,outside,bedroom,outside,kitchen,entry,outside,outside,outside,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,kitchen,kitchen,outside,bedroom,bathroom,bedroom,bathroom,outside
8340,d05 Sat 19:00,outside,outside,outside,outside,outside,outside,outside,bedroom,outside,kitchen,entry,outside,outside,outside,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,kitchen,kitchen,outside,bedroom,bathroom,bedroom,bathroom,outside
8400,d05 Sat 20:00,outside,outside,outside,outside,outside,outside,outside,bedroom,outside,kitchen,entry,outside,outside,outside,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,kitchen,kitchen,outside,bedroom,bathroom,bedroom,bathroom,outside
8460,d05 Sat 21:00,outside,outside,outside,outside,outside,outside,outside,bedroom,outside,kitchen,entry,outside,outside,outside,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,kitchen,kitchen,outside,bedroom,bathroom,bedroom,bathroom,outside
8520,d05 Sat 22:00,outside,outside,outside,outside,outside,outside,outside,bedroom,outside,kitchen,entry,outside,outside,outside,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,kitchen,kitchen,outside,bedroom,bathroom,bedroom,bathroom,outside
8580,d05 Sat 23:00,outside,outside,outside,outside,outside,outside,outside,bedroom,outside,kitchen,entry,outside,outside,outside,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,kitchen,kitchen,outside,bedroom,bathroom,bedroom,bathroom,outside
8640,d06 Sun 00:00,outside,outside,outside,outside,outside,outside,outside,bedroom,outside,kitchen,entry,outside,outside,outside,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,kitchen,kitchen,outside,bedroom,bathroom,bedroom,bathroom,outside
8700,d06 Sun 01:00,entry,entry,entry,entry,entry,kitchen,kitchen,bedroom,entry,kitchen,entry,bedroom,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,kitchen,kitchen,entry,bedroom,bathroom,bedroom,bathroom,bedroom
8760,d06 Sun 02:00,entry,entry,entry,entry,entry,kitchen,kitchen,bedroom,entry,kitchen,entry,bedroom,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,kitchen,kitchen,entry,bedroom,bathroom,bedroom,bathroom,bedroom
8820,d06 Sun 03:00,entry,entry,entry,entry,entry,kitchen,kitchen,bedroom,entry,kitchen,entry,bedroom,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,kitchen,kitchen,entry,bedroom,bathroom,bedroom,bathroom,bedroom
8880,d06 Sun 04:00,entry,entry,entry,entry,entry,kitchen,kitchen,bedroom,entry,kitchen,entry,bedroom,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,kitchen,kitchen,entry,bedroom,bathroom,bedroom,bathroom,bedroom
8940,d06 Sun 05:00,entry,entry,entry,entry,entry,kitchen,kitchen,bedroom,entry,kitchen,entry,bedroom,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,kitchen,kitchen,entry,bedroom,bathroom,bedroom,bathroom,bedroom
9000,d06 Sun 06:00,entry,entry,entry,entry,entry,kitchen,kitchen,bedroom,entry,kitchen,entry,bedroom,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,kitchen,kitchen,entry,bedroom,bathroom,bedroom,bathroom,bedroom
9060,d06 Sun 07:00,entry,entry,entry,entry,entry,kitchen,kitchen,bedroom,entry,kitchen,entry,bedroom,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,kitchen,kitchen,entry,bedroom,bathroom,bedroom,bathroom,bedroom
9120,d06 Sun 08:00,entry,entry,entry,entry,entry,kitchen,kitchen,bedroom,entry,kitchen,entry,bedroom,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,kitchen,kitchen,entry,bedroom,bathroom,bedroom,bathroom,bedroom
9180,d06 Sun 09:00,entry,entry,entry,entry,entry,kitchen,kitchen,bedroom,entry,kitchen,entry,bedroom,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,kitchen,kitchen,entry,bedroom,bathroom,bedroom,bathroom,bedroom
9240,d06 Sun 10:00,entry,entry,entry,kitchen,entry,kitchen,kitchen,bedroom,entry,bedroom,kitchen,bedroom,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,kitchen,kitchen,entry,bedroom,bathroom,bedroom,bathroom,bedroom
9300,d06 Sun 11:00,entry,entry,entry,kitchen,entry,kitchen,kitchen,bedroom,entry,bedroom,bedroom,bedroom,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,kitchen,kitchen,entry,bedroom,bathroom,bedroom,bathroom,bedroom
9360,d06 Sun 12:00,entry,entry,entry,entry,entry,kitchen,kitchen,bedroom,entry,bedroom,bedroom,kitchen,bedroom,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,kitchen,kitchen,entry,bedroom,bathroom,bedroom,bathroom,bedroom
9420,d06 Sun 13:00,entry,entry,entry,entry,entry,kitchen,kitchen,bedroom,entry,bedroom,bedroom,kitchen,bedroom,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,kitchen,kitchen,entry,bedroom,bathroom,bedroom,bathroom,bedroom
9480,d06 Sun 14:00,entry,entry,entry,entry,entry,kitchen,kitchen,bedroom,entry,bedroom,bedroom,kitchen,bedroom,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,kitchen,kitchen,entry,bedroom,bathroom,bedroom,bathroom,bedroom
9540,d06 Sun 15:00,entry,entry,entry,entry,entry,kitchen,kitchen,bedroom,entry,bedroom,bedroom,kitchen,bedroom,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,kitchen,kitchen,entry,bedroom,bathroom,bedroom,bathroom,bedroom
9600,d06 Sun 16:00,entry,entry,entry,entry,entry,kitchen,kitchen,bedroom,entry,bedroom,bedroom,kitchen,bedroom,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,kitchen,kitchen,entry,bedroom,bathroom,bedroom,bathroom,bedroom
9660,d06 Sun 17:00,entry,entry,entry,entry,entry,kitchen,kitchen,bedroom,entry,bedroom,bedroom,kitchen,bedroom,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,kitchen,kitchen,entry,bedroom,bathroom,bedroom,bathroom,bedroom
9720,d06 Sun 18:00,entry,entry,entry,entry,entry,kitchen,kitchen,bedroom,entry,bedroom,bedroom,kitchen,bedroom,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,kitchen,kitchen,entry,bedroom,bathroom,bedroom,bathroom,bedroom
9780,d06 Sun 19:00,entry,entry,entry,entry,entry,kitchen,kitchen,bedroom,entry,bedroom,bedroom,kitchen,bedroom,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,kitchen,kitchen,entry,bedroom,bathroom,bedroom,bathroom,bedroom
9840,d06 Sun 20:00,entry,entry,entry,entry,entry,kitchen,kitchen,bedroom,entry,bedroom,bedroom,kitchen,bedroom,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,kitchen,kitchen,entry,bedroom,bathroom,bedroom,bathroom,bedroom
9900,d06 Sun 21:00,entry,entry,entry,entry,entry,kitchen,kitchen,bedroom,entry,bedroom,bedroom,kitchen,bedroom,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,kitchen,kitchen,entry,bedroom,bathroom,bedroom,bathroom,bedroom
9960,d06 Sun 22:00,entry,entry,entry,entry,entry,kitchen,kitchen,bedroom,entry,bedroom,bedroom,kitchen,bedroom,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,kitchen,kitchen,entry,bedroom,bathroom,bedroom,bathroom,bedroom
10020,d06 Sun 23:00,entry,entry,entry,entry,entry,kitchen,kitchen,bedroom,entry,bedroom,bedroom,bedroom,bedroom,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,kitchen,kitchen,entry,bedroom,bathroom,bedroom,bathroom,bedroom
10080,d07 Mon 00:00,entry,entry,entry,entry,entry,kitchen,kitchen,bedroom,entry,bedroom,bedroom,bedroom,bedroom,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,kitchen,kitchen,entry,bedroom,bathroom,bedroom,bathroom,bedroom
10140,d07 Mon 01:00,entry,entry,entry,entry,entry,kitchen,kitchen,bedroom,entry,bedroom,bedroom,bedroom,bedroom,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,kitchen,kitchen,entry,bedroom,bathroom,bedroom,bathroom,bedroom
10200,d07 Mon 02:00,entry,entry,entry,entry,entry,kitchen,kitchen,bedroom,entry,bedroom,bedroom,bedroom,bedroom,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,kitchen,kitchen,entry,bedroom,bathroom,bedroom,bathroom,bedroom
10260,d07 Mon 03:00,entry,entry,entry,entry,entry,kitchen,kitchen,bedroom,entry,bedroom,bedroom,bedroom,bedroom,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,kitchen,kitchen,entry,bedroom,bathroom,bedroom,bathroom,bedroom
10320,d07 Mon 04:00,entry,entry,entry,entry,entry,kitchen,kitchen,bedroom,entry,bedroom,bedroom,bedroom,bedroom,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,kitchen,kitchen,entry,bedroom,bathroom,bedroom,bathroom,bedroom
10380,d07 Mon 05:00,entry,entry,entry,entry,entry,kitchen,kitchen,bedroom,entry,bedroom,bedroom,bedroom,bedroom,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,kitchen,kitchen,entry,bedroom,bathroom,bedroom,bathroom,bedroom
10440,d07 Mon 06:00,entry,entry,entry,entry,entry,kitchen,kitchen,bedroom,entry,bedroom,bedroom,bedroom,bedroom,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,kitchen,kitchen,entry,bedroom,bathroom,bedroom,bathroom,bedroom
10500,d07 Mon 07:00,kitchen,entry,entry,entry,entry,kitchen,kitchen,bedroom,entry,bedroom,bedroom,kitchen,bedroom,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,kitchen,kitchen,entry,bedroom,bathroom,bedroom,bathroom,bedroom
10560,d07 Mon 08:00,outside,outside,outside,outside,outside,outside,outside,bedroom,outside,bedroom,bedroom,outside,outside,outside,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,kitchen,kitchen,outside,bedroom,bathroom,bedroom,bathroom,outside
10620,d07 Mon 09:00,outside,outside,outside,outside,outside,outside,outside,bedroom,outside,bedroom,bedroom,outside,outside,outside,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,kitchen,kitchen,outside,bedroom,bathroom,bedroom,bathroom,outside
10680,d07 Mon 10:00,outside,outside,outside,outside,outside,outside,outside,bedroom,outside,bedroom,bedroom,outside,outside,outside,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,kitchen,kitchen,outside,bedroom,bathroom,bedroom,bathroom,outside
10740,d07 Mon 11:00,outside,outside,outside,outside,outside,outside,outside,bedroom,outside,bedroom,bedroom,outside,outside,outside,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,kitchen,kitchen,outside,bedroom,bathroom,bedroom,bathroom,outside
10800,d07 Mon 12:00,outside,outside,outside,outside,outside,outside,outside,bedroom,outside,bedroom,bedroom,outside,outside,outside,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,kitchen,kitchen,outside,bedroom,bathroom,bedroom,bathroom,outside
10860,d07 Mon 13:00,outside,outside,outside,outside,outside,outside,outside,bedroom,outside,bedroom,bedroom,outside,outside,outside,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,kitchen,kitchen,kitchen,bedroom,bathroom,bedroom,bathroom,outside
10920,d07 Mon 14:00,outside,outside,outside,outside,outside,outside,outside,bedroom,outside,bedroom,bedroom,outside,outside,outside,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,kitchen,kitchen,kitchen,bedroom,bathroom,bedroom,bathroom,outside
10980,d07 Mon 15:00,outside,outside,outside,outside,outside,outside,outside,bedroom,outside,bedroom,bedroom,outside,outside,outside,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,kitchen,kitchen,kitchen,bedroom,bathroom,bedroom,bathroom,outside
11040,d07 Mon 16:00,outside,outside,outside,outside,outside,outside,outside,bedroom,outside,bedroom,bedroom,outside,outside,outside,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,kitchen,kitchen,kitchen,bedroom,bathroom,bedroom,bathroom,outside
11100,d07 Mon 17:00,outside,outside,outside,outside,outside,outside,outside,bedroom,outside,bedroom,bedroom,outside,outside,outside,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,kitchen,kitchen,kitchen,bedroom,bathroom,bedroom,bathroom,outside
11160,d07 Mon 18:00,outside,outside,outside,outside,outside,outside,outside,bedroom,outside,bedroom,bedroom,outside,outside,outside,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,kitchen,kitchen,kitchen,bedroom,bathroom,bedroom,bathroom,outside
11220,d07 Mon 19:00,entry,entry,entry,entry,entry,kitchen,kitchen,kitchen,entry,bedroom,bedroom,bedroom,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,kitchen,kitchen,entry,bedroom,bathroom,bedroom,bathroom,bedroom
11280,d07 Mon 20:00,entry,entry,entry,entry,entry,kitchen,kitchen,kitchen,entry,bedroom,bedroom,bedroom,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,kitchen,kitchen,entry,bedroom,bathroom,bedroom,bathroom,bedroom
11340,d07 Mon 21:00,entry,entry,entry,entry,entry,kitchen,kitchen,kitchen,entry,bedroom,bedroom,bedroom,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,kitchen,kitchen,entry,bedroom,bathroom,bedroom,bathroom,bedroom
11400,d07 Mon 22:00,entry,entry,entry,entry,entry,kitchen,kitchen,kitchen,entry,bedroom,bedroom,bedroom,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,kitchen,kitchen,entry,bedroom,bathroom,bedroom,bathroom,bedroom
11460,d07 Mon 23:00,entry,entry,entry,entry,entry,kitchen,kitchen,kitchen,entry,bedroom,bedroom,bedroom,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,kitchen,kitchen,entry,bedroom,bathroom,bedroom,bathroom,bedroom
11520,d08 Tue 00:00,entry,entry,entry,entry,entry,kitchen,kitchen,kitchen,entry,bedroom,bedroom,bedroom,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,kitchen,kitchen,entry,bedroom,bathroom,bedroom,bathroom,bedroom
11580,d08 Tue 01:00,entry,entry,entry,entry,entry,kitchen,kitchen,kitchen,entry,bedroom,bedroom,bedroom,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,kitchen,kitchen,entry,bedroom,bathroom,bedroom,bathroom,bedroom
11640,d08 Tue 02:00,entry,entry,entry,entry,entry,kitchen,kitchen,kitchen,entry,bedroom,bedroom,bedroom,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,kitchen,kitchen,entry,bedroom,bathroom,bedroom,bathroom,bedroom
11700,d08 Tue 03:00,entry,entry,entry,entry,entry,kitchen,kitchen,kitchen,entry,bedroom,bedroom,bedroom,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,kitchen,kitchen,entry,bedroom,bathroom,bedroom,bathroom,bedroom
