t,stamp,phone_marisol,keys_marisol,wallet_marisol,laptop_marisol,mug_marisol,water_bottle_marisol,jacket_marisol,book_marisol,glasses_marisol,medication_bottle_marisol,hairbrush_marisol,yoga_mat_marisol,phone_nia,backpack_nia,tablet_nia,notebook_nia,headphones_nia,water_bottle_nia,lunchbox_nia,blanket_nia,phone_tessa,keys_tessa,wallet_tessa,backpack_tessa,laptop_tessa,charger_tessa,water_bottle_tessa,jacket_tessa,towel_tessa,makeup_kit_tessa,remote_1,gaming_controller_1,laundry_basket_1,vacuum_cleaner_1,pot_1,pan_1,umbrella_1
9120,d06 Sun 08:00,kitchen,entry,living,kitchen,kitchen,bathroom,bedroom_1,bedroom_1,bedroom_2,bathroom,bathroom,bedroom_1,bedroom_2,kitchen,bedroom_2,kitchen,living,kitchen,kitchen,living,kitchen,bedroom_2,living,kitchen,bedroom_2,kitchen,kitchen,entry,bathroom,bedroom_2,living,living,bedroom_2,entry,kitchen,kitchen,living
9180,d06 Sun 09:00,kitchen,entry,living,bedroom_1,kitchen,bathroom,bedroom_1,bedroom_1,kitchen,bathroom,bathroom,bedroom_1,bedroom_2,kitchen,bedroom_2,kitchen,living,kitchen,kitchen,living,kitchen,bedroom_2,living,kitchen,kitchen,kitchen,kitchen,entry,bathroom,bedroom_2,living,living,bedroom_2,entry,kitchen,kitchen,living
9240,d06 Sun 10:00,kitchen,entry,living,bedroom_1,kitchen,bathroom,bedroom_1,bedroom_1,bedroom_1,bathroom,bathroom,bedroom_1,bedroom_2,kitchen,bedroom_2,bedroom_2,living,kitchen,kitchen,living,kitchen,bedroom_2,living,kitchen,kitchen,bedroom_2,kitchen,entry,bedroom_2,bedroom_2,living,living,bedroom_2,entry,kitchen,kitchen,living
9300,d06 Sun 11:00,kitchen,entry,living,bedroom_1,kitchen,bathroom,bedroom_1,bedroom_1,bedroom_1,bathroom,bathroom,bedroom_1,bedroom_2,kitchen,bedroom_2,bedroom_2,living,kitchen,kitchen,living,kitchen,bedroom_2,living,kitchen,kitchen,bedroom_2,kitchen,entry,bedroom_2,bathroom,living,living,bedroom_2,entry,kitchen,kitchen,living
9360,d06 Sun 12:00,kitchen,entry,living,bedroom_1,kitchen,bathroom,bedroom_1,bedroom_1,bedroom_1,bathroom,bathroom,bedroom_1,bedroom_2,kitchen,bedroom_2,kitchen,living,kitchen,kitchen,living,kitchen,bedroom_2,living,kitchen,kitchen,bedroom_2,kitchen,entry,bedroom_2,bathroom,living,living,bedroom_2,entry,kitchen,kitchen,living
9420,d06 Sun 13:00,outside,outside,outside,bedroom_1,kitchen,bathroom,bedroom_1,bedroom_1,bedroom_1,bathroom,bathroom,bedroom_1,outside,kitchen,outside,kitchen,living,kitchen,kitchen,living,kitchen,bedroom_2,living,kitchen,kitchen,bedroom_2,kitchen,entry,bedroom_2,bathroom,living,living,bedroom_2,entry,kitchen,kitchen,outside
9480,d06 Sun 14:00,outside,outside,outside,bedroom_1,kitchen,bathroom,bedroom_1,bedroom_1,bedroom_1,bathroom,bathroom,bedroom_1,bedroom_2,kitchen,bedroom_2,kitchen,living,kitchen,kitchen,living,kitchen,outside,outside,kitchen,kitchen,bedroom_2,kitchen,entry,bedroom_2,bathroom,living,living,bedroom_2,entry,kitchen,kitchen,outside
9540,d06 Sun 15:00,outside,outside,outside,bedroom_1,kitchen,bathroom,bedroom_1,bedroom_1,bedroom_1,bathroom,bathroom,bedroom_1,bedroom_2,kitchen,bedroom_2,kitchen,living,kitchen,kitchen,living,kitchen,living,bedroom_2,kitchen,kitchen,kitchen,kitchen,entry,bedroom_2,bathroom,living,living,bedroom_2,entry,kitchen,kitchen,entry
9600,d06 Sun 16:00,outside,outside,outside,bedroom_1,kitchen,bathroom,bedroom_1,bedroom_1,bedroom_1,bathroom,bathroom,bedroom_1,bedroom_2,kitchen,bedroom_2,kitchen,living,kitchen,kitchen,living,kitchen,living,bedroom_2,kitchen,kitchen,kitchen,kitchen,entry,bedroom_2,bathroom,living,living,bedroom_2,entry,kitchen,kitchen,entry
9660,d06 Sun 17:00,entry,entry,kitchen,bedroom_1,kitchen,bathroom,bedroom_1,bedroom_1,bedroom_1,bathroom,bathroom,bedroom_1,bedroom_2,kitchen,bedroom_2,kitchen,living,kitchen,kitchen,living,kitchen,living,bedroom_2,kitchen,kitchen,kitchen,kitchen,entry,bedroom_2,bathroom,living,living,bedroom_2,entry,kitchen,kitchen,entry
9720,d06 Sun 18:00,entry,entry,kitchen,bedroom_1,kitchen,bathroom,bedroom_1,bedroom_1,bedroom_1,bathroom,bathroom,bedroom_1,bedroom_2,kitchen,bedroom_2,kitchen,living,kitchen,kitchen,living,kitchen,living,bedroom_2,kitchen,bedroom_2,kitchen,kitchen,entry,bedroom_2,bathroom,living,living,bedroom_2,entry,kitchen,kitchen,entry
9780,d06 Sun 19:00,entry,entry,kitchen,bedroom_1,kitchen,bathroom,bedroom_1,bedroom_1,bedroom_1,bathroom,bathroom,bedroom_1,bedroom_2,kitchen,bedroom_2,kitchen,living,kitchen,kitchen,living,kitchen,living,bedroom_2,kitchen,bedroom_2,kitchen,kitchen,entry,bedroom_2,bathroom,living,living,bedroom_2,entry,kitchen,kitchen,entry
9840,d06 Sun 20:00,entry,entry,kitchen,bedroom_1,kitchen,bathroom,bedroom_1,bedroom_1,bedroom_1,bathroom,kitchen,bedroom_1,bedroom_2,kitchen,bedroom_2,kitchen,living,bathroom,kitchen,living,kitchen,living,bedroom_2,kitchen,bedroom_2,kitchen,kitchen,entry,bathroom,bathroom,living,living,bathroom,entry,kitchen,kitchen,entry
9900,d06 Sun 21:00,bedroom_1,entry,kitchen,bedroom_1,kitchen,bathroom,bedroom_1,bedroom_1,bedroom_1,bathroom,bathroom,bedroom_1,bedroom_2,kitchen,bedroom_2,kitchen,bedroom_2,bathroom,kitchen,living,kitchen,living,bedroom_2,kitchen,bedroom_2,kitchen,kitchen,entry,bathroom,bathroom,living,living,bathroom,entry,kitchen,kitchen,entry
9960,d06 Sun 22:00,bedroom_1,entry,kitchen,bedroom_1,kitchen,bathroom,bedroom_1,bedroom_1,bedroom_1,bathroom,bathroom,bedroom_1,bedroom_2,kitchen,bedroom_2,kitchen,bedroom_2,bathroom,kitchen,living,kitchen,living,bedroom_2,kitchen,bedroom_2,kitchen,kitchen,entry,bathroom,bathroom,living,living,bathroom,entry,kitchen,kitchen,entry
10020,d06 Sun 23:00,bedroom_1,entry,kitchen,bedroom_1,kitchen,bathroom,bedroom_1,bedroom_1,bedroom_1,bathroom,bathroom,bedroom_1,bedroom_2,kitchen,bedroom_2,kitchen,bedroom_2,bathroom,kitchen,living,kitchen,living,bedroom_2,kitchen,bedroom_2,kitchen,kitchen,entry,bathroom,bathroom,living,living,bathroom,entry,kitchen,kitchen,entry
10080,d07 Mon 00:00,bedroom_1,entry,kitchen,bedroom_1,kitchen,bathroom,bedroom_1,bedroom_1,bedroom_1,bathroom,bathroom,bedroom_1,bedroom_2,kitchen,bedroom_2,kitchen,bedroom_2,bathroom,kitchen,living,kitchen,living,bedroom_2,kitchen,bedroom_2,kitchen,kitchen,entry,bathroom,bathroom,living,living,bathroom,entry,kitchen,kitchen,entry
10140,d07 Mon 01:00,bedroom_1,entry,kitchen,bedroom_1,kitchen,bathroom,bedroom_1,bedroom_1,bedroom_1,bathroom,bathroom,bedroom_1,bedroom_2,kitchen,bedroom_2,kitchen,bedroom_2,bathroom,kitchen,living,kitchen,living,bedroom_2,kitchen,bedroom_2,kitchen,kitchen,entry,bathroom,bathroom,living,living,bathroom,entry,kitchen,kitchen,entry
10200,d07 Mon 02:00,bedroom_1,entry,kitchen,bedroom_1,kitchen,bathroom,bedroom_1,bedroom_1,bedroom_1,bathroom,bathroom,bedroom_1,bedroom_2,kitchen,bedroom_2,kitchen,bedroom_2,bathroom,kitchen,living,kitchen,living,bedroom_2,kitchen,bedroom_2,kitchen,kitchen,entry,bathroom,bathroom,living,living,bathroom,entry,kitchen,kitchen,entry
10260,d07 Mon 03:00,bedroom_1,entry,kitchen,bedroom_1,kitchen,bathroom,bedroom_1,bedroom_1,bedroom_1,bathroom,bathroom,bedroom_1,bedroom_2,kitchen,bedroom_2,kitchen,bedroom_2,bathroom,kitchen,living,kitchen,living,bedroom_2,kitchen,bedroom_2,kitchen,kitchen,entry,bathroom,bathroom,living,living,bathroom,entry,kitchen,kitchen,entry
10320,d07 Mon 04:00,bedroom_1,entry,kitchen,bedroom_1,kitchen,bathroom,bedroom_1,bedroom_1,bedroom_1,bathroom,bathroom,bedroom_1,bedroom_2,kitchen,bedroom_2,kitchen,bedroom_2,bathroom,kitchen,living,kitchen,living,bedroom_2,kitchen,bedroom_2,kitchen,kitchen,entry,bathroom,bathroom,living,living,bathroom,entry,kitchen,kitchen,entry
10380,d07 Mon 05:00,bedroom_1,entry,kitchen,bedroom_1,kitchen,bathroom,bedroom_1,bedroom_1,bedroom_1,bathroom,bathroom,bedroom_1,bedroom_2,kitchen,bedroom_2,kitchen,bedroom_2,bathroom,kitchen,living,kitchen,living,bedroom_2,kitchen,bedroom_2,kitchen,kitchen,entry,bathroom,bathroom,living,living,bathroom,entry,kitchen,kitchen,entry
10440,d07 Mon 06:00,bedroom_1,entry,kitchen,bedroom_1,kitchen,bathroom,bedroom_1,bedroom_1,bedroom_1,bathroom,bathroom,bedroom_1,bedroom_2,kitchen,bedroom_2,kitchen,bedroom_2,bathroom,kitchen,living,kitchen,living,bedroom_2,kitchen,bedroom_2,kitchen,kitchen,entry,bedroom_1,bathroom,living,living,bathroom,entry,kitchen,kitchen,entry
10500,d07 Mon 07:00,outside,outside,outside,bedroom_1,kitchen,outside,outside,bedroom_1,outside,bathroom,bathroom,bedroom_1,bedroom_2,kitchen,bedroom_2,kitchen,bedroom_2,bathroom,kitchen,living,kitchen,living,bedroom_2,kitchen,bedroom_2,kitchen,kitchen,entry,bedroom_1,bathroom,living,living,bathroom,entry,kitchen,kitchen,entry
10560,d07 Mon 08:00,outside,outside,outside,bedroom_1,kitchen,outside,outside,bedroom_1,outside,bathroom,bathroom,bedroom_1,bedroom_2,kitchen,bedroom_2,kitchen,bedroom_2,bathroom,kitchen,living,outside,outside,outside,outside,bedroom_2,kitchen,outside,outside,bedroom_1,bathroom,living,living,bathroom,entry,kitchen,kitchen,entry
10620,d07 Mon 09:00,outside,outside,outside,bedroom_1,kitchen,outside,outside,bedroom_1,outside,bathroom,bathroom,bedroom_1,bedroom_2,kitchen,bedroom_2,kitchen,bedroom_2,bathroom,kitchen,living,outside,outside,outside,outside,bedroom_2,kitchen,outside,outside,bedroom_1,bathroom,living,living,bathroom,entry,kitchen,kitchen,entry
10680,d07 Mon 10:00,outside,outside,outside,bedroom_1,kitchen,outside,outside,bedroom_1,outside,bathroom,bathroom,bedroom_1,outside,outside,bedroom_2,kitchen,bedroom_2,outside,outside,living,outside,outside,outside,outside,bedroom_2,kitchen,outside,outside,bedroom_1,bathroom,living,living,bathroom,entry,kitchen,kitchen,entry
10740,d07 Mon 11:00,outside,outside,outside,bedroom_1,kitchen,outside,outside,bedroom_1,outside,bathroom,bathroom,bedroom_1,outside,outside,bedroom_2,kitchen,bedroom_2,outside,outside,living,outside,outside,outside,outside,bedroom_2,kitchen,outside,outside,bedroom_1,bathroom,living,living,bathroom,entry,kitchen,kitchen,entry
10800,d07 Mon 12:00,outside,outside,outside,bedroom_1,kitchen,outside,outside,bedroom_1,outside,bathroom,bathroom,bedroom_1,outside,outside,bedroom_2,kitchen,bedroom_2,outside,outside,living,outside,outside,outside,outside,bedroom_2,kitchen,outside,outside,bedroom_1,bathroom,living,living,bathroom,entry,kitchen,kitchen,entry
10860,d07 Mon 13:00,outside,outside,outside,bedroom_1,kitchen,outside,outside,bedroom_1,outside,bathroom,bathroom,bedroom_1,outside,outside,bedroom_2,kitchen,bedroom_2,outside,outside,living,outside,outside,outside,outside,bedroom_2,kitchen,outside,outside,bedroom_1,bathroom,living,living,bathroom,entry,kitchen,kitchen,entry
10920,d07 Mon 14:00,outside,outside,outside,bedroom_1,kitchen,outside,outside,bedroom_1,outside,bathroom,bathroom,bedroom_1,outside,outside,bedroom_2,kitchen,bedroom_2,outside,outside,living,outside,outside,outside,outside,bedroom_2,kitchen,outside,outside,bedroom_1,bathroom,living,living,bathroom,entry,kitchen,kitchen,entry
10980,d07 Mon 15:00,outside,outside,outside,bedroom_1,kitchen,outside,outside,bedroom_1,outside,bathroom,bathroom,bedroom_1,outside,outside,bedroom_2,kitchen,bedroom_2,outside,outside,living,outside,outside,outside,outside,bedroom_2,kitchen,outside,outside,bedroom_1,bathroom,living,living,bathroom,entry,kitchen,kitchen,entry
11040,d07 Mon 16:00,bedroom_1,entry,bedroom_1,bedroom_1,kitchen,kitchen,kitchen,bedroom_1,bedroom_1,bathroom,bathroom,bedroom_1,living,kitchen,bedroom_2,kitchen,bedroom_2,kitchen,kitchen,living,kitchen,bedroom_2,bedroom_2,kitchen,kitchen,kitchen,kitchen,entry,bedroom_1,bathroom,living,living,bathroom,entry,kitchen,kitchen,entry
11100,d07 Mon 17:00,bedroom_1,entry,bedroom_1,bedroom_1,kitchen,kitchen,kitchen,bedroom_1,bedroom_1,bathroom,bathroom,bedroom_1,living,kitchen,bedroom_2,kitchen,bedroom_2,kitchen,kitchen,living,kitchen,bedroom_2,bedroom_2,kitchen,kitchen,kitchen,kitchen,entry,bedroom_1,bathroom,living,living,bathroom,entry,kitchen,kitchen,entry
11160,d07 Mon 18:00,bedroom_1,entry,bedroom_1,bedroom_1,kitchen,kitchen,kitchen,bedroom_2,bedroom_1,bathroom,bathroom,bedroom_1,living,kitchen,bedroom_2,bedroom_2,bedroom_2,kitchen,kitchen,living,kitchen,bedroom_2,bedroom_2,kitchen,bedroom_2,bedroom_2,kitchen,entry,bedroom_1,bathroom,living,living,bathroom,entry,kitchen,kitchen,entry
11220,d07 Mon 19:00,bedroom_1,entry,bedroom_1,bedroom_1,kitchen,kitchen,kitchen,bedroom_2,bedroom_1,bathroom,bathroom,bedroom_1,living,kitchen,bedroom_2,bedroom_2,bedroom_2,kitchen,kitchen,living,kitchen,bedroom_2,bedroom_2,kitchen,bedroom_2,bedroom_2,kitchen,entry,bedroom_1,bathroom,living,living,bathroom,entry,kitchen,kitchen,entry
11280,d07 Mon 20:00,bedroom_1,entry,bedroom_1,bedroom_1,kitchen,kitchen,kitchen,bedroom_2,bedroom_1,bathroom,bathroom,bedroom_1,living,kitchen,bedroom_2,bedroom_2,bedroom_2,kitchen,kitchen,living,kitchen,bedroom_2,bedroom_2,kitchen,bedroom_2,bedroom_2,kitchen,entry,bedroom_1,bathroom,living,living,bathroom,entry,kitchen,kitchen,entry
11340,d07 Mon 21:00,bedroom_1,entry,bedroom_1,bedroom_1,kitchen,kitchen,kitchen,bedroom_2,bedroom_1,bathroom,kitchen,bedroom_1,living,kitchen,bedroom_2,bedroom_2,bedroom_2,bathroom,kitchen,living,kitchen,bedroom_2,bedroom_2,kitchen,bedroom_2,bedroom_2,kitchen,entry,bathroom,bathroom,living,living,bathroom,entry,kitchen,kitchen,entry
11400,d07 Mon 22:00,bedroom_1,entry,bedroom_1,bedroom_1,kitchen,kitchen,kitchen,bedroom_2,bedroom_1,bathroom,kitchen,bedroom_1,living,kitchen,bedroom_2,bedroom_2,bedroom_2,kitchen,kitchen,living,kitchen,bedroom_2,bedroom_2,kitchen,bedroom_2,bedroom_2,kitchen,entry,bathroom,bathroom,living,living,bathroom,entry,kitchen,kitchen,entry
11460,d07 Mon 23:00,bedroom_1,entry,bedroom_1,bedroom_1,kitchen,kitchen,kitchen,bedroom_2,bedroom_1,bathroom,kitchen,bedroom_1,living,kitchen,bedroom_2,bedroom_2,bedroom_2,kitchen,kitchen,living,kitchen,bedroom_2,bedroom_2,kitchen,bedroom_2,bedroom_2,kitchen,entry,bathroom,bathroom,living,living,bathroom,entry,kitchen,kitchen,entry
11520,d08 Tue 00:00,bedroom_1,entry,bedroom_1,bedroom_1,kitchen,kitchen,kitchen,bedroom_2,bedroom_1,bathroom,kitchen,bedroom_1,living,kitchen,bedroom_2,bedroom_2,bedroom_2,kitchen,kitchen,living,kitchen,bedroom_2,bedroom_2,kitchen,bedroom_2,bedroom_2,kitchen,entry,bathroom,bathroom,living,living,bathroom,entry,kitchen,kitchen,entry
11580,d08 Tue 01:00,bedroom_1,entry,bedroom_1,bedroom_1,kitchen,kitchen,kitchen,bedroom_2,bedroom_1,bathroom,kitchen,bedroom_1,living,kitchen,bedroom_2,bedroom_2,bedroom_2,kitchen,kitchen,living,kitchen,bedroom_2,bedroom_2,kitchen,bedroom_2,bedroom_2,kitchen,entry,bathroom,bathroom,living,living,bathroom,entry,kitchen,kitchen,entry
11640,d08 Tue 02:00,bedroom_1,entry,bedroom_1,bedroom_1,kitchen,kitchen,kitchen,bedroom_2,bedroom_1,bathroom,kitchen,bedroom_1,living,kitchen,bedroom_2,bedroom_2,bedroom_2,kitchen,kitchen,living,kitchen,bedroom_2,bedroom_2,kitchen,bedroom_2,bedroom_2,kitchen,entry,bathroom,bathroom,living,living,bathroom,entry,kitchen,kitchen,entry
11700,d08 Tue 03:00,bedroom_1,entry,bedroom_1,bedroom_1,kitchen,kitchen,kitchen,bedroom_2,bedroom_1,bathroom,kitchen,bedroom_1,living,kitchen,bedroom_2,bedroom_2,bedroom_2,kitchen,kitchen,living,kitchen,bedroom_2,bedroom_2,kitchen,bedroom_2,bedroom_2,kitchen,entry,bathroom,bathroom,living,living,bathroom,entry,kitchen,kitchen,entry
11760,d08 Tue 04:00,bedroom_1,entry,bedroom_1,bedroom_1,kitchen,kitchen,kitchen,bedroom_2,bedroom_1,bathroom,kitchen,bedroom_1,living,kitchen,bedroom_2,bedroom_2,bedroom_2,kitchen,kitchen,living,kitchen,bedroom_2,bedroom_2,kitchen,bedroom_2,bedroom_2,kitchen,entry,bathroom,bathroom,living,living,bathroom,entry,kitchen,kitchen,entry
11820,d08 Tue 05:00,bedroom_1,entry,bedroom_1,bedroom_1,kitchen,kitchen,kitchen,bedroom_2,bedroom_1,bathroom,kitchen,bedroom_1,living,kitchen,bedroom_2,bedroom_2,bedroom_2,kitchen,kitchen,living,kitchen,bedroom_2,bedroom_2,kitchen,bedroom_2,bedroom_2,kitchen,entry,bathroom,bathroom,living,living,bathroom,entry,kitchen,kitchen,entry
11880,d08 Tue 06:00,bedroom_1,entry,bedroom_1,bedroom_1,kitchen,bathroom,kitchen,bedroom_2,bedroom_1,bathroom,bathroom,bedroom_1,living,kitchen,bedroom_2,bedroom_2,bedroom_2,kitchen,kitchen,living,kitchen,bedroom_2,bedroom_2,kitchen,bedroom_2,bedroom_2,kitchen,entry,bathroom,bathroom,living,living,bathroom,entry,kitchen,kitchen,entry
11940,d08 Tue 07:00,outside,outside,outside,bedroom_1,kitchen,outside,outside,bedroom_2,outside,bathroom,bathroom,bedroom_1,living,kitchen,bedroom_2,bedroom_2,bedroom_2,bathroom,kitchen,living,kitchen,bedroom_2,bedroom_2,kitchen,bedroom_2,bedroom_2,kitchen,entry,bathroom,bedroom_2,living,living,bathroom,entry,kitchen,kitchen,entry
12000,d08 Tue 08:00,outside,outside,outside,bedroom_1,kitchen,outside,outside,bedroom_2,outside,bathroom,bathroom,bedroom_1,living,kitchen,bedroom_2,bedroom_2,bedroom_2,bathroom,kitchen,living,outside,outside,outside,outside,bedroom_2,bedroom_2,outside,outside,bathroom,bedroom_2,living,living,bathroom,entry,kitchen,kitchen,entry
12060,d08 Tue 09:00,outside,outside,outside,bedroom_1,kitchen,outside,outside,bedroom_2,outside,bathroom,bathroom,bedroom_1,living,kitchen,bedroom_2,bedroom_2,bedroom_2,bathroom,kitchen,living,outside,outside,outside,outside,bedroom_2,bedroom_2,outside,outside,bathroom,bedroom_2,living,living,bathroom,entry,kitchen,kitchen,entry
12120,d08 Tue 10:00,outside,outside,outside,bedroom_1,kitchen,outside,outside,bedroom_2,outside,bathroom,bathroom,bedroom_1,outside,outside,bedroom_2,bedroom_2,bedroom_2,outside,outside,living,outside,outside,outside,outside,bedroom_2,bedroom_2,outside,outside,bathroom,bedroom_2,living,living,bathroom,entry,kitchen,kitchen,entry
12180,d08 Tue 11:00,outside,outside,outside,bedroom_1,kitchen,outside,outside,bedroom_2,outside,bathroom,bathroom,bedroom_1,outside,outside,bedroom_2,bedroom_2,bedroom_2,outside,outside,living,outside,outside,outside,outside,bedroom_2,bedroom_2,outside,outside,bathroom,bedroom_2,living,living,bathroom,entry,kitchen,kitchen,entry
12240,d08 Tue 12:00,outside,outside,outside,bedroom_1,kitchen,outside,outside,bedroom_2,outside,bathroom,bathroom,bedroom_1,outside,outside,bedroom_2,bedroom_2,bedroom_2,outside,outside,living,outside,outside,outside,outside,bedroom_2,bedroom_2,outside,outside,bathroom,bedroom_2,living,living,bathroom,entry,kitchen,kitchen,entry
12300,d08 Tue 13:00,outside,outside,outside,bedroom_1,kitchen,outside,outside,bedroom_2,outside,bathroom,bathroom,bedroom_1,outside,outside,bedroom_2,bedroom_2,bedroom_2,outside,outside,living,outside,outside,outside,outside,bedroom_2,bedroom_2,outside,outside,bathroom,bedroom_2,living,living,bathroom,entry,kitchen,kitchen,entry
12360,d08 Tue 14:00,outside,outside,outside,bedroom_1,kitchen,outside,outside,bedroom_2,outside,bathroom,bathroom,bedroom_1,outside,outside,bedroom_2,bedroom_2,bedroom_2,outside,outside,living,outside,outside,outside,outside,bedroom_2,bedroom_2,outside,outside,bathroom,bedroom_2,living,living,bathroom,entry,kitchen,kitchen,entry
12420,d08 Tue 15:00,outside,outside,outside,bedroom_1,kitchen,outside,outside,bedroom_2,outside,bathroom,bathroom,bedroom_1,outside,outside,bedroom_2,bedroom_2,bedroom_2,outside,outside,living,outside,outside,outside,outside,bedroom_2,bedroom_2,outside,outside,bathroom,bedroom_2,living,living,bathroom,entry,kitchen,kitchen,entry
12480,d08 Tue 16:00,entry,entry,kitchen,bedroom_1,kitchen,kitchen,bedroom_1,bedroom_2,bedroom_1,bathroom,bathroom,bedroom_1,bedroom_2,kitchen,bedroom_2,bedroom_2,bedroom_2,kitchen,kitchen,living,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,entry,bathroom,bedroom_2,living,living,bathroom,entry,kitchen,kitchen,entry
12540,d08 Tue 17:00,entry,entry,kitchen,bedroom_1,kitchen,kitchen,bedroom_1,bedroom_2,bedroom_1,bathroom,bathroom,bedroom_1,bedroom_2,kitchen,bedroom_2,bedroom_2,bedroom_2,kitchen,kitchen,living,kitchen,kitchen,kitchen,kitchen,bedroom_2,bedroom_2,kitchen,entry,bathroom,bedroom_2,living,living,bathroom,entry,kitchen,kitchen,entry
12600,d08 Tue 18:00,entry,entry,kitchen,bedroom_1,kitchen,kitchen,bedroom_1,bedroom_2,bedroom_1,bathroom,bathroom,bedroom_1,bedroom_2,kitchen,living,bedroom_2,bedroom_2,kitchen,kitchen,living,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,entry,bathroom,bedroom_2,living,living,bathroom,entry,kitchen,kitchen,entry
12660,d08 Tue 19:00,entry,entry,kitchen,bedroom_1,kitchen,kitchen,bedroom_1,bedroom_2,bedroom_1,bathroom,bathroom,bedroom_1,bedroom_2,kitchen,kitchen,bedroom_2,bedroom_2,kitchen,kitchen,living,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,entry,bathroom,bedroom_2,living,living,bathroom,entry,kitchen,kitchen,entry
12720,d08 Tue 20:00,entry,entry,kitchen,bedroom_1,kitchen,kitchen,bedroom_1,bedroom_2,bedroom_1,bathroom,bathroom,bedroom_1,bedroom_2,kitchen,kitchen,bedroom_2,bedroom_2,kitchen,kitchen,living,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,entry,bathroom,bedroom_2,living,living,bathroom,entry,kitchen,kitchen,entry
12780,d08 Tue 21:00,entry,entry,kitchen,bedroom_1,kitchen,kitchen,bedroom_1,bedroom_1,bedroom_1,bathroom,bathroom,bedroom_1,bedroom_2,kitchen,kitchen,bedroom_2,bedroom_2,bathroom,kitchen,living,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,entry,bathroom,bedroom_2,living,living,bathroom,entry,kitchen,kitchen,entry
12840,d08 Tue 22:00,entry,entry,kitchen,bedroom_1,kitchen,kitchen,bedroom_1,bedroom_1,bedroom_1,bathroom,bathroom,bedroom_1,bedroom_2,kitchen,kitchen,bedroom_2,bedroom_2,bathroom,kitchen,living,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,entry,bathroom,bedroom_2,living,living,bathroom,entry,kitchen,kitchen,entry
12900,d08 Tue 23:00,entry,entry,kitchen,bedroom_1,kitchen,kitchen,bedroom_1,bedroom_1,bedroom_1,bathroom,bathroom,bedroom_1,bedroom_2,kitchen,kitchen,bedroom_2,bedroom_2,bathroom,kitchen,living,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,entry,bathroom,bedroom_2,living,living,bathroom,entry,kitchen,kitchen,entry
12960,d09 Wed 00:00,entry,entry,kitchen,bedroom_1,kitchen,kitchen,bedroom_1,bedroom_1,bedroom_1,bathroom,bathroom,bedroom_1,bedroom_2,kitchen,kitchen,bedroom_2,bedroom_2,bathroom,kitchen,living,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,entry,bathroom,bedroom_2,living,living,bathroom,entry,kitchen,kitchen,entry
13020,d09 Wed 01:00,entry,entry,kitchen,bedroom_1,kitchen,kitchen,bedroom_1,bedroom_1,bedroom_1,bathroom,bathroom,bedroom_1,bedroom_2,kitchen,kitchen,bedroom_2,bedroom_2,bathroom,kitchen,living,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,entry,bathroom,bedroom_2,living,living,bathroom,entry,kitchen,kitchen,entry
13080,d09 Wed 02:00,entry,entry,kitchen,bedroom_1,kitchen,kitchen,bedroom_1,bedroom_1,bedroom_1,bathroom,bathroom,bedroom_1,bedroom_2,kitchen,kitchen,bedroom_2,bedroom_2,bathroom,kitchen,living,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,entry,bathroom,bedroom_2,living,living,bathroom,entry,kitchen,kitchen,entry
13140,d09 Wed 03:00,entry,entry,kitchen,bedroom_1,kitchen,kitchen,bedroom_1,bedroom_1,bedroom_1,bathroom,bathroom,bedroom_1,bedroom_2,kitchen,kitchen,bedroom_2,bedroom_2,bathroom,kitchen,living,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,entry,bathroom,bedroom_2,living,living,bathroom,entry,kitchen,kitchen,entry
13200,d09 Wed 04:00,entry,entry,kitchen,bedroom_1,kitchen,kitchen,bedroom_1,bedroom_1,bedroom_1,bathroom,bathroom,bedroom_1,bedroom_2,kitchen,kitchen,bedroom_2,bedroom_2,bathroom,kitchen,living,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,entry,bathroom,bedroom_2,living,living,bathroom,entry,kitchen,kitchen,entry
13260,d09 Wed 05:00,entry,entry,kitchen,bedroom_1,kitchen,kitchen,bedroom_1,bedroom_1,bedroom_1,bathroom,bathroom,bedroom_1,bedroom_2,kitchen,kitchen,bedroom_2,bedroom_2,bathroom,kitchen,living,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,entry,bathroom,bedroom_2,living,living,bathroom,entry,kitchen,kitchen,entry
13320,d09 Wed 06:00,bedroom_1,entry,kitchen,bedroom_1,kitchen,kitchen,bedroom_1,bedroom_1,bedroom_1,bathroom,bathroom,bedroom_1,bedroom_2,kitchen,kitchen,bedroom_2,bedroom_2,bathroom,kitchen,living,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,entry,bathroom,bedroom_2,living,living,bathroom,entry,kitchen,kitchen,entry
