t,stamp,mug_marian,mug_theo,bowl_shared_1,plate_shared_1,laptop_marian,phone_marian,phone_theo,tablet_theo,keys_marian,keys_theo,wallet_marian,wallet_theo,book_marian,book_theo,water_bottle_marian,water_bottle_theo,remote_shared_1,charger_marian,charger_theo,backpack_marian,backpack_theo,jacket_marian,jacket_theo,glasses_marian,glasses_theo,notebook_marian,notebook_theo,pen_marian,medication_bottle_marian,medication_bottle_theo,blanket_marian,blanket_theo,towel_shared_1,umbrella_shared_1,laundry_basket_shared_1,vacuum_cleaner_shared_1,pot_shared_1,pan_shared_1,watering_can_marian,yoga_mat_theo
9300,d06 Sun 11:00,living,kitchen,kitchen,kitchen,outside,outside,kitchen,living,outside,kitchen,outside,entry,outside,living,outside,entry,living,kitchen,living,outside,entry,outside,entry,bedroom_1,living,kitchen,kitchen,outside,kitchen,bedroom_2,living,kitchen,bathroom,entry,bedroom_2,entry,kitchen,kitchen,entry,living
9360,d06 Sun 12:00,living,kitchen,kitchen,kitchen,outside,outside,kitchen,living,outside,kitchen,outside,entry,outside,living,outside,entry,living,kitchen,living,outside,entry,outside,entry,bedroom_1,living,kitchen,kitchen,outside,kitchen,bedroom_2,living,kitchen,bathroom,entry,bedroom_2,entry,kitchen,kitchen,entry,living
9420,d06 Sun 13:00,living,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,entry,entry,entry,entry,living,kitchen,kitchen,kitchen,living,kitchen,living,kitchen,kitchen,entry,entry,bedroom_1,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom_2,living,living,bathroom,entry,bedroom_2,entry,kitchen,kitchen,entry,living
9480,d06 Sun 14:00,living,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,entry,entry,entry,entry,living,kitchen,kitchen,kitchen,living,kitchen,living,kitchen,kitchen,entry,entry,bedroom_1,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom_2,living,living,bathroom,entry,bedroom_2,entry,kitchen,kitchen,entry,living
9540,d06 Sun 15:00,living,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,entry,entry,entry,entry,living,kitchen,kitchen,kitchen,living,kitchen,living,kitchen,kitchen,entry,entry,bedroom_1,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom_2,living,living,bathroom,entry,bedroom_2,entry,kitchen,kitchen,entry,living
9600,d06 Sun 16:00,living,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,entry,entry,entry,entry,living,kitchen,kitchen,kitchen,living,kitchen,living,kitchen,kitchen,entry,entry,bedroom_1,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom_2,living,living,bathroom,entry,bedroom_2,entry,kitchen,kitchen,kitchen,living
9660,d06 Sun 17:00,living,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,entry,entry,entry,entry,kitchen,kitchen,entry,kitchen,living,kitchen,living,kitchen,kitchen,entry,entry,bedroom_1,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom_2,living,living,bathroom,entry,bedroom_2,entry,kitchen,kitchen,kitchen,living
9720,d06 Sun 18:00,living,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,entry,entry,entry,entry,kitchen,kitchen,entry,kitchen,living,kitchen,living,kitchen,kitchen,entry,entry,bedroom_1,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom_2,living,living,bathroom,entry,bedroom_2,entry,kitchen,kitchen,kitchen,living
9780,d06 Sun 19:00,living,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,entry,entry,entry,entry,kitchen,kitchen,entry,kitchen,living,kitchen,living,kitchen,kitchen,entry,entry,bedroom_1,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom_2,living,living,bathroom,entry,bedroom_2,entry,kitchen,kitchen,kitchen,living
9840,d06 Sun 20:00,living,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,entry,entry,entry,entry,kitchen,kitchen,entry,kitchen,living,kitchen,living,kitchen,kitchen,entry,entry,bedroom_1,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom_2,living,living,bathroom,entry,bedroom_2,entry,kitchen,kitchen,kitchen,living
9900,d06 Sun 21:00,living,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,entry,entry,entry,entry,kitchen,kitchen,entry,kitchen,living,kitchen,living,kitchen,kitchen,entry,entry,bathroom,kitchen,kitchen,kitchen,kitchen,kitchen,bathroom,living,living,bathroom,entry,bedroom_2,entry,kitchen,kitchen,kitchen,living
9960,d06 Sun 22:00,living,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,entry,entry,entry,entry,kitchen,kitchen,entry,kitchen,living,kitchen,living,kitchen,kitchen,entry,entry,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bathroom,living,living,bathroom,entry,bedroom_2,entry,kitchen,kitchen,kitchen,living
10020,d06 Sun 23:00,living,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,entry,entry,entry,entry,kitchen,kitchen,entry,kitchen,living,kitchen,living,kitchen,kitchen,entry,entry,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bathroom,living,living,bathroom,entry,bedroom_2,entry,kitchen,kitchen,kitchen,living
10080,d07 Mon 00:00,living,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,entry,entry,entry,entry,kitchen,kitchen,entry,kitchen,living,kitchen,living,kitchen,kitchen,entry,entry,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bathroom,living,living,bathroom,entry,bedroom_2,entry,kitchen,kitchen,kitchen,living
10140,d07 Mon 01:00,living,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,entry,entry,entry,entry,kitchen,kitchen,entry,kitchen,living,kitchen,living,kitchen,kitchen,entry,entry,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bathroom,living,living,bathroom,entry,bedroom_2,entry,kitchen,kitchen,kitchen,living
10200,d07 Mon 02:00,living,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,entry,entry,entry,entry,kitchen,kitchen,entry,kitchen,living,kitchen,living,kitchen,kitchen,entry,entry,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bathroom,living,living,bathroom,entry,bedroom_2,entry,kitchen,kitchen,kitchen,living
10260,d07 Mon 03:00,living,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,entry,entry,entry,entry,kitchen,kitchen,entry,kitchen,living,kitchen,living,kitchen,kitchen,entry,entry,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bathroom,living,living,bathroom,entry,bedroom_2,entry,kitchen,kitchen,kitchen,living
10320,d07 Mon 04:00,living,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,entry,entry,entry,entry,kitchen,kitchen,entry,kitchen,living,kitchen,living,kitchen,kitchen,entry,entry,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bathroom,living,living,bathroom,entry,bedroom_2,entry,kitchen,kitchen,kitchen,living
10380,d07 Mon 05:00,living,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,entry,entry,entry,entry,kitchen,kitchen,entry,kitchen,living,kitchen,living,kitchen,kitchen,entry,entry,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bathroom,living,living,bathroom,entry,bedroom_2,entry,kitchen,kitchen,kitchen,living
10440,d07 Mon 06:00,living,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,entry,entry,entry,entry,kitchen,living,entry,kitchen,living,kitchen,kitchen,kitchen,kitchen,entry,entry,kitchen,living,kitchen,kitchen,kitchen,kitchen,bathroom,living,living,bedroom_2,entry,bedroom_2,entry,kitchen,kitchen,kitchen,living
10500,d07 Mon 07:00,living,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,entry,entry,entry,entry,living,living,entry,kitchen,living,kitchen,kitchen,kitchen,kitchen,entry,entry,kitchen,living,kitchen,kitchen,kitchen,kitchen,bathroom,living,living,bathroom,entry,bedroom_2,entry,kitchen,kitchen,kitchen,living
10560,d07 Mon 08:00,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,entry,kitchen,entry,entry,living,kitchen,entry,kitchen,living,kitchen,kitchen,kitchen,kitchen,bedroom_1,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom_2,living,living,kitchen,entry,bedroom_2,entry,kitchen,kitchen,kitchen,living
10620,d07 Mon 09:00,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,entry,kitchen,entry,entry,living,kitchen,entry,kitchen,living,kitchen,kitchen,kitchen,kitchen,bedroom_1,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom_2,living,living,bathroom,entry,bedroom_2,entry,kitchen,kitchen,kitchen,living
10680,d07 Mon 10:00,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,outside,outside,entry,outside,entry,outside,living,kitchen,entry,outside,living,kitchen,kitchen,kitchen,outside,bedroom_1,outside,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom_2,living,living,bathroom,entry,bedroom_2,entry,kitchen,kitchen,kitchen,outside
10740,d07 Mon 11:00,living,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,entry,entry,entry,entry,living,living,entry,kitchen,living,kitchen,kitchen,kitchen,kitchen,entry,entry,kitchen,living,kitchen,kitchen,kitchen,kitchen,bedroom_2,living,living,bathroom,entry,bedroom_2,entry,kitchen,kitchen,kitchen,living
10800,d07 Mon 12:00,living,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,entry,entry,entry,entry,living,living,entry,kitchen,living,kitchen,kitchen,kitchen,kitchen,entry,entry,kitchen,living,kitchen,kitchen,kitchen,kitchen,bedroom_2,living,living,bathroom,entry,bedroom_2,entry,kitchen,kitchen,kitchen,living
10860,d07 Mon 13:00,living,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,entry,entry,entry,entry,living,kitchen,entry,kitchen,living,kitchen,living,kitchen,kitchen,entry,entry,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom_2,living,living,bathroom,entry,kitchen,entry,kitchen,kitchen,kitchen,living
10920,d07 Mon 14:00,living,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,entry,entry,entry,entry,living,kitchen,entry,kitchen,living,kitchen,living,kitchen,kitchen,entry,entry,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom_2,living,living,bathroom,entry,kitchen,entry,kitchen,kitchen,kitchen,living
10980,d07 Mon 15:00,living,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,entry,entry,entry,entry,living,kitchen,entry,kitchen,living,kitchen,living,kitchen,kitchen,entry,entry,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom_2,living,living,kitchen,entry,kitchen,entry,kitchen,kitchen,kitchen,living
11040,d07 Mon 16:00,living,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,entry,entry,entry,entry,living,kitchen,entry,kitchen,living,kitchen,living,kitchen,kitchen,entry,entry,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom_2,living,living,kitchen,entry,kitchen,entry,kitchen,kitchen,kitchen,living
11100,d07 Mon 17:00,living,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,entry,entry,entry,entry,living,kitchen,entry,kitchen,living,kitchen,living,kitchen,kitchen,entry,entry,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom_2,living,living,kitchen,entry,kitchen,entry,kitchen,kitchen,kitchen,living
11160,d07 Mon 18:00,living,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,entry,entry,entry,entry,living,kitchen,entry,kitchen,living,kitchen,living,kitchen,kitchen,entry,entry,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom_2,living,living,kitchen,entry,kitchen,entry,kitchen,kitchen,kitchen,living
11220,d07 Mon 19:00,living,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,entry,entry,entry,entry,living,living,entry,kitchen,living,kitchen,living,kitchen,kitchen,entry,entry,kitchen,living,kitchen,kitchen,kitchen,kitchen,bedroom_2,living,living,kitchen,entry,kitchen,entry,kitchen,kitchen,kitchen,living
11280,d07 Mon 20:00,living,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,entry,entry,entry,entry,living,living,kitchen,kitchen,living,kitchen,living,kitchen,kitchen,entry,entry,kitchen,living,kitchen,kitchen,kitchen,kitchen,bedroom_2,living,living,kitchen,entry,kitchen,entry,kitchen,kitchen,kitchen,living
11340,d07 Mon 21:00,living,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,entry,entry,entry,entry,living,living,kitchen,kitchen,living,kitchen,living,kitchen,kitchen,entry,entry,kitchen,living,kitchen,kitchen,kitchen,kitchen,bedroom_2,living,living,kitchen,entry,kitchen,entry,kitchen,kitchen,kitchen,living
11400,d07 Mon 22:00,living,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,entry,entry,entry,entry,living,living,kitchen,kitchen,living,kitchen,living,kitchen,kitchen,entry,entry,kitchen,living,kitchen,kitchen,kitchen,kitchen,bedroom_2,living,living,kitchen,entry,kitchen,entry,kitchen,kitchen,kitchen,living
11460,d07 Mon 23:00,living,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,entry,entry,entry,entry,living,living,kitchen,kitchen,living,kitchen,living,kitchen,kitchen,entry,entry,kitchen,living,kitchen,kitchen,kitchen,kitchen,bedroom_2,living,living,kitchen,entry,kitchen,entry,kitchen,kitchen,kitchen,living
11520,d08 Tue 00:00,living,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,entry,entry,entry,entry,living,living,kitchen,kitchen,living,kitchen,living,kitchen,kitchen,entry,entry,kitchen,living,kitchen,kitchen,kitchen,kitchen,bedroom_2,living,living,kitchen,entry,kitchen,entry,kitchen,kitchen,kitchen,living
11580,d08 Tue 01:00,living,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,entry,entry,entry,entry,living,living,kitchen,kitchen,living,kitchen,living,kitchen,kitchen,entry,entry,kitchen,living,kitchen,kitchen,kitchen,kitchen,bedroom_2,living,living,kitchen,entry,kitchen,entry,kitchen,kitchen,kitchen,living
11640,d08 Tue 02:00,living,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,entry,entry,entry,entry,living,living,kitchen,kitchen,living,kitchen,living,kitchen,kitchen,entry,entry,kitchen,living,kitchen,kitchen,kitchen,kitchen,bedroom_2,living,living,kitchen,entry,kitchen,entry,kitchen,kitchen,kitchen,living
11700,d08 Tue 03:00,living,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,entry,entry,entry,entry,living,living,kitchen,kitchen,living,kitchen,living,kitchen,kitchen,entry,entry,kitchen,living,kitchen,kitchen,kitchen,kitchen,bedroom_2,living,living,kitchen,entry,kitchen,entry,kitchen,kitchen,kitchen,living
11760,d08 Tue 04:00,living,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,entry,entry,entry,entry,living,living,kitchen,kitchen,living,kitchen,living,kitchen,kitchen,entry,entry,kitchen,living,kitchen,kitchen,kitchen,kitchen,bedroom_2,living,living,kitchen,entry,kitchen,entry,kitchen,kitchen,kitchen,living
11820,d08 Tue 05:00,living,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,entry,entry,entry,entry,living,living,kitchen,kitchen,living,kitchen,living,kitchen,kitchen,entry,entry,kitchen,living,kitchen,kitchen,kitchen,kitchen,bedroom_2,living,living,kitchen,entry,kitchen,entry,kitchen,kitchen,kitchen,living
11880,d08 Tue 06:00,living,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,entry,entry,entry,entry,living,living,kitchen,kitchen,living,kitchen,living,kitchen,kitchen,bedroom_1,entry,kitchen,living,kitchen,kitchen,kitchen,kitchen,bedroom_2,living,living,kitchen,entry,kitchen,entry,kitchen,kitchen,kitchen,living
11940,d08 Tue 07:00,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,entry,entry,entry,entry,living,kitchen,kitchen,kitchen,living,kitchen,living,kitchen,kitchen,entry,kitchen,kitchen,living,kitchen,kitchen,kitchen,kitchen,bedroom_2,living,living,kitchen,entry,kitchen,entry,kitchen,kitchen,kitchen,living
12000,d08 Tue 08:00,kitchen,kitchen,kitchen,kitchen,outside,outside,kitchen,kitchen,outside,entry,outside,entry,outside,kitchen,outside,kitchen,living,kitchen,living,outside,kitchen,outside,kitchen,kitchen,kitchen,kitchen,kitchen,outside,kitchen,kitchen,living,living,kitchen,entry,kitchen,entry,kitchen,kitchen,kitchen,living
12060,d08 Tue 09:00,kitchen,kitchen,kitchen,kitchen,outside,outside,outside,outside,outside,outside,outside,outside,outside,kitchen,outside,outside,living,kitchen,living,outside,outside,outside,outside,kitchen,kitchen,kitchen,kitchen,outside,kitchen,kitchen,living,living,kitchen,entry,kitchen,entry,kitchen,kitchen,kitchen,outside
12120,d08 Tue 10:00,kitchen,kitchen,kitchen,kitchen,outside,outside,outside,outside,outside,outside,outside,outside,outside,kitchen,outside,outside,living,kitchen,living,outside,outside,outside,outside,kitchen,kitchen,kitchen,kitchen,outside,kitchen,kitchen,living,living,kitchen,entry,kitchen,entry,kitchen,kitchen,kitchen,outside
12180,d08 Tue 11:00,kitchen,kitchen,kitchen,kitchen,outside,outside,entry,living,outside,entry,outside,entry,outside,kitchen,outside,kitchen,living,kitchen,living,outside,kitchen,outside,entry,kitchen,kitchen,kitchen,kitchen,outside,kitchen,kitchen,living,living,kitchen,entry,kitchen,entry,kitchen,kitchen,kitchen,living
12240,d08 Tue 12:00,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,entry,living,entry,entry,entry,entry,living,kitchen,entry,entry,living,kitchen,living,entry,entry,entry,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,kitchen,entry,kitchen,entry,kitchen,kitchen,entry,living
12300,d08 Tue 13:00,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,entry,living,entry,entry,entry,entry,living,kitchen,entry,entry,living,kitchen,living,entry,entry,entry,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,kitchen,entry,kitchen,entry,kitchen,kitchen,entry,living
12360,d08 Tue 14:00,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,entry,living,entry,entry,entry,entry,living,kitchen,entry,entry,living,kitchen,living,entry,entry,entry,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,kitchen,entry,kitchen,entry,kitchen,kitchen,entry,living
12420,d08 Tue 15:00,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,entry,living,entry,entry,entry,entry,living,kitchen,entry,entry,living,kitchen,living,entry,entry,entry,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,kitchen,entry,kitchen,entry,kitchen,kitchen,entry,living
12480,d08 Tue 16:00,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,entry,living,entry,entry,entry,entry,living,kitchen,entry,entry,living,kitchen,living,entry,entry,entry,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,kitchen,entry,kitchen,entry,kitchen,kitchen,entry,living
12540,d08 Tue 17:00,kitchen,kitchen,kitchen,kitchen,outside,outside,entry,living,outside,entry,outside,entry,outside,kitchen,outside,entry,living,kitchen,living,outside,entry,outside,kitchen,kitchen,kitchen,kitchen,kitchen,outside,kitchen,kitchen,living,living,kitchen,entry,kitchen,entry,kitchen,kitchen,entry,living
12600,d08 Tue 18:00,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,entry,entry,entry,kitchen,living,kitchen,kitchen,entry,living,kitchen,living,entry,entry,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,kitchen,entry,kitchen,entry,kitchen,kitchen,entry,living
12660,d08 Tue 19:00,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,entry,entry,entry,kitchen,living,kitchen,kitchen,entry,living,kitchen,living,entry,entry,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,kitchen,entry,kitchen,entry,kitchen,kitchen,entry,living
12720,d08 Tue 20:00,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,entry,entry,entry,kitchen,living,kitchen,kitchen,entry,living,kitchen,living,entry,entry,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,kitchen,entry,kitchen,entry,kitchen,kitchen,entry,living
12780,d08 Tue 21:00,kitchen,living,kitchen,kitchen,kitchen,kitchen,kitchen,living,entry,entry,entry,kitchen,living,kitchen,kitchen,entry,living,kitchen,living,entry,entry,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,kitchen,entry,kitchen,entry,kitchen,kitchen,entry,living
12840,d08 Tue 22:00,kitchen,living,kitchen,kitchen,kitchen,kitchen,kitchen,living,entry,entry,entry,kitchen,living,kitchen,kitchen,entry,living,kitchen,living,entry,entry,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,kitchen,entry,kitchen,entry,kitchen,kitchen,entry,living
12900,d08 Tue 23:00,kitchen,living,kitchen,kitchen,kitchen,kitchen,kitchen,living,entry,entry,entry,kitchen,living,kitchen,kitchen,entry,living,kitchen,living,entry,entry,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,kitchen,entry,kitchen,entry,kitchen,kitchen,entry,living
12960,d09 Wed 00:00,kitchen,living,kitchen,kitchen,kitchen,kitchen,kitchen,living,entry,entry,entry,kitchen,living,kitchen,kitchen,entry,living,kitchen,living,entry,entry,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,kitchen,entry,kitchen,entry,kitchen,kitchen,entry,living
13020,d09 Wed 01:00,kitchen,living,kitchen,kitchen,kitchen,kitchen,kitchen,living,entry,entry,entry,kitchen,living,kitchen,kitchen,entry,living,kitchen,living,entry,entry,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,kitchen,entry,kitchen,entry,kitchen,kitchen,entry,living
13080,d09 Wed 02:00,kitchen,living,kitchen,kitchen,kitchen,kitchen,kitchen,living,entry,entry,entry,kitchen,living,kitchen,kitchen,entry,living,kitchen,living,entry,entry,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,kitchen,entry,kitchen,entry,kitchen,kitchen,entry,living
13140,d09 Wed 03:00,kitchen,living,kitchen,kitchen,kitchen,kitchen,kitchen,living,entry,entry,entry,kitchen,living,kitchen,kitchen,entry,living,kitchen,living,entry,entry,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,kitchen,entry,kitchen,entry,kitchen,kitchen,entry,living
13200,d09 Wed 04:00,kitchen,living,kitchen,kitchen,kitchen,kitchen,kitchen,living,entry,entry,entry,kitchen,living,kitchen,kitchen,entry,living,kitchen,living,entry,entry,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,kitchen,entry,kitchen,entry,kitchen,kitchen,entry,living
13260,d09 Wed 05:00,kitchen,living,kitchen,kitchen,kitchen,kitchen,kitchen,living,entry,entry,entry,kitchen,living,kitchen,kitchen,entry,living,kitchen,living,entry,entry,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,kitchen,entry,kitchen,entry,kitchen,kitchen,entry,living
13320,d09 Wed 06:00,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,entry,kitchen,entry,kitchen,living,kitchen,kitchen,entry,living,kitchen,living,entry,entry,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,kitchen,entry,kitchen,entry,kitchen,kitchen,entry,living
13380,d09 Wed 07:00,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,entry,kitchen,entry,kitchen,living,kitchen,kitchen,entry,living,kitchen,living,entry,entry,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom_2,living,living,kitchen,entry,kitchen,entry,kitchen,kitchen,entry,living
13440,d09 Wed 08:00,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,entry,kitchen,entry,kitchen,living,kitchen,kitchen,entry,living,kitchen,living,entry,entry,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom_2,living,living,kitchen,entry,kitchen,entry,kitchen,kitchen,entry,living
13500,d09 Wed 09:00,kitchen,kitchen,kitchen,kitchen,bedroom_1,kitchen,kitchen,living,entry,kitchen,entry,kitchen,living,kitchen,kitchen,entry,living,kitchen,living,entry,entry,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom_1,kitchen,bedroom_2,bedroom_1,living,kitchen,entry,kitchen,entry,kitchen,kitchen,entry,living
13560,d09 Wed 10:00,living,kitchen,kitchen,kitchen,bedroom_1,kitchen,kitchen,kitchen,entry,kitchen,entry,kitchen,living,living,kitchen,entry,living,kitchen,living,entry,entry,kitchen,kitchen,kitchen,living,kitchen,kitchen,bedroom_1,kitchen,bedroom_2,living,living,kitchen,entry,kitchen,entry,kitchen,kitchen,entry,living
13620,d09 Wed 11:00,living,kitchen,kitchen,kitchen,bedroom_1,kitchen,kitchen,kitchen,kitchen,kitchen,entry,kitchen,living,living,kitchen,entry,living,kitchen,living,entry,entry,kitchen,kitchen,kitchen,living,kitchen,kitchen,bedroom_1,kitchen,bedroom_2,living,living,kitchen,entry,kitchen,entry,kitchen,kitchen,entry,living
13680,d09 Wed 12:00,living,kitchen,kitchen,kitchen,bedroom_1,kitchen,kitchen,kitchen,kitchen,kitchen,entry,kitchen,living,living,kitchen,entry,living,kitchen,living,entry,entry,kitchen,kitchen,kitchen,living,kitchen,kitchen,bedroom_1,kitchen,bedroom_2,living,living,kitchen,entry,kitchen,entry,kitchen,kitchen,entry,living
13740,d09 Wed 13:00,kitchen,kitchen,kitchen,kitchen,bedroom_1,kitchen,kitchen,kitchen,kitchen,kitchen,entry,kitchen,living,kitchen,kitchen,entry,living,kitchen,living,entry,entry,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom_1,kitchen,bedroom_2,living,living,kitchen,entry,kitchen,entry,kitchen,kitchen,entry,living
13800,d09 Wed 14:00,kitchen,kitchen,kitchen,kitchen,bedroom_1,kitchen,kitchen,kitchen,kitchen,kitchen,entry,kitchen,living,kitchen,kitchen,entry,living,kitchen,living,entry,entry,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom_1,kitchen,bedroom_2,living,living,kitchen,entry,kitchen,entry,kitchen,kitchen,entry,living
13860,d09 Wed 15:00,kitchen,kitchen,kitchen,kitchen,bedroom_1,kitchen,kitchen,kitchen,kitchen,kitchen,entry,kitchen,living,kitchen,kitchen,entry,living,kitchen,living,entry,entry,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom_1,kitchen,bedroom_2,living,living,kitchen,entry,kitchen,entry,kitchen,kitchen,entry,living
13920,d09 Wed 16:00,kitchen,kitchen,kitchen,kitchen,bedroom_1,kitchen,kitchen,living,kitchen,kitchen,entry,kitchen,living,kitchen,kitchen,entry,living,kitchen,living,entry,entry,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom_1,kitchen,kitchen,living,living,kitchen,entry,kitchen,entry,kitchen,kitchen,entry,living
