t,stamp,mug_nikhil,laptop_nikhil,phone_nikhil,keys_nikhil,wallet_nikhil,backpack_nikhil,charger_nikhil,notebook_nikhil,glasses_nikhil,jacket_nikhil,mug_marisol,laptop_marisol,phone_marisol,keys_marisol,wallet_marisol,backpack_marisol,water_bottle_marisol,book_marisol,glasses_marisol,makeup_kit_marisol,hairbrush_marisol,phone_tessa,keys_tessa,backpack_tessa,laptop_tessa,charger_tessa,headphones_tessa,water_bottle_tessa,notebook_tessa,pen_tessa,book_tessa,gaming_controller_tessa,phone_owen,backpack_owen,lunchbox_owen,water_bottle_owen,tablet_owen,blanket_owen,toy_owen,notebook_owen,pen_owen,jacket_owen,gaming_controller_owen,plate_shared_1,bowl_shared_1,pot_shared_1,pan_shared_1,remote_shared_1,charger_shared_1,laundry_basket_shared_1,vacuum_cleaner_shared_1,umbrella_shared_1,towel_shared_1,yoga_mat_shared_1
7800,d05 Sat 10:00,kitchen,bedroom_1,bedroom_1,entry,entry,bedroom_1,bedroom_1,kitchen,bedroom_1,entry,kitchen,kitchen,kitchen,entry,kitchen,kitchen,kitchen,bedroom_1,kitchen,bathroom,bathroom,outside,outside,outside,outside,outside,outside,outside,outside,bedroom_2,outside,living,kitchen,entry,kitchen,kitchen,living,living,living,kitchen,bedroom_3,entry,living,kitchen,kitchen,kitchen,kitchen,living,kitchen,bedroom_1,entry,entry,bedroom_1,living
7860,d05 Sat 11:00,kitchen,bedroom_1,bedroom_1,entry,entry,bedroom_1,bedroom_1,kitchen,bedroom_1,entry,kitchen,kitchen,kitchen,entry,kitchen,entry,kitchen,living,living,bathroom,bathroom,bedroom_2,bedroom_2,bedroom_2,bedroom_2,bedroom_2,bedroom_2,bedroom_2,bedroom_2,bedroom_2,living,living,kitchen,bedroom_3,kitchen,kitchen,living,living,living,kitchen,kitchen,entry,living,kitchen,kitchen,kitchen,kitchen,living,kitchen,bedroom_3,entry,entry,bedroom_1,living
7920,d05 Sat 12:00,kitchen,bedroom_1,bedroom_1,entry,entry,bedroom_1,bedroom_1,kitchen,bedroom_1,entry,kitchen,kitchen,kitchen,entry,kitchen,entry,kitchen,living,living,bathroom,bathroom,bedroom_2,bedroom_2,bedroom_2,bedroom_2,bedroom_2,bedroom_2,bedroom_2,bedroom_2,bedroom_2,living,living,kitchen,bedroom_3,kitchen,kitchen,kitchen,living,living,kitchen,kitchen,entry,living,kitchen,kitchen,kitchen,kitchen,living,kitchen,bedroom_3,entry,entry,bedroom_1,living
7980,d05 Sat 13:00,outside,outside,outside,outside,outside,outside,outside,outside,outside,outside,kitchen,kitchen,kitchen,entry,kitchen,entry,kitchen,living,living,bathroom,bathroom,outside,outside,outside,outside,outside,outside,outside,outside,bedroom_2,outside,living,kitchen,bedroom_3,kitchen,kitchen,kitchen,living,living,kitchen,kitchen,entry,living,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom_3,entry,entry,bedroom_1,living
8040,d05 Sat 14:00,outside,outside,outside,outside,outside,outside,outside,outside,outside,outside,kitchen,outside,outside,outside,outside,outside,outside,outside,living,outside,bathroom,bedroom_2,bedroom_2,bedroom_2,bedroom_2,kitchen,bedroom_2,bedroom_2,bedroom_2,bedroom_2,bedroom_2,living,kitchen,bedroom_3,entry,kitchen,kitchen,living,living,kitchen,kitchen,entry,living,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom_3,entry,entry,bedroom_1,living
8100,d05 Sat 15:00,outside,outside,outside,outside,outside,outside,outside,outside,outside,outside,kitchen,kitchen,kitchen,entry,kitchen,kitchen,kitchen,bedroom_1,living,bathroom,bathroom,bedroom_2,entry,bedroom_2,bedroom_2,kitchen,bedroom_2,bedroom_2,bedroom_2,bedroom_2,bedroom_2,living,kitchen,entry,kitchen,kitchen,kitchen,living,living,kitchen,bedroom_3,entry,living,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom_3,entry,entry,bedroom_1,living
8160,d05 Sat 16:00,outside,outside,outside,outside,outside,outside,outside,kitchen,outside,outside,kitchen,kitchen,kitchen,entry,kitchen,kitchen,kitchen,living,living,bathroom,bathroom,bedroom_2,entry,bedroom_2,bedroom_2,kitchen,bedroom_2,bedroom_2,bedroom_2,bedroom_2,bedroom_2,living,kitchen,entry,kitchen,kitchen,kitchen,living,living,kitchen,bedroom_3,entry,living,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom_3,entry,entry,bedroom_1,living
8220,d05 Sat 17:00,kitchen,bedroom_1,entry,entry,entry,bedroom_1,bedroom_1,kitchen,bedroom_1,entry,kitchen,kitchen,kitchen,entry,kitchen,kitchen,kitchen,living,living,bathroom,bathroom,bedroom_2,bedroom_2,bedroom_2,bedroom_2,kitchen,bedroom_2,bedroom_2,bedroom_2,bedroom_2,bedroom_2,living,kitchen,entry,kitchen,kitchen,kitchen,living,living,kitchen,bedroom_3,entry,living,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom_3,entry,entry,bedroom_1,living
8280,d05 Sat 18:00,kitchen,bedroom_1,entry,entry,entry,bedroom_1,bedroom_1,kitchen,bedroom_1,entry,kitchen,kitchen,kitchen,entry,kitchen,kitchen,kitchen,living,living,bathroom,bathroom,bedroom_2,bedroom_2,bedroom_2,bedroom_2,kitchen,bedroom_2,bedroom_2,bedroom_2,bedroom_2,bedroom_2,living,kitchen,entry,kitchen,kitchen,kitchen,living,living,kitchen,bedroom_3,entry,living,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom_3,entry,entry,bedroom_1,living
8340,d05 Sat 19:00,kitchen,bedroom_1,entry,entry,entry,bedroom_1,bedroom_1,kitchen,bedroom_1,entry,kitchen,kitchen,kitchen,entry,kitchen,kitchen,kitchen,living,living,bathroom,bathroom,bedroom_2,bedroom_2,bedroom_2,bedroom_2,kitchen,bedroom_2,bedroom_2,bedroom_2,bedroom_2,bedroom_2,living,kitchen,entry,kitchen,kitchen,kitchen,living,living,kitchen,bedroom_3,entry,living,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom_3,entry,entry,bedroom_1,living
8400,d05 Sat 20:00,kitchen,bedroom_1,entry,entry,entry,bedroom_1,bedroom_1,kitchen,bedroom_1,entry,kitchen,kitchen,kitchen,entry,kitchen,kitchen,kitchen,living,living,bathroom,bathroom,bedroom_2,bedroom_2,bedroom_2,bedroom_2,kitchen,bedroom_2,bedroom_2,bedroom_2,bedroom_2,bedroom_2,living,kitchen,entry,kitchen,kitchen,kitchen,living,living,kitchen,bedroom_3,entry,living,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom_3,entry,entry,bedroom_1,living
8460,d05 Sat 21:00,kitchen,bedroom_1,entry,entry,entry,bedroom_1,bedroom_1,kitchen,bedroom_1,entry,kitchen,kitchen,kitchen,entry,kitchen,kitchen,kitchen,living,living,bathroom,bathroom,bedroom_2,bedroom_2,bedroom_2,bedroom_2,kitchen,bedroom_2,bedroom_2,bedroom_2,bedroom_2,bedroom_2,living,kitchen,entry,kitchen,kitchen,kitchen,bedroom_3,living,kitchen,bedroom_3,kitchen,living,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom_3,entry,entry,bedroom_1,living
8520,d05 Sat 22:00,kitchen,bedroom_1,entry,entry,entry,bedroom_1,bedroom_1,kitchen,bedroom_1,entry,kitchen,kitchen,kitchen,entry,kitchen,kitchen,kitchen,living,living,bathroom,bathroom,bedroom_2,bedroom_2,bedroom_2,bedroom_2,kitchen,bedroom_2,bedroom_2,bedroom_2,bedroom_2,bedroom_2,living,kitchen,entry,kitchen,kitchen,kitchen,bedroom_3,living,kitchen,bedroom_3,kitchen,living,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom_3,entry,entry,bedroom_1,living
8580,d05 Sat 23:00,kitchen,bedroom_1,entry,entry,entry,bedroom_1,bedroom_1,kitchen,bedroom_1,entry,kitchen,kitchen,kitchen,entry,kitchen,kitchen,kitchen,living,living,bathroom,bathroom,bedroom_2,bedroom_2,bedroom_2,bedroom_2,kitchen,bedroom_2,bedroom_2,bedroom_2,bedroom_2,bedroom_2,living,kitchen,entry,kitchen,kitchen,kitchen,bedroom_3,living,kitchen,bedroom_3,kitchen,living,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom_3,entry,entry,bedroom_1,living
8640,d06 Sun 00:00,kitchen,bedroom_1,entry,entry,entry,bedroom_1,bedroom_1,kitchen,kitchen,entry,kitchen,kitchen,kitchen,entry,kitchen,kitchen,kitchen,living,living,bathroom,bathroom,bedroom_2,bedroom_2,bedroom_2,bedroom_2,kitchen,bedroom_2,bedroom_2,bedroom_2,bedroom_2,bedroom_2,living,kitchen,entry,kitchen,kitchen,kitchen,bedroom_3,living,kitchen,bedroom_3,kitchen,living,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom_3,entry,entry,bedroom_1,living
8700,d06 Sun 01:00,kitchen,bedroom_1,entry,entry,entry,bedroom_1,bedroom_1,kitchen,kitchen,entry,kitchen,kitchen,kitchen,entry,kitchen,kitchen,kitchen,living,living,bathroom,bathroom,bedroom_2,bedroom_2,bedroom_2,bedroom_2,kitchen,bedroom_2,bedroom_2,bedroom_2,bedroom_2,bedroom_2,living,kitchen,entry,kitchen,kitchen,kitchen,bedroom_3,living,kitchen,bedroom_3,kitchen,living,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom_3,entry,entry,bedroom_1,living
8760,d06 Sun 02:00,kitchen,bedroom_1,entry,entry,entry,bedroom_1,bedroom_1,kitchen,kitchen,entry,kitchen,kitchen,kitchen,entry,kitchen,kitchen,kitchen,living,living,bathroom,bathroom,bedroom_2,bedroom_2,bedroom_2,bedroom_2,kitchen,bedroom_2,bedroom_2,bedroom_2,bedroom_2,bedroom_2,living,kitchen,entry,kitchen,kitchen,kitchen,bedroom_3,living,kitchen,bedroom_3,kitchen,living,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom_3,entry,entry,bedroom_1,living
8820,d06 Sun 03:00,kitchen,bedroom_1,entry,entry,entry,bedroom_1,bedroom_1,kitchen,kitchen,entry,kitchen,kitchen,kitchen,entry,kitchen,kitchen,kitchen,living,living,bathroom,bathroom,bedroom_2,bedroom_2,bedroom_2,bedroom_2,kitchen,bedroom_2,bedroom_2,bedroom_2,bedroom_2,bedroom_2,living,kitchen,entry,kitchen,kitchen,kitchen,bedroom_3,living,kitchen,bedroom_3,kitchen,living,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom_3,entry,entry,bedroom_1,living
8880,d06 Sun 04:00,kitchen,bedroom_1,entry,entry,entry,bedroom_1,bedroom_1,kitchen,kitchen,entry,kitchen,kitchen,kitchen,entry,kitchen,kitchen,kitchen,living,living,bathroom,bathroom,bedroom_2,bedroom_2,bedroom_2,bedroom_2,kitchen,bedroom_2,bedroom_2,bedroom_2,bedroom_2,bedroom_2,living,kitchen,entry,kitchen,kitchen,kitchen,bedroom_3,living,kitchen,bedroom_3,kitchen,living,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom_3,entry,entry,bedroom_1,living
8940,d06 Sun 05:00,kitchen,bedroom_1,entry,entry,entry,bedroom_1,bedroom_1,kitchen,kitchen,entry,kitchen,kitchen,kitchen,entry,kitchen,kitchen,kitchen,living,living,bathroom,bathroom,bedroom_2,bedroom_2,bedroom_2,bedroom_2,kitchen,bedroom_2,bedroom_2,bedroom_2,bedroom_2,bedroom_2,living,kitchen,entry,kitchen,kitchen,kitchen,bedroom_3,living,kitchen,bedroom_3,kitchen,living,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom_3,entry,entry,bedroom_1,living
9000,d06 Sun 06:00,kitchen,bedroom_1,entry,entry,entry,bedroom_1,bedroom_1,kitchen,kitchen,entry,kitchen,kitchen,kitchen,entry,kitchen,kitchen,kitchen,living,bedroom_1,bathroom,bathroom,bedroom_2,bedroom_2,bedroom_2,bedroom_2,kitchen,bedroom_2,bedroom_2,bedroom_2,bedroom_2,bedroom_2,living,kitchen,entry,kitchen,kitchen,kitchen,bedroom_3,living,kitchen,bedroom_3,kitchen,living,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom_3,entry,entry,bedroom_1,living
9060,d06 Sun 07:00,kitchen,bedroom_1,entry,entry,entry,bedroom_1,bedroom_1,kitchen,kitchen,entry,kitchen,kitchen,kitchen,entry,kitchen,kitchen,kitchen,living,bedroom_3,bathroom,bathroom,bedroom_2,bedroom_2,bedroom_2,bedroom_2,kitchen,bedroom_2,kitchen,bedroom_2,bedroom_2,bedroom_2,living,kitchen,entry,kitchen,entry,kitchen,living,living,kitchen,bedroom_3,kitchen,living,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom_3,entry,entry,bedroom_1,living
9120,d06 Sun 08:00,kitchen,bedroom_1,entry,entry,kitchen,bedroom_1,bedroom_1,kitchen,kitchen,entry,kitchen,kitchen,kitchen,entry,kitchen,kitchen,kitchen,living,bedroom_3,bathroom,bathroom,bedroom_2,bedroom_2,bedroom_2,bedroom_2,kitchen,bedroom_2,kitchen,bedroom_2,bedroom_2,bedroom_2,living,kitchen,entry,kitchen,entry,kitchen,living,living,kitchen,bedroom_3,kitchen,living,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom_3,entry,entry,bedroom_1,living
9180,d06 Sun 09:00,kitchen,bedroom_1,entry,entry,kitchen,bedroom_1,bedroom_1,kitchen,kitchen,entry,kitchen,kitchen,kitchen,entry,kitchen,kitchen,kitchen,living,living,bathroom,bathroom,bedroom_2,kitchen,bedroom_2,bedroom_2,kitchen,bedroom_2,kitchen,bedroom_2,bedroom_2,bedroom_2,living,kitchen,bedroom_3,kitchen,kitchen,kitchen,living,entry,kitchen,bedroom_3,entry,living,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom_1,entry,entry,bedroom_1,living
9240,d06 Sun 10:00,kitchen,bedroom_1,entry,entry,kitchen,bedroom_1,bedroom_1,kitchen,kitchen,entry,kitchen,kitchen,kitchen,entry,kitchen,kitchen,kitchen,living,living,bathroom,bathroom,bedroom_2,kitchen,bedroom_2,bedroom_2,kitchen,bedroom_2,kitchen,bedroom_2,bedroom_2,living,living,kitchen,entry,kitchen,kitchen,kitchen,living,living,kitchen,bedroom_3,entry,living,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom_1,entry,entry,bedroom_1,living
9300,d06 Sun 11:00,kitchen,bedroom_1,bedroom_1,entry,kitchen,bedroom_1,bedroom_1,kitchen,kitchen,entry,kitchen,kitchen,kitchen,entry,kitchen,kitchen,kitchen,living,bedroom_1,bathroom,bathroom,bedroom_2,kitchen,bedroom_2,bedroom_2,kitchen,bedroom_2,kitchen,bedroom_2,bedroom_2,living,living,kitchen,entry,kitchen,kitchen,kitchen,living,living,kitchen,bedroom_3,entry,living,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom_1,entry,entry,bedroom_1,living
9360,d06 Sun 12:00,kitchen,bedroom_1,bedroom_1,entry,kitchen,bedroom_1,bedroom_1,kitchen,kitchen,entry,kitchen,kitchen,kitchen,entry,kitchen,kitchen,kitchen,living,bedroom_1,bathroom,bathroom,bedroom_2,kitchen,bedroom_2,bedroom_2,kitchen,bedroom_2,kitchen,bedroom_2,bedroom_2,living,living,kitchen,entry,kitchen,kitchen,kitchen,living,living,kitchen,kitchen,entry,living,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom_1,entry,entry,bedroom_1,living
9420,d06 Sun 13:00,kitchen,bedroom_1,bedroom_1,entry,kitchen,bedroom_1,bedroom_1,kitchen,kitchen,entry,kitchen,kitchen,kitchen,entry,kitchen,kitchen,kitchen,living,bedroom_1,bathroom,bathroom,bedroom_2,kitchen,bedroom_2,bedroom_2,kitchen,bedroom_2,kitchen,bedroom_2,bedroom_2,living,living,kitchen,entry,entry,kitchen,living,living,living,kitchen,kitchen,entry,living,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom_1,entry,entry,bedroom_1,living
9480,d06 Sun 14:00,kitchen,bedroom_1,bedroom_1,entry,kitchen,bedroom_1,bedroom_1,kitchen,kitchen,entry,kitchen,kitchen,kitchen,entry,kitchen,kitchen,kitchen,living,bedroom_1,bathroom,bathroom,bedroom_2,kitchen,bedroom_2,bedroom_2,kitchen,bedroom_2,kitchen,bedroom_2,kitchen,living,living,kitchen,entry,entry,kitchen,living,living,living,kitchen,kitchen,entry,living,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom_1,entry,entry,bedroom_1,living
9540,d06 Sun 15:00,kitchen,kitchen,bedroom_1,entry,kitchen,bedroom_1,bedroom_1,kitchen,kitchen,entry,kitchen,bedroom_1,kitchen,entry,kitchen,kitchen,kitchen,living,bedroom_1,bathroom,bathroom,bedroom_2,kitchen,bedroom_2,kitchen,kitchen,bedroom_2,kitchen,bedroom_2,bedroom_2,living,living,kitchen,entry,entry,kitchen,living,living,living,bedroom_3,kitchen,entry,living,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom_1,entry,entry,bedroom_1,living
9600,d06 Sun 16:00,kitchen,kitchen,bedroom_1,entry,kitchen,bedroom_1,bedroom_1,kitchen,kitchen,entry,kitchen,bedroom_1,kitchen,entry,kitchen,kitchen,kitchen,living,bedroom_1,bathroom,bathroom,bedroom_2,kitchen,bedroom_2,kitchen,kitchen,bedroom_2,kitchen,bedroom_2,bedroom_2,living,living,kitchen,entry,entry,kitchen,living,living,living,bedroom_3,kitchen,entry,living,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom_1,entry,entry,bedroom_1,living
9660,d06 Sun 17:00,kitchen,kitchen,bedroom_1,entry,kitchen,bedroom_1,bedroom_1,kitchen,kitchen,entry,kitchen,bedroom_1,kitchen,entry,kitchen,kitchen,kitchen,living,bedroom_1,bathroom,bathroom,bedroom_2,kitchen,bedroom_2,kitchen,kitchen,bedroom_2,kitchen,bedroom_2,bedroom_2,living,living,kitchen,entry,entry,kitchen,living,living,living,bedroom_3,kitchen,entry,living,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom_1,entry,entry,bedroom_1,living
9720,d06 Sun 18:00,kitchen,kitchen,bedroom_1,entry,kitchen,bedroom_1,bedroom_1,kitchen,kitchen,entry,kitchen,kitchen,kitchen,entry,kitchen,kitchen,kitchen,living,bedroom_1,bathroom,bathroom,bedroom_2,kitchen,bedroom_2,kitchen,kitchen,bedroom_2,kitchen,bedroom_2,bedroom_2,living,living,kitchen,entry,entry,kitchen,living,living,living,bedroom_3,kitchen,entry,living,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom_1,entry,entry,bedroom_1,living
9780,d06 Sun 19:00,kitchen,kitchen,kitchen,entry,kitchen,bedroom_1,bedroom_1,kitchen,kitchen,entry,kitchen,kitchen,kitchen,entry,kitchen,kitchen,kitchen,living,bedroom_1,bathroom,bathroom,bedroom_2,kitchen,bedroom_2,kitchen,kitchen,bedroom_2,kitchen,bedroom_2,bedroom_2,living,living,kitchen,entry,entry,kitchen,living,living,living,bedroom_3,kitchen,entry,living,kitchen,kitchen,kitchen,kitchen,living,kitchen,bedroom_1,entry,entry,bedroom_1,living
9840,d06 Sun 20:00,kitchen,kitchen,kitchen,entry,kitchen,bedroom_1,bedroom_1,kitchen,kitchen,entry,kitchen,kitchen,kitchen,entry,kitchen,kitchen,kitchen,living,bedroom_1,bathroom,bathroom,bedroom_2,kitchen,bedroom_2,kitchen,kitchen,bedroom_2,kitchen,bedroom_2,bedroom_2,living,living,kitchen,entry,entry,kitchen,living,bedroom_3,living,bedroom_3,kitchen,entry,living,kitchen,kitchen,kitchen,kitchen,living,kitchen,bedroom_1,entry,entry,bedroom_1,living
9900,d06 Sun 21:00,kitchen,kitchen,kitchen,entry,kitchen,bedroom_1,bedroom_1,kitchen,kitchen,entry,kitchen,kitchen,kitchen,entry,kitchen,kitchen,kitchen,living,bedroom_1,bathroom,bathroom,bedroom_2,kitchen,bedroom_2,kitchen,kitchen,bedroom_2,kitchen,bedroom_2,bedroom_2,living,living,kitchen,entry,entry,kitchen,living,bedroom_3,living,bedroom_3,kitchen,entry,living,kitchen,kitchen,kitchen,kitchen,living,kitchen,bedroom_1,entry,entry,bedroom_1,living
9960,d06 Sun 22:00,kitchen,kitchen,kitchen,entry,kitchen,bedroom_1,bedroom_1,kitchen,kitchen,entry,kitchen,kitchen,kitchen,entry,kitchen,kitchen,kitchen,living,bedroom_1,bathroom,bathroom,bedroom_2,kitchen,bedroom_2,kitchen,kitchen,bedroom_2,kitchen,bedroom_2,bedroom_2,living,living,kitchen,entry,entry,kitchen,living,bedroom_3,living,bedroom_3,kitchen,entry,living,kitchen,kitchen,kitchen,kitchen,living,kitchen,bedroom_1,entry,entry,bedroom_1,living
10020,d06 Sun 23:00,kitchen,kitchen,kitchen,entry,kitchen,bedroom_1,bedroom_1,kitchen,kitchen,entry,kitchen,kitchen,kitchen,entry,kitchen,kitchen,kitchen,living,bedroom_1,bathroom,bathroom,bedroom_2,kitchen,bedroom_2,kitchen,kitchen,bedroom_2,kitchen,bedroom_2,bedroom_2,living,living,kitchen,entry,entry,kitchen,living,bedroom_3,living,bedroom_3,kitchen,entry,living,kitchen,kitchen,kitchen,kitchen,living,kitchen,bedroom_1,entry,entry,bedroom_1,living
10080,d07 Mon 00:00,kitchen,kitchen,kitchen,entry,kitchen,bedroom_1,bedroom_1,kitchen,kitchen,entry,kitchen,kitchen,kitchen,entry,kitchen,kitchen,kitchen,living,bedroom_1,bathroom,bathroom,bedroom_2,kitchen,bedroom_2,kitchen,kitchen,bedroom_2,kitchen,bedroom_2,bedroom_2,living,living,kitchen,entry,entry,kitchen,living,bedroom_3,living,bedroom_3,kitchen,entry,living,kitchen,kitchen,kitchen,kitchen,living,kitchen,bedroom_1,entry,entry,bedroom_1,living
10140,d07 Mon 01:00,kitchen,kitchen,kitchen,entry,kitchen,bedroom_1,bedroom_1,kitchen,kitchen,entry,kitchen,kitchen,kitchen,entry,kitchen,kitchen,kitchen,living,bedroom_1,bathroom,bathroom,bedroom_2,kitchen,bedroom_2,kitchen,kitchen,bedroom_2,kitchen,bedroom_2,bedroom_2,living,living,kitchen,entry,entry,kitchen,living,bedroom_3,living,bedroom_3,kitchen,entry,living,kitchen,kitchen,kitchen,kitchen,living,kitchen,bedroom_1,entry,entry,bedroom_1,living
10200,d07 Mon 02:00,kitchen,kitchen,kitchen,entry,kitchen,bedroom_1,bedroom_1,kitchen,kitchen,entry,kitchen,kitchen,kitchen,entry,kitchen,kitchen,kitchen,living,bedroom_1,bathroom,bathroom,bedroom_2,kitchen,bedroom_2,kitchen,kitchen,bedroom_2,kitchen,bedroom_2,bedroom_2,living,living,kitchen,entry,entry,kitchen,living,bedroom_3,living,bedroom_3,kitchen,entry,living,kitchen,kitchen,kitchen,kitchen,living,kitchen,bedroom_1,entry,entry,bedroom_1,living
10260,d07 Mon 03:00,kitchen,kitchen,kitchen,entry,kitchen,bedroom_1,bedroom_1,kitchen,kitchen,entry,kitchen,kitchen,kitchen,entry,kitchen,kitchen,kitchen,living,bedroom_1,bathroom,bathroom,bedroom_2,kitchen,bedroom_2,kitchen,kitchen,bedroom_2,kitchen,bedroom_2,bedroom_2,living,living,kitchen,entry,entry,kitchen,living,bedroom_3,living,bedroom_3,kitchen,entry,living,kitchen,kitchen,kitchen,kitchen,living,kitchen,bedroom_1,entry,entry,bedroom_1,living
10320,d07 Mon 04:00,kitchen,kitchen,kitchen,entry,kitchen,bedroom_1,bedroom_1,kitchen,kitchen,entry,kitchen,kitchen,kitchen,entry,kitchen,kitchen,kitchen,living,bedroom_1,bathroom,bathroom,bedroom_2,kitchen,bedroom_2,kitchen,kitchen,bedroom_2,kitchen,bedroom_2,bedroom_2,living,living,kitchen,entry,entry,kitchen,living,bedroom_3,living,bedroom_3,kitchen,entry,living,kitchen,kitchen,kitchen,kitchen,living,kitchen,bedroom_1,entry,entry,bedroom_1,living
10380,d07 Mon 05:00,kitchen,kitchen,kitchen,entry,kitchen,bedroom_1,bedroom_1,kitchen,kitchen,entry,kitchen,kitchen,kitchen,entry,kitchen,kitchen,kitchen,living,bedroom_2,bathroom,bathroom,bedroom_2,kitchen,bedroom_2,kitchen,kitchen,bedroom_2,kitchen,bedroom_2,bedroom_2,living,living,kitchen,entry,entry,kitchen,living,bedroom_3,living,bedroom_3,kitchen,entry,living,kitchen,kitchen,kitchen,kitchen,living,kitchen,bedroom_1,entry,entry,bathroom,living
10440,d07 Mon 06:00,outside,outside,outside,outside,outside,outside,outside,outside,outside,outside,kitchen,kitchen,kitchen,entry,kitchen,kitchen,kitchen,living,kitchen,bathroom,bathroom,bedroom_2,kitchen,bedroom_2,kitchen,kitchen,bedroom_2,kitchen,bedroom_2,bedroom_2,living,living,kitchen,entry,entry,entry,living,bedroom_3,living,bedroom_3,kitchen,entry,living,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom_1,entry,entry,bathroom,living
10500,d07 Mon 07:00,outside,outside,kitchen,outside,outside,outside,outside,outside,outside,outside,kitchen,outside,outside,outside,outside,outside,outside,outside,bedroom_1,outside,bathroom,outside,outside,outside,outside,outside,outside,outside,outside,bedroom_2,outside,living,kitchen,entry,entry,kitchen,living,bedroom_3,living,bedroom_3,kitchen,entry,living,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom_1,entry,entry,bathroom,living
10560,d07 Mon 08:00,outside,outside,kitchen,outside,outside,outside,outside,outside,outside,outside,kitchen,outside,outside,outside,outside,outside,outside,outside,bedroom_1,outside,bathroom,outside,outside,outside,outside,outside,outside,outside,outside,bedroom_2,outside,living,kitchen,entry,entry,kitchen,living,bedroom_3,entry,bedroom_3,kitchen,entry,living,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom_1,entry,entry,bathroom,living
10620,d07 Mon 09:00,outside,outside,kitchen,outside,outside,outside,outside,outside,outside,outside,kitchen,outside,outside,outside,outside,outside,outside,outside,bedroom_1,outside,bathroom,outside,outside,outside,outside,outside,outside,outside,outside,bedroom_2,outside,living,outside,outside,outside,outside,outside,bedroom_3,entry,outside,outside,outside,living,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom_1,entry,entry,bathroom,living
10680,d07 Mon 10:00,outside,outside,kitchen,outside,outside,outside,outside,outside,outside,outside,kitchen,outside,outside,outside,outside,outside,outside,outside,bedroom_1,outside,bathroom,outside,outside,outside,outside,outside,outside,outside,outside,bedroom_2,outside,living,outside,outside,outside,outside,outside,bedroom_3,entry,outside,outside,outside,living,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom_1,entry,entry,bathroom,living
10740,d07 Mon 11:00,outside,outside,kitchen,outside,outside,outside,outside,outside,outside,outside,kitchen,outside,outside,outside,outside,outside,outside,outside,bedroom_1,outside,bathroom,outside,outside,outside,outside,outside,outside,outside,outside,bedroom_2,outside,living,outside,outside,outside,outside,outside,bedroom_3,entry,outside,outside,outside,living,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom_1,entry,entry,bathroom,living
10800,d07 Mon 12:00,outside,outside,kitchen,outside,outside,outside,outside,outside,outside,outside,kitchen,outside,outside,outside,outside,outside,outside,outside,bedroom_1,outside,bathroom,outside,outside,outside,outside,outside,outside,outside,outside,bedroom_2,outside,living,outside,outside,outside,outside,outside,bedroom_3,entry,outside,outside,outside,living,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom_1,entry,entry,bathroom,living
