t,stamp,laptop_mara,phone_mara,keys_mara,wallet_mara,backpack_mara,charger_mara,headphones_mara,notebook_mara,pen_mara,mug_mara,water_bottle_mara,glasses_mara,book_mara,jacket_mara,umbrella_mara,lunchbox_mara,yoga_mat_mara,gaming_controller_mara,remote_shared_1,blanket_shared_1,plate_shared_1,bowl_shared_1,mug_shared_1,pot_shared_1,pan_shared_1,laundry_basket_mara,towel_mara,vacuum_cleaner_shared_1,watering_can_mara,hairbrush_mara,medication_bottle_mara,suitcase_mara
5340,d03 Thu 17:00,bedroom,kitchen,entry,kitchen,bedroom,bedroom,bedroom,bedroom,bedroom,bedroom,bedroom,bedroom,living,entry,entry,kitchen,living,living,kitchen,living,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,bathroom,entry,kitchen,bathroom,kitchen,bedroom
5400,d03 Thu 18:00,bedroom,kitchen,entry,kitchen,bedroom,bedroom,bedroom,bedroom,bedroom,kitchen,bedroom,bedroom,living,entry,entry,kitchen,living,living,kitchen,living,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,bathroom,entry,kitchen,bathroom,kitchen,bedroom
5460,d03 Thu 19:00,bedroom,kitchen,entry,kitchen,bedroom,bedroom,bedroom,bedroom,bedroom,kitchen,bedroom,bedroom,living,entry,entry,kitchen,living,living,kitchen,living,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,bathroom,entry,kitchen,bathroom,kitchen,bedroom
5520,d03 Thu 20:00,bedroom,kitchen,entry,kitchen,bedroom,bedroom,bedroom,bedroom,bedroom,kitchen,bedroom,bedroom,living,entry,entry,kitchen,living,living,living,living,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,bathroom,entry,kitchen,bathroom,kitchen,bedroom
5580,d03 Thu 21:00,bedroom,kitchen,entry,kitchen,bedroom,bedroom,bedroom,bedroom,bedroom,kitchen,bedroom,bedroom,living,entry,entry,kitchen,living,living,living,living,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,bathroom,entry,kitchen,bathroom,kitchen,bedroom
5640,d03 Thu 22:00,bedroom,kitchen,entry,kitchen,bedroom,bedroom,bedroom,bedroom,bedroom,kitchen,bedroom,bedroom,living,entry,entry,kitchen,living,living,living,living,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,bathroom,entry,kitchen,bathroom,kitchen,bedroom
5700,d03 Thu 23:00,bedroom,kitchen,entry,kitchen,bedroom,bedroom,bedroom,bedroom,bedroom,kitchen,bedroom,bedroom,living,entry,entry,kitchen,living,living,living,living,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,bathroom,entry,kitchen,bathroom,kitchen,bedroom
5760,d04 Fri 00:00,bedroom,kitchen,entry,kitchen,bedroom,bedroom,bedroom,bedroom,bedroom,kitchen,bedroom,bedroom,living,entry,entry,kitchen,living,living,living,living,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,bathroom,entry,kitchen,bathroom,kitchen,bedroom
5820,d04 Fri 01:00,bedroom,kitchen,entry,kitchen,bedroom,bedroom,bedroom,bedroom,bedroom,kitchen,bedroom,bedroom,living,entry,entry,kitchen,living,living,living,living,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,bathroom,entry,kitchen,bathroom,kitchen,bedroom
5880,d04 Fri 02:00,bedroom,kitchen,entry,kitchen,bedroom,bedroom,bedroom,bedroom,bedroom,kitchen,bedroom,bedroom,living,entry,entry,kitchen,living,living,living,living,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,bathroom,entry,kitchen,bathroom,kitchen,bedroom
5940,d04 Fri 03:00,bedroom,kitchen,entry,kitchen,bedroom,bedroom,bedroom,bedroom,bedroom,kitchen,bedroom,bedroom,living,entry,entry,kitchen,living,living,living,living,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,bathroom,entry,kitchen,bathroom,kitchen,bedroom
6000,d04 Fri 04:00,bedroom,kitchen,entry,kitchen,bedroom,bedroom,bedroom,bedroom,bedroom,kitchen,bedroom,bedroom,living,entry,entry,kitchen,living,living,living,living,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,bathroom,entry,kitchen,bathroom,kitchen,bedroom
6060,d04 Fri 05:00,bedroom,kitchen,entry,kitchen,bedroom,bedroom,bedroom,bedroom,bedroom,kitchen,bedroom,bedroom,living,entry,entry,kitchen,living,living,living,living,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,bathroom,entry,kitchen,bathroom,kitchen,bedroom
6120,d04 Fri 06:00,bedroom,kitchen,entry,kitchen,bedroom,bedroom,bedroom,bedroom,bedroom,kitchen,bedroom,bedroom,living,entry,entry,kitchen,living,living,living,living,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,bathroom,entry,kitchen,bathroom,kitchen,bedroom
6180,d04 Fri 07:00,bedroom,kitchen,entry,kitchen,bedroom,bedroom,kitchen,bedroom,kitchen,bedroom,bedroom,bedroom,living,entry,entry,kitchen,living,living,living,living,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,bathroom,entry,kitchen,bathroom,kitchen,bedroom
6240,d04 Fri 08:00,bedroom,kitchen,entry,kitchen,bedroom,bedroom,kitchen,bedroom,kitchen,bedroom,bedroom,bedroom,living,entry,entry,kitchen,living,living,living,living,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,bathroom,entry,kitchen,bathroom,kitchen,bedroom
6300,d04 Fri 09:00,bedroom,kitchen,entry,kitchen,bedroom,bedroom,bedroom,bedroom,kitchen,bedroom,bedroom,bedroom,living,entry,entry,kitchen,living,living,living,living,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,bathroom,entry,kitchen,bathroom,kitchen,bedroom
6360,d04 Fri 10:00,bedroom,kitchen,entry,kitchen,bedroom,bedroom,bedroom,bedroom,kitchen,bedroom,bedroom,bedroom,living,entry,entry,kitchen,living,living,living,living,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,bathroom,entry,kitchen,bathroom,kitchen,bedroom
6420,d04 Fri 11:00,bedroom,bedroom,entry,kitchen,bedroom,kitchen,bedroom,bedroom,bedroom,kitchen,kitchen,bedroom,living,entry,entry,kitchen,living,living,living,living,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,bathroom,entry,kitchen,bathroom,kitchen,bedroom
6480,d04 Fri 12:00,bedroom,bedroom,entry,kitchen,bedroom,kitchen,bedroom,bedroom,bedroom,kitchen,kitchen,bedroom,living,entry,entry,kitchen,living,living,living,living,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,bathroom,entry,kitchen,bathroom,kitchen,bedroom
6540,d04 Fri 13:00,bedroom,bedroom,entry,kitchen,kitchen,bedroom,bedroom,bedroom,bedroom,bedroom,bedroom,bedroom,living,entry,entry,kitchen,living,living,living,living,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,bathroom,entry,kitchen,bathroom,kitchen,bedroom
6600,d04 Fri 14:00,bedroom,bedroom,entry,kitchen,kitchen,bedroom,bedroom,bedroom,bedroom,bedroom,bedroom,bedroom,living,entry,entry,kitchen,living,living,living,living,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,bathroom,entry,kitchen,bathroom,kitchen,bedroom
6660,d04 Fri 15:00,bedroom,outside,outside,outside,outside,bedroom,kitchen,kitchen,outside,bedroom,outside,outside,living,outside,outside,outside,living,living,living,living,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,bathroom,entry,kitchen,bathroom,outside,outside
6720,d04 Fri 16:00,bedroom,outside,outside,outside,outside,bedroom,kitchen,kitchen,outside,bedroom,outside,outside,living,outside,outside,outside,living,living,living,living,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,bathroom,entry,kitchen,bathroom,outside,outside
6780,d04 Fri 17:00,bedroom,outside,outside,outside,outside,bedroom,kitchen,kitchen,outside,bedroom,outside,outside,living,outside,outside,outside,living,living,living,living,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,bathroom,entry,kitchen,bathroom,outside,outside
6840,d04 Fri 18:00,bedroom,outside,outside,outside,outside,bedroom,kitchen,kitchen,outside,bedroom,outside,outside,living,outside,outside,outside,living,living,living,living,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,bathroom,entry,kitchen,bathroom,outside,outside
6900,d04 Fri 19:00,bedroom,living,entry,entry,bedroom,bedroom,kitchen,kitchen,bedroom,bedroom,kitchen,bedroom,living,entry,kitchen,kitchen,living,living,living,living,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,bathroom,entry,kitchen,bathroom,kitchen,bedroom
6960,d04 Fri 20:00,bedroom,living,entry,entry,bedroom,bedroom,kitchen,kitchen,bedroom,bedroom,kitchen,bedroom,living,entry,kitchen,kitchen,living,living,living,living,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,bathroom,entry,kitchen,bathroom,kitchen,bedroom
7020,d04 Fri 21:00,bedroom,living,entry,entry,bedroom,bedroom,kitchen,kitchen,bedroom,bedroom,kitchen,bedroom,living,entry,kitchen,kitchen,living,living,living,living,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,bathroom,entry,kitchen,bathroom,kitchen,bedroom
7080,d04 Fri 22:00,bedroom,living,entry,entry,bedroom,bedroom,kitchen,kitchen,bedroom,bedroom,kitchen,bedroom,living,entry,kitchen,kitchen,living,living,living,living,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,bathroom,entry,kitchen,bathroom,kitchen,bedroom
7140,d04 Fri 23:00,bedroom,living,entry,entry,bedroom,bedroom,kitchen,kitchen,bedroom,bedroom,kitchen,bedroom,living,entry,kitchen,kitchen,living,living,living,living,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,bathroom,entry,kitchen,bathroom,kitchen,bedroom
7200,d05 Sat 00:00,bedroom,living,entry,entry,bedroom,bedroom,kitchen,kitchen,bedroom,bedroom,kitchen,bedroom,living,entry,kitchen,kitchen,living,living,living,living,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,bathroom,entry,kitchen,bathroom,kitchen,bedroom
7260,d05 Sat 01:00,bedroom,living,entry,entry,bedroom,bedroom,kitchen,kitchen,bedroom,bedroom,kitchen,bedroom,living,entry,kitchen,kitchen,living,living,living,living,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,bathroom,entry,kitchen,bathroom,kitchen,bedroom
7320,d05 Sat 02:00,bedroom,living,entry,entry,bedroom,bedroom,kitchen,kitchen,bedroom,bedroom,kitchen,bedroom,living,entry,kitchen,kitchen,living,living,living,living,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,bathroom,entry,kitchen,bathroom,kitchen,bedroom
7380,d05 Sat 03:00,bedroom,living,entry,entry,bedroom,bedroom,kitchen,kitchen,bedroom,bedroom,kitchen,bedroom,living,entry,kitchen,kitchen,living,living,living,living,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,bathroom,entry,kitchen,bathroom,kitchen,bedroom
7440,d05 Sat 04:00,bedroom,living,entry,entry,bedroom,bedroom,kitchen,kitchen,bedroom,bedroom,kitchen,bedroom,living,entry,kitchen,kitchen,living,living,living,living,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,bathroom,entry,kitchen,bathroom,kitchen,bedroom
7500,d05 Sat 05:00,bedroom,living,entry,entry,bedroom,bedroom,kitchen,kitchen,bedroom,bedroom,kitchen,bedroom,living,entry,kitchen,kitchen,living,living,living,living,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,bathroom,entry,kitchen,bathroom,kitchen,bedroom
7560,d05 Sat 06:00,bedroom,living,entry,entry,bedroom,bedroom,kitchen,kitchen,bedroom,bedroom,kitchen,bedroom,living,entry,kitchen,kitchen,living,living,living,living,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,bathroom,entry,kitchen,bathroom,kitchen,bedroom
7620,d05 Sat 07:00,bedroom,living,entry,entry,bedroom,bedroom,kitchen,kitchen,bedroom,bedroom,kitchen,bedroom,living,entry,kitchen,kitchen,living,living,living,living,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,bathroom,entry,kitchen,bathroom,kitchen,bedroom
7680,d05 Sat 08:00,bedroom,living,entry,entry,bedroom,bedroom,kitchen,kitchen,bedroom,bedroom,kitchen,bedroom,living,entry,kitchen,kitchen,living,living,living,living,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,bathroom,entry,kitchen,bathroom,kitchen,bedroom
7740,d05 Sat 09:00,bedroom,living,entry,entry,bedroom,bedroom,kitchen,kitchen,bedroom,kitchen,kitchen,bedroom,living,entry,kitchen,kitchen,living,living,living,living,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,bathroom,entry,kitchen,bathroom,kitchen,bedroom
7800,d05 Sat 10:00,bedroom,living,entry,entry,bedroom,bedroom,kitchen,kitchen,bedroom,kitchen,kitchen,bedroom,living,entry,kitchen,kitchen,living,living,living,living,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,bathroom,entry,kitchen,bathroom,kitchen,bedroom
7860,d05 Sat 11:00,bedroom,living,entry,entry,bedroom,bedroom,kitchen,kitchen,bedroom,kitchen,kitchen,bedroom,living,entry,kitchen,kitchen,living,living,living,living,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,bathroom,entry,kitchen,bathroom,kitchen,bedroom
7920,d05 Sat 12:00,bedroom,living,entry,entry,bedroom,bedroom,kitchen,kitchen,bedroom,kitchen,kitchen,bedroom,living,entry,kitchen,kitchen,living,living,living,living,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,bathroom,entry,kitchen,bathroom,kitchen,bedroom
7980,d05 Sat 13:00,bedroom,living,entry,entry,bedroom,bedroom,kitchen,kitchen,bedroom,kitchen,kitchen,bedroom,living,entry,kitchen,kitchen,living,living,living,living,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,bathroom,entry,kitchen,bathroom,kitchen,bedroom
8040,d05 Sat 14:00,bedroom,living,entry,entry,bedroom,bedroom,kitchen,kitchen,bedroom,kitchen,kitchen,bedroom,living,entry,kitchen,kitchen,living,living,living,living,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,bathroom,entry,kitchen,bathroom,kitchen,bedroom
8100,d05 Sat 15:00,bedroom,living,entry,entry,bedroom,bedroom,kitchen,kitchen,bedroom,kitchen,kitchen,bedroom,living,entry,kitchen,kitchen,living,living,living,living,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,bathroom,entry,kitchen,bathroom,kitchen,bedroom
8160,d05 Sat 16:00,bedroom,living,entry,entry,bedroom,bedroom,kitchen,kitchen,bedroom,kitchen,kitchen,bedroom,living,entry,kitchen,kitchen,living,living,living,living,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,bathroom,entry,kitchen,bathroom,kitchen,bedroom
8220,d05 Sat 17:00,bedroom,outside,outside,outside,outside,bedroom,kitchen,kitchen,outside,kitchen,outside,outside,living,outside,outside,outside,living,living,living,living,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,bathroom,entry,kitchen,bathroom,outside,outside
8280,d05 Sat 18:00,bedroom,outside,outside,outside,outside,bedroom,kitchen,kitchen,outside,kitchen,outside,outside,living,outside,outside,outside,living,living,living,living,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,bathroom,entry,kitchen,bathroom,outside,outside
8340,d05 Sat 19:00,bedroom,outside,outside,outside,outside,bedroom,kitchen,kitchen,outside,kitchen,outside,outside,living,outside,outside,outside,living,living,living,living,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,bathroom,entry,kitchen,bathroom,outside,outside
8400,d05 Sat 20:00,bedroom,outside,outside,outside,outside,bedroom,kitchen,kitchen,outside,kitchen,outside,outside,living,outside,outside,outside,living,living,living,living,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,bathroom,entry,kitchen,bathroom,outside,outside
8460,d05 Sat 21:00,bedroom,outside,outside,outside,outside,bedroom,kitchen,kitchen,outside,kitchen,outside,outside,living,outside,outside,outside,living,living,living,living,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,bathroom,entry,kitchen,bathroom,outside,outside
8520,d05 Sat 22:00,bedroom,outside,outside,outside,outside,bedroom,kitchen,kitchen,outside,kitchen,outside,outside,living,outside,outside,outside,living,living,living,living,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,bathroom,entry,kitchen,bathroom,outside,outside
8580,d05 Sat 23:00,bedroom,bedroom,entry,bedroom,bedroom,bedroom,kitchen,kitchen,bedroom,kitchen,kitchen,bedroom,living,entry,entry,bedroom,living,living,living,living,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,bathroom,entry,kitchen,bathroom,kitchen,bedroom
8640,d06 Sun 00:00,bedroom,bedroom,entry,bedroom,bedroom,bedroom,kitchen,kitchen,bedroom,kitchen,kitchen,bedroom,living,entry,entry,bedroom,living,living,living,living,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,bathroom,entry,kitchen,bathroom,kitchen,bedroom
8700,d06 Sun 01:00,bedroom,bedroom,entry,bedroom,bedroom,bedroom,kitchen,kitchen,bedroom,kitchen,kitchen,bedroom,living,entry,entry,bedroom,living,living,living,living,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,bathroom,entry,kitchen,bathroom,kitchen,bedroom
8760,d06 Sun 02:00,bedroom,bedroom,entry,bedroom,bedroom,bedroom,kitchen,kitchen,bedroom,kitchen,kitchen,bedroom,living,entry,entry,bedroom,living,living,living,living,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,bathroom,entry,kitchen,bathroom,kitchen,bedroom
8820,d06 Sun 03:00,bedroom,bedroom,entry,bedroom,bedroom,bedroom,kitchen,kitchen,bedroom,kitchen,kitchen,bedroom,living,entry,entry,bedroom,living,living,living,living,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,bathroom,entry,kitchen,bathroom,kitchen,bedroom
8880,d06 Sun 04:00,bedroom,bedroom,entry,bedroom,bedroom,bedroom,kitchen,kitchen,bedroom,kitchen,kitchen,bedroom,living,entry,entry,bedroom,living,living,living,living,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,bathroom,entry,kitchen,bathroom,kitchen,bedroom
8940,d06 Sun 05:00,bedroom,bedroom,entry,bedroom,bedroom,bedroom,kitchen,kitchen,bedroom,kitchen,kitchen,bedroom,living,entry,entry,bedroom,living,living,living,living,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,bathroom,entry,kitchen,bathroom,kitchen,bedroom
9000,d06 Sun 06:00,bedroom,bedroom,entry,bedroom,bedroom,bedroom,kitchen,kitchen,bedroom,kitchen,kitchen,bedroom,living,entry,entry,bedroom,living,living,living,living,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,bathroom,entry,kitchen,bathroom,kitchen,bedroom
9060,d06 Sun 07:00,bedroom,bedroom,entry,bedroom,bedroom,bedroom,kitchen,kitchen,bedroom,kitchen,kitchen,bedroom,living,entry,entry,bedroom,living,living,living,living,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,bathroom,entry,kitchen,bathroom,kitchen,bedroom
9120,d06 Sun 08:00,bedroom,bedroom,entry,kitchen,bedroom,bedroom,kitchen,kitchen,bedroom,kitchen,kitchen,bedroom,living,entry,entry,kitchen,living,living,living,living,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,bathroom,entry,kitchen,bathroom,kitchen,kitchen
9180,d06 Sun 09:00,bedroom,bedroom,entry,living,bedroom,bedroom,kitchen,kitchen,bedroom,kitchen,kitchen,bedroom,living,entry,entry,living,living,living,living,living,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,bathroom,entry,kitchen,bathroom,kitchen,living
9240,d06 Sun 10:00,bedroom,bedroom,entry,kitchen,bedroom,bedroom,kitchen,kitchen,bedroom,kitchen,kitchen,bedroom,living,entry,entry,kitchen,living,kitchen,living,living,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,bathroom,entry,kitchen,bathroom,kitchen,kitchen
9300,d06 Sun 11:00,bedroom,outside,outside,outside,outside,bedroom,kitchen,kitchen,outside,kitchen,outside,outside,living,outside,outside,outside,living,kitchen,living,living,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,bathroom,entry,kitchen,bathroom,outside,outside
9360,d06 Sun 12:00,bedroom,entry,entry,entry,bedroom,bedroom,kitchen,kitchen,bedroom,kitchen,kitchen,kitchen,living,entry,kitchen,kitchen,living,kitchen,living,living,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,bathroom,entry,kitchen,bathroom,kitchen,bedroom
9420,d06 Sun 13:00,bedroom,entry,entry,entry,bedroom,bedroom,kitchen,kitchen,bedroom,kitchen,kitchen,kitchen,living,entry,kitchen,kitchen,living,kitchen,kitchen,living,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,bathroom,entry,kitchen,bathroom,kitchen,bedroom
9480,d06 Sun 14:00,bedroom,entry,entry,entry,bedroom,bedroom,kitchen,kitchen,bedroom,kitchen,kitchen,kitchen,living,entry,living,kitchen,living,kitchen,kitchen,living,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,bathroom,entry,kitchen,bathroom,kitchen,bedroom
9540,d06 Sun 15:00,bedroom,entry,entry,entry,bedroom,bedroom,kitchen,kitchen,bedroom,kitchen,kitchen,kitchen,bedroom,entry,kitchen,kitchen,living,kitchen,kitchen,living,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,bathroom,entry,kitchen,bathroom,kitchen,bedroom
9600,d06 Sun 16:00,bedroom,entry,entry,entry,bedroom,bedroom,kitchen,kitchen,bedroom,kitchen,kitchen,kitchen,bedroom,entry,kitchen,kitchen,living,kitchen,kitchen,living,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,bathroom,entry,kitchen,bathroom,kitchen,bedroom
9660,d06 Sun 17:00,bedroom,entry,entry,entry,bedroom,bedroom,kitchen,kitchen,bedroom,kitchen,kitchen,kitchen,bedroom,entry,kitchen,kitchen,living,kitchen,kitchen,living,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,bathroom,entry,kitchen,bathroom,kitchen,bedroom
9720,d06 Sun 18:00,bedroom,outside,outside,outside,outside,bedroom,kitchen,kitchen,outside,kitchen,outside,outside,bedroom,outside,outside,outside,living,kitchen,kitchen,living,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,bathroom,entry,kitchen,bathroom,outside,outside
9780,d06 Sun 19:00,bedroom,bedroom,entry,entry,bedroom,kitchen,kitchen,kitchen,bedroom,kitchen,kitchen,bedroom,bedroom,entry,entry,kitchen,living,kitchen,kitchen,living,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,bathroom,entry,kitchen,bathroom,kitchen,bedroom
9840,d06 Sun 20:00,bedroom,bedroom,entry,entry,bedroom,kitchen,kitchen,kitchen,bedroom,kitchen,kitchen,bedroom,bedroom,entry,entry,kitchen,living,kitchen,kitchen,living,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,bathroom,entry,kitchen,bathroom,kitchen,bedroom
9900,d06 Sun 21:00,bedroom,bedroom,entry,entry,bedroom,kitchen,kitchen,kitchen,bedroom,kitchen,kitchen,bedroom,bedroom,entry,entry,kitchen,living,kitchen,kitchen,living,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,bathroom,entry,kitchen,bathroom,kitchen,bedroom
9960,d06 Sun 22:00,bedroom,bedroom,entry,entry,bedroom,kitchen,kitchen,kitchen,bedroom,kitchen,kitchen,bedroom,bedroom,entry,entry,kitchen,living,kitchen,kitchen,living,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,bathroom,entry,kitchen,bathroom,kitchen,bedroom
10020,d06 Sun 23:00,bedroom,bedroom,entry,entry,bedroom,kitchen,kitchen,kitchen,bedroom,kitchen,kitchen,bedroom,bedroom,entry,entry,kitchen,living,kitchen,kitchen,living,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,bathroom,entry,kitchen,bathroom,kitchen,bedroom
10080,d07 Mon 00:00,bedroom,bedroom,entry,entry,bedroom,kitchen,kitchen,kitchen,bedroom,kitchen,kitchen,bedroom,bedroom,entry,entry,kitchen,living,kitchen,kitchen,living,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,bathroom,entry,kitchen,bathroom,kitchen,bedroom
10140,d07 Mon 01:00,bedroom,bedroom,entry,entry,bedroom,kitchen,kitchen,kitchen,bedroom,kitchen,kitchen,bedroom,bedroom,entry,entry,kitchen,living,kitchen,kitchen,living,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,bathroom,entry,kitchen,bathroom,kitchen,bedroom
10200,d07 Mon 02:00,bedroom,bedroom,entry,entry,bedroom,kitchen,kitchen,kitchen,bedroom,kitchen,kitchen,bedroom,bedroom,entry,entry,kitchen,living,kitchen,kitchen,living,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,bathroom,entry,kitchen,bathroom,kitchen,bedroom
10260,d07 Mon 03:00,bedroom,bedroom,entry,entry,bedroom,kitchen,kitchen,kitchen,bedroom,kitchen,kitchen,bedroom,bedroom,entry,entry,kitchen,living,kitchen,kitchen,living,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,bathroom,entry,kitchen,bathroom,kitchen,bedroom
10320,d07 Mon 04:00,bedroom,bedroom,entry,entry,bedroom,kitchen,kitchen,kitchen,bedroom,kitchen,kitchen,bedroom,bedroom,entry,entry,kitchen,living,kitchen,kitchen,living,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,bathroom,entry,kitchen,bathroom,kitchen,bedroom
10380,d07 Mon 05:00,bedroom,bedroom,entry,entry,bedroom,kitchen,kitchen,kitchen,bedroom,kitchen,kitchen,bedroom,bedroom,entry,entry,kitchen,living,kitchen,kitchen,living,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,bathroom,entry,kitchen,bathroom,kitchen,bedroom
10440,d07 Mon 06:00,bedroom,bedroom,entry,entry,bedroom,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,bedroom,entry,entry,kitchen,living,kitchen,kitchen,living,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,bathroom,entry,kitchen,bedroom,kitchen,bedroom
10500,d07 Mon 07:00,bedroom,bedroom,entry,entry,bedroom,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,bedroom,entry,entry,kitchen,living,kitchen,kitchen,living,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,bathroom,entry,kitchen,bedroom,kitchen,bedroom
10560,d07 Mon 08:00,bedroom,bedroom,entry,entry,bedroom,bedroom,bedroom,bedroom,kitchen,bedroom,kitchen,bedroom,bedroom,entry,entry,kitchen,living,kitchen,kitchen,living,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,bathroom,entry,kitchen,bedroom,kitchen,bedroom
10620,d07 Mon 09:00,bedroom,bedroom,entry,entry,bedroom,bedroom,bedroom,bedroom,kitchen,bedroom,kitchen,bedroom,bedroom,entry,entry,kitchen,living,kitchen,kitchen,living,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,bathroom,entry,kitchen,bedroom,kitchen,bedroom
10680,d07 Mon 10:00,bedroom,bedroom,entry,entry,bedroom,bedroom,bedroom,bedroom,kitchen,bedroom,kitchen,bedroom,bedroom,entry,entry,kitchen,living,kitchen,kitchen,living,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,bathroom,entry,kitchen,bedroom,kitchen,bedroom
10740,d07 Mon 11:00,kitchen,kitchen,entry,entry,kitchen,kitchen,kitchen,kitchen,bedroom,kitchen,bedroom,bedroom,bedroom,entry,entry,kitchen,living,kitchen,kitchen,living,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,bathroom,entry,kitchen,bedroom,kitchen,bedroom
