t,stamp,mug_marie,mug_1,bowl_marie,plate_1,laptop_marie,phone_marie,tablet_marie,keys_marie,wallet_marie,book_marie,book_1,water_bottle_marie,remote_marie,charger_marie,backpack_marie,jacket_marie,glasses_marie,notebook_marie,pen_marie,medication_bottle_marie,blanket_marie,towel_marie,gaming_controller_marie,umbrella_marie,laundry_basket_marie,vacuum_cleaner_1,pot_1,pan_1,suitcase_marie,watering_can_marie
5940,d04 Fri 03:00,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,living,living,kitchen,living,kitchen,kitchen,entry,bedroom,living,kitchen,bathroom,living,bathroom,living,entry,bedroom,entry,kitchen,kitchen,bedroom,kitchen
6000,d04 Fri 04:00,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,living,living,kitchen,living,kitchen,kitchen,entry,bedroom,living,kitchen,bathroom,living,bathroom,living,entry,bedroom,entry,kitchen,kitchen,bedroom,kitchen
6060,d04 Fri 05:00,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,living,living,kitchen,living,kitchen,kitchen,entry,bedroom,living,kitchen,bathroom,living,bathroom,living,entry,bedroom,entry,kitchen,kitchen,bedroom,kitchen
6120,d04 Fri 06:00,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,living,living,kitchen,living,kitchen,kitchen,entry,bedroom,living,kitchen,kitchen,living,bathroom,living,entry,bedroom,entry,kitchen,kitchen,bedroom,kitchen
6180,d04 Fri 07:00,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,living,living,kitchen,living,kitchen,kitchen,entry,kitchen,living,kitchen,kitchen,living,bathroom,living,entry,bedroom,entry,kitchen,kitchen,bedroom,kitchen
6240,d04 Fri 08:00,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,living,living,kitchen,living,kitchen,kitchen,entry,kitchen,living,kitchen,kitchen,living,bathroom,living,entry,bedroom,entry,kitchen,kitchen,bedroom,kitchen
6300,d04 Fri 09:00,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,living,living,kitchen,living,kitchen,kitchen,entry,kitchen,living,kitchen,kitchen,living,bathroom,living,entry,bedroom,entry,kitchen,kitchen,bedroom,kitchen
6360,d04 Fri 10:00,living,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,living,living,kitchen,living,kitchen,kitchen,entry,bedroom,living,kitchen,kitchen,living,bathroom,living,entry,bedroom,entry,kitchen,kitchen,bedroom,kitchen
6420,d04 Fri 11:00,living,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,kitchen,living,kitchen,living,kitchen,kitchen,entry,bedroom,living,kitchen,kitchen,living,bathroom,living,entry,bedroom,entry,kitchen,kitchen,bedroom,kitchen
6480,d04 Fri 12:00,living,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,kitchen,living,kitchen,living,kitchen,kitchen,entry,bedroom,living,kitchen,kitchen,living,bathroom,living,entry,bedroom,entry,kitchen,kitchen,bedroom,kitchen
6540,d04 Fri 13:00,living,kitchen,kitchen,kitchen,outside,outside,kitchen,outside,outside,outside,living,outside,living,outside,outside,outside,bedroom,outside,outside,kitchen,living,bathroom,living,outside,bedroom,entry,kitchen,kitchen,outside,kitchen
6600,d04 Fri 14:00,living,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,entry,entry,living,living,kitchen,living,kitchen,kitchen,entry,bedroom,kitchen,bedroom,kitchen,living,bathroom,living,entry,bedroom,entry,kitchen,kitchen,bedroom,kitchen
6660,d04 Fri 15:00,living,kitchen,kitchen,kitchen,kitchen,kitchen,living,entry,entry,living,living,kitchen,living,kitchen,kitchen,entry,bedroom,living,bedroom,kitchen,living,bathroom,living,entry,bedroom,entry,kitchen,kitchen,bedroom,kitchen
6720,d04 Fri 16:00,living,kitchen,kitchen,kitchen,kitchen,kitchen,living,entry,entry,living,living,kitchen,living,kitchen,kitchen,entry,bedroom,living,bedroom,kitchen,living,bathroom,living,entry,bedroom,entry,kitchen,kitchen,bedroom,kitchen
6780,d04 Fri 17:00,living,kitchen,kitchen,kitchen,kitchen,kitchen,living,entry,entry,living,living,kitchen,living,kitchen,kitchen,entry,bedroom,living,bedroom,kitchen,living,bathroom,living,entry,bedroom,entry,kitchen,kitchen,bedroom,kitchen
6840,d04 Fri 18:00,living,kitchen,kitchen,kitchen,kitchen,kitchen,living,entry,entry,living,living,kitchen,living,kitchen,kitchen,entry,bedroom,living,bedroom,kitchen,living,bathroom,living,entry,bedroom,entry,kitchen,kitchen,bedroom,kitchen
6900,d04 Fri 19:00,living,kitchen,kitchen,kitchen,kitchen,kitchen,living,entry,entry,living,living,kitchen,living,kitchen,kitchen,entry,bedroom,living,bedroom,kitchen,living,bathroom,living,entry,bedroom,entry,kitchen,kitchen,bedroom,kitchen
6960,d04 Fri 20:00,living,kitchen,kitchen,kitchen,kitchen,kitchen,living,entry,entry,living,living,kitchen,living,kitchen,kitchen,entry,bedroom,living,bedroom,kitchen,living,bathroom,living,entry,bedroom,entry,kitchen,kitchen,bedroom,kitchen
7020,d04 Fri 21:00,living,kitchen,kitchen,kitchen,kitchen,kitchen,living,entry,entry,living,living,kitchen,living,kitchen,kitchen,entry,bedroom,living,bedroom,kitchen,living,bathroom,living,entry,bedroom,entry,kitchen,kitchen,bedroom,kitchen
7080,d04 Fri 22:00,living,kitchen,kitchen,kitchen,kitchen,kitchen,living,entry,entry,living,living,kitchen,living,kitchen,kitchen,entry,bedroom,living,bedroom,kitchen,living,bathroom,living,entry,bedroom,entry,kitchen,kitchen,bedroom,kitchen
7140,d04 Fri 23:00,living,kitchen,kitchen,kitchen,kitchen,kitchen,living,entry,entry,living,living,kitchen,living,kitchen,kitchen,entry,bedroom,living,bedroom,kitchen,living,bathroom,living,entry,bedroom,entry,kitchen,kitchen,bedroom,kitchen
7200,d05 Sat 00:00,living,kitchen,kitchen,kitchen,kitchen,kitchen,living,entry,entry,living,living,kitchen,living,kitchen,kitchen,entry,bedroom,living,bedroom,kitchen,living,bathroom,living,entry,bedroom,entry,kitchen,kitchen,bedroom,kitchen
7260,d05 Sat 01:00,living,kitchen,kitchen,kitchen,kitchen,kitchen,living,entry,entry,living,living,kitchen,living,kitchen,kitchen,entry,bedroom,living,bedroom,kitchen,living,bathroom,living,entry,bedroom,entry,kitchen,kitchen,bedroom,kitchen
7320,d05 Sat 02:00,living,kitchen,kitchen,kitchen,kitchen,kitchen,living,entry,entry,living,living,kitchen,living,kitchen,kitchen,entry,bedroom,living,bedroom,kitchen,living,bathroom,living,entry,bedroom,entry,kitchen,kitchen,bedroom,kitchen
7380,d05 Sat 03:00,living,kitchen,kitchen,kitchen,kitchen,kitchen,living,entry,entry,living,living,kitchen,living,kitchen,kitchen,entry,bedroom,living,bedroom,kitchen,living,bathroom,living,entry,bedroom,entry,kitchen,kitchen,bedroom,kitchen
7440,d05 Sat 04:00,living,kitchen,kitchen,kitchen,kitchen,kitchen,living,entry,entry,living,living,kitchen,living,kitchen,kitchen,entry,bedroom,living,bedroom,kitchen,living,bathroom,living,entry,bedroom,entry,kitchen,kitchen,bedroom,kitchen
7500,d05 Sat 05:00,living,kitchen,kitchen,kitchen,kitchen,kitchen,living,entry,entry,living,living,kitchen,living,kitchen,kitchen,entry,bedroom,living,bedroom,kitchen,living,bathroom,living,entry,bedroom,entry,kitchen,kitchen,bedroom,kitchen
7560,d05 Sat 06:00,living,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,entry,entry,living,kitchen,kitchen,living,kitchen,kitchen,entry,kitchen,living,bedroom,kitchen,living,bathroom,kitchen,entry,kitchen,entry,kitchen,kitchen,bedroom,kitchen
7620,d05 Sat 07:00,living,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,entry,entry,living,living,kitchen,living,kitchen,kitchen,entry,living,living,bedroom,bathroom,living,bathroom,living,entry,kitchen,entry,kitchen,kitchen,bedroom,kitchen
7680,d05 Sat 08:00,living,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,entry,entry,living,living,kitchen,living,kitchen,kitchen,entry,living,living,bedroom,bathroom,living,bathroom,living,entry,kitchen,entry,kitchen,kitchen,bedroom,kitchen
7740,d05 Sat 09:00,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,entry,entry,living,living,kitchen,living,kitchen,kitchen,entry,living,living,bedroom,bathroom,living,bathroom,living,entry,kitchen,entry,kitchen,kitchen,bedroom,kitchen
7800,d05 Sat 10:00,living,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,entry,entry,bedroom,living,kitchen,living,kitchen,kitchen,entry,living,living,bedroom,bathroom,living,bathroom,living,entry,kitchen,entry,kitchen,kitchen,bedroom,kitchen
7860,d05 Sat 11:00,living,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,entry,entry,bedroom,kitchen,kitchen,living,kitchen,kitchen,entry,living,living,bedroom,bathroom,living,bathroom,living,entry,kitchen,entry,kitchen,kitchen,bedroom,kitchen
7920,d05 Sat 12:00,living,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,entry,entry,bedroom,kitchen,kitchen,living,kitchen,kitchen,entry,living,living,bedroom,bathroom,living,bathroom,living,entry,kitchen,entry,kitchen,kitchen,bedroom,kitchen
7980,d05 Sat 13:00,living,living,kitchen,kitchen,kitchen,kitchen,kitchen,entry,entry,bedroom,living,kitchen,living,kitchen,kitchen,entry,living,living,bedroom,bathroom,living,bathroom,living,entry,kitchen,entry,kitchen,kitchen,bedroom,kitchen
8040,d05 Sat 14:00,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,entry,bedroom,living,kitchen,living,kitchen,kitchen,entry,living,living,bedroom,bathroom,living,bathroom,living,entry,kitchen,entry,kitchen,kitchen,bedroom,kitchen
8100,d05 Sat 15:00,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,entry,bedroom,living,kitchen,living,kitchen,kitchen,entry,living,kitchen,bedroom,bathroom,living,bathroom,living,entry,kitchen,entry,kitchen,kitchen,bedroom,kitchen
8160,d05 Sat 16:00,living,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,entry,bedroom,living,kitchen,living,kitchen,kitchen,entry,living,kitchen,bedroom,bathroom,living,bathroom,living,entry,kitchen,entry,kitchen,kitchen,bedroom,kitchen
8220,d05 Sat 17:00,living,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,entry,living,living,kitchen,living,kitchen,kitchen,entry,living,kitchen,bedroom,bathroom,living,bathroom,living,entry,kitchen,entry,kitchen,kitchen,bedroom,kitchen
8280,d05 Sat 18:00,living,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,entry,living,living,kitchen,living,kitchen,kitchen,entry,living,kitchen,bedroom,bathroom,living,bathroom,living,entry,kitchen,entry,kitchen,kitchen,bedroom,kitchen
8340,d05 Sat 19:00,living,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,entry,living,living,kitchen,living,kitchen,kitchen,entry,living,kitchen,bedroom,bathroom,living,bathroom,living,entry,kitchen,entry,kitchen,kitchen,bedroom,kitchen
8400,d05 Sat 20:00,living,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,entry,living,living,kitchen,living,kitchen,kitchen,entry,living,kitchen,bedroom,bathroom,living,bathroom,living,entry,kitchen,entry,kitchen,kitchen,bedroom,kitchen
8460,d05 Sat 21:00,living,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,entry,living,living,kitchen,living,kitchen,kitchen,entry,living,kitchen,bedroom,bathroom,living,bathroom,living,entry,kitchen,entry,kitchen,kitchen,bedroom,kitchen
8520,d05 Sat 22:00,living,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,entry,living,living,kitchen,living,kitchen,kitchen,entry,living,kitchen,bedroom,bathroom,living,bathroom,living,entry,kitchen,entry,kitchen,kitchen,bedroom,kitchen
8580,d05 Sat 23:00,living,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,entry,living,living,kitchen,living,kitchen,kitchen,entry,living,kitchen,bedroom,bathroom,living,bathroom,living,entry,kitchen,entry,kitchen,kitchen,bedroom,kitchen
8640,d06 Sun 00:00,living,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,entry,living,living,kitchen,living,kitchen,kitchen,entry,living,kitchen,bedroom,bathroom,living,bathroom,living,entry,kitchen,entry,kitchen,kitchen,bedroom,kitchen
8700,d06 Sun 01:00,living,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,entry,living,living,kitchen,living,kitchen,kitchen,entry,living,kitchen,bedroom,bathroom,living,bathroom,living,entry,kitchen,entry,kitchen,kitchen,bedroom,kitchen
8760,d06 Sun 02:00,living,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,entry,living,living,kitchen,living,kitchen,kitchen,entry,living,kitchen,bedroom,bathroom,living,bathroom,living,entry,kitchen,entry,kitchen,kitchen,bedroom,kitchen
8820,d06 Sun 03:00,living,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,entry,living,living,kitchen,living,kitchen,kitchen,entry,living,kitchen,bedroom,bathroom,living,bathroom,living,entry,kitchen,entry,kitchen,kitchen,bedroom,kitchen
8880,d06 Sun 04:00,living,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,entry,living,living,kitchen,living,kitchen,kitchen,entry,living,kitchen,bedroom,bathroom,living,bathroom,living,entry,kitchen,entry,kitchen,kitchen,bedroom,kitchen
8940,d06 Sun 05:00,living,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,entry,living,living,kitchen,living,kitchen,kitchen,entry,kitchen,kitchen,bedroom,kitchen,living,bathroom,living,entry,kitchen,entry,kitchen,kitchen,bedroom,kitchen
9000,d06 Sun 06:00,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,entry,living,living,kitchen,living,kitchen,kitchen,entry,kitchen,kitchen,bedroom,kitchen,living,bathroom,living,entry,kitchen,entry,kitchen,kitchen,bedroom,kitchen
9060,d06 Sun 07:00,living,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,entry,living,living,kitchen,living,kitchen,kitchen,entry,living,kitchen,bedroom,kitchen,living,bathroom,living,entry,kitchen,entry,kitchen,kitchen,bedroom,entry
9120,d06 Sun 08:00,living,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,entry,living,living,kitchen,living,kitchen,kitchen,entry,living,kitchen,bedroom,kitchen,living,bathroom,living,entry,kitchen,entry,kitchen,kitchen,bedroom,entry
9180,d06 Sun 09:00,living,kitchen,kitchen,kitchen,outside,outside,kitchen,outside,outside,outside,living,outside,living,outside,outside,outside,bedroom,outside,outside,kitchen,living,bathroom,living,outside,kitchen,entry,kitchen,kitchen,outside,entry
9240,d06 Sun 10:00,living,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,entry,living,living,kitchen,living,kitchen,kitchen,entry,bedroom,kitchen,bedroom,kitchen,living,bathroom,living,entry,kitchen,entry,kitchen,kitchen,bedroom,entry
9300,d06 Sun 11:00,living,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,entry,living,living,kitchen,living,kitchen,kitchen,entry,kitchen,kitchen,bedroom,kitchen,living,bathroom,living,entry,kitchen,entry,kitchen,kitchen,bedroom,entry
9360,d06 Sun 12:00,living,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,entry,living,living,kitchen,living,kitchen,kitchen,entry,kitchen,kitchen,bedroom,kitchen,living,bathroom,living,entry,kitchen,entry,kitchen,kitchen,bedroom,entry
9420,d06 Sun 13:00,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,entry,living,living,kitchen,living,kitchen,kitchen,entry,kitchen,kitchen,bedroom,kitchen,living,bathroom,living,entry,kitchen,entry,kitchen,kitchen,bedroom,entry
9480,d06 Sun 14:00,living,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,entry,living,living,kitchen,living,kitchen,kitchen,entry,living,kitchen,bedroom,kitchen,living,bathroom,living,entry,kitchen,entry,kitchen,kitchen,bedroom,entry
9540,d06 Sun 15:00,living,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,entry,bedroom,living,kitchen,living,kitchen,kitchen,entry,living,kitchen,bedroom,kitchen,living,bathroom,living,entry,kitchen,entry,kitchen,kitchen,bedroom,entry
9600,d06 Sun 16:00,living,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,entry,bedroom,living,kitchen,living,kitchen,kitchen,entry,living,kitchen,bedroom,kitchen,living,bathroom,living,entry,kitchen,entry,kitchen,kitchen,bedroom,entry
9660,d06 Sun 17:00,living,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,entry,bedroom,living,kitchen,living,kitchen,kitchen,entry,living,kitchen,bedroom,kitchen,living,bathroom,living,entry,kitchen,entry,kitchen,kitchen,bedroom,entry
9720,d06 Sun 18:00,living,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,entry,bedroom,living,kitchen,living,kitchen,kitchen,entry,living,kitchen,bedroom,kitchen,living,bathroom,living,entry,kitchen,entry,kitchen,kitchen,bedroom,entry
9780,d06 Sun 19:00,living,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,entry,bedroom,living,kitchen,living,kitchen,kitchen,entry,living,kitchen,bedroom,kitchen,living,bathroom,living,entry,kitchen,entry,kitchen,kitchen,bedroom,entry
9840,d06 Sun 20:00,living,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,entry,bedroom,living,kitchen,living,kitchen,kitchen,entry,living,kitchen,bedroom,kitchen,living,bathroom,living,entry,kitchen,entry,kitchen,kitchen,bedroom,entry
9900,d06 Sun 21:00,living,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,entry,bedroom,living,kitchen,living,kitchen,kitchen,entry,living,kitchen,bedroom,kitchen,living,bathroom,living,entry,kitchen,entry,kitchen,kitchen,bedroom,entry
9960,d06 Sun 22:00,living,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,entry,bedroom,living,kitchen,living,kitchen,kitchen,entry,living,kitchen,bedroom,kitchen,living,bathroom,living,entry,kitchen,entry,kitchen,kitchen,bedroom,entry
10020,d06 Sun 23:00,living,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,entry,bedroom,living,kitchen,living,kitchen,kitchen,entry,living,kitchen,bedroom,kitchen,living,bathroom,living,entry,kitchen,entry,kitchen,kitchen,bedroom,entry
10080,d07 Mon 00:00,living,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,entry,bedroom,living,kitchen,living,kitchen,kitchen,entry,living,kitchen,bedroom,kitchen,living,bathroom,living,entry,kitchen,entry,kitchen,kitchen,bedroom,entry
10140,d07 Mon 01:00,living,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,entry,bedroom,living,kitchen,living,kitchen,kitchen,entry,living,kitchen,bedroom,kitchen,living,bathroom,living,entry,kitchen,entry,kitchen,kitchen,bedroom,entry
10200,d07 Mon 02:00,living,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,entry,bedroom,living,kitchen,living,kitchen,kitchen,entry,living,kitchen,bedroom,kitchen,living,bathroom,living,entry,kitchen,entry,kitchen,kitchen,bedroom,entry
10260,d07 Mon 03:00,living,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,entry,bedroom,living,kitchen,living,kitchen,kitchen,entry,living,kitchen,bedroom,kitchen,living,bathroom,living,entry,kitchen,entry,kitchen,kitchen,bedroom,entry
10320,d07 Mon 04:00,living,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,entry,bedroom,living,kitchen,living,kitchen,kitchen,entry,living,kitchen,bedroom,kitchen,living,bathroom,living,entry,kitchen,entry,kitchen,kitchen,bedroom,entry
10380,d07 Mon 05:00,living,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,entry,bedroom,living,kitchen,living,kitchen,kitchen,entry,living,kitchen,bedroom,kitchen,living,bathroom,living,entry,kitchen,entry,kitchen,kitchen,bedroom,entry
10440,d07 Mon 06:00,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,living,kitchen,living,kitchen,kitchen,entry,living,kitchen,bedroom,bathroom,living,bathroom,living,entry,kitchen,entry,kitchen,kitchen,bedroom,entry
10500,d07 Mon 07:00,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,living,kitchen,living,kitchen,kitchen,entry,living,kitchen,bedroom,bathroom,living,bathroom,living,entry,kitchen,entry,kitchen,kitchen,bedroom,entry
10560,d07 Mon 08:00,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,living,kitchen,living,kitchen,kitchen,entry,living,kitchen,kitchen,bathroom,living,bathroom,living,entry,kitchen,entry,kitchen,kitchen,bedroom,entry
10620,d07 Mon 09:00,kitchen,kitchen,kitchen,kitchen,kitchen,living,kitchen,kitchen,kitchen,bedroom,living,kitchen,living,kitchen,kitchen,entry,living,kitchen,kitchen,bathroom,living,bathroom,living,entry,kitchen,entry,kitchen,kitchen,bedroom,entry
10680,d07 Mon 10:00,living,kitchen,kitchen,kitchen,kitchen,living,kitchen,kitchen,kitchen,bedroom,living,kitchen,living,kitchen,kitchen,entry,bedroom,kitchen,kitchen,kitchen,living,bathroom,living,entry,kitchen,entry,kitchen,kitchen,bedroom,entry
10740,d07 Mon 11:00,living,kitchen,kitchen,kitchen,kitchen,living,kitchen,kitchen,kitchen,bedroom,living,kitchen,living,kitchen,kitchen,entry,bedroom,kitchen,kitchen,kitchen,living,bathroom,living,entry,kitchen,entry,kitchen,kitchen,bedroom,entry
10800,d07 Mon 12:00,living,kitchen,kitchen,kitchen,kitchen,living,kitchen,kitchen,kitchen,bedroom,living,kitchen,living,kitchen,kitchen,entry,bedroom,kitchen,kitchen,kitchen,living,bathroom,living,entry,kitchen,entry,kitchen,kitchen,bedroom,entry
10860,d07 Mon 13:00,living,kitchen,kitchen,kitchen,kitchen,living,kitchen,kitchen,kitchen,bedroom,living,kitchen,living,kitchen,kitchen,entry,bedroom,kitchen,kitchen,kitchen,living,bathroom,living,entry,kitchen,entry,kitchen,kitchen,bedroom,entry
10920,d07 Mon 14:00,living,kitchen,kitchen,kitchen,kitchen,living,kitchen,kitchen,kitchen,bedroom,living,kitchen,living,kitchen,kitchen,entry,bedroom,kitchen,kitchen,kitchen,living,bathroom,living,entry,kitchen,entry,kitchen,kitchen,bedroom,entry
10980,d07 Mon 15:00,living,kitchen,kitchen,kitchen,kitchen,living,kitchen,kitchen,kitchen,bedroom,living,kitchen,living,kitchen,kitchen,entry,bedroom,kitchen,kitchen,bathroom,living,bathroom,living,entry,kitchen,entry,kitchen,kitchen,bedroom,entry
11040,d07 Mon 16:00,living,kitchen,kitchen,kitchen,kitchen,living,kitchen,kitchen,kitchen,bedroom,living,kitchen,living,kitchen,kitchen,entry,bedroom,kitchen,kitchen,bathroom,living,bathroom,living,entry,kitchen,entry,kitchen,kitchen,bedroom,entry
11100,d07 Mon 17:00,living,kitchen,kitchen,kitchen,kitchen,living,kitchen,kitchen,kitchen,bedroom,living,kitchen,living,kitchen,kitchen,entry,bedroom,kitchen,kitchen,bathroom,living,bathroom,living,entry,kitchen,entry,kitchen,kitchen,bedroom,entry
11160,d07 Mon 18:00,living,kitchen,kitchen,kitchen,kitchen,living,kitchen,kitchen,kitchen,bedroom,living,kitchen,living,kitchen,kitchen,entry,bedroom,kitchen,kitchen,bathroom,living,bathroom,living,entry,kitchen,entry,kitchen,kitchen,bedroom,entry
11220,d07 Mon 19:00,living,kitchen,kitchen,kitchen,kitchen,living,kitchen,kitchen,kitchen,bedroom,living,kitchen,living,kitchen,kitchen,entry,bedroom,kitchen,kitchen,bathroom,living,bathroom,living,entry,kitchen,entry,kitchen,kitchen,bedroom,entry
11280,d07 Mon 20:00,living,kitchen,kitchen,kitchen,kitchen,living,kitchen,kitchen,kitchen,bedroom,living,kitchen,living,kitchen,kitchen,entry,bedroom,kitchen,kitchen,bathroom,living,bathroom,living,entry,kitchen,entry,kitchen,kitchen,bedroom,entry
11340,d07 Mon 21:00,living,kitchen,kitchen,kitchen,kitchen,living,kitchen,kitchen,kitchen,bedroom,living,kitchen,living,kitchen,kitchen,entry,bedroom,kitchen,kitchen,bathroom,living,bathroom,living,entry,kitchen,entry,kitchen,kitchen,bedroom,entry
11400,d07 Mon 22:00,living,kitchen,kitchen,kitchen,kitchen,living,kitchen,kitchen,kitchen,bedroom,living,kitchen,living,kitchen,kitchen,entry,bedroom,kitchen,kitchen,bathroom,living,bathroom,living,entry,kitchen,entry,kitchen,kitchen,bedroom,entry
11460,d07 Mon 23:00,living,kitchen,kitchen,kitchen,kitchen,living,kitchen,kitchen,kitchen,bedroom,living,kitchen,living,kitchen,kitchen,entry,bedroom,kitchen,kitchen,bathroom,living,bathroom,living,entry,kitchen,entry,kitchen,kitchen,bedroom,entry
11520,d08 Tue 00:00,living,kitchen,kitchen,kitchen,kitchen,living,kitchen,kitchen,kitchen,bedroom,living,kitchen,living,kitchen,kitchen,entry,bedroom,kitchen,kitchen,bathroom,living,bathroom,living,entry,kitchen,entry,kitchen,kitchen,bedroom,entry
11580,d08 Tue 01:00,living,kitchen,kitchen,kitchen,kitchen,living,kitchen,kitchen,kitchen,bedroom,living,kitchen,living,kitchen,kitchen,entry,bedroom,kitchen,kitchen,bathroom,living,bathroom,living,entry,kitchen,entry,kitchen,kitchen,bedroom,entry
11640,d08 Tue 02:00,living,kitchen,kitchen,kitchen,kitchen,living,kitchen,kitchen,kitchen,bedroom,living,kitchen,living,kitchen,kitchen,entry,bedroom,kitchen,kitchen,bathroom,living,bathroom,living,entry,kitchen,entry,kitchen,kitchen,bedroom,entry
11700,d08 Tue 03:00,living,kitchen,kitchen,kitchen,kitchen,living,kitchen,kitchen,kitchen,bedroom,living,kitchen,living,kitchen,kitchen,entry,bedroom,kitchen,kitchen,bathroom,living,bathroom,living,entry,kitchen,entry,kitchen,kitchen,bedroom,entry
11760,d08 Tue 04:00,living,kitchen,kitchen,kitchen,kitchen,living,kitchen,kitchen,kitchen,bedroom,living,kitchen,living,kitchen,kitchen,entry,bedroom,kitchen,kitchen,bathroom,living,bathroom,living,entry,kitchen,entry,kitchen,kitchen,bedroom,entry
11820,d08 Tue 05:00,living,kitchen,kitchen,kitchen,kitchen,living,kitchen,kitchen,kitchen,bedroom,living,kitchen,living,kitchen,kitchen,entry,bedroom,kitchen,kitchen,bathroom,living,bathroom,living,entry,kitchen,entry,kitchen,kitchen,bedroom,entry
11880,d08 Tue 06:00,kitchen,kitchen,kitchen,kitchen,kitchen,living,kitchen,kitchen,kitchen,bedroom,living,kitchen,living,kitchen,kitchen,entry,bedroom,kitchen,kitchen,bathroom,living,bathroom,living,entry,kitchen,entry,kitchen,kitchen,bedroom,entry
11940,d08 Tue 07:00,kitchen,kitchen,kitchen,kitchen,kitchen,living,kitchen,kitchen,kitchen,bedroom,living,kitchen,living,kitchen,kitchen,entry,bedroom,kitchen,kitchen,bathroom,living,bathroom,living,entry,kitchen,entry,kitchen,kitchen,bedroom,entry
