t,stamp,mug_1,mug_2,plate_1,plate_2,bowl_1,glasses_1,book_1,remote_1,blanket_1,notebook_1,pen_1,medication_bottle_1,keys_1,wallet_1,jacket_1
12180,d08 Fri 11:00,living,kitchen,living,kitchen,living,living,living,living,living,living,entry,kitchen,entry,entry,entry
12240,d08 Fri 12:00,living,kitchen,living,kitchen,living,living,living,living,living,living,living,kitchen,outside,outside,outside
12300,d08 Fri 13:00,living,kitchen,living,kitchen,living,living,living,living,living,living,living,kitchen,outside,outside,outside
12360,d08 Fri 14:00,living,kitchen,living,kitchen,living,living,living,living,living,living,living,kitchen,entry,entry,entry
12420,d08 Fri 15:00,living,kitchen,living,kitchen,living,living,living,living,living,living,living,kitchen,outside,outside,outside
12480,d08 Fri 16:00,living,kitchen,living,kitchen,living,living,living,living,living,living,living,kitchen,entry,entry,entry
12540,d08 Fri 17:00,living,kitchen,living,kitchen,living,living,living,living,living,bedroom,living,kitchen,entry,entry,entry
12600,d08 Fri 18:00,living,kitchen,living,kitchen,living,living,living,living,living,bedroom,living,kitchen,entry,entry,entry
12660,d08 Fri 19:00,living,kitchen,living,kitchen,living,living,living,living,living,bedroom,living,kitchen,entry,entry,entry
12720,d08 Fri 20:00,living,kitchen,living,kitchen,living,living,living,living,living,bedroom,living,kitchen,entry,entry,entry
12780,d08 Fri 21:00,living,kitchen,living,kitchen,living,living,living,living,living,bedroom,living,kitchen,entry,entry,entry
12840,d08 Fri 22:00,living,kitchen,living,kitchen,living,living,bedroom,living,living,bedroom,living,kitchen,entry,entry,entry
12900,d08 Fri 23:00,living,kitchen,living,kitchen,living,living,bedroom,living,living,bedroom,living,kitchen,entry,entry,entry
12960,d09 Sat 00:00,living,kitchen,living,kitchen,living,bedroom,bedroom,living,bedroom,bedroom,living,kitchen,entry,entry,entry
13020,d09 Sat 01:00,living,kitchen,living,kitchen,living,bedroom,bedroom,living,bedroom,bedroom,living,kitchen,entry,entry,entry
13080,d09 Sat 02:00,living,kitchen,living,kitchen,living,bedroom,bedroom,living,bedroom,bedroom,living,kitchen,entry,entry,entry
13140,d09 Sat 03:00,living,kitchen,living,kitchen,living,bedroom,bedroom,living,bedroom,bedroom,living,kitchen,entry,entry,entry
13200,d09 Sat 04:00,living,kitchen,living,kitchen,living,bedroom,bedroom,living,bedroom,bedroom,living,kitchen,entry,entry,entry
13260,d09 Sat 05:00,living,kitchen,living,kitchen,living,bedroom,bedroom,living,bedroom,bedroom,living,kitchen,entry,entry,entry
13320,d09 Sat 06:00,living,kitchen,living,kitchen,living,bedroom,bedroom,living,bedroom,bedroom,living,kitchen,entry,entry,entry
13380,d09 Sat 07:00,living,kitchen,living,kitchen,living,bedroom,bedroom,living,bedroom,bedroom,living,kitchen,entry,entry,entry
13440,d09 Sat 08:00,living,kitchen,living,kitchen,living,bedroom,bedroom,living,bedroom,bedroom,living,kitchen,entry,entry,entry
13500,d09 Sat 09:00,living,kitchen,living,kitchen,living,bedroom,bedroom,living,bedroom,bedroom,living,kitchen,entry,entry,entry
13560,d09 Sat 10:00,kitchen,kitchen,living,kitchen,living,bedroom,bedroom,living,bedroom,bedroom,living,kitchen,entry,entry,entry
13620,d09 Sat 11:00,kitchen,kitchen,living,kitchen,living,bedroom,bedroom,living,bedroom,bedroom,living,kitchen,entry,entry,entry
13680,d09 Sat 12:00,kitchen,kitchen,living,kitchen,living,bedroom,bedroom,living,bedroom,bedroom,living,kitchen,entry,entry,entry
13740,d09 Sat 13:00,kitchen,kitchen,living,kitchen,living,living,bedroom,living,bedroom,bedroom,living,kitchen,entry,entry,entry
13800,d09 Sat 14:00,kitchen,kitchen,living,kitchen,living,living,living,living,bedroom,bedroom,living,kitchen,entry,entry,entry
13860,d09 Sat 15:00,kitchen,kitchen,living,kitchen,living,living,living,living,bedroom,bedroom,living,kitchen,entry,entry,entry
13920,d09 Sat 16:00,kitchen,kitchen,living,kitchen,living,living,living,living,bedroom,bedroom,living,kitchen,entry,entry,entry
13980,d09 Sat 17:00,kitchen,kitchen,living,kitchen,living,living,living,living,bedroom,living,living,kitchen,entry,entry,entry
14040,d09 Sat 18:00,kitchen,kitchen,living,kitchen,living,living,living,living,bedroom,living,living,kitchen,entry,entry,entry
14100,d09 Sat 19:00,kitchen,kitchen,living,kitchen,living,living,living,living,bedroom,living,living,kitchen,entry,entry,entry
14160,d09 Sat 20:00,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,living,bedroom,living,living,kitchen,entry,entry,entry
14220,d09 Sat 21:00,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,living,bedroom,living,living,kitchen,entry,entry,entry
14280,d09 Sat 22:00,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,living,bedroom,living,living,kitchen,entry,entry,entry
14340,d09 Sat 23:00,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,living,living,bedroom,living,living,kitchen,entry,entry,entry
14400,d10 Sun 00:00,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,living,living,bedroom,living,living,kitchen,entry,entry,entry
14460,d10 Sun 01:00,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,living,living,bedroom,living,living,kitchen,entry,entry,entry
14520,d10 Sun 02:00,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,living,living,bedroom,living,living,kitchen,entry,entry,entry
14580,d10 Sun 03:00,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,living,living,bedroom,living,living,kitchen,entry,entry,entry
14640,d10 Sun 04:00,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,living,living,bedroom,living,living,kitchen,entry,entry,entry
14700,d10 Sun 05:00,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,living,living,bedroom,living,living,kitchen,entry,entry,entry
14760,d10 Sun 06:00,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,living,living,bedroom,living,living,kitchen,entry,entry,entry
14820,d10 Sun 07:00,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,living,living,bedroom,living,living,kitchen,entry,entry,entry
14880,d10 Sun 08:00,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,living,living,bedroom,living,living,kitchen,entry,entry,entry
14940,d10 Sun 09:00,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,bedroom,living,bedroom,living,living,kitchen,outside,outside,outside
15000,d10 Sun 10:00,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,bedroom,living,bedroom,living,living,kitchen,outside,outside,outside
15060,d10 Sun 11:00,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,bedroom,living,bedroom,living,living,kitchen,outside,outside,outside
15120,d10 Sun 12:00,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,bedroom,living,bedroom,living,living,kitchen,outside,outside,outside
15180,d10 Sun 13:00,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,living,living,bedroom,living,living,kitchen,entry,entry,entry
15240,d10 Sun 14:00,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,living,living,bedroom,living,living,kitchen,entry,entry,entry
15300,d10 Sun 15:00,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,living,living,bedroom,living,living,kitchen,entry,entry,entry
15360,d10 Sun 16:00,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,living,living,bedroom,living,living,kitchen,entry,entry,entry
15420,d10 Sun 17:00,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,living,living,bedroom,living,living,kitchen,entry,entry,entry
15480,d10 Sun 18:00,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,living,bedroom,living,living,kitchen,entry,entry,entry
15540,d10 Sun 19:00,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,living,living,living,living,kitchen,entry,entry,entry
15600,d10 Sun 20:00,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,living,living,living,living,kitchen,entry,entry,entry
15660,d10 Sun 21:00,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,living,living,living,living,kitchen,entry,entry,entry
15720,d10 Sun 22:00,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,living,living,living,living,kitchen,entry,entry,entry
15780,d10 Sun 23:00,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,living,living,living,living,kitchen,entry,entry,entry
15840,d11 Mon 00:00,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,living,living,living,living,living,kitchen,entry,entry,entry
15900,d11 Mon 01:00,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,living,living,living,living,living,kitchen,entry,entry,entry
15960,d11 Mon 02:00,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,living,living,living,living,living,kitchen,entry,entry,entry
16020,d11 Mon 03:00,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,living,living,living,living,living,kitchen,entry,entry,entry
16080,d11 Mon 04:00,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,living,living,living,living,living,kitchen,entry,entry,entry
16140,d11 Mon 05:00,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,living,living,living,living,living,kitchen,entry,entry,entry
16200,d11 Mon 06:00,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,living,living,bedroom,living,living,kitchen,entry,entry,entry
16260,d11 Mon 07:00,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,living,living,bedroom,living,living,kitchen,entry,entry,entry
16320,d11 Mon 08:00,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,living,living,bedroom,living,living,kitchen,entry,entry,entry
16380,d11 Mon 09:00,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,living,living,bedroom,living,living,kitchen,entry,entry,entry
16440,d11 Mon 10:00,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,living,bedroom,living,living,kitchen,entry,entry,entry
16500,d11 Mon 11:00,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,living,bedroom,bedroom,living,kitchen,outside,outside,outside
16560,d11 Mon 12:00,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,living,bedroom,bedroom,living,kitchen,outside,outside,outside
16620,d11 Mon 13:00,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,living,bedroom,bedroom,living,kitchen,outside,outside,outside
16680,d11 Mon 14:00,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,living,bedroom,bedroom,living,kitchen,outside,outside,outside
16740,d11 Mon 15:00,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,living,bedroom,bedroom,living,kitchen,outside,outside,outside
16800,d11 Mon 16:00,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,living,bedroom,bedroom,living,kitchen,entry,entry,entry
16860,d11 Mon 17:00,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,living,bedroom,bedroom,living,kitchen,outside,outside,outside
16920,d11 Mon 18:00,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,living,bedroom,bedroom,living,kitchen,outside,outside,outside
16980,d11 Mon 19:00,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,living,bedroom,bedroom,living,kitchen,outside,outside,outside
17040,d11 Mon 20:00,kitchen,kitchen,living,kitchen,kitchen,living,living,living,bedroom,bedroom,living,kitchen,entry,entry,entry
17100,d11 Mon 21:00,kitchen,kitchen,living,kitchen,kitchen,living,living,living,bedroom,bedroom,living,kitchen,entry,entry,entry
17160,d11 Mon 22:00,kitchen,kitchen,living,kitchen,kitchen,living,living,living,bedroom,bedroom,living,kitchen,entry,entry,entry
17220,d11 Mon 23:00,kitchen,kitchen,living,kitchen,kitchen,living,living,living,bedroom,bedroom,living,kitchen,entry,entry,entry
17280,d12 Tue 00:00,kitchen,kitchen,living,kitchen,kitchen,bedroom,living,living,bedroom,bedroom,living,kitchen,entry,entry,entry
17340,d12 Tue 01:00,kitchen,kitchen,living,kitchen,kitchen,bedroom,living,living,bedroom,bedroom,living,kitchen,entry,entry,entry
17400,d12 Tue 02:00,kitchen,kitchen,living,kitchen,kitchen,bedroom,living,living,bedroom,bedroom,living,kitchen,entry,entry,entry
17460,d12 Tue 03:00,kitchen,kitchen,living,kitchen,kitchen,bedroom,living,living,bedroom,bedroom,living,kitchen,entry,entry,entry
17520,d12 Tue 04:00,kitchen,kitchen,living,kitchen,kitchen,bedroom,living,living,bedroom,bedroom,living,kitchen,entry,entry,entry
17580,d12 Tue 05:00,kitchen,kitchen,living,kitchen,kitchen,bedroom,living,living,bedroom,bedroom,living,kitchen,entry,entry,entry
17640,d12 Tue 06:00,kitchen,kitchen,living,kitchen,kitchen,bedroom,living,living,bedroom,bedroom,living,kitchen,entry,entry,entry
17700,d12 Tue 07:00,kitchen,kitchen,living,kitchen,kitchen,bedroom,living,living,bedroom,bedroom,living,kitchen,entry,entry,entry
17760,d12 Tue 08:00,kitchen,kitchen,living,kitchen,kitchen,bedroom,living,living,bedroom,bedroom,living,kitchen,entry,entry,entry
17820,d12 Tue 09:00,kitchen,kitchen,living,kitchen,kitchen,bedroom,living,living,bedroom,bedroom,living,kitchen,entry,entry,entry
17880,d12 Tue 10:00,kitchen,kitchen,living,kitchen,kitchen,living,living,living,bedroom,bedroom,living,kitchen,entry,entry,entry
17940,d12 Tue 11:00,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,living,bedroom,bedroom,living,kitchen,entry,entry,entry
18000,d12 Tue 12:00,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,living,bedroom,bedroom,living,kitchen,outside,outside,outside
18060,d12 Tue 13:00,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,living,bedroom,living,living,kitchen,entry,entry,kitchen
18120,d12 Tue 14:00,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,living,bedroom,living,living,kitchen,entry,entry,kitchen
18180,d12 Tue 15:00,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,bedroom,living,bedroom,living,living,kitchen,entry,entry,entry
18240,d12 Tue 16:00,kitchen,kitchen,kitchen,kitchen,kitchen,living,bedroom,living,bedroom,living,living,kitchen,entry,entry,entry
18300,d12 Tue 17:00,kitchen,kitchen,kitchen,kitchen,kitchen,living,bedroom,living,bedroom,living,living,kitchen,entry,entry,entry
18360,d12 Tue 18:00,kitchen,kitchen,kitchen,kitchen,kitchen,living,bedroom,living,bedroom,living,living,kitchen,entry,entry,entry
18420,d12 Tue 19:00,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,living,bedroom,living,living,kitchen,entry,entry,entry
18480,d12 Tue 20:00,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,living,bedroom,living,living,kitchen,entry,entry,entry
18540,d12 Tue 21:00,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,living,bedroom,living,living,kitchen,entry,entry,entry
18600,d12 Tue 22:00,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,living,bedroom,living,living,kitchen,entry,entry,entry
18660,d12 Tue 23:00,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,living,bedroom,living,living,kitchen,entry,entry,entry
18720,d13 Wed 00:00,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,living,living,bedroom,living,living,kitchen,entry,entry,entry
18780,d13 Wed 01:00,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,living,living,bedroom,living,living,kitchen,entry,entry,entry
18840,d13 Wed 02:00,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,living,living,bedroom,living,living,kitchen,entry,entry,entry
18900,d13 Wed 03:00,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,living,living,bedroom,living,living,kitchen,entry,entry,entry
18960,d13 Wed 04:00,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,living,living,bedroom,living,living,kitchen,entry,entry,entry
19020,d13 Wed 05:00,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,living,living,bedroom,living,living,kitchen,entry,entry,entry
19080,d13 Wed 06:00,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,living,living,bedroom,living,living,kitchen,entry,entry,entry
19140,d13 Wed 07:00,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,living,living,bedroom,living,living,kitchen,entry,entry,entry
19200,d13 Wed 08:00,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,living,living,bedroom,living,living,kitchen,entry,entry,entry
19260,d13 Wed 09:00,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,living,living,bedroom,living,living,kitchen,entry,entry,entry
19320,d13 Wed 10:00,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,bedroom,living,bedroom,living,living,kitchen,outside,outside,outside
19380,d13 Wed 11:00,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,bedroom,living,bedroom,living,living,kitchen,outside,outside,outside
19440,d13 Wed 12:00,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,bedroom,living,bedroom,living,living,kitchen,outside,outside,outside
19500,d13 Wed 13:00,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,bedroom,living,bedroom,living,living,kitchen,outside,outside,outside
19560,d13 Wed 14:00,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,bedroom,living,bedroom,living,living,kitchen,outside,outside,outside
19620,d13 Wed 15:00,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,bedroom,living,bedroom,living,living,kitchen,outside,outside,outside
19680,d13 Wed 16:00,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,bedroom,living,bedroom,living,living,kitchen,outside,outside,outside
19740,d13 Wed 17:00,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,bedroom,living,bedroom,living,living,kitchen,outside,outside,outside
19800,d13 Wed 18:00,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,bedroom,living,bedroom,living,living,kitchen,outside,outside,outside
19860,d13 Wed 19:00,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,bedroom,living,bedroom,living,living,kitchen,entry,entry,kitchen
19920,d13 Wed 20:00,kitchen,kitchen,kitchen,kitchen,kitchen,living,bedroom,living,bedroom,living,living,kitchen,entry,entry,kitchen
19980,d13 Wed 21:00,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,living,bedroom,living,living,kitchen,entry,entry,kitchen
20040,d13 Wed 22:00,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,living,bedroom,living,living,kitchen,entry,entry,kitchen
20100,d13 Wed 23:00,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,living,bedroom,living,living,kitchen,entry,entry,kitchen
