t,stamp,mug_1,mug_2,bowl_1,plate_1,laptop_1,phone_1,phone_2,keys_1,keys_2,book_1,water_bottle_1,water_bottle_2,remote_1,charger_1,jacket_1,jacket_2,glasses_1,glasses_2,medication_bottle_1,blanket_1,towel_1,umbrella_1
8100,d05 Sat 15:00,kitchen,living,kitchen,kitchen,kitchen,living,living,entry,entry,living,bedroom_1,living,living,bedroom_1,entry,living,living,living,kitchen,living,kitchen,entry
8160,d05 Sat 16:00,kitchen,living,kitchen,kitchen,kitchen,living,living,entry,entry,living,bedroom_1,living,living,bedroom_1,entry,living,living,living,kitchen,living,kitchen,entry
8220,d05 Sat 17:00,kitchen,living,kitchen,kitchen,kitchen,kitchen,living,entry,entry,living,bedroom_1,living,living,bedroom_1,entry,living,kitchen,living,kitchen,living,kitchen,entry
8280,d05 Sat 18:00,kitchen,living,kitchen,kitchen,kitchen,kitchen,living,entry,entry,living,bedroom_1,living,living,bedroom_1,entry,living,kitchen,living,kitchen,living,kitchen,entry
8340,d05 Sat 19:00,kitchen,living,kitchen,kitchen,kitchen,living,living,entry,entry,living,bedroom_1,living,living,bedroom_1,entry,living,living,living,kitchen,living,kitchen,entry
8400,d05 Sat 20:00,kitchen,living,kitchen,kitchen,kitchen,living,living,entry,entry,living,bedroom_1,living,living,bedroom_1,entry,living,living,living,kitchen,living,kitchen,entry
8460,d05 Sat 21:00,kitchen,living,kitchen,kitchen,kitchen,living,living,entry,entry,living,bedroom_1,living,living,bedroom_1,entry,living,living,living,kitchen,living,kitchen,entry
8520,d05 Sat 22:00,kitchen,living,kitchen,kitchen,kitchen,bedroom_1,bedroom_2,entry,entry,living,bedroom_1,living,living,bedroom_1,entry,living,bedroom_1,living,kitchen,living,kitchen,entry
8580,d05 Sat 23:00,kitchen,living,kitchen,kitchen,kitchen,bedroom_1,bedroom_2,entry,entry,living,bedroom_1,living,living,bedroom_1,entry,living,bedroom_1,living,kitchen,living,kitchen,entry
8640,d06 Sun 00:00,kitchen,living,kitchen,kitchen,kitchen,bedroom_1,bedroom_2,entry,entry,living,bedroom_1,living,living,bedroom_1,entry,living,bedroom_1,living,kitchen,living,kitchen,entry
8700,d06 Sun 01:00,kitchen,living,kitchen,kitchen,kitchen,bedroom_1,bedroom_2,entry,entry,living,bedroom_1,living,living,bedroom_1,entry,living,bedroom_1,living,kitchen,living,kitchen,entry
8760,d06 Sun 02:00,kitchen,living,kitchen,kitchen,kitchen,bedroom_1,bedroom_2,entry,entry,living,bedroom_1,living,living,bedroom_1,entry,living,bedroom_1,living,kitchen,living,kitchen,entry
8820,d06 Sun 03:00,kitchen,living,kitchen,kitchen,kitchen,bedroom_1,bedroom_2,entry,entry,living,bedroom_1,living,living,bedroom_1,entry,living,bedroom_1,living,kitchen,living,kitchen,entry
8880,d06 Sun 04:00,kitchen,living,kitchen,kitchen,kitchen,bedroom_1,bedroom_2,entry,entry,living,bedroom_1,living,living,bedroom_1,entry,living,bedroom_1,living,kitchen,living,kitchen,entry
8940,d06 Sun 05:00,kitchen,living,kitchen,kitchen,kitchen,bedroom_1,bedroom_2,entry,entry,living,bedroom_1,living,living,bedroom_1,entry,living,bedroom_1,living,kitchen,living,kitchen,entry
9000,d06 Sun 06:00,kitchen,living,kitchen,kitchen,kitchen,bedroom_1,bedroom_2,entry,entry,living,bedroom_1,living,living,bedroom_1,entry,living,bedroom_1,living,kitchen,living,kitchen,entry
9060,d06 Sun 07:00,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom_2,entry,entry,living,bedroom_1,living,living,bedroom_1,entry,bedroom_2,kitchen,living,kitchen,living,kitchen,entry
9120,d06 Sun 08:00,kitchen,kitchen,kitchen,kitchen,kitchen,living,kitchen,entry,kitchen,living,bedroom_1,kitchen,living,bedroom_1,kitchen,kitchen,living,kitchen,kitchen,living,kitchen,entry
9180,d06 Sun 09:00,kitchen,living,kitchen,kitchen,kitchen,bathroom,kitchen,entry,entry,living,bedroom_1,living,living,bedroom_1,entry,kitchen,bathroom,living,kitchen,living,kitchen,entry
9240,d06 Sun 10:00,kitchen,living,kitchen,kitchen,kitchen,bathroom,living,entry,entry,living,bedroom_1,living,living,bedroom_1,entry,kitchen,bathroom,living,kitchen,living,kitchen,entry
9300,d06 Sun 11:00,kitchen,living,kitchen,kitchen,kitchen,kitchen,living,entry,entry,living,bedroom_1,living,living,bedroom_1,entry,kitchen,kitchen,living,kitchen,living,kitchen,entry
9360,d06 Sun 12:00,kitchen,living,kitchen,kitchen,kitchen,living,living,entry,entry,living,bedroom_1,living,living,bedroom_1,entry,kitchen,living,living,kitchen,living,kitchen,entry
9420,d06 Sun 13:00,kitchen,living,kitchen,kitchen,kitchen,outside,living,entry,entry,living,bedroom_1,living,living,bedroom_1,entry,kitchen,outside,living,kitchen,living,kitchen,entry
9480,d06 Sun 14:00,kitchen,living,kitchen,kitchen,kitchen,outside,outside,entry,entry,living,bedroom_1,living,living,bedroom_1,entry,kitchen,outside,living,kitchen,living,kitchen,entry
9540,d06 Sun 15:00,kitchen,living,kitchen,kitchen,kitchen,living,outside,entry,entry,living,bedroom_1,living,living,bedroom_1,entry,kitchen,living,living,kitchen,living,kitchen,entry
9600,d06 Sun 16:00,kitchen,living,kitchen,kitchen,kitchen,living,living,entry,entry,living,bedroom_1,living,living,bedroom_1,entry,kitchen,living,living,kitchen,living,kitchen,entry
9660,d06 Sun 17:00,kitchen,living,kitchen,kitchen,kitchen,kitchen,living,entry,entry,living,bedroom_1,living,living,bedroom_1,entry,kitchen,kitchen,living,kitchen,living,kitchen,entry
9720,d06 Sun 18:00,kitchen,living,kitchen,kitchen,kitchen,living,living,entry,entry,living,bedroom_1,living,living,bedroom_1,entry,kitchen,living,living,kitchen,living,kitchen,entry
9780,d06 Sun 19:00,kitchen,living,kitchen,kitchen,kitchen,living,living,entry,entry,living,bedroom_1,living,living,bedroom_1,entry,kitchen,living,living,kitchen,living,kitchen,entry
9840,d06 Sun 20:00,kitchen,living,kitchen,kitchen,kitchen,living,living,entry,entry,living,bedroom_1,living,living,bedroom_1,entry,kitchen,living,living,kitchen,living,kitchen,entry
9900,d06 Sun 21:00,kitchen,living,kitchen,kitchen,kitchen,living,living,entry,entry,living,bedroom_1,living,living,bedroom_1,entry,kitchen,living,living,kitchen,living,kitchen,entry
9960,d06 Sun 22:00,kitchen,living,kitchen,kitchen,kitchen,bedroom_1,bedroom_2,entry,entry,living,bedroom_1,living,living,bedroom_1,entry,kitchen,bedroom_1,living,kitchen,living,kitchen,entry
10020,d06 Sun 23:00,kitchen,living,kitchen,kitchen,kitchen,bedroom_1,bedroom_2,entry,entry,living,bedroom_1,living,living,bedroom_1,entry,kitchen,bedroom_1,living,kitchen,living,kitchen,entry
10080,d07 Mon 00:00,kitchen,living,kitchen,kitchen,kitchen,bedroom_1,bedroom_2,entry,entry,living,bedroom_1,living,living,bedroom_1,entry,kitchen,bedroom_1,living,kitchen,living,kitchen,entry
10140,d07 Mon 01:00,kitchen,living,kitchen,kitchen,kitchen,bedroom_1,bedroom_2,entry,entry,living,bedroom_1,living,living,bedroom_1,entry,kitchen,bedroom_1,living,kitchen,living,kitchen,entry
10200,d07 Mon 02:00,kitchen,living,kitchen,kitchen,kitchen,bedroom_1,bedroom_2,entry,entry,living,bedroom_1,living,living,bedroom_1,entry,kitchen,bedroom_1,living,kitchen,living,kitchen,entry
10260,d07 Mon 03:00,kitchen,living,kitchen,kitchen,kitchen,bedroom_1,bedroom_2,entry,entry,living,bedroom_1,living,living,bedroom_1,entry,kitchen,bedroom_1,living,kitchen,living,kitchen,entry
10320,d07 Mon 04:00,kitchen,living,kitchen,kitchen,kitchen,bedroom_1,bedroom_2,entry,entry,living,bedroom_1,living,living,bedroom_1,entry,kitchen,bedroom_1,living,kitchen,living,kitchen,entry
10380,d07 Mon 05:00,kitchen,living,kitchen,kitchen,kitchen,bedroom_1,bedroom_2,entry,entry,living,bedroom_1,living,living,bedroom_1,entry,kitchen,bedroom_1,living,kitchen,living,kitchen,entry
10440,d07 Mon 06:00,kitchen,living,kitchen,kitchen,kitchen,bedroom_1,bedroom_2,entry,entry,living,bedroom_1,living,living,bedroom_1,entry,kitchen,bedroom_1,living,kitchen,living,kitchen,entry
10500,d07 Mon 07:00,kitchen,living,kitchen,kitchen,kitchen,bathroom,bedroom_2,entry,entry,living,bedroom_1,living,living,bedroom_1,entry,kitchen,bathroom,living,kitchen,living,kitchen,entry
10560,d07 Mon 08:00,kitchen,living,kitchen,kitchen,kitchen,kitchen,kitchen,entry,kitchen,living,bedroom_1,kitchen,living,bedroom_1,kitchen,kitchen,kitchen,kitchen,kitchen,living,kitchen,entry
10620,d07 Mon 09:00,kitchen,living,kitchen,kitchen,kitchen,kitchen,living,entry,living,living,bedroom_1,living,living,bedroom_1,living,living,kitchen,living,kitchen,living,kitchen,entry
10680,d07 Mon 10:00,kitchen,living,kitchen,kitchen,kitchen,outside,living,entry,entry,living,bedroom_1,living,living,bedroom_1,entry,living,outside,living,kitchen,living,kitchen,entry
10740,d07 Mon 11:00,kitchen,living,kitchen,kitchen,kitchen,outside,living,entry,entry,living,bedroom_1,kitchen,living,bedroom_1,entry,living,outside,living,kitchen,living,kitchen,entry
10800,d07 Mon 12:00,kitchen,living,kitchen,kitchen,kitchen,kitchen,living,entry,entry,living,bedroom_1,kitchen,living,bedroom_1,entry,living,kitchen,living,kitchen,living,kitchen,entry
10860,d07 Mon 13:00,kitchen,living,kitchen,kitchen,kitchen,living,living,entry,entry,living,bedroom_1,kitchen,living,bedroom_1,entry,living,living,living,kitchen,living,kitchen,entry
10920,d07 Mon 14:00,kitchen,living,kitchen,kitchen,kitchen,living,living,entry,entry,living,bedroom_1,kitchen,living,bedroom_1,entry,living,living,living,kitchen,living,kitchen,entry
10980,d07 Mon 15:00,kitchen,living,kitchen,kitchen,kitchen,living,living,entry,entry,living,bedroom_1,kitchen,living,bedroom_1,entry,living,living,living,kitchen,living,kitchen,entry
11040,d07 Mon 16:00,kitchen,living,kitchen,kitchen,kitchen,kitchen,living,entry,entry,living,bedroom_1,kitchen,living,bedroom_1,entry,living,kitchen,living,kitchen,living,kitchen,entry
11100,d07 Mon 17:00,kitchen,living,kitchen,kitchen,kitchen,kitchen,living,entry,entry,living,bedroom_1,kitchen,living,bedroom_1,entry,living,kitchen,living,kitchen,living,kitchen,entry
11160,d07 Mon 18:00,kitchen,living,kitchen,kitchen,kitchen,kitchen,living,entry,entry,living,bedroom_1,kitchen,living,bedroom_1,entry,living,kitchen,living,kitchen,living,kitchen,entry
11220,d07 Mon 19:00,kitchen,living,kitchen,kitchen,kitchen,living,living,entry,entry,living,bedroom_1,kitchen,living,bedroom_1,entry,living,living,living,kitchen,living,kitchen,entry
11280,d07 Mon 20:00,kitchen,living,kitchen,kitchen,kitchen,living,living,entry,entry,living,bedroom_1,kitchen,living,bedroom_1,entry,living,living,living,kitchen,living,kitchen,entry
11340,d07 Mon 21:00,kitchen,living,kitchen,kitchen,kitchen,living,living,entry,entry,living,bedroom_1,kitchen,living,bedroom_1,entry,living,living,living,kitchen,living,kitchen,entry
11400,d07 Mon 22:00,kitchen,living,kitchen,kitchen,kitchen,living,living,entry,entry,living,bedroom_1,kitchen,living,bedroom_1,entry,living,bedroom_1,living,kitchen,living,kitchen,entry
11460,d07 Mon 23:00,kitchen,living,kitchen,kitchen,kitchen,bedroom_1,living,entry,entry,living,bedroom_1,kitchen,living,bedroom_1,entry,living,bedroom_1,living,kitchen,living,kitchen,entry
11520,d08 Tue 00:00,kitchen,living,kitchen,kitchen,kitchen,bedroom_1,living,entry,entry,living,bedroom_1,kitchen,living,bedroom_1,entry,living,bedroom_1,living,kitchen,living,kitchen,entry
11580,d08 Tue 01:00,kitchen,living,kitchen,kitchen,kitchen,bedroom_1,living,entry,entry,living,bedroom_1,kitchen,living,bedroom_1,entry,living,bedroom_1,living,kitchen,living,kitchen,entry
11640,d08 Tue 02:00,kitchen,living,kitchen,kitchen,kitchen,bedroom_1,living,entry,entry,living,bedroom_1,kitchen,living,bedroom_1,entry,living,bedroom_1,living,kitchen,living,kitchen,entry
11700,d08 Tue 03:00,kitchen,living,kitchen,kitchen,kitchen,bedroom_1,living,entry,entry,living,bedroom_1,kitchen,living,bedroom_1,entry,living,bedroom_1,living,kitchen,living,kitchen,entry
11760,d08 Tue 04:00,kitchen,living,kitchen,kitchen,kitchen,bedroom_1,living,entry,entry,living,bedroom_1,kitchen,living,bedroom_1,entry,living,bedroom_1,living,kitchen,living,kitchen,entry
11820,d08 Tue 05:00,kitchen,living,kitchen,kitchen,kitchen,bedroom_1,living,entry,entry,living,bedroom_1,kitchen,living,bedroom_1,entry,living,bedroom_1,living,kitchen,living,kitchen,entry
11880,d08 Tue 06:00,kitchen,living,kitchen,kitchen,kitchen,bedroom_1,living,entry,entry,living,bedroom_1,kitchen,living,bedroom_1,entry,living,bedroom_1,living,kitchen,living,kitchen,entry
11940,d08 Tue 07:00,kitchen,living,kitchen,kitchen,kitchen,bathroom,living,entry,entry,living,bedroom_1,kitchen,living,bedroom_1,entry,living,bathroom,living,kitchen,living,kitchen,entry
12000,d08 Tue 08:00,kitchen,living,kitchen,kitchen,kitchen,kitchen,bathroom,entry,bathroom,living,bedroom_1,bathroom,living,bedroom_1,bathroom,bathroom,kitchen,bathroom,kitchen,living,kitchen,entry
12060,d08 Tue 09:00,kitchen,living,kitchen,kitchen,kitchen,kitchen,kitchen,entry,kitchen,living,bedroom_1,kitchen,living,bedroom_1,kitchen,kitchen,kitchen,kitchen,kitchen,living,kitchen,entry
12120,d08 Tue 10:00,kitchen,living,kitchen,kitchen,kitchen,outside,living,entry,living,living,bedroom_1,kitchen,living,bedroom_1,entry,kitchen,outside,living,kitchen,living,kitchen,entry
12180,d08 Tue 11:00,kitchen,living,kitchen,kitchen,kitchen,outside,living,entry,living,living,bedroom_1,kitchen,living,bedroom_1,entry,kitchen,outside,living,kitchen,living,kitchen,entry
12240,d08 Tue 12:00,kitchen,living,kitchen,kitchen,kitchen,kitchen,kitchen,entry,living,living,bedroom_1,kitchen,living,bedroom_1,entry,kitchen,kitchen,living,kitchen,living,kitchen,entry
12300,d08 Tue 13:00,kitchen,living,kitchen,kitchen,kitchen,living,living,entry,living,living,bedroom_1,kitchen,living,bedroom_1,entry,kitchen,living,living,kitchen,living,kitchen,entry
12360,d08 Tue 14:00,kitchen,living,kitchen,kitchen,kitchen,living,living,entry,living,living,bedroom_1,kitchen,living,bedroom_1,living,kitchen,living,living,kitchen,living,kitchen,entry
12420,d08 Tue 15:00,kitchen,living,kitchen,kitchen,kitchen,living,living,entry,living,living,bedroom_1,kitchen,living,bedroom_1,living,kitchen,living,living,kitchen,living,kitchen,entry
12480,d08 Tue 16:00,kitchen,living,kitchen,kitchen,kitchen,kitchen,living,entry,entry,living,bedroom_1,kitchen,living,bedroom_1,entry,kitchen,kitchen,living,kitchen,living,kitchen,entry
12540,d08 Tue 17:00,kitchen,living,kitchen,kitchen,kitchen,kitchen,living,entry,entry,living,bedroom_1,kitchen,living,bedroom_1,entry,kitchen,kitchen,living,kitchen,living,kitchen,entry
12600,d08 Tue 18:00,kitchen,living,kitchen,kitchen,kitchen,kitchen,living,entry,entry,living,bedroom_1,kitchen,living,bedroom_1,entry,kitchen,kitchen,living,kitchen,living,kitchen,entry
12660,d08 Tue 19:00,kitchen,living,kitchen,kitchen,kitchen,living,living,entry,entry,living,bedroom_1,kitchen,living,bedroom_1,entry,kitchen,living,living,kitchen,living,kitchen,entry
12720,d08 Tue 20:00,kitchen,living,kitchen,kitchen,kitchen,living,living,entry,entry,living,bedroom_1,kitchen,living,bedroom_1,entry,kitchen,living,living,kitchen,living,kitchen,entry
12780,d08 Tue 21:00,kitchen,living,kitchen,kitchen,kitchen,living,living,entry,entry,living,bedroom_1,kitchen,living,bedroom_1,entry,kitchen,living,living,kitchen,living,kitchen,entry
12840,d08 Tue 22:00,kitchen,living,kitchen,kitchen,kitchen,bedroom_1,living,entry,entry,living,bedroom_1,kitchen,living,bedroom_1,entry,kitchen,bedroom_1,living,kitchen,living,kitchen,entry
12900,d08 Tue 23:00,kitchen,living,kitchen,kitchen,kitchen,bedroom_1,living,entry,entry,living,bedroom_1,kitchen,living,bedroom_1,entry,kitchen,bedroom_1,living,kitchen,living,kitchen,entry
12960,d09 Wed 00:00,kitchen,living,kitchen,kitchen,kitchen,bedroom_1,living,entry,entry,living,bedroom_1,kitchen,living,bedroom_1,entry,kitchen,bedroom_1,living,kitchen,living,kitchen,entry
13020,d09 Wed 01:00,kitchen,living,kitchen,kitchen,kitchen,bedroom_1,living,entry,entry,living,bedroom_1,kitchen,living,bedroom_1,entry,kitchen,bedroom_1,living,kitchen,living,kitchen,entry
13080,d09 Wed 02:00,kitchen,living,kitchen,kitchen,kitchen,bedroom_1,living,entry,entry,living,bedroom_1,kitchen,living,bedroom_1,entry,kitchen,bedroom_1,living,kitchen,living,kitchen,entry
13140,d09 Wed 03:00,kitchen,living,kitchen,kitchen,kitchen,bedroom_1,living,entry,entry,living,bedroom_1,kitchen,living,bedroom_1,entry,kitchen,bedroom_1,living,kitchen,living,kitchen,entry
13200,d09 Wed 04:00,kitchen,living,kitchen,kitchen,kitchen,bedroom_1,living,entry,entry,living,bedroom_1,kitchen,living,bedroom_1,entry,kitchen,bedroom_1,living,kitchen,living,kitchen,entry
13260,d09 Wed 05:00,kitchen,living,kitchen,kitchen,kitchen,bedroom_1,living,entry,entry,living,bedroom_1,kitchen,living,bedroom_1,entry,kitchen,bedroom_1,living,kitchen,living,kitchen,entry
13320,d09 Wed 06:00,kitchen,living,kitchen,kitchen,kitchen,bedroom_1,living,entry,entry,living,bedroom_1,kitchen,living,bedroom_1,entry,kitchen,bedroom_1,living,kitchen,living,kitchen,entry
13380,d09 Wed 07:00,kitchen,living,kitchen,kitchen,kitchen,bathroom,living,entry,entry,living,bedroom_1,kitchen,living,bedroom_1,entry,kitchen,bathroom,living,kitchen,living,kitchen,entry
13440,d09 Wed 08:00,kitchen,living,kitchen,kitchen,kitchen,kitchen,bathroom,entry,bathroom,living,bedroom_1,bathroom,living,bedroom_1,bathroom,bathroom,kitchen,bathroom,kitchen,living,kitchen,entry
13500,d09 Wed 09:00,kitchen,living,kitchen,kitchen,kitchen,outside,kitchen,entry,entry,living,bedroom_1,kitchen,living,bedroom_1,entry,kitchen,outside,living,kitchen,living,kitchen,entry
13560,d09 Wed 10:00,kitchen,living,kitchen,kitchen,kitchen,outside,outside,entry,entry,living,bedroom_1,kitchen,living,bedroom_1,entry,kitchen,outside,living,kitchen,living,kitchen,entry
13620,d09 Wed 11:00,kitchen,living,kitchen,kitchen,kitchen,outside,living,entry,entry,living,bedroom_1,kitchen,living,bedroom_1,entry,kitchen,outside,living,kitchen,living,kitchen,entry
13680,d09 Wed 12:00,kitchen,living,kitchen,kitchen,kitchen,kitchen,kitchen,entry,entry,living,bedroom_1,kitchen,living,bedroom_1,entry,kitchen,kitchen,living,kitchen,living,kitchen,entry
13740,d09 Wed 13:00,kitchen,living,kitchen,kitchen,kitchen,living,living,entry,entry,living,bedroom_1,kitchen,living,bedroom_1,entry,kitchen,living,living,kitchen,living,kitchen,entry
13800,d09 Wed 14:00,kitchen,living,kitchen,kitchen,kitchen,living,living,entry,living,living,bedroom_1,kitchen,living,bedroom_1,living,kitchen,living,living,kitchen,living,kitchen,entry
13860,d09 Wed 15:00,kitchen,living,kitchen,kitchen,kitchen,living,living,entry,living,living,bedroom_1,kitchen,living,bedroom_1,living,kitchen,living,living,kitchen,living,kitchen,entry
13920,d09 Wed 16:00,kitchen,living,kitchen,kitchen,kitchen,living,living,entry,living,living,bedroom_1,kitchen,living,bedroom_1,living,kitchen,living,living,kitchen,living,kitchen,entry
13980,d09 Wed 17:00,kitchen,living,kitchen,kitchen,kitchen,kitchen,living,entry,living,living,bedroom_1,kitchen,living,bedroom_1,entry,kitchen,kitchen,living,kitchen,living,kitchen,entry
14040,d09 Wed 18:00,kitchen,living,kitchen,kitchen,kitchen,living,living,entry,living,living,bedroom_1,kitchen,living,bedroom_1,entry,kitchen,living,living,kitchen,living,kitchen,entry
14100,d09 Wed 19:00,kitchen,living,kitchen,kitchen,kitchen,living,living,entry,entry,living,bedroom_1,kitchen,living,bedroom_1,entry,kitchen,living,living,kitchen,living,kitchen,entry
14160,d09 Wed 20:00,kitchen,living,kitchen,kitchen,kitchen,living,living,entry,entry,living,bedroom_1,kitchen,living,bedroom_1,entry,kitchen,living,living,kitchen,living,kitchen,entry
14220,d09 Wed 21:00,kitchen,living,kitchen,kitchen,kitchen,living,living,entry,entry,living,bedroom_1,kitchen,living,bedroom_1,entry,kitchen,living,living,kitchen,living,kitchen,entry
14280,d09 Wed 22:00,kitchen,living,kitchen,kitchen,kitchen,bedroom_1,living,entry,entry,living,bedroom_1,kitchen,living,bedroom_1,entry,kitchen,bedroom_1,living,kitchen,living,kitchen,entry
14340,d09 Wed 23:00,kitchen,living,kitchen,kitchen,kitchen,bedroom_1,living,entry,entry,living,bedroom_1,kitchen,living,bedroom_1,entry,kitchen,bedroom_1,living,kitchen,living,kitchen,entry
14400,d10 Thu 00:00,kitchen,living,kitchen,kitchen,kitchen,bedroom_1,living,entry,entry,living,bedroom_1,kitchen,living,bedroom_1,entry,kitchen,bedroom_1,living,kitchen,living,kitchen,entry
14460,d10 Thu 01:00,kitchen,living,kitchen,kitchen,kitchen,bedroom_1,living,entry,entry,living,bedroom_1,kitchen,living,bedroom_1,entry,kitchen,bedroom_1,living,kitchen,living,kitchen,entry
14520,d10 Thu 02:00,kitchen,living,kitchen,kitchen,kitchen,bedroom_1,living,entry,entry,living,bedroom_1,kitchen,living,bedroom_1,entry,kitchen,bedroom_1,living,kitchen,living,kitchen,entry
14580,d10 Thu 03:00,kitchen,living,kitchen,kitchen,kitchen,bedroom_1,living,entry,entry,living,bedroom_1,kitchen,living,bedroom_1,entry,kitchen,bedroom_1,living,kitchen,living,kitchen,entry
14640,d10 Thu 04:00,kitchen,living,kitchen,kitchen,kitchen,bedroom_1,living,entry,entry,living,bedroom_1,kitchen,living,bedroom_1,entry,kitchen,bedroom_1,living,kitchen,living,kitchen,entry
14700,d10 Thu 05:00,kitchen,living,kitchen,kitchen,kitchen,bedroom_1,living,entry,entry,living,bedroom_1,kitchen,living,bedroom_1,entry,kitchen,bedroom_1,living,kitchen,living,kitchen,entry
14760,d10 Thu 06:00,kitchen,living,kitchen,kitchen,kitchen,bedroom_1,living,entry,entry,living,bedroom_1,kitchen,living,bedroom_1,entry,kitchen,bedroom_1,living,kitchen,living,kitchen,entry
14820,d10 Thu 07:00,kitchen,living,kitchen,kitchen,kitchen,bathroom,living,entry,entry,living,bedroom_1,kitchen,living,bedroom_1,entry,kitchen,bathroom,living,kitchen,living,kitchen,entry
14880,d10 Thu 08:00,kitchen,living,kitchen,kitchen,kitchen,kitchen,bathroom,entry,bathroom,living,bedroom_1,bathroom,living,bedroom_1,bathroom,bathroom,kitchen,bathroom,kitchen,living,kitchen,entry
14940,d10 Thu 09:00,kitchen,living,kitchen,kitchen,kitchen,kitchen,living,entry,living,living,bedroom_1,living,living,bedroom_1,living,living,kitchen,living,kitchen,living,kitchen,entry
15000,d10 Thu 10:00,kitchen,living,kitchen,kitchen,kitchen,outside,living,entry,living,living,bedroom_1,kitchen,living,bedroom_1,entry,living,outside,living,kitchen,living,kitchen,entry
15060,d10 Thu 11:00,kitchen,living,kitchen,kitchen,kitchen,outside,living,entry,living,living,bedroom_1,kitchen,living,bedroom_1,entry,living,outside,living,kitchen,living,kitchen,entry
15120,d10 Thu 12:00,kitchen,living,kitchen,kitchen,kitchen,kitchen,living,entry,living,living,bedroom_1,kitchen,living,bedroom_1,entry,living,kitchen,living,kitchen,living,kitchen,entry
15180,d10 Thu 13:00,kitchen,living,kitchen,kitchen,kitchen,kitchen,living,entry,living,living,bedroom_1,kitchen,living,bedroom_1,entry,living,kitchen,living,kitchen,living,kitchen,entry
15240,d10 Thu 14:00,kitchen,living,kitchen,kitchen,kitchen,living,living,entry,living,living,bedroom_1,kitchen,living,bedroom_1,living,living,living,living,kitchen,living,kitchen,entry
15300,d10 Thu 15:00,kitchen,living,kitchen,kitchen,kitchen,living,living,entry,living,living,bedroom_1,kitchen,living,bedroom_1,living,living,living,living,kitchen,living,kitchen,entry
15360,d10 Thu 16:00,kitchen,living,kitchen,kitchen,kitchen,kitchen,living,entry,living,living,bedroom_1,kitchen,living,bedroom_1,entry,living,kitchen,living,kitchen,living,kitchen,entry
15420,d10 Thu 17:00,kitchen,living,kitchen,kitchen,kitchen,kitchen,living,entry,living,living,bedroom_1,kitchen,living,bedroom_1,entry,living,kitchen,living,kitchen,living,kitchen,entry
15480,d10 Thu 18:00,kitchen,living,kitchen,kitchen,kitchen,kitchen,living,entry,living,living,bedroom_1,kitchen,living,bedroom_1,entry,living,kitchen,living,kitchen,living,kitchen,entry
15540,d10 Thu 19:00,kitchen,living,kitchen,kitchen,kitchen,living,living,entry,living,living,bedroom_1,kitchen,living,bedroom_1,entry,living,living,living,kitchen,living,kitchen,entry
15600,d10 Thu 20:00,kitchen,living,kitchen,kitchen,kitchen,living,living,entry,living,living,bedroom_1,kitchen,living,bedroom_1,entry,living,living,living,kitchen,living,kitchen,entry
15660,d10 Thu 21:00,kitchen,living,kitchen,kitchen,kitchen,living,living,entry,living,living,bedroom_1,kitchen,living,bedroom_1,entry,living,living,living,kitchen,living,kitchen,entry
15720,d10 Thu 22:00,kitchen,living,kitchen,kitchen,kitchen,bedroom_1,living,entry,living,living,bedroom_1,kitchen,living,bedroom_1,entry,living,bedroom_1,living,kitchen,living,kitchen,entry
15780,d10 Thu 23:00,kitchen,living,kitchen,kitchen,kitchen,bedroom_1,living,entry,living,living,bedroom_1,kitchen,living,bedroom_1,entry,living,bedroom_1,living,kitchen,living,kitchen,entry
15840,d11 Fri 00:00,kitchen,living,kitchen,kitchen,kitchen,bedroom_1,living,entry,living,living,bedroom_1,kitchen,living,bedroom_1,entry,living,bedroom_1,living,kitchen,living,kitchen,entry
15900,d11 Fri 01:00,kitchen,living,kitchen,kitchen,kitchen,bedroom_1,living,entry,living,living,bedroom_1,kitchen,living,bedroom_1,entry,living,bedroom_1,living,kitchen,living,kitchen,entry
15960,d11 Fri 02:00,kitchen,living,kitchen,kitchen,kitchen,bedroom_1,living,entry,living,living,bedroom_1,kitchen,living,bedroom_1,entry,living,bedroom_1,living,kitchen,living,kitchen,entry
16020,d11 Fri 03:00,kitchen,living,kitchen,kitchen,kitchen,bedroom_1,living,entry,living,living,bedroom_1,kitchen,living,bedroom_1,entry,living,bedroom_1,living,kitchen,living,kitchen,entry
16080,d11 Fri 04:00,kitchen,living,kitchen,kitchen,kitchen,bedroom_1,living,entry,living,living,bedroom_1,kitchen,living,bedroom_1,entry,living,bedroom_1,living,kitchen,living,kitchen,entry
16140,d11 Fri 05:00,kitchen,living,kitchen,kitchen,kitchen,bedroom_1,living,entry,living,living,bedroom_1,kitchen,living,bedroom_1,entry,living,bedroom_1,living,kitchen,living,kitchen,entry
16200,d11 Fri 06:00,kitchen,living,kitchen,kitchen,kitchen,bedroom_1,living,entry,living,living,bedroom_1,kitchen,living,bedroom_1,entry,living,bedroom_1,living,kitchen,living,kitchen,entry
16260,d11 Fri 07:00,kitchen,living,kitchen,kitchen,kitchen,kitchen,living,entry,living,living,bedroom_1,kitchen,living,bedroom_1,entry,living,kitchen,living,kitchen,living,kitchen,entry
16320,d11 Fri 08:00,kitchen,living,kitchen,kitchen,kitchen,kitchen,kitchen,entry,kitchen,living,bedroom_1,kitchen,living,bedroom_1,kitchen,kitchen,kitchen,kitchen,kitchen,living,kitchen,entry
