t,stamp,mug_elena,mug_marcus,laptop_elena,laptop_marcus,phone_elena,phone_marcus,keys_elena,keys_marcus,wallet_elena,wallet_marcus,book_elena,book_marcus,water_bottle_elena,water_bottle_marcus,remote_shared,charger_elena,charger_marcus,backpack_elena,backpack_marcus,jacket_elena,jacket_marcus,headphones_elena,glasses_elena,notebook_marcus,pen_marcus,blanket_shared,towel_shared,laundry_basket_shared,pot_shared,pan_shared,lunchbox_marcus,umbrella_shared
5280,d03 Thu 16:00,kitchen,kitchen,bedroom_1,kitchen,outside,outside,outside,outside,outside,outside,living,bedroom_2,kitchen,outside,living,kitchen,bedroom_2,outside,outside,outside,outside,outside,kitchen,kitchen,kitchen,living,bedroom_1,entry,kitchen,kitchen,outside,outside
5340,d03 Thu 17:00,kitchen,kitchen,bedroom_1,kitchen,outside,outside,outside,outside,outside,outside,living,bedroom_2,kitchen,outside,living,kitchen,bedroom_2,outside,outside,outside,outside,outside,kitchen,kitchen,kitchen,living,bedroom_1,entry,kitchen,kitchen,outside,outside
5400,d03 Thu 18:00,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,entry,kitchen,entry,entry,kitchen,kitchen,bedroom_1,kitchen,kitchen,kitchen,kitchen,entry,kitchen,entry,kitchen,bedroom_1,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,entry
5460,d03 Thu 19:00,kitchen,kitchen,bedroom_1,kitchen,kitchen,kitchen,entry,kitchen,entry,entry,living,bedroom_2,bedroom_1,kitchen,living,bedroom_1,bedroom_2,entry,entry,entry,entry,bedroom_1,kitchen,kitchen,kitchen,living,bathroom,entry,kitchen,kitchen,kitchen,entry
5520,d03 Thu 20:00,kitchen,kitchen,bedroom_1,kitchen,bedroom_1,bedroom_1,entry,kitchen,entry,bedroom_2,kitchen,bedroom_2,bedroom_1,kitchen,living,bedroom_1,bedroom_1,entry,entry,entry,kitchen,bedroom_1,kitchen,kitchen,kitchen,living,bathroom,bedroom_1,kitchen,kitchen,kitchen,entry
5580,d03 Thu 21:00,kitchen,kitchen,bedroom_1,kitchen,bedroom_1,kitchen,entry,kitchen,entry,bedroom_2,kitchen,bedroom_2,bedroom_1,kitchen,living,bedroom_1,bedroom_2,entry,entry,entry,kitchen,bedroom_1,bedroom_1,kitchen,kitchen,living,bathroom,entry,kitchen,kitchen,kitchen,entry
5640,d03 Thu 22:00,kitchen,kitchen,bedroom_1,kitchen,bedroom_1,kitchen,entry,kitchen,entry,bedroom_2,kitchen,bedroom_2,bedroom_1,kitchen,living,bedroom_1,bedroom_2,entry,entry,entry,kitchen,bedroom_1,bedroom_1,kitchen,kitchen,living,bathroom,entry,kitchen,kitchen,kitchen,entry
5700,d03 Thu 23:00,kitchen,kitchen,bedroom_1,kitchen,bedroom_1,kitchen,entry,kitchen,entry,bedroom_2,kitchen,bedroom_2,bedroom_1,kitchen,living,bedroom_1,bedroom_2,entry,entry,entry,kitchen,bedroom_1,bedroom_1,kitchen,kitchen,living,bathroom,entry,kitchen,kitchen,kitchen,entry
5760,d04 Fri 00:00,kitchen,kitchen,bedroom_1,kitchen,bedroom_1,kitchen,entry,kitchen,entry,bedroom_2,kitchen,bedroom_2,bedroom_1,kitchen,living,bedroom_1,bedroom_2,entry,entry,entry,kitchen,bedroom_1,bedroom_1,kitchen,kitchen,living,bathroom,entry,kitchen,kitchen,kitchen,entry
5820,d04 Fri 01:00,kitchen,kitchen,bedroom_1,kitchen,bedroom_1,kitchen,entry,kitchen,entry,bedroom_2,kitchen,bedroom_2,bedroom_1,kitchen,living,bedroom_1,bedroom_2,entry,entry,entry,kitchen,bedroom_1,bedroom_1,kitchen,kitchen,living,bathroom,entry,kitchen,kitchen,kitchen,entry
5880,d04 Fri 02:00,kitchen,kitchen,bedroom_1,kitchen,bedroom_1,kitchen,entry,kitchen,entry,bedroom_2,kitchen,bedroom_2,bedroom_1,kitchen,living,bedroom_1,bedroom_2,entry,entry,entry,kitchen,bedroom_1,bedroom_1,kitchen,kitchen,living,bathroom,entry,kitchen,kitchen,kitchen,entry
5940,d04 Fri 03:00,kitchen,kitchen,bedroom_1,kitchen,bedroom_1,kitchen,entry,kitchen,entry,bedroom_2,kitchen,bedroom_2,bedroom_1,kitchen,living,bedroom_1,bedroom_2,entry,entry,entry,kitchen,bedroom_1,bedroom_1,kitchen,kitchen,living,bathroom,entry,kitchen,kitchen,kitchen,entry
6000,d04 Fri 04:00,kitchen,kitchen,bedroom_1,kitchen,bedroom_1,kitchen,entry,kitchen,entry,bedroom_2,kitchen,bedroom_2,bedroom_1,kitchen,living,bedroom_1,bedroom_2,entry,entry,entry,kitchen,bedroom_1,bedroom_1,kitchen,kitchen,living,bathroom,entry,kitchen,kitchen,kitchen,entry
6060,d04 Fri 05:00,kitchen,kitchen,bedroom_1,kitchen,bedroom_1,kitchen,entry,kitchen,entry,bedroom_2,kitchen,bedroom_2,bedroom_1,kitchen,living,bedroom_1,bedroom_2,entry,entry,entry,kitchen,bedroom_1,bedroom_1,kitchen,kitchen,living,bathroom,entry,kitchen,kitchen,kitchen,entry
6120,d04 Fri 06:00,kitchen,kitchen,bedroom_1,kitchen,bedroom_1,kitchen,entry,kitchen,entry,bedroom_2,kitchen,bedroom_2,bedroom_1,kitchen,living,bedroom_1,bedroom_2,entry,entry,entry,kitchen,bedroom_1,bedroom_1,kitchen,kitchen,living,bathroom,entry,kitchen,kitchen,kitchen,entry
6180,d04 Fri 07:00,kitchen,kitchen,bedroom_1,kitchen,kitchen,kitchen,entry,kitchen,entry,bathroom,kitchen,bedroom_2,bedroom_1,kitchen,living,bedroom_1,bedroom_2,entry,entry,entry,living,bedroom_1,bedroom_1,kitchen,kitchen,living,bathroom,entry,kitchen,kitchen,kitchen,entry
6240,d04 Fri 08:00,kitchen,kitchen,bedroom_1,kitchen,kitchen,kitchen,entry,kitchen,entry,kitchen,kitchen,bedroom_2,kitchen,kitchen,living,bedroom_1,bedroom_2,entry,entry,entry,kitchen,bedroom_1,kitchen,kitchen,kitchen,living,bedroom_1,entry,kitchen,kitchen,kitchen,entry
6300,d04 Fri 09:00,kitchen,kitchen,bedroom_1,kitchen,outside,outside,outside,outside,outside,outside,kitchen,bedroom_2,bedroom_1,outside,living,bedroom_1,bedroom_2,outside,outside,outside,outside,outside,kitchen,kitchen,kitchen,living,bedroom_1,entry,kitchen,kitchen,outside,outside
6360,d04 Fri 10:00,kitchen,kitchen,bedroom_1,kitchen,outside,outside,outside,outside,outside,outside,kitchen,bedroom_2,bedroom_1,outside,living,bedroom_1,bedroom_2,outside,outside,outside,outside,outside,kitchen,kitchen,kitchen,living,bedroom_1,entry,kitchen,kitchen,outside,outside
6420,d04 Fri 11:00,kitchen,kitchen,bedroom_1,kitchen,outside,outside,outside,outside,outside,outside,kitchen,bedroom_2,bedroom_1,outside,living,bedroom_1,bedroom_2,outside,outside,outside,outside,outside,kitchen,kitchen,kitchen,living,bedroom_1,entry,kitchen,kitchen,outside,outside
6480,d04 Fri 12:00,kitchen,kitchen,bedroom_1,kitchen,outside,outside,outside,outside,outside,outside,kitchen,bedroom_2,bedroom_1,outside,living,bedroom_1,bedroom_2,outside,outside,outside,outside,outside,kitchen,kitchen,kitchen,living,bedroom_1,entry,kitchen,kitchen,outside,outside
6540,d04 Fri 13:00,kitchen,kitchen,bedroom_1,kitchen,outside,outside,outside,outside,outside,outside,kitchen,bedroom_2,bedroom_1,outside,living,bedroom_1,bedroom_2,outside,outside,outside,outside,outside,kitchen,kitchen,kitchen,living,bedroom_1,entry,kitchen,kitchen,outside,outside
6600,d04 Fri 14:00,kitchen,kitchen,bedroom_1,kitchen,outside,outside,outside,outside,outside,outside,kitchen,bedroom_2,bedroom_1,outside,living,bedroom_1,bedroom_2,outside,outside,outside,outside,outside,kitchen,kitchen,kitchen,living,bedroom_1,entry,kitchen,kitchen,outside,outside
6660,d04 Fri 15:00,kitchen,kitchen,bedroom_1,kitchen,outside,outside,outside,outside,outside,outside,kitchen,bedroom_2,bedroom_1,outside,living,bedroom_1,bedroom_2,outside,outside,outside,outside,outside,kitchen,kitchen,kitchen,living,bedroom_1,entry,kitchen,kitchen,outside,outside
6720,d04 Fri 16:00,kitchen,kitchen,bedroom_1,kitchen,outside,outside,outside,outside,outside,outside,kitchen,bedroom_2,bedroom_1,outside,living,bedroom_1,bedroom_2,outside,outside,outside,outside,outside,kitchen,kitchen,kitchen,living,bedroom_1,entry,kitchen,kitchen,outside,outside
6780,d04 Fri 17:00,kitchen,kitchen,bedroom_1,kitchen,outside,outside,outside,outside,outside,outside,kitchen,bedroom_2,bedroom_1,outside,living,bedroom_1,bedroom_2,outside,outside,outside,outside,outside,kitchen,kitchen,kitchen,living,bedroom_1,entry,kitchen,kitchen,outside,outside
6840,d04 Fri 18:00,kitchen,kitchen,kitchen,kitchen,kitchen,outside,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen
6900,d04 Fri 19:00,kitchen,kitchen,bedroom_1,kitchen,bedroom_1,kitchen,entry,entry,entry,entry,kitchen,bedroom_2,bedroom_1,kitchen,living,bedroom_1,kitchen,entry,entry,entry,kitchen,bedroom_1,kitchen,kitchen,kitchen,living,bathroom,bedroom_1,kitchen,kitchen,kitchen,entry
6960,d04 Fri 20:00,kitchen,kitchen,bedroom_1,kitchen,bedroom_1,bedroom_1,entry,kitchen,entry,entry,living,bedroom_2,bedroom_1,kitchen,living,bedroom_1,bedroom_1,entry,entry,entry,kitchen,bedroom_1,bedroom_1,kitchen,kitchen,living,bathroom,bedroom_1,kitchen,kitchen,kitchen,entry
7020,d04 Fri 21:00,kitchen,kitchen,bedroom_1,kitchen,bedroom_1,bedroom_2,entry,kitchen,entry,entry,living,bedroom_2,bedroom_1,kitchen,living,bedroom_1,bedroom_2,entry,entry,entry,kitchen,bedroom_1,kitchen,kitchen,kitchen,living,bathroom,entry,kitchen,kitchen,kitchen,entry
7080,d04 Fri 22:00,kitchen,kitchen,bedroom_1,kitchen,bedroom_1,bedroom_2,entry,kitchen,entry,entry,living,bedroom_2,bedroom_1,kitchen,living,bedroom_1,bedroom_2,entry,entry,entry,kitchen,bedroom_1,kitchen,kitchen,kitchen,living,bathroom,entry,kitchen,kitchen,kitchen,entry
7140,d04 Fri 23:00,kitchen,kitchen,bedroom_1,kitchen,bedroom_1,bedroom_2,entry,kitchen,entry,entry,living,bedroom_2,bedroom_1,kitchen,living,bedroom_1,bedroom_2,entry,entry,entry,kitchen,bedroom_1,kitchen,kitchen,kitchen,living,bathroom,entry,kitchen,kitchen,kitchen,entry
7200,d05 Sat 00:00,kitchen,kitchen,bedroom_1,kitchen,bedroom_1,kitchen,entry,kitchen,entry,entry,living,bedroom_2,bedroom_1,kitchen,living,kitchen,bedroom_2,entry,entry,entry,kitchen,bedroom_1,kitchen,kitchen,kitchen,living,bathroom,entry,kitchen,kitchen,kitchen,entry
7260,d05 Sat 01:00,kitchen,kitchen,bedroom_1,kitchen,bedroom_1,kitchen,entry,kitchen,entry,entry,living,bedroom_2,bedroom_1,kitchen,living,kitchen,bedroom_2,entry,entry,entry,kitchen,bedroom_1,kitchen,kitchen,kitchen,living,bathroom,entry,kitchen,kitchen,kitchen,entry
7320,d05 Sat 02:00,kitchen,kitchen,bedroom_1,kitchen,bedroom_1,kitchen,entry,kitchen,entry,entry,living,bedroom_2,bedroom_1,kitchen,living,kitchen,bedroom_2,entry,entry,entry,kitchen,bedroom_1,kitchen,kitchen,kitchen,living,bathroom,entry,kitchen,kitchen,kitchen,entry
7380,d05 Sat 03:00,kitchen,kitchen,bedroom_1,kitchen,bedroom_1,kitchen,entry,kitchen,entry,entry,living,bedroom_2,bedroom_1,kitchen,living,kitchen,bedroom_2,entry,entry,entry,kitchen,bedroom_1,kitchen,kitchen,kitchen,living,bathroom,entry,kitchen,kitchen,kitchen,entry
7440,d05 Sat 04:00,kitchen,kitchen,bedroom_1,kitchen,bedroom_1,kitchen,entry,kitchen,entry,entry,living,bedroom_2,bedroom_1,kitchen,living,kitchen,bedroom_2,entry,entry,entry,kitchen,bedroom_1,kitchen,kitchen,kitchen,living,bathroom,entry,kitchen,kitchen,kitchen,entry
7500,d05 Sat 05:00,kitchen,kitchen,bedroom_1,kitchen,bedroom_1,kitchen,entry,kitchen,entry,entry,living,bedroom_2,bedroom_1,kitchen,living,kitchen,bedroom_2,entry,entry,entry,kitchen,bedroom_1,kitchen,kitchen,kitchen,living,bathroom,entry,kitchen,kitchen,kitchen,entry
7560,d05 Sat 06:00,kitchen,kitchen,bedroom_1,kitchen,bedroom_1,kitchen,entry,kitchen,entry,entry,living,bedroom_2,bedroom_1,kitchen,living,kitchen,bedroom_2,entry,entry,entry,kitchen,bedroom_1,kitchen,kitchen,kitchen,living,bathroom,entry,kitchen,kitchen,kitchen,entry
7620,d05 Sat 07:00,kitchen,kitchen,bedroom_1,kitchen,bedroom_1,kitchen,entry,kitchen,entry,entry,living,bedroom_2,bedroom_1,kitchen,living,kitchen,bedroom_2,entry,entry,entry,kitchen,bedroom_1,kitchen,kitchen,kitchen,living,bathroom,entry,kitchen,kitchen,kitchen,entry
7680,d05 Sat 08:00,kitchen,kitchen,bedroom_1,kitchen,kitchen,kitchen,entry,kitchen,entry,entry,living,bedroom_2,bedroom_1,kitchen,living,kitchen,bedroom_2,entry,entry,entry,kitchen,bedroom_1,kitchen,kitchen,kitchen,living,bedroom_1,entry,kitchen,kitchen,kitchen,entry
7740,d05 Sat 09:00,kitchen,kitchen,living,living,living,kitchen,living,living,living,living,living,living,kitchen,living,living,living,living,living,living,living,living,living,living,living,living,living,living,living,living,living,living,living
7800,d05 Sat 10:00,kitchen,kitchen,living,living,living,kitchen,living,living,living,living,living,living,kitchen,living,living,living,living,living,living,living,living,living,living,living,living,living,bathroom,living,living,living,living,living
7860,d05 Sat 11:00,kitchen,kitchen,bedroom_1,kitchen,kitchen,kitchen,entry,entry,entry,entry,living,bedroom_2,bedroom_1,kitchen,living,kitchen,bedroom_2,entry,entry,entry,entry,bedroom_1,kitchen,kitchen,kitchen,living,bathroom,entry,kitchen,kitchen,kitchen,entry
7920,d05 Sat 12:00,kitchen,kitchen,bedroom_1,kitchen,kitchen,kitchen,entry,kitchen,entry,entry,living,bedroom_2,bedroom_1,kitchen,living,kitchen,bedroom_2,entry,entry,entry,entry,bedroom_1,kitchen,kitchen,kitchen,living,bathroom,entry,kitchen,kitchen,kitchen,entry
7980,d05 Sat 13:00,kitchen,kitchen,bedroom_1,kitchen,kitchen,kitchen,entry,kitchen,entry,entry,living,bedroom_2,kitchen,kitchen,living,kitchen,bedroom_2,entry,entry,entry,entry,bedroom_1,kitchen,kitchen,kitchen,living,bathroom,entry,kitchen,kitchen,kitchen,entry
8040,d05 Sat 14:00,kitchen,kitchen,bedroom_1,kitchen,kitchen,kitchen,entry,kitchen,entry,entry,living,living,living,kitchen,living,kitchen,bedroom_2,entry,entry,entry,entry,living,living,kitchen,kitchen,living,bathroom,entry,kitchen,kitchen,kitchen,entry
8100,d05 Sat 15:00,kitchen,kitchen,bedroom_1,kitchen,kitchen,kitchen,entry,kitchen,entry,entry,living,living,living,kitchen,living,kitchen,bedroom_2,entry,entry,entry,entry,living,living,kitchen,kitchen,living,bathroom,entry,kitchen,kitchen,kitchen,entry
8160,d05 Sat 16:00,kitchen,kitchen,bedroom_1,kitchen,kitchen,kitchen,entry,kitchen,entry,entry,living,living,living,kitchen,living,kitchen,bedroom_2,entry,entry,entry,entry,living,living,kitchen,kitchen,living,bathroom,entry,kitchen,kitchen,kitchen,entry
8220,d05 Sat 17:00,kitchen,kitchen,bedroom_1,kitchen,kitchen,kitchen,entry,kitchen,entry,entry,kitchen,living,bedroom_1,kitchen,living,kitchen,bedroom_2,entry,entry,entry,entry,living,bedroom_1,kitchen,kitchen,living,bathroom,entry,kitchen,kitchen,kitchen,entry
8280,d05 Sat 18:00,kitchen,kitchen,bedroom_1,kitchen,kitchen,kitchen,entry,kitchen,entry,entry,kitchen,living,bedroom_1,kitchen,living,kitchen,bedroom_2,entry,entry,entry,entry,living,kitchen,kitchen,kitchen,living,bathroom,entry,kitchen,kitchen,kitchen,entry
8340,d05 Sat 19:00,kitchen,kitchen,bedroom_1,kitchen,kitchen,kitchen,entry,kitchen,entry,entry,kitchen,living,bedroom_1,kitchen,living,kitchen,bedroom_2,entry,entry,entry,entry,living,kitchen,kitchen,kitchen,living,bathroom,entry,kitchen,kitchen,kitchen,entry
8400,d05 Sat 20:00,kitchen,kitchen,bedroom_1,kitchen,bedroom_1,bedroom_2,entry,kitchen,entry,entry,living,living,bedroom_1,kitchen,living,kitchen,bedroom_2,entry,entry,entry,entry,living,bedroom_1,kitchen,kitchen,living,bathroom,bedroom_1,kitchen,kitchen,kitchen,entry
8460,d05 Sat 21:00,kitchen,kitchen,bedroom_1,kitchen,bedroom_1,bedroom_2,entry,kitchen,entry,entry,living,living,bedroom_1,kitchen,living,kitchen,bedroom_2,entry,entry,entry,entry,living,bedroom_1,kitchen,kitchen,living,bathroom,bedroom_1,kitchen,kitchen,kitchen,entry
8520,d05 Sat 22:00,kitchen,kitchen,bedroom_1,kitchen,bedroom_1,bedroom_2,entry,kitchen,entry,entry,living,living,bedroom_1,kitchen,living,kitchen,bedroom_2,entry,entry,entry,entry,living,bedroom_1,kitchen,kitchen,living,bathroom,bedroom_1,kitchen,kitchen,kitchen,entry
8580,d05 Sat 23:00,kitchen,kitchen,bedroom_1,kitchen,bedroom_1,bedroom_2,entry,kitchen,entry,entry,living,living,bedroom_1,kitchen,living,kitchen,bedroom_2,entry,entry,entry,entry,living,bedroom_1,kitchen,kitchen,living,bathroom,bedroom_1,kitchen,kitchen,kitchen,entry
8640,d06 Sun 00:00,kitchen,kitchen,bedroom_1,kitchen,bedroom_1,bedroom_2,entry,kitchen,entry,entry,living,living,bedroom_1,kitchen,living,kitchen,bedroom_2,entry,entry,entry,entry,living,bedroom_1,kitchen,kitchen,living,bathroom,bedroom_1,kitchen,kitchen,kitchen,entry
8700,d06 Sun 01:00,kitchen,kitchen,bedroom_1,kitchen,bedroom_1,bedroom_2,entry,kitchen,entry,entry,living,living,bedroom_1,kitchen,living,kitchen,bedroom_2,entry,entry,entry,entry,living,bedroom_1,kitchen,kitchen,living,bathroom,bedroom_1,kitchen,kitchen,kitchen,entry
8760,d06 Sun 02:00,kitchen,kitchen,bedroom_1,kitchen,bedroom_1,bedroom_2,entry,kitchen,entry,entry,living,living,bedroom_1,kitchen,living,kitchen,bedroom_2,entry,entry,entry,entry,living,bedroom_1,kitchen,kitchen,living,bathroom,bedroom_1,kitchen,kitchen,kitchen,entry
8820,d06 Sun 03:00,kitchen,kitchen,bedroom_1,kitchen,bedroom_1,bedroom_2,entry,kitchen,entry,entry,living,living,bedroom_1,kitchen,living,kitchen,bedroom_2,entry,entry,entry,entry,living,bedroom_1,kitchen,kitchen,living,bathroom,bedroom_1,kitchen,kitchen,kitchen,entry
8880,d06 Sun 04:00,kitchen,kitchen,bedroom_1,kitchen,bedroom_1,bedroom_2,entry,kitchen,entry,entry,living,living,bedroom_1,kitchen,living,kitchen,bedroom_2,entry,entry,entry,entry,living,bedroom_1,kitchen,kitchen,living,bathroom,bedroom_1,kitchen,kitchen,kitchen,entry
8940,d06 Sun 05:00,kitchen,kitchen,bedroom_1,kitchen,bedroom_1,bedroom_2,entry,kitchen,entry,entry,living,living,bedroom_1,kitchen,living,kitchen,bedroom_2,entry,entry,entry,entry,living,bedroom_1,kitchen,kitchen,living,bathroom,bedroom_1,kitchen,kitchen,kitchen,entry
9000,d06 Sun 06:00,kitchen,kitchen,bedroom_1,kitchen,bedroom_1,bedroom_2,entry,kitchen,entry,entry,living,living,bedroom_1,kitchen,living,kitchen,bedroom_2,entry,entry,entry,entry,living,bedroom_1,kitchen,kitchen,living,bathroom,bedroom_1,kitchen,kitchen,kitchen,entry
9060,d06 Sun 07:00,kitchen,kitchen,bedroom_1,kitchen,bedroom_1,bedroom_2,entry,kitchen,entry,entry,living,living,bedroom_1,kitchen,living,kitchen,bedroom_2,entry,entry,entry,entry,living,bedroom_1,kitchen,kitchen,living,bathroom,bedroom_1,kitchen,kitchen,kitchen,entry
9120,d06 Sun 08:00,kitchen,kitchen,bedroom_1,kitchen,kitchen,bedroom_2,entry,kitchen,entry,entry,living,living,bedroom_1,kitchen,living,kitchen,bedroom_2,entry,entry,entry,kitchen,living,bedroom_1,kitchen,kitchen,living,bathroom,bedroom_1,kitchen,kitchen,kitchen,entry
9180,d06 Sun 09:00,kitchen,kitchen,bedroom_1,kitchen,bedroom_2,bedroom_2,entry,bedroom_2,entry,entry,living,living,kitchen,kitchen,living,kitchen,bedroom_2,entry,entry,entry,bedroom_2,living,bedroom_2,kitchen,kitchen,living,bathroom,bedroom_1,kitchen,kitchen,kitchen,entry
9240,d06 Sun 10:00,kitchen,kitchen,bedroom_1,kitchen,kitchen,bedroom_2,entry,kitchen,entry,entry,living,living,kitchen,kitchen,living,kitchen,bedroom_2,entry,entry,entry,living,living,kitchen,kitchen,kitchen,living,bathroom,bedroom_1,kitchen,kitchen,kitchen,entry
9300,d06 Sun 11:00,kitchen,kitchen,bedroom_1,kitchen,kitchen,bedroom_2,entry,entry,entry,entry,living,living,bedroom_1,kitchen,living,bedroom_1,bedroom_2,entry,entry,entry,entry,bedroom_1,kitchen,kitchen,kitchen,living,bathroom,entry,kitchen,kitchen,kitchen,entry
9360,d06 Sun 12:00,kitchen,kitchen,bedroom_1,kitchen,kitchen,bedroom_2,entry,entry,entry,entry,living,living,bedroom_1,kitchen,living,bedroom_1,bedroom_2,entry,entry,entry,entry,bedroom_1,kitchen,kitchen,kitchen,living,bathroom,entry,kitchen,kitchen,kitchen,entry
9420,d06 Sun 13:00,kitchen,kitchen,bedroom_1,kitchen,kitchen,bedroom_2,entry,entry,entry,entry,living,living,bedroom_1,kitchen,living,bedroom_1,bedroom_2,entry,entry,entry,entry,bedroom_1,kitchen,kitchen,kitchen,living,bathroom,entry,kitchen,kitchen,kitchen,entry
9480,d06 Sun 14:00,kitchen,kitchen,bedroom_1,kitchen,kitchen,kitchen,entry,entry,entry,entry,living,living,bedroom_1,kitchen,living,bedroom_1,bedroom_2,entry,entry,entry,entry,bedroom_1,kitchen,kitchen,kitchen,living,bathroom,entry,kitchen,kitchen,kitchen,entry
9540,d06 Sun 15:00,kitchen,kitchen,bedroom_1,kitchen,kitchen,kitchen,entry,entry,entry,entry,living,living,bedroom_1,kitchen,living,bedroom_1,bedroom_2,entry,entry,entry,entry,bedroom_1,kitchen,kitchen,kitchen,living,bathroom,entry,kitchen,kitchen,kitchen,entry
9600,d06 Sun 16:00,kitchen,kitchen,bedroom_1,kitchen,kitchen,kitchen,entry,entry,entry,entry,living,living,bedroom_1,kitchen,living,bedroom_1,bedroom_2,entry,entry,entry,entry,bedroom_1,kitchen,kitchen,kitchen,living,bathroom,entry,kitchen,kitchen,kitchen,entry
9660,d06 Sun 17:00,kitchen,kitchen,bedroom_1,kitchen,kitchen,living,entry,entry,entry,entry,living,living,bedroom_1,kitchen,living,bedroom_1,bedroom_2,entry,entry,entry,entry,bedroom_1,kitchen,kitchen,kitchen,living,bathroom,entry,kitchen,kitchen,kitchen,entry
9720,d06 Sun 18:00,kitchen,kitchen,bedroom_1,kitchen,kitchen,living,entry,entry,entry,entry,kitchen,living,bedroom_1,kitchen,living,bedroom_1,bedroom_2,entry,entry,entry,entry,bedroom_1,kitchen,kitchen,kitchen,living,bathroom,entry,kitchen,kitchen,kitchen,entry
9780,d06 Sun 19:00,kitchen,kitchen,bedroom_1,kitchen,bedroom_1,bedroom_2,entry,entry,entry,entry,living,bedroom_2,bedroom_1,kitchen,living,bedroom_1,bedroom_2,entry,entry,entry,entry,bedroom_1,bedroom_1,kitchen,kitchen,living,bathroom,entry,kitchen,kitchen,kitchen,entry
9840,d06 Sun 20:00,kitchen,kitchen,bedroom_1,kitchen,bedroom_1,bedroom_2,entry,entry,entry,entry,kitchen,bedroom_2,bedroom_1,kitchen,living,kitchen,bedroom_2,entry,entry,entry,entry,bedroom_1,kitchen,kitchen,kitchen,living,bathroom,bedroom_1,kitchen,kitchen,kitchen,entry
9900,d06 Sun 21:00,kitchen,kitchen,bedroom_1,kitchen,bedroom_1,bedroom_2,entry,entry,entry,entry,kitchen,bedroom_2,bedroom_1,kitchen,living,kitchen,bedroom_2,entry,entry,entry,entry,bedroom_1,kitchen,kitchen,kitchen,living,bathroom,bedroom_1,kitchen,kitchen,kitchen,entry
9960,d06 Sun 22:00,kitchen,kitchen,bedroom_1,kitchen,bedroom_1,bedroom_2,entry,entry,entry,entry,kitchen,bedroom_2,bedroom_1,kitchen,living,kitchen,bedroom_2,entry,entry,entry,entry,bedroom_1,kitchen,kitchen,kitchen,living,bathroom,bedroom_1,kitchen,kitchen,kitchen,entry
10020,d06 Sun 23:00,kitchen,kitchen,bedroom_1,kitchen,bedroom_1,bedroom_2,entry,entry,entry,entry,kitchen,bedroom_2,bedroom_1,kitchen,living,kitchen,bedroom_2,entry,entry,entry,entry,bedroom_1,kitchen,kitchen,kitchen,living,bathroom,bedroom_1,kitchen,kitchen,kitchen,entry
10080,d07 Mon 00:00,kitchen,kitchen,bedroom_1,kitchen,bedroom_1,bedroom_2,entry,entry,entry,entry,kitchen,bedroom_2,bedroom_1,kitchen,living,kitchen,bedroom_2,entry,entry,entry,entry,bedroom_1,kitchen,kitchen,kitchen,living,bathroom,bedroom_1,kitchen,kitchen,kitchen,entry
10140,d07 Mon 01:00,kitchen,kitchen,bedroom_1,kitchen,bedroom_1,bedroom_2,entry,entry,entry,entry,kitchen,bedroom_2,bedroom_1,kitchen,living,kitchen,bedroom_2,entry,entry,entry,entry,bedroom_1,kitchen,kitchen,kitchen,living,bathroom,bedroom_1,kitchen,kitchen,kitchen,entry
10200,d07 Mon 02:00,kitchen,kitchen,bedroom_1,kitchen,bedroom_1,bedroom_2,entry,entry,entry,entry,kitchen,bedroom_2,bedroom_1,kitchen,living,kitchen,bedroom_2,entry,entry,entry,entry,bedroom_1,kitchen,kitchen,kitchen,living,bathroom,bedroom_1,kitchen,kitchen,kitchen,entry
10260,d07 Mon 03:00,kitchen,kitchen,bedroom_1,kitchen,bedroom_1,bedroom_2,entry,entry,entry,entry,kitchen,bedroom_2,bedroom_1,kitchen,living,kitchen,bedroom_2,entry,entry,entry,entry,bedroom_1,kitchen,kitchen,kitchen,living,bathroom,bedroom_1,kitchen,kitchen,kitchen,entry
10320,d07 Mon 04:00,kitchen,kitchen,bedroom_1,kitchen,bedroom_1,bedroom_2,entry,entry,entry,entry,kitchen,bedroom_2,bedroom_1,kitchen,living,kitchen,bedroom_2,entry,entry,entry,entry,bedroom_1,kitchen,kitchen,kitchen,living,bathroom,bedroom_1,kitchen,kitchen,kitchen,entry
10380,d07 Mon 05:00,kitchen,kitchen,bedroom_1,kitchen,bedroom_1,bedroom_2,entry,entry,entry,entry,kitchen,bedroom_2,bedroom_1,kitchen,living,kitchen,bedroom_2,entry,entry,entry,entry,bedroom_1,kitchen,kitchen,kitchen,living,bathroom,bedroom_1,kitchen,kitchen,kitchen,entry
10440,d07 Mon 06:00,kitchen,kitchen,bedroom_1,kitchen,bedroom_1,bedroom_2,entry,entry,entry,entry,kitchen,bedroom_2,bedroom_1,kitchen,living,kitchen,bedroom_2,entry,entry,entry,entry,bedroom_1,kitchen,kitchen,kitchen,living,bathroom,bedroom_1,kitchen,kitchen,kitchen,entry
