t,stamp,laptop_mara,phone_mara,keys_mara,wallet_mara,mug_mara,water_bottle_mara,headphones_mara,notebook_mara,pen_mara,book_mara,charger_mara,backpack_mara,jacket_mara,glasses_mara,yoga_mat_mara,laptop_leon,phone_leon,keys_leon,wallet_leon,tablet_leon,headphones_leon,notebook_leon,pen_leon,water_bottle_leon,backpack_leon,jacket_leon,gaming_controller_leon,mug_shared_1,bowl_shared_1,plate_shared_1,pot_shared_1,pan_shared_1,remote_shared_1,blanket_shared_1,towel_shared_1,laundry_basket_shared_1,vacuum_cleaner_shared_1,watering_can_shared_1,umbrella_shared_1
9420,d06 Sun 13:00,bedroom_2,bedroom_2,entry,entry,kitchen,bedroom_2,bedroom_2,bedroom_2,bedroom_2,bedroom_1,living,entry,living,bedroom_1,bedroom_2,bedroom_1,entry,kitchen,entry,bedroom_1,kitchen,kitchen,bedroom_1,bedroom_1,entry,entry,living,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,bedroom_1,bathroom,entry,kitchen,kitchen
9480,d06 Sun 14:00,bedroom_2,bedroom_2,entry,entry,kitchen,bedroom_2,bedroom_2,bedroom_2,kitchen,bedroom_1,living,entry,living,bedroom_1,bedroom_2,bedroom_1,entry,kitchen,entry,bedroom_1,kitchen,living,bedroom_1,bedroom_1,entry,entry,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,bedroom_1,bathroom,entry,kitchen,kitchen
9540,d06 Sun 15:00,outside,outside,outside,outside,kitchen,outside,outside,outside,kitchen,bedroom_1,living,outside,outside,bedroom_1,bedroom_2,bedroom_1,entry,kitchen,entry,bedroom_1,kitchen,kitchen,bedroom_1,bedroom_1,entry,entry,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,bedroom_1,bathroom,entry,kitchen,kitchen
9600,d06 Sun 16:00,bedroom_2,bedroom_2,kitchen,entry,kitchen,bedroom_2,bedroom_2,bedroom_2,kitchen,bedroom_1,living,entry,entry,bedroom_1,bedroom_2,bedroom_1,entry,kitchen,entry,bedroom_1,kitchen,kitchen,bedroom_1,bedroom_1,entry,entry,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,bedroom_1,bathroom,entry,kitchen,kitchen
9660,d06 Sun 17:00,bedroom_2,bedroom_2,kitchen,entry,kitchen,bedroom_2,bedroom_2,kitchen,kitchen,bedroom_1,living,entry,entry,bedroom_1,bedroom_2,bedroom_1,entry,kitchen,entry,bedroom_1,kitchen,living,bedroom_1,bedroom_1,entry,entry,living,kitchen,kitchen,kitchen,kitchen,kitchen,living,bedroom_1,bedroom_1,bathroom,entry,kitchen,kitchen
9720,d06 Sun 18:00,bedroom_2,bedroom_2,kitchen,entry,kitchen,bedroom_2,bedroom_2,kitchen,kitchen,bedroom_1,living,entry,entry,bathroom,bedroom_2,bedroom_1,kitchen,kitchen,entry,bedroom_1,kitchen,bathroom,bedroom_1,bedroom_1,entry,kitchen,living,kitchen,kitchen,kitchen,kitchen,kitchen,living,bedroom_1,bedroom_1,bathroom,entry,kitchen,kitchen
9780,d06 Sun 19:00,bedroom_2,bedroom_2,kitchen,entry,kitchen,bedroom_2,bedroom_2,kitchen,kitchen,living,living,entry,entry,bedroom_1,bedroom_2,bedroom_1,kitchen,kitchen,entry,bedroom_1,kitchen,bedroom_1,bedroom_1,bedroom_1,entry,kitchen,living,kitchen,kitchen,kitchen,kitchen,kitchen,living,bedroom_1,bedroom_1,bathroom,entry,kitchen,kitchen
9840,d06 Sun 20:00,bedroom_2,bedroom_2,kitchen,entry,kitchen,bedroom_2,bedroom_2,kitchen,kitchen,living,living,entry,entry,bedroom_1,bedroom_2,bedroom_1,kitchen,kitchen,entry,bedroom_1,kitchen,bedroom_1,bedroom_1,bedroom_1,entry,kitchen,living,kitchen,kitchen,kitchen,kitchen,kitchen,living,bedroom_1,bedroom_1,bathroom,entry,kitchen,kitchen
9900,d06 Sun 21:00,bedroom_2,bedroom_2,kitchen,entry,kitchen,bedroom_2,bedroom_2,kitchen,kitchen,living,living,entry,entry,bedroom_1,bedroom_2,bedroom_1,kitchen,kitchen,entry,bedroom_1,kitchen,bedroom_1,bedroom_1,bedroom_1,entry,kitchen,living,kitchen,kitchen,kitchen,kitchen,kitchen,living,bedroom_1,bedroom_1,bathroom,entry,kitchen,kitchen
9960,d06 Sun 22:00,bedroom_2,bedroom_2,kitchen,entry,kitchen,bedroom_2,bedroom_2,kitchen,kitchen,living,living,entry,entry,bedroom_1,bedroom_2,bedroom_1,kitchen,kitchen,entry,bedroom_1,kitchen,bedroom_1,bedroom_1,bedroom_1,entry,kitchen,living,kitchen,kitchen,kitchen,kitchen,kitchen,living,bedroom_1,bedroom_1,bathroom,entry,kitchen,kitchen
10020,d06 Sun 23:00,bedroom_2,bedroom_2,kitchen,entry,kitchen,bedroom_2,bedroom_2,kitchen,kitchen,living,living,entry,entry,bedroom_1,bedroom_2,bedroom_1,kitchen,kitchen,entry,bedroom_1,kitchen,bedroom_1,bedroom_1,bedroom_1,entry,kitchen,living,kitchen,kitchen,kitchen,kitchen,kitchen,living,bedroom_1,bedroom_1,bathroom,entry,kitchen,kitchen
10080,d07 Mon 00:00,bedroom_2,bedroom_2,kitchen,entry,kitchen,bedroom_2,bedroom_2,kitchen,kitchen,living,living,entry,entry,bedroom_1,bedroom_2,bedroom_1,kitchen,kitchen,entry,bedroom_1,kitchen,bedroom_1,bedroom_1,bedroom_1,entry,kitchen,living,kitchen,kitchen,kitchen,kitchen,kitchen,living,bedroom_1,bedroom_1,bathroom,entry,kitchen,kitchen
10140,d07 Mon 01:00,bedroom_2,bedroom_2,kitchen,entry,kitchen,bedroom_2,bedroom_2,kitchen,kitchen,living,living,entry,entry,bedroom_1,bedroom_2,bedroom_1,kitchen,kitchen,entry,bedroom_1,kitchen,bedroom_1,bedroom_1,bedroom_1,entry,kitchen,living,kitchen,kitchen,kitchen,kitchen,kitchen,living,bedroom_1,bedroom_1,bathroom,entry,kitchen,kitchen
10200,d07 Mon 02:00,bedroom_2,bedroom_2,kitchen,entry,kitchen,bedroom_2,bedroom_2,kitchen,kitchen,living,living,entry,entry,bedroom_1,bedroom_2,bedroom_1,kitchen,kitchen,entry,bedroom_1,kitchen,bedroom_1,bedroom_1,bedroom_1,entry,kitchen,living,kitchen,kitchen,kitchen,kitchen,kitchen,living,bedroom_1,bedroom_1,bathroom,entry,kitchen,kitchen
10260,d07 Mon 03:00,bedroom_2,bedroom_2,kitchen,entry,kitchen,bedroom_2,bedroom_2,kitchen,kitchen,living,living,entry,entry,bedroom_1,bedroom_2,bedroom_1,kitchen,kitchen,entry,bedroom_1,kitchen,bedroom_1,bedroom_1,bedroom_1,entry,kitchen,living,kitchen,kitchen,kitchen,kitchen,kitchen,living,bedroom_1,bedroom_1,bathroom,entry,kitchen,kitchen
10320,d07 Mon 04:00,bedroom_2,bedroom_2,kitchen,entry,kitchen,bedroom_2,bedroom_2,kitchen,kitchen,living,living,entry,entry,bedroom_1,bedroom_2,bedroom_1,kitchen,kitchen,entry,bedroom_1,kitchen,bedroom_1,bedroom_1,bedroom_1,entry,kitchen,living,kitchen,kitchen,kitchen,kitchen,kitchen,living,bedroom_1,bedroom_1,bathroom,entry,kitchen,kitchen
10380,d07 Mon 05:00,bedroom_2,bedroom_2,kitchen,entry,kitchen,bedroom_2,bedroom_2,kitchen,kitchen,living,living,entry,entry,bedroom_1,bedroom_2,bedroom_1,kitchen,kitchen,entry,bedroom_1,kitchen,bedroom_1,bedroom_1,bedroom_1,entry,kitchen,living,kitchen,kitchen,kitchen,kitchen,kitchen,living,bedroom_1,bedroom_1,bathroom,entry,kitchen,kitchen
10440,d07 Mon 06:00,bedroom_2,bedroom_2,kitchen,kitchen,kitchen,bedroom_2,bedroom_2,kitchen,kitchen,living,living,entry,entry,bedroom_1,bedroom_2,bedroom_1,kitchen,kitchen,entry,bedroom_1,kitchen,bathroom,bedroom_1,bedroom_1,entry,kitchen,living,kitchen,kitchen,kitchen,kitchen,kitchen,living,bedroom_1,bathroom,bathroom,entry,kitchen,kitchen
10500,d07 Mon 07:00,bedroom_2,kitchen,kitchen,kitchen,bedroom_2,bedroom_2,bedroom_2,kitchen,kitchen,living,bedroom_1,entry,entry,bedroom_1,bedroom_2,bedroom_1,kitchen,kitchen,entry,bedroom_1,kitchen,bedroom_1,bedroom_1,bedroom_1,entry,kitchen,living,kitchen,kitchen,kitchen,kitchen,kitchen,living,bedroom_1,bathroom,bathroom,entry,kitchen,kitchen
10560,d07 Mon 08:00,bedroom_2,kitchen,kitchen,kitchen,bedroom_2,bedroom_2,bedroom_2,kitchen,kitchen,living,bedroom_2,entry,entry,bedroom_2,bedroom_2,bedroom_1,kitchen,kitchen,entry,bedroom_1,kitchen,bedroom_1,bedroom_1,bedroom_1,entry,kitchen,living,kitchen,kitchen,kitchen,kitchen,kitchen,living,bedroom_1,bathroom,bathroom,entry,kitchen,kitchen
10620,d07 Mon 09:00,bedroom_2,kitchen,kitchen,kitchen,bedroom_2,bedroom_2,bedroom_2,kitchen,kitchen,living,bedroom_2,entry,entry,bedroom_2,bedroom_2,bedroom_1,kitchen,kitchen,entry,bedroom_1,kitchen,bedroom_1,bedroom_1,bedroom_1,entry,kitchen,living,kitchen,kitchen,kitchen,kitchen,kitchen,living,bedroom_1,bathroom,bathroom,entry,kitchen,kitchen
10680,d07 Mon 10:00,bedroom_2,kitchen,kitchen,kitchen,bedroom_2,bedroom_2,bedroom_2,kitchen,kitchen,living,bedroom_2,entry,entry,bedroom_2,bedroom_2,bedroom_1,kitchen,kitchen,entry,bedroom_1,kitchen,bedroom_1,bedroom_1,bedroom_1,entry,kitchen,living,kitchen,kitchen,kitchen,kitchen,kitchen,living,bedroom_1,bathroom,bathroom,entry,kitchen,kitchen
10740,d07 Mon 11:00,bedroom_2,kitchen,kitchen,kitchen,bedroom_2,bedroom_2,bedroom_2,kitchen,kitchen,living,bedroom_2,entry,entry,bedroom_2,bedroom_2,bedroom_1,kitchen,kitchen,entry,bedroom_1,kitchen,kitchen,bedroom_1,bedroom_1,entry,kitchen,living,kitchen,kitchen,kitchen,kitchen,kitchen,living,bedroom_1,bathroom,bathroom,entry,kitchen,kitchen
10800,d07 Mon 12:00,bedroom_2,kitchen,kitchen,kitchen,bedroom_2,bedroom_2,bedroom_2,kitchen,kitchen,living,kitchen,entry,entry,kitchen,bedroom_2,bedroom_1,kitchen,kitchen,entry,bedroom_1,kitchen,kitchen,bedroom_1,bedroom_1,entry,kitchen,living,kitchen,kitchen,kitchen,kitchen,kitchen,living,bedroom_1,bathroom,bathroom,entry,kitchen,kitchen
10860,d07 Mon 13:00,bedroom_2,kitchen,kitchen,kitchen,bedroom_2,bedroom_2,bedroom_2,kitchen,kitchen,living,bedroom_1,entry,entry,bedroom_1,bedroom_2,bedroom_1,kitchen,kitchen,entry,bedroom_1,kitchen,bedroom_1,bedroom_1,kitchen,entry,kitchen,living,kitchen,kitchen,kitchen,kitchen,kitchen,living,bedroom_1,bathroom,bathroom,entry,kitchen,kitchen
10920,d07 Mon 14:00,bedroom_2,kitchen,kitchen,kitchen,bedroom_2,bedroom_2,bedroom_2,kitchen,kitchen,living,bedroom_2,entry,entry,bedroom_2,bedroom_2,bedroom_1,kitchen,kitchen,entry,bedroom_1,kitchen,bedroom_1,bedroom_1,kitchen,entry,kitchen,living,kitchen,kitchen,kitchen,kitchen,kitchen,living,bedroom_1,bathroom,bathroom,entry,kitchen,kitchen
10980,d07 Mon 15:00,bedroom_2,kitchen,kitchen,kitchen,bedroom_2,bedroom_2,bedroom_2,kitchen,kitchen,living,bedroom_2,entry,entry,bedroom_1,bedroom_2,kitchen,kitchen,kitchen,entry,bedroom_1,kitchen,bedroom_1,bedroom_1,bedroom_1,entry,kitchen,living,kitchen,kitchen,kitchen,kitchen,kitchen,living,bedroom_1,bathroom,bathroom,entry,kitchen,kitchen
11040,d07 Mon 16:00,bedroom_2,kitchen,kitchen,kitchen,bedroom_2,bedroom_2,bedroom_2,kitchen,kitchen,bedroom_1,bedroom_2,entry,entry,bedroom_1,bedroom_2,kitchen,kitchen,kitchen,entry,bedroom_1,kitchen,bedroom_1,bedroom_1,bedroom_1,entry,kitchen,living,kitchen,kitchen,kitchen,kitchen,kitchen,living,bedroom_1,bathroom,bathroom,entry,kitchen,kitchen
11100,d07 Mon 17:00,bedroom_2,kitchen,kitchen,kitchen,bedroom_2,bedroom_2,bedroom_2,kitchen,kitchen,bedroom_1,bedroom_2,entry,entry,bedroom_1,bedroom_2,kitchen,kitchen,kitchen,entry,bedroom_1,kitchen,bedroom_1,bedroom_1,bedroom_1,entry,kitchen,living,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,bathroom,bathroom,entry,kitchen,kitchen
11160,d07 Mon 18:00,bedroom_2,kitchen,kitchen,kitchen,kitchen,bedroom_2,bedroom_2,bedroom_2,kitchen,bedroom_1,bedroom_2,entry,entry,bedroom_2,bedroom_2,bedroom_1,kitchen,kitchen,entry,kitchen,kitchen,kitchen,bedroom_1,bedroom_1,entry,kitchen,living,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,bathroom,bathroom,entry,kitchen,kitchen
11220,d07 Mon 19:00,bedroom_2,kitchen,kitchen,kitchen,kitchen,bedroom_2,bedroom_2,bedroom_2,kitchen,living,bedroom_2,entry,entry,bathroom,bedroom_2,bedroom_1,kitchen,kitchen,entry,living,kitchen,living,bedroom_1,bedroom_1,entry,kitchen,living,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,bathroom,bathroom,entry,kitchen,kitchen
11280,d07 Mon 20:00,bedroom_2,kitchen,kitchen,kitchen,kitchen,bedroom_2,bedroom_2,bedroom_2,kitchen,living,bedroom_2,entry,entry,bedroom_1,bedroom_2,bedroom_1,kitchen,kitchen,entry,living,kitchen,living,bedroom_1,bedroom_1,entry,kitchen,living,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,bathroom,bathroom,entry,kitchen,kitchen
11340,d07 Mon 21:00,bedroom_2,kitchen,kitchen,kitchen,kitchen,bedroom_2,bedroom_2,bedroom_2,kitchen,living,bedroom_2,entry,entry,bathroom,bedroom_2,bedroom_1,kitchen,kitchen,entry,living,kitchen,bedroom_1,bedroom_1,bedroom_1,entry,kitchen,living,kitchen,kitchen,kitchen,kitchen,kitchen,living,bedroom_1,bathroom,bathroom,entry,kitchen,kitchen
11400,d07 Mon 22:00,bedroom_2,kitchen,kitchen,kitchen,kitchen,bedroom_2,bedroom_2,bedroom_2,kitchen,living,bedroom_2,entry,entry,bedroom_1,bedroom_2,bedroom_1,kitchen,kitchen,entry,living,kitchen,bedroom_1,bedroom_1,bedroom_1,entry,kitchen,living,kitchen,kitchen,kitchen,kitchen,kitchen,living,bedroom_1,bathroom,bathroom,entry,kitchen,kitchen
11460,d07 Mon 23:00,bedroom_2,kitchen,kitchen,kitchen,kitchen,bedroom_2,bedroom_2,bedroom_2,kitchen,living,bedroom_2,entry,entry,bedroom_1,bedroom_2,bedroom_1,kitchen,kitchen,entry,living,kitchen,bedroom_1,bedroom_1,bedroom_1,entry,kitchen,living,kitchen,kitchen,kitchen,kitchen,kitchen,living,bedroom_1,bathroom,bathroom,entry,kitchen,kitchen
11520,d08 Tue 00:00,bedroom_2,kitchen,kitchen,kitchen,kitchen,bedroom_2,bedroom_2,bedroom_2,kitchen,living,bedroom_2,entry,entry,bedroom_1,bedroom_2,bedroom_1,kitchen,kitchen,entry,living,kitchen,bedroom_1,bedroom_1,bedroom_1,entry,kitchen,living,kitchen,kitchen,kitchen,kitchen,kitchen,living,bedroom_1,bathroom,bathroom,entry,kitchen,kitchen
11580,d08 Tue 01:00,bedroom_2,kitchen,kitchen,kitchen,kitchen,bedroom_2,bedroom_2,bedroom_2,kitchen,living,bedroom_2,entry,entry,bedroom_1,bedroom_2,bedroom_1,kitchen,kitchen,entry,living,kitchen,bedroom_1,bedroom_1,bedroom_1,entry,kitchen,living,kitchen,kitchen,kitchen,kitchen,kitchen,living,bedroom_1,bathroom,bathroom,entry,kitchen,kitchen
11640,d08 Tue 02:00,bedroom_2,kitchen,kitchen,kitchen,kitchen,bedroom_2,bedroom_2,bedroom_2,kitchen,living,bedroom_2,entry,entry,bedroom_1,bedroom_2,bedroom_1,kitchen,kitchen,entry,living,kitchen,bedroom_1,bedroom_1,bedroom_1,entry,kitchen,living,kitchen,kitchen,kitchen,kitchen,kitchen,living,bedroom_1,bathroom,bathroom,entry,kitchen,kitchen
11700,d08 Tue 03:00,bedroom_2,kitchen,kitchen,kitchen,kitchen,bedroom_2,bedroom_2,bedroom_2,kitchen,living,bedroom_2,entry,entry,bedroom_1,bedroom_2,bedroom_1,kitchen,kitchen,entry,living,kitchen,bedroom_1,bedroom_1,bedroom_1,entry,kitchen,living,kitchen,kitchen,kitchen,kitchen,kitchen,living,bedroom_1,bathroom,bathroom,entry,kitchen,kitchen
11760,d08 Tue 04:00,bedroom_2,kitchen,kitchen,kitchen,kitchen,bedroom_2,bedroom_2,bedroom_2,kitchen,living,bedroom_2,entry,entry,bedroom_1,bedroom_2,bedroom_1,kitchen,kitchen,entry,living,kitchen,bedroom_1,bedroom_1,bedroom_1,entry,kitchen,living,kitchen,kitchen,kitchen,kitchen,kitchen,living,bedroom_1,bathroom,bathroom,entry,kitchen,kitchen
11820,d08 Tue 05:00,bedroom_2,kitchen,kitchen,kitchen,kitchen,bedroom_2,bedroom_2,bedroom_2,kitchen,living,bedroom_2,entry,entry,bedroom_1,bedroom_2,bedroom_1,kitchen,kitchen,entry,living,kitchen,bedroom_1,bedroom_1,bedroom_1,entry,kitchen,living,kitchen,kitchen,kitchen,kitchen,kitchen,living,bedroom_1,bathroom,bathroom,entry,kitchen,kitchen
11880,d08 Tue 06:00,bedroom_2,kitchen,kitchen,kitchen,kitchen,bedroom_2,bedroom_2,bedroom_2,kitchen,living,bedroom_2,entry,entry,bedroom_1,bedroom_2,bedroom_1,kitchen,kitchen,entry,living,kitchen,kitchen,bedroom_1,bedroom_1,entry,kitchen,living,kitchen,kitchen,kitchen,kitchen,kitchen,living,bedroom_1,bathroom,bathroom,entry,kitchen,kitchen
11940,d08 Tue 07:00,bedroom_2,kitchen,kitchen,kitchen,kitchen,bedroom_2,bedroom_2,bedroom_2,kitchen,living,bedroom_1,entry,entry,bedroom_1,bedroom_2,bedroom_1,kitchen,kitchen,entry,living,kitchen,bedroom_1,bedroom_1,bedroom_1,entry,kitchen,living,kitchen,kitchen,kitchen,kitchen,kitchen,living,bedroom_1,bathroom,bathroom,entry,kitchen,kitchen
12000,d08 Tue 08:00,bedroom_2,kitchen,kitchen,kitchen,kitchen,bedroom_2,bedroom_2,bedroom_2,kitchen,living,bedroom_1,entry,entry,bedroom_1,bedroom_2,bedroom_1,kitchen,kitchen,entry,living,kitchen,bedroom_1,kitchen,bedroom_1,entry,kitchen,living,kitchen,kitchen,kitchen,kitchen,kitchen,living,bedroom_1,bathroom,bathroom,entry,kitchen,kitchen
12060,d08 Tue 09:00,bedroom_2,kitchen,kitchen,kitchen,kitchen,bedroom_2,bedroom_2,bedroom_2,kitchen,living,bedroom_1,entry,entry,bedroom_1,bedroom_2,bedroom_1,kitchen,kitchen,entry,living,kitchen,bedroom_1,kitchen,bedroom_1,entry,kitchen,living,kitchen,kitchen,kitchen,kitchen,kitchen,living,bedroom_1,bathroom,bathroom,entry,kitchen,kitchen
12120,d08 Tue 10:00,bedroom_2,kitchen,kitchen,kitchen,kitchen,bedroom_2,bedroom_2,bedroom_2,kitchen,bedroom_1,bedroom_1,entry,entry,bedroom_1,bedroom_2,bedroom_1,kitchen,kitchen,entry,living,kitchen,bedroom_1,kitchen,bedroom_1,entry,kitchen,living,kitchen,kitchen,kitchen,kitchen,kitchen,living,bedroom_1,bathroom,bathroom,entry,kitchen,kitchen
12180,d08 Tue 11:00,bedroom_2,kitchen,kitchen,kitchen,kitchen,bedroom_2,bedroom_2,bedroom_2,kitchen,bedroom_1,kitchen,entry,entry,kitchen,bedroom_2,kitchen,kitchen,kitchen,entry,living,kitchen,kitchen,kitchen,kitchen,entry,kitchen,living,kitchen,kitchen,kitchen,kitchen,kitchen,living,bedroom_1,bathroom,bathroom,entry,kitchen,kitchen
12240,d08 Tue 12:00,bedroom_2,kitchen,kitchen,kitchen,kitchen,bedroom_2,bedroom_2,bedroom_2,kitchen,bedroom_1,living,entry,entry,bedroom_2,bedroom_2,kitchen,kitchen,kitchen,entry,living,kitchen,kitchen,kitchen,bedroom_1,entry,kitchen,living,kitchen,kitchen,kitchen,kitchen,kitchen,living,bedroom_1,bathroom,bathroom,entry,kitchen,kitchen
12300,d08 Tue 13:00,bedroom_2,kitchen,kitchen,kitchen,kitchen,bedroom_2,bedroom_2,kitchen,kitchen,bedroom_1,bedroom_1,entry,entry,bedroom_1,bedroom_2,kitchen,kitchen,kitchen,entry,living,kitchen,kitchen,kitchen,bedroom_1,entry,kitchen,living,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,bathroom,bathroom,entry,kitchen,kitchen
12360,d08 Tue 14:00,bedroom_2,kitchen,kitchen,kitchen,kitchen,bedroom_2,bedroom_2,kitchen,kitchen,bedroom_1,bedroom_1,entry,entry,bedroom_1,bedroom_2,kitchen,kitchen,kitchen,entry,living,kitchen,kitchen,kitchen,bedroom_1,entry,kitchen,living,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,bathroom,bathroom,entry,kitchen,kitchen
12420,d08 Tue 15:00,bedroom_2,kitchen,kitchen,kitchen,kitchen,bedroom_2,bedroom_2,kitchen,kitchen,bedroom_1,bedroom_1,entry,entry,bedroom_1,bedroom_2,kitchen,kitchen,kitchen,entry,living,kitchen,kitchen,kitchen,bedroom_1,entry,kitchen,living,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,bathroom,bathroom,entry,kitchen,kitchen
12480,d08 Tue 16:00,bedroom_2,kitchen,kitchen,kitchen,kitchen,bedroom_2,bedroom_2,kitchen,kitchen,bedroom_1,bedroom_1,entry,entry,bedroom_1,bedroom_2,kitchen,kitchen,kitchen,entry,living,kitchen,kitchen,kitchen,bedroom_1,kitchen,kitchen,living,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,bathroom,bathroom,entry,kitchen,kitchen
12540,d08 Tue 17:00,bedroom_2,kitchen,kitchen,kitchen,kitchen,bedroom_2,bedroom_2,kitchen,kitchen,bedroom_1,bedroom_1,entry,entry,bedroom_1,bedroom_2,kitchen,kitchen,kitchen,entry,living,kitchen,kitchen,kitchen,bedroom_1,kitchen,kitchen,living,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,bathroom,bathroom,entry,kitchen,kitchen
12600,d08 Tue 18:00,bedroom_2,kitchen,kitchen,kitchen,kitchen,bedroom_2,bedroom_2,kitchen,kitchen,bedroom_1,bedroom_2,entry,entry,bedroom_1,bedroom_2,kitchen,kitchen,kitchen,entry,living,kitchen,kitchen,kitchen,bedroom_1,kitchen,kitchen,living,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,bathroom,bathroom,entry,kitchen,kitchen
12660,d08 Tue 19:00,bedroom_2,kitchen,kitchen,kitchen,kitchen,bedroom_2,bedroom_2,kitchen,kitchen,bedroom_1,bedroom_2,entry,entry,bedroom_1,bedroom_2,kitchen,kitchen,kitchen,entry,living,kitchen,kitchen,kitchen,bedroom_1,kitchen,kitchen,living,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,bathroom,bathroom,entry,kitchen,kitchen
12720,d08 Tue 20:00,bedroom_2,kitchen,kitchen,kitchen,kitchen,bedroom_2,bedroom_2,kitchen,kitchen,bedroom_1,bedroom_2,entry,entry,bedroom_1,bedroom_2,kitchen,kitchen,kitchen,entry,bedroom_1,kitchen,kitchen,kitchen,bedroom_1,kitchen,kitchen,living,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,bathroom,bathroom,entry,kitchen,kitchen
12780,d08 Tue 21:00,bedroom_2,kitchen,kitchen,kitchen,kitchen,bedroom_2,bedroom_2,kitchen,kitchen,bedroom_1,bedroom_2,entry,entry,bedroom_1,bedroom_2,kitchen,living,kitchen,entry,bedroom_1,kitchen,kitchen,kitchen,bedroom_1,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,bathroom,bathroom,entry,kitchen,kitchen
12840,d08 Tue 22:00,bedroom_2,kitchen,kitchen,kitchen,kitchen,bedroom_2,bedroom_2,kitchen,kitchen,bedroom_1,bedroom_2,entry,entry,bedroom_1,bedroom_2,kitchen,living,kitchen,entry,bedroom_1,kitchen,kitchen,kitchen,bedroom_1,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,bathroom,bathroom,entry,kitchen,kitchen
12900,d08 Tue 23:00,bedroom_2,kitchen,kitchen,kitchen,kitchen,bedroom_2,bedroom_2,kitchen,kitchen,bedroom_1,bedroom_2,entry,entry,bedroom_1,bedroom_2,kitchen,living,kitchen,entry,bedroom_1,kitchen,kitchen,kitchen,bedroom_1,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,bathroom,bathroom,entry,kitchen,kitchen
12960,d09 Wed 00:00,bedroom_2,kitchen,kitchen,kitchen,kitchen,bedroom_2,bedroom_2,kitchen,kitchen,bedroom_1,bedroom_2,entry,entry,bedroom_1,bedroom_2,kitchen,living,kitchen,entry,bedroom_1,kitchen,kitchen,kitchen,bedroom_1,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,bathroom,bathroom,entry,kitchen,kitchen
13020,d09 Wed 01:00,bedroom_2,kitchen,kitchen,kitchen,kitchen,bedroom_2,bedroom_2,kitchen,kitchen,bedroom_1,bedroom_2,entry,entry,bedroom_1,bedroom_2,kitchen,living,kitchen,entry,bedroom_1,kitchen,kitchen,kitchen,bedroom_1,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,bathroom,bathroom,entry,kitchen,kitchen
13080,d09 Wed 02:00,bedroom_2,kitchen,kitchen,kitchen,kitchen,bedroom_2,bedroom_2,kitchen,kitchen,bedroom_1,bedroom_2,entry,entry,bedroom_1,bedroom_2,kitchen,living,kitchen,entry,bedroom_1,kitchen,kitchen,kitchen,bedroom_1,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,bathroom,bathroom,entry,kitchen,kitchen
13140,d09 Wed 03:00,bedroom_2,kitchen,kitchen,kitchen,kitchen,bedroom_2,bedroom_2,kitchen,kitchen,bedroom_1,bedroom_2,entry,entry,bedroom_1,bedroom_2,kitchen,living,kitchen,entry,bedroom_1,kitchen,kitchen,kitchen,bedroom_1,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,bathroom,bathroom,entry,kitchen,kitchen
13200,d09 Wed 04:00,bedroom_2,kitchen,kitchen,kitchen,kitchen,bedroom_2,bedroom_2,kitchen,kitchen,bedroom_1,bedroom_2,entry,entry,bedroom_1,bedroom_2,kitchen,living,kitchen,entry,bedroom_1,kitchen,kitchen,kitchen,bedroom_1,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,bathroom,bathroom,entry,kitchen,kitchen
13260,d09 Wed 05:00,bedroom_2,kitchen,kitchen,kitchen,kitchen,bedroom_2,bedroom_2,kitchen,kitchen,bedroom_1,bedroom_2,entry,entry,bedroom_1,bedroom_2,kitchen,living,kitchen,entry,bedroom_1,kitchen,kitchen,kitchen,bedroom_1,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,bathroom,bathroom,entry,kitchen,kitchen
