t,stamp,mug_1,mug_2,mug_3,mug_4,laptop_1,laptop_2,phone_1,phone_2,phone_3,phone_4,keys_1,keys_2,book_1,book_2,book_3,book_4,water_bottle_1,water_bottle_2,water_bottle_3,water_bottle_4,remote_1,charger_1,charger_2,backpack_1,backpack_2,jacket_1,jacket_2,jacket_3,jacket_4,headphones_1,headphones_2,glasses_1,glasses_2,notebook_1,notebook_2,notebook_3,notebook_4,pen_1,pen_2,pen_3
4140,d02 Wed 21:00,kitchen,living,kitchen,living,living,living,kitchen,living,living,living,kitchen,entry,kitchen,living,kitchen,living,kitchen,kitchen,kitchen,living,living,living,living,entry,entry,kitchen,entry,entry,living,kitchen,living,kitchen,living,kitchen,living,kitchen,living,kitchen,living,kitchen
4200,d02 Wed 22:00,kitchen,living,kitchen,living,living,kitchen,kitchen,living,living,living,kitchen,entry,kitchen,living,kitchen,living,kitchen,kitchen,kitchen,living,living,living,living,entry,entry,kitchen,entry,entry,living,kitchen,bedroom_2,kitchen,living,kitchen,kitchen,kitchen,living,kitchen,kitchen,kitchen
4260,d02 Wed 23:00,kitchen,living,kitchen,living,living,kitchen,kitchen,living,living,living,bedroom_1,entry,kitchen,living,kitchen,living,kitchen,kitchen,kitchen,living,living,living,living,entry,entry,kitchen,entry,entry,living,kitchen,bedroom_2,kitchen,living,kitchen,kitchen,kitchen,living,kitchen,kitchen,kitchen
4320,d03 Thu 00:00,kitchen,living,kitchen,living,living,kitchen,kitchen,living,living,living,bedroom_1,entry,kitchen,living,kitchen,living,kitchen,kitchen,kitchen,living,living,living,living,entry,entry,kitchen,entry,entry,living,kitchen,bedroom_2,kitchen,living,kitchen,kitchen,kitchen,living,kitchen,kitchen,kitchen
4380,d03 Thu 01:00,kitchen,living,kitchen,living,living,kitchen,kitchen,living,living,living,bedroom_1,entry,kitchen,living,kitchen,living,kitchen,kitchen,kitchen,living,living,living,living,entry,entry,kitchen,entry,entry,living,kitchen,bedroom_2,kitchen,living,kitchen,kitchen,kitchen,living,kitchen,kitchen,kitchen
4440,d03 Thu 02:00,kitchen,living,kitchen,living,living,kitchen,kitchen,living,living,living,bedroom_1,entry,kitchen,living,kitchen,living,kitchen,kitchen,kitchen,living,living,living,living,entry,entry,kitchen,entry,entry,living,kitchen,bedroom_2,kitchen,living,kitchen,kitchen,kitchen,living,kitchen,kitchen,kitchen
4500,d03 Thu 03:00,kitchen,living,kitchen,living,living,kitchen,kitchen,living,living,living,bedroom_1,entry,kitchen,living,kitchen,living,kitchen,kitchen,kitchen,living,living,living,living,entry,entry,kitchen,entry,entry,living,kitchen,bedroom_2,kitchen,living,kitchen,kitchen,kitchen,living,kitchen,kitchen,kitchen
4560,d03 Thu 04:00,kitchen,living,kitchen,living,living,kitchen,kitchen,living,living,living,bedroom_1,entry,kitchen,living,kitchen,living,kitchen,kitchen,kitchen,living,living,living,living,entry,entry,kitchen,entry,entry,living,kitchen,bedroom_2,kitchen,living,kitchen,kitchen,kitchen,living,kitchen,kitchen,kitchen
4620,d03 Thu 05:00,kitchen,living,kitchen,living,living,kitchen,kitchen,living,living,living,bedroom_1,entry,kitchen,living,kitchen,living,kitchen,kitchen,kitchen,living,living,living,living,entry,entry,kitchen,entry,entry,living,kitchen,bedroom_2,kitchen,living,kitchen,kitchen,kitchen,living,kitchen,kitchen,kitchen
4680,d03 Thu 06:00,kitchen,living,kitchen,living,living,kitchen,kitchen,living,living,living,bedroom_1,entry,kitchen,living,kitchen,living,kitchen,kitchen,kitchen,living,living,living,living,entry,entry,kitchen,entry,entry,living,kitchen,bedroom_2,kitchen,living,kitchen,kitchen,kitchen,living,kitchen,kitchen,kitchen
4740,d03 Thu 07:00,kitchen,living,kitchen,living,living,kitchen,kitchen,kitchen,living,living,bedroom_1,entry,kitchen,living,kitchen,bedroom_2,kitchen,kitchen,kitchen,living,living,living,living,entry,entry,kitchen,entry,entry,living,kitchen,bedroom_2,kitchen,living,kitchen,kitchen,kitchen,living,kitchen,kitchen,kitchen
4800,d03 Thu 08:00,kitchen,living,entry,living,living,kitchen,kitchen,kitchen,outside,living,bedroom_1,entry,kitchen,living,outside,bedroom_2,kitchen,kitchen,outside,living,living,living,living,entry,entry,kitchen,entry,entry,living,kitchen,bedroom_2,kitchen,living,kitchen,kitchen,outside,living,kitchen,kitchen,outside
4860,d03 Thu 09:00,kitchen,living,entry,living,living,kitchen,kitchen,kitchen,outside,living,bedroom_1,entry,kitchen,living,outside,bedroom_2,kitchen,kitchen,outside,living,living,living,living,entry,entry,kitchen,entry,entry,living,kitchen,bedroom_2,kitchen,living,kitchen,kitchen,outside,living,kitchen,kitchen,outside
4920,d03 Thu 10:00,kitchen,living,entry,living,kitchen,kitchen,kitchen,kitchen,outside,living,kitchen,entry,kitchen,living,outside,bedroom_2,bedroom_1,kitchen,outside,living,living,kitchen,living,entry,entry,kitchen,entry,entry,living,kitchen,bedroom_2,kitchen,living,kitchen,kitchen,outside,living,kitchen,kitchen,outside
4980,d03 Thu 11:00,kitchen,living,entry,living,kitchen,kitchen,kitchen,kitchen,outside,living,kitchen,entry,kitchen,living,outside,bedroom_2,bedroom_1,kitchen,outside,living,living,kitchen,living,entry,entry,kitchen,entry,entry,living,kitchen,bedroom_2,kitchen,living,kitchen,kitchen,outside,living,kitchen,kitchen,outside
5040,d03 Thu 12:00,kitchen,living,entry,living,kitchen,kitchen,kitchen,kitchen,outside,living,kitchen,entry,kitchen,living,outside,bedroom_2,bedroom_1,kitchen,outside,living,living,kitchen,living,entry,entry,kitchen,entry,entry,living,kitchen,bedroom_2,kitchen,living,kitchen,kitchen,outside,living,kitchen,kitchen,outside
5100,d03 Thu 13:00,kitchen,living,entry,living,living,kitchen,kitchen,kitchen,outside,living,kitchen,entry,kitchen,living,outside,bedroom_2,bedroom_1,kitchen,outside,living,living,living,living,entry,entry,kitchen,entry,entry,living,kitchen,bedroom_2,kitchen,living,kitchen,kitchen,outside,living,kitchen,kitchen,outside
5160,d03 Thu 14:00,kitchen,living,entry,living,living,kitchen,kitchen,kitchen,outside,living,kitchen,entry,kitchen,living,outside,bedroom_2,bedroom_1,kitchen,outside,living,living,living,living,entry,entry,kitchen,entry,entry,living,kitchen,bedroom_2,kitchen,living,kitchen,kitchen,outside,living,kitchen,kitchen,outside
5220,d03 Thu 15:00,kitchen,living,entry,living,living,kitchen,kitchen,kitchen,outside,living,kitchen,entry,kitchen,living,outside,bedroom_2,bedroom_1,kitchen,outside,living,living,living,living,entry,entry,kitchen,entry,entry,living,kitchen,bedroom_2,kitchen,living,kitchen,kitchen,outside,living,kitchen,kitchen,outside
5280,d03 Thu 16:00,kitchen,living,entry,living,living,kitchen,kitchen,kitchen,kitchen,living,kitchen,entry,kitchen,living,kitchen,bedroom_2,bedroom_1,kitchen,kitchen,living,living,living,living,entry,entry,kitchen,entry,entry,living,kitchen,bedroom_2,kitchen,living,kitchen,kitchen,kitchen,living,kitchen,kitchen,kitchen
5340,d03 Thu 17:00,kitchen,living,kitchen,living,living,kitchen,kitchen,kitchen,living,living,kitchen,entry,kitchen,living,kitchen,living,kitchen,kitchen,kitchen,living,living,living,living,entry,entry,kitchen,entry,entry,living,kitchen,bedroom_2,kitchen,living,kitchen,kitchen,kitchen,living,kitchen,kitchen,kitchen
5400,d03 Thu 18:00,kitchen,living,kitchen,living,living,kitchen,kitchen,kitchen,living,living,kitchen,entry,kitchen,living,kitchen,living,kitchen,kitchen,kitchen,living,living,living,living,entry,entry,kitchen,entry,entry,living,kitchen,bedroom_2,kitchen,living,kitchen,kitchen,kitchen,living,kitchen,kitchen,kitchen
5460,d03 Thu 19:00,kitchen,living,kitchen,living,living,living,kitchen,living,living,living,kitchen,entry,kitchen,living,kitchen,living,kitchen,kitchen,kitchen,living,living,living,living,entry,entry,kitchen,entry,entry,living,kitchen,living,kitchen,living,kitchen,living,kitchen,living,kitchen,living,kitchen
5520,d03 Thu 20:00,kitchen,living,kitchen,living,living,living,kitchen,living,living,living,kitchen,entry,kitchen,living,kitchen,living,kitchen,kitchen,kitchen,living,living,living,living,entry,entry,kitchen,entry,entry,living,kitchen,living,kitchen,living,kitchen,living,kitchen,living,kitchen,living,kitchen
5580,d03 Thu 21:00,kitchen,living,kitchen,living,living,living,kitchen,living,living,living,kitchen,entry,kitchen,living,kitchen,living,kitchen,kitchen,kitchen,living,living,living,living,entry,entry,kitchen,entry,entry,living,kitchen,living,kitchen,living,kitchen,living,kitchen,living,kitchen,living,kitchen
5640,d03 Thu 22:00,kitchen,living,kitchen,living,living,kitchen,kitchen,living,living,living,kitchen,entry,kitchen,living,kitchen,living,kitchen,kitchen,kitchen,living,living,living,living,entry,entry,kitchen,entry,entry,living,kitchen,bedroom_2,kitchen,living,kitchen,kitchen,kitchen,living,kitchen,kitchen,kitchen
5700,d03 Thu 23:00,kitchen,living,kitchen,living,living,kitchen,kitchen,living,living,living,kitchen,entry,kitchen,living,kitchen,living,kitchen,kitchen,kitchen,living,living,living,living,entry,entry,kitchen,entry,entry,living,kitchen,bedroom_2,kitchen,living,kitchen,kitchen,kitchen,living,kitchen,kitchen,kitchen
5760,d04 Fri 00:00,kitchen,living,kitchen,living,living,kitchen,kitchen,living,living,living,kitchen,entry,kitchen,living,kitchen,living,kitchen,kitchen,kitchen,living,living,living,living,entry,entry,kitchen,entry,entry,living,kitchen,bedroom_2,kitchen,living,kitchen,kitchen,kitchen,living,kitchen,kitchen,kitchen
5820,d04 Fri 01:00,kitchen,living,kitchen,living,living,kitchen,kitchen,living,living,living,kitchen,entry,kitchen,living,kitchen,living,kitchen,kitchen,kitchen,living,living,living,living,entry,entry,kitchen,entry,entry,living,kitchen,bedroom_2,kitchen,living,kitchen,kitchen,kitchen,living,kitchen,kitchen,kitchen
5880,d04 Fri 02:00,kitchen,living,kitchen,living,living,kitchen,kitchen,living,living,living,kitchen,entry,kitchen,living,kitchen,living,kitchen,kitchen,kitchen,living,living,living,living,entry,entry,kitchen,entry,entry,living,kitchen,bedroom_2,kitchen,living,kitchen,kitchen,kitchen,living,kitchen,kitchen,kitchen
5940,d04 Fri 03:00,kitchen,living,kitchen,living,living,kitchen,kitchen,living,living,living,kitchen,entry,kitchen,living,kitchen,living,kitchen,kitchen,kitchen,living,living,living,living,entry,entry,kitchen,entry,entry,living,kitchen,bedroom_2,kitchen,living,kitchen,kitchen,kitchen,living,kitchen,kitchen,kitchen
6000,d04 Fri 04:00,kitchen,living,kitchen,living,living,kitchen,kitchen,living,living,living,kitchen,entry,kitchen,living,kitchen,living,kitchen,kitchen,kitchen,living,living,living,living,entry,entry,kitchen,entry,entry,living,kitchen,bedroom_2,kitchen,living,kitchen,kitchen,kitchen,living,kitchen,kitchen,kitchen
6060,d04 Fri 05:00,kitchen,living,kitchen,living,living,kitchen,kitchen,living,living,living,kitchen,entry,kitchen,living,kitchen,living,kitchen,kitchen,kitchen,living,living,living,living,entry,entry,kitchen,entry,entry,living,kitchen,bedroom_2,kitchen,living,kitchen,kitchen,kitchen,living,kitchen,kitchen,kitchen
6120,d04 Fri 06:00,kitchen,living,kitchen,living,living,kitchen,kitchen,living,living,living,kitchen,entry,kitchen,living,kitchen,living,kitchen,kitchen,kitchen,living,living,living,living,entry,entry,kitchen,entry,entry,living,kitchen,bedroom_2,kitchen,living,kitchen,kitchen,kitchen,living,kitchen,kitchen,kitchen
6180,d04 Fri 07:00,kitchen,living,kitchen,living,living,kitchen,kitchen,kitchen,living,living,kitchen,entry,kitchen,living,kitchen,bedroom_2,kitchen,kitchen,kitchen,living,living,living,living,entry,entry,kitchen,entry,entry,living,kitchen,bedroom_2,kitchen,living,kitchen,kitchen,kitchen,living,kitchen,kitchen,kitchen
6240,d04 Fri 08:00,kitchen,living,entry,living,bedroom_1,kitchen,kitchen,outside,outside,living,kitchen,entry,kitchen,living,outside,bedroom_2,bedroom_1,kitchen,outside,living,living,living,living,entry,entry,kitchen,entry,entry,living,kitchen,bedroom_2,kitchen,living,kitchen,kitchen,outside,living,kitchen,kitchen,outside
6300,d04 Fri 09:00,kitchen,living,entry,living,living,kitchen,kitchen,outside,outside,living,kitchen,entry,kitchen,living,outside,bedroom_2,bedroom_1,kitchen,outside,living,living,bedroom_1,living,entry,entry,kitchen,entry,entry,living,kitchen,bedroom_2,kitchen,living,kitchen,kitchen,outside,living,kitchen,kitchen,outside
6360,d04 Fri 10:00,kitchen,living,entry,living,living,kitchen,kitchen,outside,outside,living,kitchen,entry,kitchen,living,outside,bedroom_2,bedroom_1,kitchen,outside,living,living,bedroom_1,living,entry,entry,kitchen,entry,entry,living,kitchen,bedroom_2,kitchen,living,kitchen,kitchen,outside,living,kitchen,kitchen,outside
6420,d04 Fri 11:00,kitchen,living,entry,living,living,kitchen,kitchen,outside,outside,living,kitchen,entry,kitchen,living,outside,bedroom_2,bedroom_1,kitchen,outside,living,living,bedroom_1,living,entry,entry,kitchen,entry,entry,living,kitchen,bedroom_2,kitchen,living,kitchen,kitchen,outside,living,kitchen,kitchen,outside
6480,d04 Fri 12:00,kitchen,living,entry,living,living,kitchen,kitchen,outside,outside,living,kitchen,entry,kitchen,living,outside,bedroom_2,bedroom_1,kitchen,outside,living,living,bedroom_1,living,entry,entry,kitchen,entry,entry,living,kitchen,bedroom_2,kitchen,living,kitchen,kitchen,outside,living,kitchen,kitchen,outside
6540,d04 Fri 13:00,kitchen,living,entry,living,bedroom_1,kitchen,kitchen,outside,outside,living,kitchen,entry,kitchen,living,outside,bedroom_2,bedroom_1,kitchen,outside,living,living,living,living,entry,entry,kitchen,entry,entry,living,kitchen,bedroom_2,kitchen,living,kitchen,kitchen,outside,living,kitchen,kitchen,outside
6600,d04 Fri 14:00,kitchen,living,entry,living,bedroom_1,kitchen,kitchen,outside,outside,living,kitchen,entry,kitchen,living,outside,bedroom_2,bedroom_1,kitchen,outside,living,living,living,living,entry,entry,kitchen,entry,entry,living,kitchen,bedroom_2,kitchen,living,kitchen,kitchen,outside,living,kitchen,kitchen,outside
6660,d04 Fri 15:00,kitchen,living,kitchen,living,bedroom_1,kitchen,kitchen,outside,kitchen,living,kitchen,entry,kitchen,living,kitchen,living,bedroom_1,kitchen,kitchen,living,living,living,living,entry,entry,kitchen,entry,entry,living,kitchen,bedroom_2,kitchen,living,kitchen,kitchen,kitchen,living,kitchen,kitchen,kitchen
6720,d04 Fri 16:00,kitchen,living,kitchen,living,bedroom_1,kitchen,kitchen,outside,kitchen,living,kitchen,entry,kitchen,living,kitchen,living,bedroom_1,kitchen,kitchen,living,living,living,living,entry,entry,kitchen,entry,entry,living,kitchen,bedroom_2,kitchen,living,kitchen,kitchen,kitchen,living,kitchen,kitchen,kitchen
6780,d04 Fri 17:00,kitchen,living,kitchen,living,bedroom_1,kitchen,kitchen,outside,kitchen,living,kitchen,entry,kitchen,living,kitchen,living,bedroom_1,kitchen,kitchen,living,living,living,living,entry,entry,kitchen,entry,entry,living,kitchen,bedroom_2,kitchen,living,kitchen,kitchen,kitchen,living,kitchen,kitchen,kitchen
6840,d04 Fri 18:00,kitchen,living,kitchen,living,bedroom_1,kitchen,kitchen,outside,kitchen,living,kitchen,entry,kitchen,living,kitchen,living,bedroom_1,kitchen,kitchen,living,living,living,living,entry,entry,kitchen,entry,entry,living,kitchen,bedroom_2,kitchen,living,kitchen,kitchen,kitchen,living,kitchen,kitchen,kitchen
6900,d04 Fri 19:00,kitchen,living,kitchen,living,bedroom_1,living,kitchen,living,living,living,kitchen,entry,kitchen,living,kitchen,living,bedroom_3,kitchen,kitchen,living,living,living,living,entry,entry,kitchen,entry,entry,living,kitchen,living,kitchen,living,kitchen,living,kitchen,living,kitchen,living,kitchen
6960,d04 Fri 20:00,kitchen,living,kitchen,living,bedroom_1,living,kitchen,living,living,living,kitchen,entry,kitchen,living,kitchen,living,bedroom_3,kitchen,kitchen,living,living,living,living,entry,entry,kitchen,entry,entry,living,kitchen,living,kitchen,living,kitchen,living,kitchen,living,kitchen,living,kitchen
7020,d04 Fri 21:00,kitchen,living,kitchen,living,bedroom_1,living,kitchen,living,living,living,kitchen,entry,kitchen,living,kitchen,living,bedroom_3,kitchen,kitchen,living,living,living,living,entry,entry,kitchen,entry,entry,living,kitchen,living,kitchen,living,kitchen,living,kitchen,living,kitchen,living,kitchen
7080,d04 Fri 22:00,kitchen,living,kitchen,living,bedroom_1,kitchen,kitchen,living,living,living,kitchen,entry,kitchen,bedroom_2,kitchen,living,bedroom_3,kitchen,kitchen,living,living,living,living,entry,entry,kitchen,entry,entry,living,kitchen,living,kitchen,living,kitchen,kitchen,kitchen,living,kitchen,kitchen,kitchen
7140,d04 Fri 23:00,kitchen,living,kitchen,living,bedroom_1,kitchen,kitchen,living,living,living,kitchen,entry,kitchen,bedroom_2,kitchen,living,bedroom_3,kitchen,kitchen,living,living,living,living,entry,entry,kitchen,entry,entry,living,kitchen,living,kitchen,living,kitchen,kitchen,kitchen,living,kitchen,kitchen,kitchen
7200,d05 Sat 00:00,kitchen,living,kitchen,living,bedroom_1,kitchen,kitchen,living,living,living,kitchen,entry,kitchen,bedroom_2,kitchen,living,bedroom_3,kitchen,kitchen,living,living,living,living,entry,entry,kitchen,entry,entry,living,kitchen,living,kitchen,living,kitchen,kitchen,kitchen,living,kitchen,kitchen,kitchen
7260,d05 Sat 01:00,kitchen,living,kitchen,living,bedroom_1,kitchen,kitchen,living,living,living,kitchen,entry,kitchen,bedroom_2,kitchen,living,bedroom_3,kitchen,kitchen,living,living,living,living,entry,entry,kitchen,entry,entry,living,kitchen,living,kitchen,living,kitchen,kitchen,kitchen,living,kitchen,kitchen,kitchen
7320,d05 Sat 02:00,kitchen,living,kitchen,living,bedroom_1,kitchen,kitchen,living,living,living,kitchen,entry,kitchen,bedroom_2,kitchen,living,bedroom_3,kitchen,kitchen,living,living,living,living,entry,entry,kitchen,entry,entry,living,kitchen,living,kitchen,living,kitchen,kitchen,kitchen,living,kitchen,kitchen,kitchen
7380,d05 Sat 03:00,kitchen,living,kitchen,living,bedroom_1,kitchen,kitchen,living,living,living,kitchen,entry,kitchen,bedroom_2,kitchen,living,bedroom_3,kitchen,kitchen,living,living,living,living,entry,entry,kitchen,entry,entry,living,kitchen,living,kitchen,living,kitchen,kitchen,kitchen,living,kitchen,kitchen,kitchen
7440,d05 Sat 04:00,kitchen,living,kitchen,living,bedroom_1,kitchen,kitchen,living,living,living,kitchen,entry,kitchen,bedroom_2,kitchen,living,bedroom_3,kitchen,kitchen,living,living,living,living,entry,entry,kitchen,entry,entry,living,kitchen,living,kitchen,living,kitchen,kitchen,kitchen,living,kitchen,kitchen,kitchen
7500,d05 Sat 05:00,kitchen,living,kitchen,living,bedroom_1,kitchen,kitchen,living,living,living,kitchen,entry,kitchen,bedroom_2,kitchen,living,bedroom_3,kitchen,kitchen,living,living,living,living,entry,entry,kitchen,entry,entry,living,kitchen,living,kitchen,living,kitchen,kitchen,kitchen,living,kitchen,kitchen,kitchen
7560,d05 Sat 06:00,kitchen,living,kitchen,living,bedroom_1,kitchen,kitchen,living,living,living,kitchen,entry,kitchen,bedroom_2,kitchen,bedroom_2,bedroom_3,kitchen,kitchen,living,living,living,living,entry,entry,kitchen,entry,entry,living,kitchen,living,kitchen,living,kitchen,kitchen,kitchen,living,kitchen,kitchen,kitchen
7620,d05 Sat 07:00,kitchen,living,kitchen,living,bedroom_1,kitchen,kitchen,living,living,living,kitchen,entry,kitchen,bedroom_2,kitchen,bedroom_2,bedroom_3,kitchen,kitchen,living,living,living,living,entry,entry,kitchen,entry,entry,living,kitchen,living,kitchen,living,kitchen,kitchen,kitchen,living,kitchen,kitchen,kitchen
7680,d05 Sat 08:00,kitchen,living,kitchen,living,kitchen,kitchen,kitchen,living,living,living,kitchen,entry,kitchen,bedroom_2,kitchen,bedroom_2,bedroom_1,kitchen,kitchen,living,living,kitchen,living,entry,entry,kitchen,entry,entry,living,kitchen,living,kitchen,living,kitchen,kitchen,kitchen,living,kitchen,kitchen,kitchen
7740,d05 Sat 09:00,kitchen,living,kitchen,living,living,kitchen,kitchen,living,living,living,kitchen,entry,kitchen,bedroom_2,kitchen,bedroom_2,bedroom_1,kitchen,kitchen,living,living,bedroom_1,living,entry,entry,kitchen,entry,entry,living,kitchen,living,kitchen,living,kitchen,kitchen,kitchen,living,kitchen,kitchen,kitchen
7800,d05 Sat 10:00,kitchen,living,kitchen,living,living,kitchen,kitchen,living,living,living,kitchen,entry,kitchen,bedroom_2,kitchen,bedroom_2,bedroom_1,kitchen,kitchen,living,living,bedroom_1,living,entry,entry,kitchen,entry,entry,living,kitchen,living,kitchen,living,kitchen,kitchen,kitchen,living,kitchen,kitchen,kitchen
7860,d05 Sat 11:00,kitchen,living,kitchen,living,living,kitchen,kitchen,living,living,living,kitchen,entry,kitchen,bedroom_2,kitchen,bedroom_2,bedroom_1,kitchen,kitchen,living,living,bedroom_1,living,entry,entry,kitchen,entry,entry,living,kitchen,living,kitchen,living,kitchen,kitchen,kitchen,living,kitchen,kitchen,kitchen
7920,d05 Sat 12:00,kitchen,living,kitchen,living,bedroom_1,kitchen,kitchen,living,living,living,kitchen,entry,kitchen,bedroom_2,kitchen,bedroom_2,bedroom_1,kitchen,kitchen,living,living,bedroom_1,living,entry,entry,kitchen,entry,entry,living,kitchen,living,kitchen,living,kitchen,kitchen,kitchen,living,kitchen,kitchen,kitchen
7980,d05 Sat 13:00,kitchen,living,kitchen,living,bedroom_1,kitchen,kitchen,living,living,living,kitchen,entry,kitchen,bedroom_2,kitchen,bedroom_2,bedroom_1,kitchen,kitchen,living,living,bedroom_1,living,entry,entry,kitchen,entry,entry,living,kitchen,living,kitchen,living,kitchen,kitchen,kitchen,living,kitchen,kitchen,kitchen
8040,d05 Sat 14:00,kitchen,living,kitchen,living,bedroom_1,kitchen,kitchen,living,living,living,kitchen,entry,kitchen,bedroom_2,kitchen,bedroom_2,bedroom_1,kitchen,kitchen,living,living,bedroom_1,living,entry,entry,kitchen,entry,entry,living,kitchen,living,kitchen,living,kitchen,kitchen,kitchen,living,kitchen,kitchen,kitchen
8100,d05 Sat 15:00,kitchen,living,kitchen,living,bedroom_1,kitchen,kitchen,living,living,living,kitchen,entry,kitchen,bedroom_2,kitchen,bedroom_2,bedroom_1,kitchen,kitchen,living,living,bedroom_1,living,entry,entry,kitchen,entry,entry,living,kitchen,living,kitchen,living,kitchen,kitchen,kitchen,living,kitchen,kitchen,kitchen
8160,d05 Sat 16:00,kitchen,living,kitchen,living,bedroom_1,kitchen,kitchen,living,living,living,kitchen,entry,kitchen,bedroom_2,kitchen,bedroom_2,bedroom_1,kitchen,kitchen,living,living,bedroom_1,living,entry,entry,kitchen,entry,entry,living,kitchen,living,kitchen,living,kitchen,kitchen,kitchen,living,kitchen,kitchen,kitchen
8220,d05 Sat 17:00,kitchen,living,kitchen,living,bedroom_1,kitchen,kitchen,living,living,living,kitchen,entry,kitchen,bedroom_2,kitchen,bedroom_2,bedroom_1,kitchen,kitchen,living,living,bedroom_1,living,entry,entry,kitchen,entry,entry,living,kitchen,living,kitchen,living,kitchen,kitchen,kitchen,living,kitchen,kitchen,kitchen
8280,d05 Sat 18:00,kitchen,living,kitchen,living,bedroom_1,kitchen,kitchen,living,living,living,kitchen,entry,kitchen,bedroom_2,kitchen,bedroom_2,bedroom_1,kitchen,kitchen,living,living,bedroom_1,living,entry,entry,kitchen,entry,entry,living,kitchen,living,kitchen,living,kitchen,kitchen,kitchen,living,kitchen,kitchen,kitchen
8340,d05 Sat 19:00,kitchen,living,kitchen,living,bedroom_1,living,kitchen,living,living,living,kitchen,entry,kitchen,living,kitchen,bedroom_2,bedroom_1,kitchen,kitchen,living,living,bedroom_1,living,entry,entry,kitchen,entry,entry,living,kitchen,living,kitchen,living,kitchen,living,kitchen,living,kitchen,living,kitchen
8400,d05 Sat 20:00,kitchen,living,kitchen,living,bedroom_1,living,kitchen,living,living,living,kitchen,entry,kitchen,living,kitchen,bedroom_2,bedroom_1,kitchen,kitchen,living,living,bedroom_1,living,entry,entry,kitchen,entry,entry,living,kitchen,living,kitchen,living,kitchen,living,kitchen,living,kitchen,living,kitchen
8460,d05 Sat 21:00,kitchen,living,kitchen,living,bedroom_1,living,kitchen,living,living,living,kitchen,entry,kitchen,living,kitchen,bedroom_2,bedroom_1,kitchen,kitchen,living,living,bedroom_1,living,entry,entry,kitchen,entry,entry,living,kitchen,living,kitchen,living,kitchen,living,kitchen,living,kitchen,living,kitchen
8520,d05 Sat 22:00,kitchen,living,kitchen,living,bedroom_1,living,kitchen,living,living,living,kitchen,entry,kitchen,living,kitchen,bedroom_2,bedroom_1,kitchen,kitchen,living,living,bedroom_1,living,entry,entry,kitchen,entry,entry,living,kitchen,living,kitchen,living,kitchen,living,kitchen,living,kitchen,living,kitchen
8580,d05 Sat 23:00,kitchen,living,kitchen,living,bedroom_1,kitchen,kitchen,living,living,living,kitchen,entry,kitchen,bedroom_2,kitchen,bedroom_2,bedroom_1,kitchen,kitchen,living,living,bedroom_1,living,entry,entry,kitchen,entry,entry,living,kitchen,bedroom_2,kitchen,living,kitchen,kitchen,kitchen,living,kitchen,kitchen,kitchen
8640,d06 Sun 00:00,kitchen,living,kitchen,living,bedroom_1,kitchen,kitchen,living,living,living,kitchen,entry,kitchen,bedroom_2,kitchen,bedroom_2,bedroom_1,kitchen,kitchen,living,living,bedroom_1,living,entry,entry,kitchen,entry,entry,living,kitchen,bedroom_2,kitchen,living,kitchen,kitchen,kitchen,living,kitchen,kitchen,kitchen
8700,d06 Sun 01:00,kitchen,living,kitchen,living,bedroom_1,kitchen,kitchen,living,living,living,kitchen,entry,kitchen,bedroom_2,kitchen,bedroom_2,bedroom_1,kitchen,kitchen,living,living,bedroom_1,living,entry,entry,kitchen,entry,entry,living,kitchen,bedroom_2,kitchen,living,kitchen,kitchen,kitchen,living,kitchen,kitchen,kitchen
8760,d06 Sun 02:00,kitchen,living,kitchen,living,bedroom_1,kitchen,kitchen,living,living,living,kitchen,entry,kitchen,bedroom_2,kitchen,bedroom_2,bedroom_1,kitchen,kitchen,living,living,bedroom_1,living,entry,entry,kitchen,entry,entry,living,kitchen,bedroom_2,kitchen,living,kitchen,kitchen,kitchen,living,kitchen,kitchen,kitchen
8820,d06 Sun 03:00,kitchen,living,kitchen,living,bedroom_1,kitchen,kitchen,living,living,living,kitchen,entry,kitchen,bedroom_2,kitchen,bedroom_2,bedroom_1,kitchen,kitchen,living,living,bedroom_1,living,entry,entry,kitchen,entry,entry,living,kitchen,bedroom_2,kitchen,living,kitchen,kitchen,kitchen,living,kitchen,kitchen,kitchen
8880,d06 Sun 04:00,kitchen,living,kitchen,living,bedroom_1,kitchen,kitchen,living,living,living,kitchen,entry,kitchen,bedroom_2,kitchen,bedroom_2,bedroom_1,kitchen,kitchen,living,living,bedroom_1,living,entry,entry,kitchen,entry,entry,living,kitchen,bedroom_2,kitchen,living,kitchen,kitchen,kitchen,living,kitchen,kitchen,kitchen
8940,d06 Sun 05:00,kitchen,living,kitchen,living,bedroom_1,kitchen,kitchen,living,living,living,kitchen,entry,kitchen,bedroom_2,kitchen,bedroom_2,bedroom_1,kitchen,kitchen,living,living,bedroom_1,living,entry,entry,kitchen,entry,entry,living,kitchen,bedroom_2,kitchen,living,kitchen,kitchen,kitchen,living,kitchen,kitchen,kitchen
9000,d06 Sun 06:00,kitchen,living,kitchen,living,bedroom_1,kitchen,kitchen,living,living,living,kitchen,entry,kitchen,bedroom_2,kitchen,bedroom_2,bedroom_1,kitchen,kitchen,living,living,bedroom_1,living,entry,entry,kitchen,entry,entry,living,kitchen,bedroom_2,kitchen,living,kitchen,kitchen,kitchen,living,kitchen,kitchen,kitchen
