t,stamp,mug_1,mug_2,glasses_1,medication_bottle_1,laptop_1,watering_can_1,blanket_1,book_1,toy_1,phone_1,phone_2,keys_1,keys_2,towel_1,towel_2
11040,d07 Mon 16:00,kitchen,kitchen,living,bathroom,entry,entry,living,living,living,living,living,kitchen,living,kitchen,bathroom
11100,d07 Mon 17:00,kitchen,kitchen,living,bathroom,entry,entry,living,living,living,living,living,kitchen,living,kitchen,bathroom
11160,d07 Mon 18:00,kitchen,kitchen,living,bathroom,living,entry,living,bedroom_1,living,kitchen,kitchen,entry,kitchen,kitchen,bathroom
11220,d07 Mon 19:00,kitchen,kitchen,living,bathroom,living,entry,living,living,living,living,living,entry,living,kitchen,bathroom
11280,d07 Mon 20:00,kitchen,kitchen,living,bathroom,living,entry,living,living,living,living,living,entry,living,kitchen,bathroom
11340,d07 Mon 21:00,kitchen,kitchen,living,bathroom,living,entry,living,living,living,kitchen,kitchen,entry,entry,kitchen,bathroom
11400,d07 Mon 22:00,kitchen,kitchen,bedroom_2,bathroom,living,entry,living,living,living,bedroom_2,bedroom_2,entry,entry,kitchen,bathroom
11460,d07 Mon 23:00,kitchen,kitchen,bedroom_2,bathroom,living,entry,living,living,living,bedroom_2,bedroom_2,entry,entry,kitchen,bathroom
11520,d08 Tue 00:00,kitchen,kitchen,bedroom_2,bathroom,living,entry,living,living,living,bedroom_2,bedroom_2,entry,entry,kitchen,bathroom
11580,d08 Tue 01:00,kitchen,kitchen,bedroom_2,bathroom,living,entry,living,living,living,bedroom_2,bedroom_2,entry,entry,kitchen,bathroom
11640,d08 Tue 02:00,kitchen,kitchen,bedroom_2,bathroom,living,entry,living,living,living,bedroom_2,bedroom_2,entry,entry,kitchen,bathroom
11700,d08 Tue 03:00,kitchen,kitchen,bedroom_2,bathroom,living,entry,living,living,living,bedroom_2,bedroom_2,entry,entry,kitchen,bathroom
11760,d08 Tue 04:00,kitchen,kitchen,bedroom_2,bathroom,living,entry,living,living,living,bedroom_2,bedroom_2,entry,entry,kitchen,bathroom
11820,d08 Tue 05:00,kitchen,kitchen,bedroom_2,bathroom,living,entry,living,living,living,bedroom_2,bedroom_2,entry,entry,kitchen,bathroom
11880,d08 Tue 06:00,kitchen,kitchen,bedroom_2,bathroom,living,entry,living,living,living,bedroom_2,bedroom_2,entry,entry,kitchen,bathroom
11940,d08 Tue 07:00,kitchen,kitchen,bedroom_2,bathroom,living,entry,living,living,living,bedroom_2,bedroom_2,entry,entry,kitchen,bathroom
12000,d08 Tue 08:00,kitchen,kitchen,living,kitchen,entry,entry,entry,entry,entry,entry,bedroom_2,entry,entry,entry,entry
12060,d08 Tue 09:00,kitchen,kitchen,living,living,living,entry,living,bedroom_1,living,living,living,living,living,kitchen,living
12120,d08 Tue 10:00,kitchen,kitchen,living,living,living,entry,living,bedroom_1,living,living,living,living,living,kitchen,living
12180,d08 Tue 11:00,kitchen,kitchen,living,bathroom,living,entry,living,living,living,bedroom_1,bedroom_2,entry,entry,kitchen,bathroom
12240,d08 Tue 12:00,kitchen,kitchen,kitchen,bathroom,living,entry,living,bedroom_1,living,bedroom_1,bedroom_2,entry,entry,kitchen,bathroom
12300,d08 Tue 13:00,kitchen,kitchen,kitchen,bathroom,living,entry,living,bedroom_1,living,bedroom_1,bedroom_2,entry,entry,kitchen,bathroom
12360,d08 Tue 14:00,kitchen,kitchen,kitchen,bathroom,living,entry,living,bedroom_1,living,bedroom_1,bedroom_2,entry,entry,kitchen,bathroom
12420,d08 Tue 15:00,kitchen,kitchen,kitchen,bathroom,kitchen,entry,living,bedroom_1,living,bedroom_1,bedroom_2,entry,entry,kitchen,bathroom
12480,d08 Tue 16:00,living,living,living,living,living,living,living,living,living,living,bedroom_2,living,entry,living,living
12540,d08 Tue 17:00,kitchen,kitchen,living,bathroom,entry,kitchen,living,bedroom_1,living,kitchen,bedroom_2,kitchen,entry,kitchen,bathroom
12600,d08 Tue 18:00,kitchen,kitchen,living,bathroom,kitchen,kitchen,living,bedroom_1,living,kitchen,bedroom_2,kitchen,entry,kitchen,bathroom
12660,d08 Tue 19:00,kitchen,kitchen,living,bathroom,kitchen,kitchen,living,living,living,living,bedroom_2,kitchen,entry,kitchen,bathroom
12720,d08 Tue 20:00,kitchen,kitchen,living,bathroom,kitchen,kitchen,living,living,living,living,bedroom_2,kitchen,entry,kitchen,bathroom
12780,d08 Tue 21:00,kitchen,kitchen,living,bathroom,kitchen,kitchen,living,living,living,kitchen,bedroom_2,kitchen,entry,kitchen,bathroom
12840,d08 Tue 22:00,kitchen,kitchen,bedroom_2,bathroom,kitchen,kitchen,living,living,living,bedroom_2,bedroom_2,kitchen,entry,kitchen,bathroom
12900,d08 Tue 23:00,kitchen,kitchen,bedroom_2,bathroom,kitchen,kitchen,living,living,living,bedroom_2,bedroom_2,kitchen,entry,kitchen,bathroom
12960,d09 Wed 00:00,kitchen,kitchen,bedroom_2,bathroom,kitchen,kitchen,living,living,living,bedroom_2,bedroom_2,kitchen,entry,kitchen,bathroom
13020,d09 Wed 01:00,kitchen,kitchen,bedroom_2,bathroom,kitchen,kitchen,living,living,living,bedroom_2,bedroom_2,kitchen,entry,kitchen,bathroom
13080,d09 Wed 02:00,kitchen,kitchen,bedroom_2,bathroom,kitchen,kitchen,living,living,living,bedroom_2,bedroom_2,kitchen,entry,kitchen,bathroom
13140,d09 Wed 03:00,kitchen,kitchen,bedroom_2,bathroom,kitchen,kitchen,living,living,living,bedroom_2,bedroom_2,kitchen,entry,kitchen,bathroom
13200,d09 Wed 04:00,kitchen,kitchen,bedroom_2,bathroom,kitchen,kitchen,living,living,living,bedroom_2,bedroom_2,kitchen,entry,kitchen,bathroom
13260,d09 Wed 05:00,kitchen,kitchen,bedroom_2,bathroom,kitchen,kitchen,living,living,living,bedroom_2,bedroom_2,kitchen,entry,kitchen,bathroom
13320,d09 Wed 06:00,kitchen,kitchen,bedroom_2,bathroom,kitchen,kitchen,living,living,living,bedroom_2,bedroom_2,kitchen,entry,kitchen,bathroom
13380,d09 Wed 07:00,kitchen,kitchen,bedroom_2,bathroom,kitchen,kitchen,living,living,living,bedroom_2,bedroom_2,kitchen,entry,kitchen,bathroom
13440,d09 Wed 08:00,entry,kitchen,kitchen,kitchen,entry,entry,entry,entry,entry,entry,bedroom_2,entry,entry,entry,entry
13500,d09 Wed 09:00,kitchen,kitchen,living,kitchen,living,entry,living,bedroom_1,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen
13560,d09 Wed 10:00,kitchen,kitchen,living,bathroom,living,entry,living,living,kitchen,bedroom_1,entry,entry,bedroom_2,kitchen,bathroom
13620,d09 Wed 11:00,kitchen,kitchen,living,bathroom,living,entry,living,living,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bathroom
13680,d09 Wed 12:00,kitchen,kitchen,living,bathroom,kitchen,entry,living,living,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bathroom
13740,d09 Wed 13:00,kitchen,kitchen,living,bathroom,entry,entry,living,living,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bathroom
13800,d09 Wed 14:00,kitchen,kitchen,living,bathroom,entry,entry,living,living,living,living,kitchen,kitchen,kitchen,kitchen,bathroom
13860,d09 Wed 15:00,kitchen,kitchen,living,bathroom,entry,entry,living,living,living,living,kitchen,kitchen,kitchen,kitchen,bathroom
13920,d09 Wed 16:00,kitchen,kitchen,kitchen,bathroom,entry,entry,living,bedroom_1,living,kitchen,kitchen,kitchen,kitchen,kitchen,bathroom
13980,d09 Wed 17:00,kitchen,kitchen,kitchen,bathroom,entry,entry,living,bedroom_1,living,kitchen,kitchen,kitchen,kitchen,kitchen,bathroom
14040,d09 Wed 18:00,kitchen,kitchen,kitchen,bathroom,entry,entry,living,living,living,kitchen,kitchen,kitchen,kitchen,kitchen,bathroom
14100,d09 Wed 19:00,kitchen,kitchen,living,bathroom,kitchen,entry,living,living,living,living,living,kitchen,living,kitchen,bathroom
14160,d09 Wed 20:00,kitchen,kitchen,living,bathroom,kitchen,entry,living,living,living,living,living,kitchen,living,kitchen,bathroom
14220,d09 Wed 21:00,kitchen,kitchen,kitchen,bathroom,kitchen,entry,living,living,living,kitchen,entry,kitchen,entry,kitchen,bathroom
14280,d09 Wed 22:00,kitchen,kitchen,bedroom_2,bathroom,kitchen,entry,living,living,living,bedroom_2,bedroom_2,kitchen,entry,kitchen,bathroom
14340,d09 Wed 23:00,kitchen,kitchen,bedroom_2,bathroom,kitchen,entry,living,living,living,bedroom_2,bedroom_2,kitchen,entry,kitchen,bathroom
14400,d10 Thu 00:00,kitchen,kitchen,bedroom_2,bathroom,kitchen,entry,living,living,living,bedroom_2,bedroom_2,kitchen,entry,kitchen,bathroom
14460,d10 Thu 01:00,kitchen,kitchen,bedroom_2,bathroom,kitchen,entry,living,living,living,bedroom_2,bedroom_2,kitchen,entry,kitchen,bathroom
14520,d10 Thu 02:00,kitchen,kitchen,bedroom_2,bathroom,kitchen,entry,living,living,living,bedroom_2,bedroom_2,kitchen,entry,kitchen,bathroom
14580,d10 Thu 03:00,kitchen,kitchen,bedroom_2,bathroom,kitchen,entry,living,living,living,bedroom_2,bedroom_2,kitchen,entry,kitchen,bathroom
14640,d10 Thu 04:00,kitchen,kitchen,bedroom_2,bathroom,kitchen,entry,living,living,living,bedroom_2,bedroom_2,kitchen,entry,kitchen,bathroom
14700,d10 Thu 05:00,kitchen,kitchen,bedroom_2,bathroom,kitchen,entry,living,living,living,bedroom_2,bedroom_2,kitchen,entry,kitchen,bathroom
14760,d10 Thu 06:00,kitchen,kitchen,bedroom_2,bathroom,kitchen,entry,living,living,living,bedroom_2,bedroom_2,kitchen,entry,kitchen,bathroom
14820,d10 Thu 07:00,kitchen,kitchen,bedroom_2,bathroom,kitchen,entry,living,living,living,bedroom_2,bedroom_2,kitchen,entry,kitchen,bathroom
14880,d10 Thu 08:00,entry,entry,entry,kitchen,entry,entry,entry,entry,entry,entry,bedroom_2,entry,entry,entry,entry
14940,d10 Thu 09:00,kitchen,kitchen,living,living,living,entry,living,living,living,living,living,living,living,kitchen,living
15000,d10 Thu 10:00,kitchen,kitchen,living,bathroom,living,entry,living,living,living,bedroom_1,kitchen,kitchen,entry,kitchen,bathroom
15060,d10 Thu 11:00,kitchen,kitchen,living,bathroom,living,entry,living,living,living,bedroom_1,kitchen,kitchen,entry,kitchen,bathroom
15120,d10 Thu 12:00,kitchen,kitchen,living,bathroom,living,entry,living,living,living,bedroom_1,kitchen,kitchen,entry,kitchen,bathroom
15180,d10 Thu 13:00,kitchen,kitchen,kitchen,bathroom,living,entry,living,bedroom_1,living,bedroom_1,kitchen,kitchen,entry,kitchen,bathroom
15240,d10 Thu 14:00,kitchen,kitchen,kitchen,bathroom,living,entry,living,bedroom_1,living,bedroom_1,kitchen,kitchen,entry,kitchen,bathroom
15300,d10 Thu 15:00,kitchen,kitchen,living,bathroom,living,entry,living,living,living,living,kitchen,kitchen,entry,kitchen,bathroom
15360,d10 Thu 16:00,kitchen,kitchen,living,bathroom,living,entry,living,living,living,kitchen,living,kitchen,living,kitchen,bathroom
15420,d10 Thu 17:00,kitchen,kitchen,living,bathroom,kitchen,entry,living,living,living,kitchen,entry,kitchen,kitchen,kitchen,bathroom
15480,d10 Thu 18:00,kitchen,kitchen,living,bathroom,kitchen,entry,living,bedroom_1,living,kitchen,entry,kitchen,kitchen,kitchen,bathroom
15540,d10 Thu 19:00,kitchen,kitchen,living,bathroom,kitchen,entry,living,living,living,living,entry,kitchen,kitchen,kitchen,bathroom
15600,d10 Thu 20:00,kitchen,kitchen,living,bathroom,kitchen,entry,living,living,living,living,entry,kitchen,kitchen,kitchen,kitchen
15660,d10 Thu 21:00,kitchen,kitchen,living,bathroom,kitchen,entry,living,living,living,kitchen,bedroom_1,kitchen,kitchen,kitchen,kitchen
15720,d10 Thu 22:00,kitchen,kitchen,bedroom_2,bathroom,kitchen,entry,living,living,living,bedroom_2,bedroom_2,kitchen,kitchen,kitchen,kitchen
15780,d10 Thu 23:00,kitchen,kitchen,bedroom_2,bathroom,kitchen,entry,living,living,living,bedroom_2,bedroom_2,kitchen,kitchen,kitchen,kitchen
15840,d11 Fri 00:00,kitchen,kitchen,bedroom_2,bathroom,kitchen,entry,living,living,living,bedroom_2,bedroom_2,kitchen,kitchen,kitchen,kitchen
15900,d11 Fri 01:00,kitchen,kitchen,bedroom_2,bathroom,kitchen,entry,living,living,living,bedroom_2,bedroom_2,kitchen,kitchen,kitchen,kitchen
15960,d11 Fri 02:00,kitchen,kitchen,bedroom_2,bathroom,kitchen,entry,living,living,living,bedroom_2,bedroom_2,kitchen,kitchen,kitchen,kitchen
16020,d11 Fri 03:00,kitchen,kitchen,bedroom_2,bathroom,kitchen,entry,living,living,living,bedroom_2,bedroom_2,kitchen,kitchen,kitchen,kitchen
16080,d11 Fri 04:00,kitchen,kitchen,bedroom_2,bathroom,kitchen,entry,living,living,living,bedroom_2,bedroom_2,kitchen,kitchen,kitchen,kitchen
16140,d11 Fri 05:00,kitchen,kitchen,bedroom_2,bathroom,kitchen,entry,living,living,living,bedroom_2,bedroom_2,kitchen,kitchen,kitchen,kitchen
16200,d11 Fri 06:00,kitchen,kitchen,bedroom_2,bathroom,kitchen,entry,living,living,living,bedroom_2,bedroom_2,kitchen,kitchen,kitchen,kitchen
16260,d11 Fri 07:00,kitchen,kitchen,kitchen,bathroom,kitchen,entry,living,living,living,bedroom_2,bedroom_2,kitchen,kitchen,kitchen,kitchen
16320,d11 Fri 08:00,kitchen,kitchen,living,bathroom,entry,entry,entry,entry,entry,entry,bedroom_2,entry,kitchen,entry,entry
16380,d11 Fri 09:00,kitchen,kitchen,living,bathroom,living,kitchen,living,living,living,kitchen,kitchen,kitchen,entry,kitchen,bathroom
16440,d11 Fri 10:00,kitchen,kitchen,living,bathroom,living,kitchen,living,living,living,kitchen,kitchen,kitchen,entry,kitchen,bathroom
16500,d11 Fri 11:00,kitchen,kitchen,kitchen,bathroom,living,kitchen,living,bedroom_1,living,kitchen,kitchen,kitchen,entry,kitchen,bathroom
16560,d11 Fri 12:00,kitchen,kitchen,kitchen,bathroom,living,kitchen,living,kitchen,living,kitchen,kitchen,kitchen,entry,kitchen,bathroom
16620,d11 Fri 13:00,kitchen,kitchen,kitchen,bathroom,living,kitchen,living,kitchen,living,kitchen,kitchen,kitchen,kitchen,kitchen,bathroom
16680,d11 Fri 14:00,kitchen,kitchen,living,bathroom,living,kitchen,living,living,living,living,kitchen,kitchen,kitchen,kitchen,bathroom
16740,d11 Fri 15:00,kitchen,kitchen,living,bathroom,living,kitchen,living,living,living,living,kitchen,kitchen,kitchen,kitchen,bathroom
16800,d11 Fri 16:00,kitchen,kitchen,living,bathroom,living,kitchen,living,living,living,kitchen,kitchen,kitchen,kitchen,kitchen,bathroom
16860,d11 Fri 17:00,living,living,living,living,living,entry,living,living,living,living,entry,living,entry,living,living
16920,d11 Fri 18:00,kitchen,kitchen,kitchen,bathroom,kitchen,entry,living,bedroom_1,living,kitchen,entry,kitchen,entry,kitchen,bathroom
16980,d11 Fri 19:00,kitchen,kitchen,living,bathroom,kitchen,entry,living,living,living,living,living,kitchen,living,kitchen,bathroom
17040,d11 Fri 20:00,kitchen,kitchen,living,bathroom,kitchen,entry,living,living,living,living,living,kitchen,living,kitchen,bathroom
17100,d11 Fri 21:00,kitchen,kitchen,living,bathroom,kitchen,entry,living,bedroom_1,living,kitchen,entry,kitchen,kitchen,kitchen,bathroom
17160,d11 Fri 22:00,kitchen,kitchen,bedroom_2,bathroom,kitchen,entry,living,living,living,bedroom_2,bedroom_2,kitchen,kitchen,kitchen,bathroom
17220,d11 Fri 23:00,kitchen,kitchen,bedroom_2,bathroom,kitchen,entry,living,living,living,bedroom_2,bedroom_2,kitchen,kitchen,kitchen,bathroom
17280,d12 Sat 00:00,kitchen,kitchen,bedroom_2,bathroom,kitchen,entry,living,living,living,bedroom_2,bedroom_2,kitchen,kitchen,kitchen,bathroom
17340,d12 Sat 01:00,kitchen,kitchen,bedroom_2,bathroom,kitchen,entry,living,living,living,bedroom_2,bedroom_2,kitchen,kitchen,kitchen,bathroom
17400,d12 Sat 02:00,kitchen,kitchen,bedroom_2,bathroom,kitchen,entry,living,living,living,bedroom_2,bedroom_2,kitchen,kitchen,kitchen,bathroom
17460,d12 Sat 03:00,kitchen,kitchen,bedroom_2,bathroom,kitchen,entry,living,living,living,bedroom_2,bedroom_2,kitchen,kitchen,kitchen,bathroom
17520,d12 Sat 04:00,kitchen,kitchen,bedroom_2,bathroom,kitchen,entry,living,living,living,bedroom_2,bedroom_2,kitchen,kitchen,kitchen,bathroom
17580,d12 Sat 05:00,kitchen,kitchen,bedroom_2,bathroom,kitchen,entry,living,living,living,bedroom_2,bedroom_2,kitchen,kitchen,kitchen,bathroom
17640,d12 Sat 06:00,kitchen,kitchen,bedroom_2,bathroom,kitchen,entry,living,living,living,bedroom_2,bedroom_2,kitchen,kitchen,kitchen,bathroom
17700,d12 Sat 07:00,kitchen,kitchen,bedroom_2,bathroom,kitchen,entry,living,living,living,bedroom_2,bedroom_2,kitchen,kitchen,kitchen,bathroom
17760,d12 Sat 08:00,kitchen,kitchen,kitchen,kitchen,kitchen,entry,living,living,living,bedroom_2,bedroom_2,kitchen,kitchen,kitchen,bathroom
17820,d12 Sat 09:00,kitchen,kitchen,living,bathroom,living,entry,living,bedroom_1,living,kitchen,living,kitchen,living,kitchen,bathroom
17880,d12 Sat 10:00,kitchen,kitchen,living,bathroom,living,entry,living,living,living,bedroom_1,bedroom_2,bedroom_1,bedroom_2,kitchen,bathroom
17940,d12 Sat 11:00,kitchen,kitchen,living,bathroom,living,entry,living,living,living,bedroom_1,bedroom_2,bedroom_1,bedroom_2,kitchen,bathroom
18000,d12 Sat 12:00,kitchen,kitchen,kitchen,bathroom,living,entry,living,bedroom_1,living,bedroom_1,bedroom_2,bedroom_1,bedroom_2,kitchen,bathroom
18060,d12 Sat 13:00,kitchen,kitchen,kitchen,bathroom,living,entry,living,bedroom_1,living,bedroom_1,bedroom_2,bedroom_1,bedroom_2,kitchen,bathroom
18120,d12 Sat 14:00,kitchen,kitchen,kitchen,bathroom,living,kitchen,living,bedroom_1,living,kitchen,bedroom_2,entry,bedroom_2,kitchen,bathroom
18180,d12 Sat 15:00,kitchen,kitchen,kitchen,bathroom,kitchen,kitchen,living,bedroom_1,living,kitchen,bedroom_2,entry,bedroom_2,kitchen,bathroom
18240,d12 Sat 16:00,kitchen,kitchen,living,bathroom,kitchen,kitchen,living,living,living,living,bedroom_2,entry,bedroom_2,kitchen,bathroom
18300,d12 Sat 17:00,kitchen,kitchen,living,bathroom,kitchen,kitchen,living,living,living,living,bedroom_2,entry,bedroom_2,kitchen,bathroom
18360,d12 Sat 18:00,kitchen,kitchen,living,bathroom,kitchen,kitchen,living,living,living,kitchen,bedroom_2,entry,bedroom_2,kitchen,bathroom
18420,d12 Sat 19:00,kitchen,kitchen,living,bathroom,kitchen,kitchen,living,living,living,living,bedroom_2,kitchen,bedroom_2,kitchen,bathroom
18480,d12 Sat 20:00,kitchen,kitchen,living,bathroom,kitchen,kitchen,living,living,living,living,bedroom_2,kitchen,bedroom_2,kitchen,bathroom
18540,d12 Sat 21:00,kitchen,kitchen,living,bathroom,kitchen,kitchen,living,living,living,living,bedroom_1,kitchen,bedroom_2,kitchen,bathroom
18600,d12 Sat 22:00,kitchen,kitchen,bedroom_2,bathroom,kitchen,kitchen,living,living,living,bedroom_2,bedroom_2,kitchen,bedroom_2,kitchen,bathroom
18660,d12 Sat 23:00,kitchen,kitchen,bedroom_2,bathroom,kitchen,kitchen,living,living,living,bedroom_2,bedroom_2,kitchen,bedroom_2,kitchen,bathroom
18720,d13 Sun 00:00,kitchen,kitchen,bedroom_2,bathroom,kitchen,kitchen,living,living,living,bedroom_2,bedroom_2,kitchen,bedroom_2,kitchen,bathroom
18780,d13 Sun 01:00,kitchen,kitchen,bedroom_2,bathroom,kitchen,kitchen,living,living,living,bedroom_2,bedroom_2,kitchen,bedroom_2,kitchen,bathroom
18840,d13 Sun 02:00,kitchen,kitchen,bedroom_2,bathroom,kitchen,kitchen,living,living,living,bedroom_2,bedroom_2,kitchen,bedroom_2,kitchen,bathroom
18900,d13 Sun 03:00,kitchen,kitchen,bedroom_2,bathroom,kitchen,kitchen,living,living,living,bedroom_2,bedroom_2,kitchen,bedroom_2,kitchen,bathroom
18960,d13 Sun 04:00,kitchen,kitchen,bedroom_2,bathroom,kitchen,kitchen,living,living,living,bedroom_2,bedroom_2,kitchen,bedroom_2,kitchen,bathroom
19020,d13 Sun 05:00,kitchen,kitchen,bedroom_2,bathroom,kitchen,kitchen,living,living,living,bedroom_2,bedroom_2,kitchen,bedroom_2,kitchen,bathroom
19080,d13 Sun 06:00,kitchen,kitchen,bedroom_2,bathroom,kitchen,kitchen,living,living,living,bedroom_2,bedroom_2,kitchen,bedroom_2,kitchen,bathroom
19140,d13 Sun 07:00,kitchen,kitchen,kitchen,bathroom,kitchen,kitchen,living,living,living,bedroom_2,bedroom_2,kitchen,bedroom_2,kitchen,bathroom
19200,d13 Sun 08:00,kitchen,kitchen,living,bathroom,kitchen,kitchen,living,living,living,bedroom_2,bedroom_2,kitchen,bedroom_2,kitchen,bathroom
19260,d13 Sun 09:00,entry,kitchen,living,entry,entry,entry,entry,entry,entry,entry,kitchen,entry,entry,entry,entry
19320,d13 Sun 10:00,kitchen,kitchen,living,bathroom,entry,kitchen,living,living,living,bedroom_1,entry,entry,entry,kitchen,bathroom
19380,d13 Sun 11:00,kitchen,kitchen,living,bathroom,entry,kitchen,living,living,living,bedroom_1,entry,entry,entry,kitchen,bathroom
19440,d13 Sun 12:00,kitchen,kitchen,kitchen,bathroom,entry,kitchen,living,bedroom_1,living,bedroom_1,entry,entry,entry,kitchen,bathroom
19500,d13 Sun 13:00,kitchen,kitchen,kitchen,bathroom,entry,kitchen,living,bedroom_1,living,bedroom_1,entry,entry,entry,kitchen,bathroom
19560,d13 Sun 14:00,kitchen,kitchen,kitchen,bathroom,entry,kitchen,living,bedroom_1,living,bedroom_1,living,entry,entry,kitchen,bathroom
19620,d13 Sun 15:00,kitchen,kitchen,kitchen,bathroom,entry,kitchen,living,bedroom_1,living,bedroom_1,kitchen,entry,entry,kitchen,bathroom
19680,d13 Sun 16:00,kitchen,kitchen,living,bathroom,kitchen,kitchen,living,living,living,living,kitchen,entry,entry,kitchen,bathroom
19740,d13 Sun 17:00,kitchen,kitchen,living,bathroom,kitchen,kitchen,living,living,living,living,kitchen,entry,entry,kitchen,bathroom
19800,d13 Sun 18:00,kitchen,kitchen,living,bathroom,kitchen,kitchen,living,living,living,living,kitchen,entry,entry,kitchen,bathroom
19860,d13 Sun 19:00,kitchen,kitchen,living,bathroom,kitchen,kitchen,living,living,living,living,living,entry,living,kitchen,bathroom
19920,d13 Sun 20:00,kitchen,kitchen,living,bathroom,kitchen,kitchen,living,living,living,kitchen,bedroom_2,entry,living,kitchen,bathroom
19980,d13 Sun 21:00,kitchen,kitchen,bedroom_2,bathroom,kitchen,kitchen,living,bedroom_1,living,bedroom_2,bedroom_2,entry,entry,kitchen,bathroom
20040,d13 Sun 22:00,kitchen,kitchen,bedroom_2,bathroom,kitchen,kitchen,living,bedroom_1,living,bedroom_2,bedroom_2,entry,entry,kitchen,bathroom
20100,d13 Sun 23:00,kitchen,kitchen,bedroom_2,bathroom,kitchen,kitchen,living,bedroom_1,living,bedroom_2,bedroom_2,entry,entry,kitchen,bathroom
20160,d14 Mon 00:00,kitchen,kitchen,bedroom_2,bathroom,kitchen,kitchen,living,bedroom_1,living,bedroom_2,bedroom_2,entry,entry,kitchen,bathroom
20220,d14 Mon 01:00,kitchen,kitchen,bedroom_2,bathroom,kitchen,kitchen,living,bedroom_1,living,bedroom_2,bedroom_2,entry,entry,kitchen,bathroom
20280,d14 Mon 02:00,kitchen,kitchen,bedroom_2,bathroom,kitchen,kitchen,living,bedroom_1,living,bedroom_2,bedroom_2,entry,entry,kitchen,bathroom
20340,d14 Mon 03:00,kitchen,kitchen,bedroom_2,bathroom,kitchen,kitchen,living,bedroom_1,living,bedroom_2,bedroom_2,entry,entry,kitchen,bathroom
20400,d14 Mon 04:00,kitchen,kitchen,bedroom_2,bathroom,kitchen,kitchen,living,bedroom_1,living,bedroom_2,bedroom_2,entry,entry,kitchen,bathroom
20460,d14 Mon 05:00,kitchen,kitchen,bedroom_2,bathroom,kitchen,kitchen,living,bedroom_1,living,bedroom_2,bedroom_2,entry,entry,kitchen,bathroom
20520,d14 Mon 06:00,kitchen,kitchen,bedroom_2,bathroom,kitchen,kitchen,living,bedroom_1,living,bedroom_2,bedroom_2,entry,entry,kitchen,bathroom
20580,d14 Mon 07:00,kitchen,kitchen,bedroom_2,bathroom,kitchen,kitchen,living,bedroom_1,living,bedroom_2,bedroom_2,entry,entry,kitchen,bathroom
20640,d14 Mon 08:00,kitchen,kitchen,living,kitchen,kitchen,kitchen,living,bedroom_1,living,bedroom_2,bedroom_2,entry,entry,kitchen,bathroom
20700,d14 Mon 09:00,entry,entry,living,entry,entry,entry,entry,entry,entry,entry,entry,entry,entry,entry,entry
20760,d14 Mon 10:00,kitchen,kitchen,living,kitchen,entry,entry,living,living,living,bedroom_1,entry,entry,entry,kitchen,bathroom
20820,d14 Mon 11:00,kitchen,kitchen,living,kitchen,entry,entry,living,living,living,bedroom_1,entry,entry,entry,kitchen,bathroom
20880,d14 Mon 12:00,kitchen,kitchen,kitchen,kitchen,entry,entry,living,bedroom_1,living,bedroom_1,entry,entry,entry,kitchen,bathroom
20940,d14 Mon 13:00,kitchen,kitchen,kitchen,kitchen,entry,entry,living,bedroom_1,living,bedroom_1,entry,entry,entry,kitchen,bathroom
21000,d14 Mon 14:00,kitchen,kitchen,kitchen,kitchen,entry,entry,living,bedroom_1,living,bedroom_1,entry,entry,entry,kitchen,bathroom
21060,d14 Mon 15:00,kitchen,kitchen,living,kitchen,entry,entry,living,living,living,living,entry,entry,entry,kitchen,bathroom
21120,d14 Mon 16:00,kitchen,kitchen,living,kitchen,kitchen,entry,living,living,living,living,entry,entry,entry,kitchen,bathroom
21180,d14 Mon 17:00,kitchen,kitchen,living,kitchen,kitchen,entry,living,living,living,kitchen,entry,entry,entry,kitchen,bathroom
21240,d14 Mon 18:00,kitchen,kitchen,living,kitchen,kitchen,entry,living,living,living,kitchen,entry,entry,entry,kitchen,bathroom
21300,d14 Mon 19:00,kitchen,kitchen,living,kitchen,entry,entry,living,living,living,living,living,entry,living,kitchen,bathroom
21360,d14 Mon 20:00,kitchen,kitchen,living,kitchen,entry,entry,living,living,living,living,living,entry,living,kitchen,bathroom
21420,d14 Mon 21:00,kitchen,kitchen,bedroom_2,kitchen,entry,entry,living,living,living,bedroom_2,bedroom_2,entry,entry,kitchen,kitchen
21480,d14 Mon 22:00,kitchen,kitchen,bedroom_2,kitchen,entry,entry,living,living,living,bedroom_2,bedroom_2,entry,entry,kitchen,kitchen
21540,d14 Mon 23:00,kitchen,kitchen,bedroom_2,kitchen,entry,entry,living,living,living,bedroom_2,bedroom_2,entry,entry,kitchen,kitchen
21600,d15 Tue 00:00,kitchen,kitchen,bedroom_2,kitchen,entry,entry,living,living,living,bedroom_2,bedroom_2,entry,entry,kitchen,kitchen
21660,d15 Tue 01:00,kitchen,kitchen,bedroom_2,kitchen,entry,entry,living,living,living,bedroom_2,bedroom_2,entry,entry,kitchen,kitchen
21720,d15 Tue 02:00,kitchen,kitchen,bedroom_2,kitchen,entry,entry,living,living,living,bedroom_2,bedroom_2,entry,entry,kitchen,kitchen
