t,stamp,phone_maya,keys_maya,wallet_maya,backpack_maya,laptop_maya,charger_maya,mug_maya,water_bottle_maya,lunchbox_maya,book_maya,notebook_maya,pen_maya,jacket_maya,phone_elliot,keys_elliot,wallet_elliot,backpack_elliot,laptop_elliot,charger_elliot,mug_elliot,headphones_elliot,lunchbox_elliot,jacket_elliot,glasses_elliot,plate_1,plate_2,bowl_1,bowl_2,pot_1,pan_1,remote_1,blanket_1,laundry_basket_1,vacuum_cleaner_1,watering_can_1,towel_1
4620,d03 Thu 05:00,bedroom_1,entry,bedroom_1,entry,bedroom_1,bedroom_1,kitchen,kitchen,kitchen,bedroom_1,bedroom_1,kitchen,entry,kitchen,entry,bedroom_2,kitchen,entry,entry,kitchen,kitchen,bedroom_2,kitchen,bedroom_2,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,bedroom_2,entry,kitchen,kitchen
4680,d03 Thu 06:00,bedroom_1,entry,bedroom_1,entry,bedroom_1,bedroom_1,kitchen,kitchen,kitchen,bedroom_1,bedroom_1,kitchen,entry,kitchen,entry,bedroom_2,kitchen,entry,entry,kitchen,kitchen,bedroom_2,kitchen,bedroom_2,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,bedroom_2,entry,kitchen,kitchen
4740,d03 Thu 07:00,bathroom,entry,bathroom,entry,bedroom_1,bedroom_1,kitchen,kitchen,kitchen,bedroom_1,bathroom,kitchen,entry,kitchen,entry,bedroom_2,kitchen,entry,entry,kitchen,kitchen,kitchen,kitchen,bedroom_2,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,bedroom_1,entry,kitchen,bathroom
4800,d03 Thu 08:00,kitchen,entry,kitchen,entry,bedroom_1,bedroom_1,kitchen,kitchen,kitchen,bedroom_1,kitchen,kitchen,entry,kitchen,entry,bedroom_2,kitchen,entry,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom_2,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,bedroom_2,entry,kitchen,kitchen
4860,d03 Thu 09:00,outside,outside,outside,outside,bedroom_1,outside,kitchen,outside,outside,bedroom_1,outside,outside,outside,outside,outside,outside,outside,outside,outside,kitchen,kitchen,outside,outside,bedroom_2,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,bedroom_2,entry,kitchen,kitchen
4920,d03 Thu 10:00,outside,outside,outside,outside,bedroom_1,outside,kitchen,outside,outside,bedroom_1,outside,outside,outside,outside,outside,outside,outside,outside,outside,kitchen,kitchen,outside,outside,bedroom_2,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,bedroom_2,entry,kitchen,kitchen
4980,d03 Thu 11:00,outside,outside,outside,outside,bedroom_1,outside,kitchen,outside,outside,bedroom_1,outside,outside,outside,outside,outside,outside,outside,outside,outside,kitchen,kitchen,outside,outside,bedroom_2,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,bedroom_2,entry,kitchen,kitchen
5040,d03 Thu 12:00,outside,outside,outside,outside,bedroom_1,outside,kitchen,outside,outside,bedroom_1,outside,outside,outside,outside,outside,outside,outside,outside,outside,kitchen,kitchen,outside,outside,bedroom_2,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,bedroom_2,entry,kitchen,kitchen
5100,d03 Thu 13:00,outside,outside,outside,outside,bedroom_1,outside,kitchen,outside,outside,bedroom_1,outside,outside,outside,outside,outside,outside,outside,outside,outside,kitchen,kitchen,outside,outside,bedroom_2,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,bedroom_2,entry,kitchen,kitchen
5160,d03 Thu 14:00,outside,outside,outside,outside,bedroom_1,outside,kitchen,outside,outside,bedroom_1,outside,outside,outside,outside,outside,outside,outside,outside,outside,kitchen,kitchen,outside,outside,bedroom_2,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,bedroom_2,entry,kitchen,kitchen
5220,d03 Thu 15:00,outside,outside,outside,outside,bedroom_1,outside,kitchen,outside,outside,bedroom_1,outside,outside,outside,outside,outside,outside,outside,outside,outside,kitchen,kitchen,outside,outside,bedroom_2,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,bedroom_2,entry,kitchen,kitchen
5280,d03 Thu 16:00,outside,outside,outside,outside,bedroom_1,outside,kitchen,outside,outside,bedroom_1,outside,outside,outside,outside,outside,outside,outside,outside,outside,kitchen,kitchen,outside,outside,bedroom_2,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,bedroom_2,entry,kitchen,kitchen
5340,d03 Thu 17:00,outside,outside,outside,outside,bedroom_1,outside,kitchen,outside,outside,bedroom_1,outside,outside,outside,outside,outside,outside,outside,outside,outside,kitchen,kitchen,outside,outside,bedroom_2,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,bedroom_2,entry,kitchen,kitchen
5400,d03 Thu 18:00,bedroom_1,entry,entry,entry,bedroom_1,entry,kitchen,kitchen,kitchen,bedroom_1,entry,entry,entry,living,entry,kitchen,entry,entry,entry,kitchen,kitchen,kitchen,entry,bedroom_2,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,bedroom_2,entry,kitchen,kitchen
5460,d03 Thu 19:00,living,entry,entry,entry,bedroom_1,entry,kitchen,kitchen,kitchen,bedroom_1,kitchen,entry,entry,kitchen,entry,kitchen,entry,entry,entry,kitchen,kitchen,kitchen,entry,bedroom_2,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,bedroom_2,entry,kitchen,kitchen
5520,d03 Thu 20:00,living,entry,entry,entry,kitchen,entry,kitchen,kitchen,kitchen,bedroom_1,kitchen,entry,entry,kitchen,entry,kitchen,entry,entry,entry,kitchen,kitchen,kitchen,entry,bedroom_2,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,bedroom_2,entry,kitchen,bathroom
5580,d03 Thu 21:00,living,entry,entry,entry,kitchen,entry,kitchen,kitchen,kitchen,bedroom_1,kitchen,entry,entry,kitchen,entry,kitchen,entry,entry,kitchen,kitchen,kitchen,kitchen,entry,bedroom_2,kitchen,entry,kitchen,kitchen,kitchen,kitchen,entry,entry,bedroom_2,entry,kitchen,bathroom
5640,d03 Thu 22:00,living,entry,entry,entry,kitchen,bedroom_1,kitchen,kitchen,kitchen,bedroom_1,kitchen,entry,entry,kitchen,entry,kitchen,entry,entry,kitchen,kitchen,kitchen,kitchen,entry,bedroom_2,kitchen,entry,kitchen,kitchen,kitchen,kitchen,living,living,bedroom_2,entry,kitchen,bathroom
5700,d03 Thu 23:00,living,entry,entry,entry,kitchen,bedroom_1,kitchen,kitchen,kitchen,bedroom_1,kitchen,entry,entry,kitchen,entry,kitchen,entry,entry,kitchen,kitchen,kitchen,kitchen,entry,bedroom_2,kitchen,entry,kitchen,kitchen,kitchen,kitchen,living,living,bedroom_2,entry,kitchen,bathroom
5760,d04 Fri 00:00,living,entry,entry,entry,kitchen,bedroom_1,kitchen,kitchen,kitchen,bedroom_1,kitchen,entry,entry,kitchen,entry,kitchen,entry,entry,kitchen,kitchen,kitchen,kitchen,entry,bedroom_2,kitchen,entry,kitchen,kitchen,kitchen,kitchen,living,living,bedroom_2,entry,kitchen,bathroom
5820,d04 Fri 01:00,living,entry,entry,entry,kitchen,bedroom_1,kitchen,bedroom_1,kitchen,bedroom_1,kitchen,entry,entry,kitchen,kitchen,kitchen,entry,kitchen,kitchen,kitchen,kitchen,kitchen,entry,bedroom_2,kitchen,entry,kitchen,kitchen,kitchen,kitchen,living,living,bedroom_2,entry,kitchen,bathroom
5880,d04 Fri 02:00,living,entry,entry,entry,kitchen,bedroom_1,kitchen,bedroom_1,kitchen,bedroom_1,kitchen,entry,entry,kitchen,kitchen,kitchen,entry,kitchen,kitchen,kitchen,kitchen,kitchen,entry,bedroom_2,kitchen,entry,kitchen,kitchen,kitchen,kitchen,living,living,bedroom_2,entry,kitchen,bathroom
5940,d04 Fri 03:00,living,entry,entry,entry,kitchen,bedroom_1,kitchen,bedroom_1,kitchen,bedroom_1,kitchen,entry,entry,kitchen,kitchen,kitchen,entry,kitchen,kitchen,kitchen,kitchen,kitchen,entry,bedroom_2,kitchen,entry,kitchen,kitchen,kitchen,kitchen,living,living,bedroom_2,entry,kitchen,bathroom
6000,d04 Fri 04:00,living,entry,entry,entry,kitchen,bedroom_1,kitchen,bedroom_1,kitchen,bedroom_1,kitchen,entry,entry,kitchen,kitchen,kitchen,entry,kitchen,kitchen,kitchen,kitchen,kitchen,entry,bedroom_2,kitchen,entry,kitchen,kitchen,kitchen,kitchen,living,living,bedroom_2,entry,kitchen,bathroom
6060,d04 Fri 05:00,living,entry,entry,entry,kitchen,bedroom_1,kitchen,bedroom_1,kitchen,bedroom_1,kitchen,entry,entry,kitchen,kitchen,kitchen,entry,kitchen,kitchen,kitchen,kitchen,kitchen,entry,bedroom_2,kitchen,entry,kitchen,kitchen,kitchen,kitchen,living,living,bedroom_2,entry,kitchen,bathroom
6120,d04 Fri 06:00,living,entry,entry,entry,kitchen,bedroom_1,kitchen,bedroom_1,kitchen,bedroom_1,kitchen,entry,entry,kitchen,kitchen,kitchen,entry,kitchen,kitchen,kitchen,kitchen,kitchen,entry,bedroom_2,kitchen,entry,kitchen,kitchen,kitchen,kitchen,living,living,bedroom_2,entry,kitchen,bathroom
6180,d04 Fri 07:00,bedroom_1,entry,entry,entry,kitchen,bedroom_1,kitchen,bedroom_1,kitchen,bedroom_1,kitchen,entry,entry,kitchen,kitchen,kitchen,entry,kitchen,kitchen,kitchen,kitchen,kitchen,entry,bedroom_2,kitchen,entry,kitchen,kitchen,kitchen,kitchen,living,living,bedroom_1,entry,kitchen,bathroom
6240,d04 Fri 08:00,kitchen,entry,entry,entry,kitchen,bedroom_1,kitchen,kitchen,kitchen,bedroom_1,kitchen,entry,entry,kitchen,kitchen,kitchen,entry,kitchen,kitchen,kitchen,kitchen,kitchen,entry,bedroom_2,kitchen,entry,kitchen,kitchen,kitchen,kitchen,kitchen,living,entry,entry,kitchen,bathroom
6300,d04 Fri 09:00,outside,outside,outside,outside,kitchen,outside,kitchen,outside,outside,bedroom_1,outside,outside,outside,outside,outside,outside,outside,outside,outside,kitchen,kitchen,outside,outside,bedroom_2,kitchen,entry,kitchen,kitchen,kitchen,kitchen,kitchen,living,bedroom_1,entry,kitchen,bathroom
6360,d04 Fri 10:00,outside,outside,outside,outside,kitchen,outside,kitchen,outside,outside,bedroom_1,outside,outside,outside,outside,outside,outside,outside,outside,outside,kitchen,kitchen,outside,outside,bedroom_2,kitchen,entry,kitchen,kitchen,kitchen,kitchen,kitchen,living,bedroom_1,entry,kitchen,bathroom
6420,d04 Fri 11:00,outside,outside,outside,outside,kitchen,outside,kitchen,outside,outside,bedroom_1,outside,outside,outside,outside,outside,outside,outside,outside,outside,kitchen,kitchen,outside,outside,bedroom_2,kitchen,entry,kitchen,kitchen,kitchen,kitchen,kitchen,living,bedroom_1,entry,kitchen,bathroom
6480,d04 Fri 12:00,outside,outside,outside,outside,kitchen,outside,kitchen,outside,outside,bedroom_1,outside,outside,outside,outside,outside,outside,outside,outside,outside,kitchen,kitchen,outside,outside,bedroom_2,kitchen,entry,kitchen,kitchen,kitchen,kitchen,kitchen,living,bedroom_1,entry,kitchen,bathroom
6540,d04 Fri 13:00,outside,outside,outside,outside,kitchen,outside,kitchen,outside,outside,bedroom_1,outside,outside,outside,outside,outside,outside,outside,outside,outside,kitchen,kitchen,outside,outside,bedroom_2,kitchen,entry,kitchen,kitchen,kitchen,kitchen,kitchen,living,bedroom_1,entry,kitchen,bathroom
6600,d04 Fri 14:00,outside,outside,outside,outside,kitchen,outside,kitchen,outside,outside,bedroom_1,outside,outside,outside,outside,outside,outside,outside,outside,outside,kitchen,kitchen,outside,outside,bedroom_2,kitchen,entry,kitchen,kitchen,kitchen,kitchen,kitchen,living,bedroom_1,entry,kitchen,bathroom
6660,d04 Fri 15:00,outside,outside,outside,outside,kitchen,outside,kitchen,outside,outside,bedroom_1,outside,outside,outside,outside,outside,outside,outside,outside,outside,kitchen,kitchen,outside,outside,bedroom_2,kitchen,entry,kitchen,kitchen,kitchen,kitchen,kitchen,living,bedroom_1,entry,kitchen,bathroom
6720,d04 Fri 16:00,outside,outside,outside,outside,kitchen,outside,kitchen,outside,outside,bedroom_1,outside,outside,outside,outside,outside,outside,outside,outside,outside,kitchen,kitchen,outside,outside,bedroom_2,kitchen,entry,kitchen,kitchen,kitchen,kitchen,kitchen,living,bedroom_1,entry,kitchen,bathroom
6780,d04 Fri 17:00,outside,outside,outside,outside,kitchen,outside,kitchen,outside,outside,bedroom_1,outside,outside,outside,living,entry,bedroom_2,kitchen,kitchen,entry,kitchen,kitchen,kitchen,kitchen,bedroom_2,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom_1,entry,kitchen,bathroom
6840,d04 Fri 18:00,entry,entry,entry,kitchen,kitchen,entry,kitchen,kitchen,kitchen,bedroom_1,kitchen,kitchen,entry,kitchen,entry,bedroom_2,kitchen,entry,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom_2,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom_1,entry,kitchen,bathroom
6900,d04 Fri 19:00,entry,entry,entry,kitchen,kitchen,entry,kitchen,kitchen,kitchen,bedroom_1,kitchen,kitchen,entry,kitchen,entry,bedroom_2,kitchen,entry,kitchen,kitchen,kitchen,kitchen,entry,bedroom_2,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,bedroom_1,entry,kitchen,bathroom
6960,d04 Fri 20:00,entry,entry,entry,kitchen,kitchen,entry,kitchen,kitchen,kitchen,bedroom_1,kitchen,kitchen,entry,kitchen,entry,bedroom_2,kitchen,entry,kitchen,kitchen,kitchen,kitchen,entry,bedroom_2,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,bedroom_1,entry,kitchen,bathroom
7020,d04 Fri 21:00,entry,entry,entry,kitchen,kitchen,entry,kitchen,kitchen,kitchen,bedroom_1,kitchen,kitchen,entry,kitchen,entry,bedroom_2,kitchen,entry,kitchen,kitchen,kitchen,kitchen,entry,bedroom_2,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,bedroom_1,entry,kitchen,bathroom
7080,d04 Fri 22:00,entry,entry,entry,kitchen,kitchen,entry,kitchen,kitchen,kitchen,bedroom_1,kitchen,kitchen,entry,kitchen,entry,bedroom_2,kitchen,entry,kitchen,kitchen,kitchen,kitchen,entry,bedroom_2,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,bedroom_1,entry,kitchen,bathroom
7140,d04 Fri 23:00,entry,entry,entry,kitchen,kitchen,bedroom_1,kitchen,kitchen,kitchen,bedroom_1,kitchen,kitchen,entry,kitchen,entry,bedroom_2,kitchen,entry,kitchen,kitchen,kitchen,kitchen,entry,bedroom_2,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,bedroom_1,entry,kitchen,bathroom
7200,d05 Sat 00:00,entry,entry,entry,kitchen,kitchen,bedroom_1,kitchen,kitchen,kitchen,bedroom_1,kitchen,kitchen,entry,kitchen,entry,bedroom_2,kitchen,entry,kitchen,kitchen,kitchen,kitchen,entry,bedroom_2,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,bedroom_1,entry,kitchen,bathroom
7260,d05 Sat 01:00,entry,entry,entry,bedroom_1,kitchen,bedroom_1,kitchen,kitchen,kitchen,bedroom_1,kitchen,kitchen,entry,kitchen,entry,bedroom_2,kitchen,entry,kitchen,kitchen,kitchen,kitchen,entry,bedroom_2,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,bedroom_1,entry,kitchen,bathroom
7320,d05 Sat 02:00,entry,entry,entry,bedroom_1,kitchen,bedroom_1,kitchen,kitchen,kitchen,bedroom_1,kitchen,kitchen,entry,kitchen,entry,bedroom_2,kitchen,entry,kitchen,kitchen,kitchen,kitchen,entry,bedroom_2,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,bedroom_1,entry,kitchen,bathroom
7380,d05 Sat 03:00,entry,entry,entry,bedroom_1,kitchen,bedroom_1,kitchen,kitchen,kitchen,bedroom_1,kitchen,kitchen,entry,kitchen,entry,bedroom_2,kitchen,entry,kitchen,kitchen,kitchen,kitchen,entry,bedroom_2,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,bedroom_1,entry,kitchen,bathroom
7440,d05 Sat 04:00,entry,entry,entry,bedroom_1,kitchen,bedroom_1,kitchen,kitchen,kitchen,bedroom_1,kitchen,kitchen,entry,kitchen,entry,bedroom_2,kitchen,entry,kitchen,kitchen,kitchen,kitchen,entry,bedroom_2,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,bedroom_1,entry,kitchen,bathroom
7500,d05 Sat 05:00,entry,entry,entry,bedroom_1,kitchen,bedroom_1,kitchen,kitchen,kitchen,bedroom_1,kitchen,kitchen,entry,kitchen,entry,bedroom_2,kitchen,entry,kitchen,kitchen,kitchen,kitchen,entry,bedroom_2,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,bedroom_1,entry,kitchen,bathroom
7560,d05 Sat 06:00,entry,entry,entry,bedroom_1,kitchen,bedroom_1,kitchen,kitchen,kitchen,bedroom_1,kitchen,kitchen,entry,kitchen,entry,bedroom_2,kitchen,entry,kitchen,kitchen,kitchen,kitchen,entry,bedroom_2,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,bedroom_1,entry,kitchen,bathroom
7620,d05 Sat 07:00,entry,entry,entry,bedroom_1,kitchen,bedroom_1,kitchen,kitchen,kitchen,bedroom_1,kitchen,kitchen,entry,kitchen,entry,bedroom_2,kitchen,entry,kitchen,kitchen,kitchen,kitchen,entry,bedroom_2,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,bedroom_1,entry,kitchen,bathroom
7680,d05 Sat 08:00,entry,entry,entry,bedroom_1,kitchen,bedroom_1,kitchen,kitchen,kitchen,bedroom_1,kitchen,kitchen,entry,kitchen,entry,bedroom_2,kitchen,entry,kitchen,kitchen,kitchen,kitchen,entry,bedroom_2,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,bedroom_1,entry,kitchen,bathroom
7740,d05 Sat 09:00,entry,entry,entry,kitchen,kitchen,bedroom_1,kitchen,kitchen,kitchen,bedroom_1,kitchen,kitchen,entry,kitchen,entry,bedroom_2,kitchen,entry,kitchen,kitchen,kitchen,kitchen,entry,bedroom_2,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,bedroom_1,entry,kitchen,bathroom
7800,d05 Sat 10:00,outside,outside,outside,outside,kitchen,outside,kitchen,outside,outside,bedroom_1,outside,outside,outside,kitchen,entry,bedroom_2,kitchen,entry,kitchen,kitchen,kitchen,kitchen,entry,bedroom_2,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,bedroom_2,entry,kitchen,bathroom
7860,d05 Sat 11:00,entry,entry,entry,entry,kitchen,bedroom_1,kitchen,kitchen,kitchen,bedroom_1,kitchen,kitchen,entry,kitchen,kitchen,bedroom_2,kitchen,entry,kitchen,kitchen,kitchen,kitchen,entry,bedroom_2,kitchen,kitchen,kitchen,living,kitchen,kitchen,kitchen,kitchen,bedroom_1,living,kitchen,bathroom
7920,d05 Sat 12:00,entry,entry,entry,entry,kitchen,bedroom_1,kitchen,kitchen,kitchen,bedroom_1,kitchen,kitchen,entry,kitchen,kitchen,bedroom_2,kitchen,entry,kitchen,kitchen,kitchen,kitchen,entry,bedroom_2,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,bedroom_1,entry,kitchen,bedroom_1
7980,d05 Sat 13:00,entry,entry,entry,entry,kitchen,bedroom_1,kitchen,kitchen,kitchen,bedroom_1,kitchen,kitchen,entry,kitchen,kitchen,bedroom_2,kitchen,entry,kitchen,kitchen,kitchen,kitchen,entry,bedroom_2,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,bedroom_2,entry,kitchen,bathroom
8040,d05 Sat 14:00,entry,entry,entry,entry,kitchen,bedroom_1,kitchen,kitchen,kitchen,living,kitchen,kitchen,entry,kitchen,kitchen,kitchen,kitchen,entry,kitchen,kitchen,kitchen,kitchen,entry,living,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,bedroom_2,entry,kitchen,bathroom
8100,d05 Sat 15:00,entry,entry,entry,entry,kitchen,bedroom_1,kitchen,kitchen,kitchen,living,kitchen,kitchen,entry,outside,outside,outside,outside,outside,outside,kitchen,kitchen,outside,outside,living,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,bedroom_2,entry,kitchen,bedroom_2
8160,d05 Sat 16:00,entry,entry,entry,entry,kitchen,bedroom_1,kitchen,kitchen,kitchen,bedroom_1,kitchen,kitchen,entry,bedroom_2,entry,bedroom_2,entry,entry,entry,kitchen,kitchen,kitchen,entry,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,bedroom_2,entry,kitchen,bedroom_2
8220,d05 Sat 17:00,entry,entry,entry,entry,kitchen,bedroom_1,kitchen,kitchen,kitchen,bedroom_1,kitchen,kitchen,entry,bedroom_2,entry,bedroom_2,entry,entry,entry,kitchen,kitchen,kitchen,entry,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,bedroom_2,entry,kitchen,bedroom_2
8280,d05 Sat 18:00,entry,entry,entry,entry,kitchen,bedroom_1,kitchen,kitchen,kitchen,bedroom_1,kitchen,kitchen,entry,bedroom_2,entry,bedroom_2,entry,entry,entry,kitchen,kitchen,kitchen,entry,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,bedroom_2,entry,kitchen,bedroom_2
8340,d05 Sat 19:00,entry,entry,entry,entry,kitchen,bedroom_1,kitchen,kitchen,kitchen,bedroom_1,kitchen,kitchen,entry,bedroom_2,entry,bedroom_2,entry,entry,entry,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,bedroom_2,entry,kitchen,bedroom_2
8400,d05 Sat 20:00,entry,entry,entry,entry,kitchen,bedroom_1,kitchen,kitchen,kitchen,bedroom_1,kitchen,kitchen,entry,bedroom_2,entry,bedroom_2,entry,entry,entry,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,bedroom_2,entry,kitchen,kitchen
8460,d05 Sat 21:00,entry,entry,entry,entry,kitchen,bedroom_1,kitchen,kitchen,kitchen,bedroom_1,kitchen,kitchen,entry,kitchen,entry,bedroom_2,entry,entry,entry,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,bedroom_2,entry,kitchen,kitchen
8520,d05 Sat 22:00,entry,entry,entry,entry,kitchen,bedroom_1,kitchen,kitchen,kitchen,bedroom_1,kitchen,kitchen,entry,kitchen,entry,bedroom_2,entry,entry,entry,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom_1,living,bedroom_2,entry,kitchen,kitchen
8580,d05 Sat 23:00,entry,entry,entry,entry,kitchen,bedroom_1,kitchen,kitchen,kitchen,bedroom_1,kitchen,kitchen,entry,kitchen,entry,bedroom_2,entry,entry,entry,kitchen,kitchen,kitchen,kitchen,bedroom_2,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,bedroom_2,entry,kitchen,kitchen
8640,d06 Sun 00:00,entry,entry,entry,entry,kitchen,bedroom_1,kitchen,kitchen,kitchen,bedroom_1,kitchen,kitchen,entry,kitchen,entry,bedroom_2,entry,entry,entry,kitchen,kitchen,kitchen,kitchen,bedroom_2,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,bedroom_2,entry,kitchen,kitchen
8700,d06 Sun 01:00,entry,entry,entry,entry,kitchen,bedroom_1,kitchen,kitchen,kitchen,bedroom_1,kitchen,kitchen,entry,kitchen,entry,bedroom_2,entry,entry,entry,kitchen,kitchen,kitchen,kitchen,bedroom_2,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,bedroom_2,entry,kitchen,kitchen
8760,d06 Sun 02:00,entry,entry,entry,entry,kitchen,bedroom_1,kitchen,kitchen,kitchen,bedroom_1,kitchen,kitchen,entry,kitchen,entry,bedroom_2,entry,entry,entry,kitchen,kitchen,kitchen,kitchen,bedroom_2,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,bedroom_2,entry,kitchen,kitchen
8820,d06 Sun 03:00,entry,entry,entry,entry,kitchen,bedroom_1,kitchen,kitchen,kitchen,bedroom_1,kitchen,kitchen,entry,kitchen,entry,bedroom_2,entry,entry,entry,kitchen,kitchen,kitchen,kitchen,bedroom_2,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,bedroom_2,entry,kitchen,kitchen
8880,d06 Sun 04:00,entry,entry,entry,entry,kitchen,bedroom_1,kitchen,kitchen,kitchen,bedroom_1,kitchen,kitchen,entry,kitchen,entry,bedroom_2,entry,entry,entry,kitchen,kitchen,kitchen,kitchen,bedroom_2,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,bedroom_2,entry,kitchen,kitchen
8940,d06 Sun 05:00,entry,entry,entry,entry,kitchen,bedroom_1,kitchen,kitchen,kitchen,bedroom_1,kitchen,kitchen,entry,kitchen,entry,bedroom_2,entry,entry,entry,kitchen,kitchen,kitchen,kitchen,bedroom_2,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,bedroom_2,entry,kitchen,kitchen
9000,d06 Sun 06:00,entry,entry,entry,entry,kitchen,bedroom_1,kitchen,kitchen,kitchen,bedroom_1,kitchen,kitchen,entry,kitchen,entry,bedroom_2,entry,entry,entry,kitchen,kitchen,kitchen,kitchen,bedroom_2,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,bedroom_2,entry,kitchen,kitchen
9060,d06 Sun 07:00,entry,entry,entry,entry,kitchen,bedroom_1,kitchen,kitchen,kitchen,bedroom_1,kitchen,kitchen,entry,kitchen,entry,bedroom_2,entry,entry,entry,kitchen,kitchen,kitchen,kitchen,bedroom_2,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,bedroom_2,entry,kitchen,kitchen
9120,d06 Sun 08:00,entry,entry,entry,entry,kitchen,bedroom_1,kitchen,kitchen,kitchen,bedroom_1,kitchen,kitchen,entry,kitchen,entry,bedroom_2,entry,entry,entry,kitchen,kitchen,kitchen,kitchen,bedroom_2,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,bedroom_2,entry,kitchen,kitchen
9180,d06 Sun 09:00,entry,entry,entry,entry,kitchen,bedroom_1,kitchen,kitchen,kitchen,bedroom_1,kitchen,kitchen,entry,kitchen,entry,bedroom_2,entry,entry,entry,kitchen,kitchen,kitchen,kitchen,bedroom_2,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,bedroom_2,entry,kitchen,kitchen
9240,d06 Sun 10:00,entry,entry,entry,entry,kitchen,bedroom_1,kitchen,kitchen,kitchen,bedroom_1,kitchen,kitchen,entry,kitchen,entry,bedroom_2,entry,entry,entry,kitchen,kitchen,kitchen,kitchen,bedroom_2,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,bedroom_2,entry,kitchen,bathroom
