t,stamp,mug_1,bowl_1,phone_1,keys_1,water_bottle_1,book_1,blanket_1,laptop_1
18960,d13 Sun 04:00,kitchen,kitchen,bedroom,kitchen,bedroom,living,living,living
19020,d13 Sun 05:00,kitchen,kitchen,bedroom,kitchen,bedroom,living,living,living
19080,d13 Sun 06:00,kitchen,kitchen,bedroom,kitchen,bedroom,living,living,living
19140,d13 Sun 07:00,kitchen,kitchen,bedroom,kitchen,bedroom,living,living,living
19200,d13 Sun 08:00,kitchen,kitchen,bedroom,kitchen,bedroom,living,living,living
19260,d13 Sun 09:00,kitchen,kitchen,bathroom,kitchen,bedroom,living,living,living
19320,d13 Sun 10:00,kitchen,kitchen,living,kitchen,bedroom,living,living,living
19380,d13 Sun 11:00,kitchen,kitchen,living,kitchen,bedroom,living,living,living
19440,d13 Sun 12:00,kitchen,kitchen,kitchen,kitchen,bedroom,living,living,living
19500,d13 Sun 13:00,kitchen,kitchen,kitchen,kitchen,bedroom,living,living,living
19560,d13 Sun 14:00,kitchen,kitchen,living,kitchen,bedroom,living,living,living
19620,d13 Sun 15:00,kitchen,kitchen,living,kitchen,bedroom,living,living,living
19680,d13 Sun 16:00,kitchen,kitchen,living,kitchen,bedroom,living,living,living
19740,d13 Sun 17:00,kitchen,kitchen,living,kitchen,bedroom,living,living,living
19800,d13 Sun 18:00,kitchen,kitchen,living,kitchen,bedroom,living,living,living
19860,d13 Sun 19:00,kitchen,kitchen,living,kitchen,bedroom,living,living,living
19920,d13 Sun 20:00,kitchen,kitchen,living,kitchen,bedroom,living,living,living
19980,d13 Sun 21:00,kitchen,kitchen,bathroom,kitchen,bedroom,living,living,living
20040,d13 Sun 22:00,kitchen,kitchen,bathroom,kitchen,bedroom,living,living,living
20100,d13 Sun 23:00,kitchen,kitchen,bathroom,kitchen,bedroom,living,living,living
20160,d14 Mon 00:00,kitchen,kitchen,bathroom,kitchen,bedroom,living,living,living
20220,d14 Mon 01:00,kitchen,kitchen,bathroom,kitchen,bedroom,living,living,living
20280,d14 Mon 02:00,kitchen,kitchen,bathroom,kitchen,bedroom,living,living,living
20340,d14 Mon 03:00,kitchen,kitchen,bathroom,kitchen,bedroom,living,living,living
20400,d14 Mon 04:00,kitchen,kitchen,bathroom,kitchen,bedroom,living,living,living
20460,d14 Mon 05:00,kitchen,kitchen,bathroom,kitchen,bedroom,living,living,living
20520,d14 Mon 06:00,kitchen,kitchen,bathroom,kitchen,bedroom,living,living,living
20580,d14 Mon 07:00,kitchen,kitchen,bathroom,kitchen,bedroom,living,living,living
20640,d14 Mon 08:00,kitchen,kitchen,bathroom,kitchen,bedroom,living,living,living
20700,d14 Mon 09:00,kitchen,kitchen,bathroom,kitchen,bedroom,living,living,living
20760,d14 Mon 10:00,kitchen,kitchen,outside,kitchen,bedroom,living,living,living
20820,d14 Mon 11:00,kitchen,kitchen,living,kitchen,bedroom,living,living,living
20880,d14 Mon 12:00,kitchen,kitchen,living,kitchen,bedroom,living,living,living
20940,d14 Mon 13:00,kitchen,kitchen,living,kitchen,bedroom,living,living,living
21000,d14 Mon 14:00,kitchen,kitchen,living,kitchen,bedroom,living,living,living
21060,d14 Mon 15:00,kitchen,kitchen,living,kitchen,bedroom,living,living,living
21120,d14 Mon 16:00,kitchen,kitchen,living,kitchen,bedroom,living,living,living
21180,d14 Mon 17:00,kitchen,kitchen,living,kitchen,bedroom,living,living,living
21240,d14 Mon 18:00,kitchen,kitchen,bathroom,kitchen,bedroom,living,living,living
21300,d14 Mon 19:00,kitchen,kitchen,bathroom,kitchen,bedroom,living,living,living
21360,d14 Mon 20:00,kitchen,kitchen,outside,kitchen,bedroom,living,living,living
21420,d14 Mon 21:00,kitchen,kitchen,outside,outside,bedroom,living,living,living
21480,d14 Mon 22:00,kitchen,kitchen,outside,outside,bedroom,living,living,living
21540,d14 Mon 23:00,kitchen,kitchen,outside,outside,bedroom,living,living,living
21600,d15 Tue 00:00,kitchen,kitchen,outside,outside,bedroom,living,living,living
21660,d15 Tue 01:00,kitchen,kitchen,outside,outside,bedroom,living,living,living
21720,d15 Tue 02:00,kitchen,kitchen,outside,outside,bedroom,living,living,living
21780,d15 Tue 03:00,kitchen,kitchen,outside,outside,bedroom,living,living,living
21840,d15 Tue 04:00,kitchen,kitchen,outside,outside,bedroom,living,living,living
21900,d15 Tue 05:00,kitchen,kitchen,outside,outside,bedroom,living,living,living
21960,d15 Tue 06:00,kitchen,kitchen,outside,outside,bedroom,living,living,living
22020,d15 Tue 07:00,kitchen,kitchen,kitchen,kitchen,bedroom,living,living,living
22080,d15 Tue 08:00,kitchen,kitchen,kitchen,kitchen,living,living,living,living
22140,d15 Tue 09:00,kitchen,kitchen,kitchen,kitchen,living,living,living,living
22200,d15 Tue 10:00,kitchen,kitchen,kitchen,kitchen,living,living,living,living
22260,d15 Tue 11:00,kitchen,kitchen,kitchen,kitchen,living,living,living,living
22320,d15 Tue 12:00,kitchen,kitchen,kitchen,kitchen,living,living,living,living
22380,d15 Tue 13:00,kitchen,kitchen,kitchen,kitchen,living,living,living,living
22440,d15 Tue 14:00,kitchen,kitchen,kitchen,kitchen,living,living,living,living
22500,d15 Tue 15:00,kitchen,kitchen,kitchen,kitchen,living,living,living,living
22560,d15 Tue 16:00,kitchen,kitchen,bathroom,kitchen,kitchen,living,living,living
22620,d15 Tue 17:00,kitchen,kitchen,bathroom,kitchen,kitchen,living,living,living
22680,d15 Tue 18:00,kitchen,kitchen,bathroom,kitchen,kitchen,living,living,living
22740,d15 Tue 19:00,kitchen,kitchen,outside,kitchen,kitchen,living,living,living
22800,d15 Tue 20:00,kitchen,kitchen,outside,outside,kitchen,living,living,living
22860,d15 Tue 21:00,kitchen,kitchen,outside,outside,kitchen,living,living,living
22920,d15 Tue 22:00,kitchen,kitchen,outside,outside,kitchen,living,living,living
22980,d15 Tue 23:00,kitchen,kitchen,outside,outside,kitchen,living,living,living
23040,d16 Wed 00:00,kitchen,kitchen,outside,outside,kitchen,living,living,living
23100,d16 Wed 01:00,kitchen,kitchen,outside,outside,kitchen,living,living,living
23160,d16 Wed 02:00,kitchen,kitchen,outside,outside,kitchen,living,living,living
23220,d16 Wed 03:00,kitchen,kitchen,outside,outside,kitchen,living,living,living
23280,d16 Wed 04:00,kitchen,kitchen,outside,outside,kitchen,living,living,living
23340,d16 Wed 05:00,kitchen,kitchen,outside,outside,kitchen,living,living,living
23400,d16 Wed 06:00,kitchen,kitchen,outside,kitchen,kitchen,living,living,living
23460,d16 Wed 07:00,kitchen,kitchen,bedroom,kitchen,kitchen,living,living,living
23520,d16 Wed 08:00,kitchen,kitchen,bedroom,kitchen,kitchen,living,living,living
23580,d16 Wed 09:00,kitchen,kitchen,bedroom,kitchen,kitchen,living,living,living
23640,d16 Wed 10:00,kitchen,kitchen,bedroom,kitchen,kitchen,living,living,living
23700,d16 Wed 11:00,kitchen,kitchen,bedroom,kitchen,kitchen,living,living,living
23760,d16 Wed 12:00,kitchen,kitchen,bedroom,kitchen,kitchen,living,living,living
23820,d16 Wed 13:00,kitchen,kitchen,bedroom,kitchen,kitchen,living,living,living
23880,d16 Wed 14:00,kitchen,kitchen,bedroom,kitchen,kitchen,living,living,living
23940,d16 Wed 15:00,kitchen,kitchen,bathroom,kitchen,kitchen,living,living,living
24000,d16 Wed 16:00,kitchen,kitchen,bathroom,kitchen,kitchen,living,living,living
24060,d16 Wed 17:00,kitchen,kitchen,bathroom,kitchen,kitchen,living,living,living
24120,d16 Wed 18:00,kitchen,kitchen,bathroom,kitchen,kitchen,living,living,living
24180,d16 Wed 19:00,kitchen,kitchen,outside,kitchen,kitchen,living,living,living
24240,d16 Wed 20:00,kitchen,kitchen,outside,outside,kitchen,living,living,living
24300,d16 Wed 21:00,kitchen,kitchen,outside,outside,kitchen,living,living,living
24360,d16 Wed 22:00,kitchen,kitchen,outside,outside,kitchen,living,living,living
24420,d16 Wed 23:00,kitchen,kitchen,outside,outside,kitchen,living,living,living
24480,d17 Thu 00:00,kitchen,kitchen,outside,outside,kitchen,living,living,living
24540,d17 Thu 01:00,kitchen,kitchen,outside,outside,kitchen,living,living,living
24600,d17 Thu 02:00,kitchen,kitchen,outside,outside,kitchen,living,living,living
24660,d17 Thu 03:00,kitchen,kitchen,outside,outside,kitchen,living,living,living
24720,d17 Thu 04:00,kitchen,kitchen,outside,outside,kitchen,living,living,living
24780,d17 Thu 05:00,kitchen,kitchen,outside,outside,kitchen,living,living,living
24840,d17 Thu 06:00,kitchen,kitchen,outside,outside,kitchen,living,living,living
24900,d17 Thu 07:00,kitchen,kitchen,bedroom,kitchen,kitchen,living,living,living
24960,d17 Thu 08:00,kitchen,kitchen,bedroom,kitchen,kitchen,living,living,living
25020,d17 Thu 09:00,kitchen,kitchen,bedroom,kitchen,kitchen,living,living,living
25080,d17 Thu 10:00,kitchen,kitchen,bedroom,kitchen,kitchen,living,living,living
25140,d17 Thu 11:00,kitchen,kitchen,bedroom,kitchen,kitchen,living,living,living
25200,d17 Thu 12:00,kitchen,kitchen,bedroom,kitchen,kitchen,living,living,living
25260,d17 Thu 13:00,kitchen,kitchen,bedroom,kitchen,kitchen,living,living,living
25320,d17 Thu 14:00,kitchen,kitchen,bedroom,kitchen,kitchen,living,living,living
25380,d17 Thu 15:00,kitchen,kitchen,bathroom,kitchen,kitchen,living,living,living
25440,d17 Thu 16:00,kitchen,kitchen,bathroom,kitchen,kitchen,living,living,living
25500,d17 Thu 17:00,kitchen,kitchen,living,kitchen,kitchen,living,living,living
25560,d17 Thu 18:00,kitchen,kitchen,living,kitchen,kitchen,living,living,living
25620,d17 Thu 19:00,kitchen,kitchen,living,kitchen,kitchen,living,living,living
25680,d17 Thu 20:00,kitchen,kitchen,living,kitchen,kitchen,living,living,living
25740,d17 Thu 21:00,kitchen,kitchen,living,kitchen,kitchen,living,living,living
25800,d17 Thu 22:00,kitchen,kitchen,living,kitchen,bedroom,living,living,living
25860,d17 Thu 23:00,kitchen,kitchen,living,kitchen,bedroom,living,living,living
25920,d18 Fri 00:00,kitchen,kitchen,living,kitchen,bedroom,bedroom,living,living
25980,d18 Fri 01:00,kitchen,kitchen,living,kitchen,bedroom,bedroom,living,living
26040,d18 Fri 02:00,kitchen,kitchen,living,kitchen,bedroom,bedroom,living,living
26100,d18 Fri 03:00,kitchen,kitchen,living,kitchen,bedroom,bedroom,living,living
26160,d18 Fri 04:00,kitchen,kitchen,living,kitchen,bedroom,bedroom,living,living
26220,d18 Fri 05:00,kitchen,kitchen,living,kitchen,bedroom,bedroom,living,living
26280,d18 Fri 06:00,kitchen,kitchen,living,kitchen,bedroom,bedroom,living,living
26340,d18 Fri 07:00,kitchen,kitchen,living,kitchen,bedroom,bedroom,living,living
26400,d18 Fri 08:00,kitchen,kitchen,bathroom,kitchen,kitchen,bedroom,living,living
26460,d18 Fri 09:00,kitchen,kitchen,bathroom,living,kitchen,bedroom,living,living
26520,d18 Fri 10:00,kitchen,kitchen,outside,living,kitchen,bedroom,living,living
26580,d18 Fri 11:00,kitchen,kitchen,kitchen,living,kitchen,bedroom,living,living
26640,d18 Fri 12:00,kitchen,kitchen,bathroom,living,kitchen,bedroom,living,living
26700,d18 Fri 13:00,kitchen,kitchen,bathroom,living,living,bedroom,living,living
26760,d18 Fri 14:00,kitchen,kitchen,living,living,living,bedroom,living,living
26820,d18 Fri 15:00,kitchen,kitchen,living,living,living,bedroom,living,living
26880,d18 Fri 16:00,kitchen,kitchen,living,living,living,bedroom,living,living
26940,d18 Fri 17:00,kitchen,kitchen,living,living,living,bedroom,living,living
27000,d18 Fri 18:00,kitchen,kitchen,living,living,living,bedroom,living,living
27060,d18 Fri 19:00,kitchen,kitchen,living,living,living,bedroom,living,living
27120,d18 Fri 20:00,kitchen,kitchen,living,living,living,bedroom,living,living
27180,d18 Fri 21:00,kitchen,kitchen,bathroom,living,living,bedroom,living,living
27240,d18 Fri 22:00,kitchen,kitchen,bedroom,living,bedroom,bedroom,living,living
27300,d18 Fri 23:00,kitchen,kitchen,bedroom,living,bedroom,bedroom,living,living
27360,d19 Sat 00:00,kitchen,kitchen,bedroom,living,bedroom,bedroom,living,living
27420,d19 Sat 01:00,kitchen,kitchen,bedroom,living,bedroom,living,living,living
27480,d19 Sat 02:00,kitchen,kitchen,bedroom,living,bedroom,living,living,living
27540,d19 Sat 03:00,kitchen,kitchen,bedroom,living,bedroom,living,living,living
27600,d19 Sat 04:00,kitchen,kitchen,bedroom,living,bedroom,living,living,living
27660,d19 Sat 05:00,kitchen,kitchen,bedroom,living,bedroom,living,living,living
27720,d19 Sat 06:00,kitchen,kitchen,bedroom,living,bedroom,living,living,living
27780,d19 Sat 07:00,kitchen,kitchen,bedroom,living,bedroom,living,living,living
27840,d19 Sat 08:00,kitchen,kitchen,bathroom,living,kitchen,bedroom,living,living
27900,d19 Sat 09:00,kitchen,kitchen,bathroom,living,kitchen,bedroom,living,living
27960,d19 Sat 10:00,kitchen,kitchen,outside,living,kitchen,bedroom,living,living
28020,d19 Sat 11:00,kitchen,kitchen,living,living,kitchen,bedroom,living,living
28080,d19 Sat 12:00,kitchen,kitchen,living,living,kitchen,bedroom,living,living
28140,d19 Sat 13:00,kitchen,kitchen,living,living,kitchen,bedroom,living,living
28200,d19 Sat 14:00,kitchen,kitchen,living,living,kitchen,bedroom,living,living
28260,d19 Sat 15:00,kitchen,kitchen,living,living,kitchen,bedroom,living,living
28320,d19 Sat 16:00,kitchen,kitchen,living,living,kitchen,bedroom,living,living
28380,d19 Sat 17:00,kitchen,kitchen,living,living,kitchen,bedroom,living,living
28440,d19 Sat 18:00,kitchen,kitchen,living,living,kitchen,bedroom,living,living
28500,d19 Sat 19:00,kitchen,kitchen,living,living,kitchen,bedroom,living,living
28560,d19 Sat 20:00,kitchen,kitchen,living,living,kitchen,bedroom,living,living
28620,d19 Sat 21:00,kitchen,kitchen,bathroom,living,kitchen,bedroom,living,living
28680,d19 Sat 22:00,kitchen,kitchen,bedroom,living,bedroom,bedroom,living,living
28740,d19 Sat 23:00,kitchen,kitchen,bedroom,living,bedroom,bedroom,living,living
28800,d20 Sun 00:00,kitchen,kitchen,bedroom,living,bedroom,bedroom,living,living
28860,d20 Sun 01:00,kitchen,kitchen,bedroom,living,bedroom,bedroom,living,living
28920,d20 Sun 02:00,kitchen,kitchen,bedroom,living,bedroom,bedroom,living,living
28980,d20 Sun 03:00,kitchen,kitchen,bedroom,living,bedroom,bedroom,living,living
29040,d20 Sun 04:00,kitchen,kitchen,bedroom,living,bedroom,bedroom,living,living
29100,d20 Sun 05:00,kitchen,kitchen,bedroom,living,bedroom,bedroom,living,living
29160,d20 Sun 06:00,kitchen,kitchen,bedroom,living,bedroom,bedroom,living,living
29220,d20 Sun 07:00,kitchen,kitchen,bedroom,living,bedroom,bedroom,living,living
29280,d20 Sun 08:00,kitchen,kitchen,bedroom,living,bedroom,bedroom,living,living
29340,d20 Sun 09:00,kitchen,kitchen,bathroom,living,living,bedroom,living,living
29400,d20 Sun 10:00,kitchen,kitchen,bathroom,living,living,bedroom,living,living
29460,d20 Sun 11:00,kitchen,kitchen,bathroom,living,living,bedroom,living,living
29520,d20 Sun 12:00,kitchen,kitchen,bathroom,living,living,bedroom,living,living
29580,d20 Sun 13:00,kitchen,kitchen,bathroom,living,living,bedroom,living,living
29640,d20 Sun 14:00,kitchen,kitchen,bathroom,living,living,bedroom,living,living
29700,d20 Sun 15:00,kitchen,kitchen,bathroom,living,living,bedroom,living,living
29760,d20 Sun 16:00,kitchen,kitchen,bathroom,living,living,bedroom,living,living
29820,d20 Sun 17:00,kitchen,kitchen,bathroom,living,living,bedroom,living,living
29880,d20 Sun 18:00,kitchen,kitchen,bathroom,living,living,bedroom,living,living
29940,d20 Sun 19:00,kitchen,kitchen,bathroom,living,living,bedroom,living,living
30000,d20 Sun 20:00,kitchen,kitchen,bathroom,living,living,bedroom,living,living
30060,d20 Sun 21:00,kitchen,kitchen,bathroom,living,living,bedroom,living,living
30120,d20 Sun 22:00,kitchen,kitchen,bathroom,living,bedroom,bedroom,living,living
30180,d20 Sun 23:00,kitchen,kitchen,bathroom,living,bedroom,bedroom,living,living
