t,stamp,mug_1,mug_2,laptop_alex,laptop_bella,laptop_chad,laptop_dana,phone_alex,phone_bella,phone_chad,phone_dana,keys_alex,keys_bella,keys_chad,keys_dana,wallet_alex,wallet_bella,wallet_chad,wallet_dana,book_alex,book_bella,book_chad,book_dana,water_bottle_alex,water_bottle_bella,water_bottle_chad,water_bottle_dana,remote_1,charger_alex,charger_bella,charger_chad,charger_dana,backpack_alex,backpack_bella,backpack_chad,backpack_dana,jacket_alex,jacket_bella,jacket_chad,jacket_dana,headphones_bella,headphones_chad,glasses_alex,glasses_dana,notebook_bella,notebook_dana,pen_1,pen_2,medication_bottle_alex,toy_chad,blanket_1,towel_1,towel_2,gaming_controller_chad,dog_leash_none,lunchbox_alex,lunchbox_dana,umbrella_dana,laundry_basket_1,laundry_basket_2,vacuum_cleaner_1
5220,d03 Thu 15:00,kitchen,kitchen,bedroom_1,outside,bedroom_3,bedroom_4,bedroom_1,outside,bedroom_3,bedroom_4,entry,outside,living,entry,bedroom_1,outside,bedroom_3,bedroom_4,bedroom_1,outside,bedroom_3,bedroom_4,bedroom_1,outside,bedroom_3,bedroom_4,living,bedroom_1,outside,bedroom_3,bedroom_4,bedroom_1,outside,bedroom_3,bedroom_4,bedroom_1,outside,kitchen,bedroom_4,outside,bedroom_3,bedroom_1,bedroom_4,outside,bedroom_4,bedroom_4,bedroom_4,bedroom_1,bedroom_3,living,bathroom,bathroom,living,entry,kitchen,kitchen,entry,entry,entry,bedroom_4
5280,d03 Thu 16:00,kitchen,kitchen,outside,bedroom_2,bedroom_3,bedroom_4,outside,bedroom_2,living,living,outside,bedroom_2,living,entry,outside,bedroom_2,bedroom_3,bedroom_4,outside,bedroom_2,bedroom_3,bedroom_4,outside,bedroom_2,living,bedroom_4,living,bedroom_1,bedroom_2,bedroom_3,bedroom_4,outside,entry,bedroom_3,living,outside,kitchen,kitchen,living,bedroom_2,living,outside,bedroom_4,bedroom_2,living,kitchen,bedroom_4,bedroom_1,bedroom_3,living,bathroom,bathroom,living,entry,outside,kitchen,entry,living,living,living
5340,d03 Thu 17:00,kitchen,kitchen,bedroom_1,bedroom_2,bedroom_3,bedroom_4,bedroom_1,bedroom_2,living,living,entry,bedroom_2,living,entry,bedroom_1,bedroom_2,bedroom_3,bedroom_4,bedroom_1,bedroom_2,bedroom_3,bedroom_4,bedroom_1,bedroom_2,living,bedroom_4,living,bedroom_1,bedroom_2,bedroom_3,bedroom_4,bedroom_1,entry,bedroom_3,living,bedroom_1,kitchen,kitchen,living,bedroom_2,living,bedroom_1,bedroom_4,bedroom_2,bedroom_4,kitchen,bedroom_4,bedroom_1,bedroom_3,living,bathroom,bathroom,living,entry,kitchen,kitchen,entry,living,living,living
5400,d03 Thu 18:00,kitchen,kitchen,bedroom_1,bedroom_2,bedroom_3,bedroom_4,bedroom_1,bedroom_2,bedroom_3,kitchen,entry,bedroom_2,bedroom_3,entry,bedroom_1,bedroom_2,bedroom_3,bedroom_4,bedroom_1,bedroom_2,living,bedroom_4,bedroom_1,bedroom_2,living,bedroom_4,bedroom_3,bedroom_1,bedroom_2,bedroom_3,bedroom_4,bedroom_1,entry,bedroom_3,kitchen,bedroom_1,kitchen,kitchen,kitchen,living,bedroom_3,bedroom_1,bedroom_4,bedroom_2,bedroom_4,kitchen,bedroom_4,bedroom_1,living,bedroom_3,bathroom,bathroom,bedroom_3,entry,kitchen,kitchen,entry,living,entry,entry
5460,d03 Thu 19:00,kitchen,kitchen,bedroom_1,bedroom_2,bedroom_3,bedroom_4,bedroom_1,bedroom_2,bedroom_3,kitchen,entry,bedroom_2,bedroom_3,entry,bedroom_1,bedroom_2,bedroom_3,bedroom_4,bedroom_1,bedroom_2,living,bedroom_4,bedroom_1,bedroom_2,living,bedroom_4,bedroom_3,bedroom_1,kitchen,bedroom_3,bedroom_4,bedroom_1,bedroom_2,bedroom_3,kitchen,bedroom_1,bedroom_2,kitchen,kitchen,bedroom_2,bedroom_3,bedroom_1,bedroom_4,bedroom_2,bedroom_4,bedroom_2,living,bedroom_1,living,bedroom_3,bathroom,bathroom,bedroom_3,entry,kitchen,kitchen,entry,living,entry,entry
5520,d03 Thu 20:00,kitchen,kitchen,bedroom_1,bedroom_2,bedroom_3,bedroom_4,bedroom_1,bedroom_2,living,living,entry,bedroom_2,living,entry,bedroom_1,bedroom_2,bedroom_3,bedroom_4,bedroom_1,bedroom_2,living,bedroom_4,bedroom_1,bedroom_2,bedroom_3,bedroom_4,living,bedroom_1,kitchen,bedroom_3,bedroom_4,bedroom_1,bedroom_2,bedroom_3,living,bedroom_1,kitchen,kitchen,living,bedroom_2,kitchen,bedroom_1,bedroom_4,bedroom_2,bedroom_4,bedroom_2,bedroom_1,bedroom_1,bedroom_3,living,bathroom,bathroom,bedroom_2,entry,kitchen,kitchen,entry,bedroom_2,bedroom_2,entry
5580,d03 Thu 21:00,kitchen,kitchen,bedroom_1,bedroom_2,bedroom_3,bedroom_4,bedroom_1,bedroom_2,living,living,entry,bedroom_2,living,entry,bedroom_1,bedroom_2,bedroom_3,bedroom_4,bedroom_1,bedroom_2,living,bedroom_4,bedroom_1,bedroom_2,bedroom_3,bedroom_4,living,bedroom_1,kitchen,bedroom_3,bedroom_4,bedroom_1,bedroom_2,bedroom_3,living,bedroom_1,kitchen,kitchen,living,bedroom_2,kitchen,bedroom_1,bedroom_4,bedroom_2,bedroom_4,bedroom_2,bedroom_1,bedroom_1,bedroom_3,living,bathroom,bathroom,bedroom_2,entry,kitchen,kitchen,entry,bedroom_2,bedroom_2,entry
5640,d03 Thu 22:00,kitchen,kitchen,bedroom_1,bedroom_2,bedroom_3,bedroom_4,bedroom_1,bedroom_2,bedroom_3,bedroom_4,entry,bedroom_2,bedroom_3,entry,bedroom_1,bedroom_2,bedroom_3,bedroom_4,bedroom_1,bedroom_2,living,bedroom_4,bedroom_1,bedroom_2,living,bedroom_4,living,bedroom_2,bedroom_2,bedroom_3,bedroom_4,bedroom_1,bedroom_2,bedroom_3,bedroom_4,bedroom_1,kitchen,kitchen,bedroom_4,bedroom_2,bedroom_3,bedroom_1,bedroom_4,kitchen,living,bedroom_2,bedroom_4,bedroom_2,living,living,bedroom_2,bedroom_2,bedroom_3,entry,kitchen,kitchen,entry,entry,entry,entry
5700,d03 Thu 23:00,kitchen,kitchen,bedroom_1,bedroom_2,bedroom_3,bedroom_4,bedroom_1,bedroom_2,bedroom_3,bedroom_4,entry,bedroom_2,bedroom_3,entry,bedroom_1,bedroom_2,bedroom_3,bedroom_4,bedroom_1,bedroom_2,living,bedroom_4,bedroom_1,bedroom_2,living,bedroom_4,living,bedroom_1,bedroom_2,bedroom_3,bedroom_4,bedroom_1,bedroom_2,bedroom_3,bedroom_4,bedroom_1,kitchen,kitchen,bedroom_4,bedroom_2,bedroom_3,bedroom_1,bedroom_4,kitchen,living,bedroom_2,bedroom_4,bedroom_1,living,living,bathroom,bathroom,bedroom_3,entry,kitchen,kitchen,entry,entry,entry,entry
5760,d04 Fri 00:00,kitchen,kitchen,bedroom_1,bedroom_2,bedroom_3,bedroom_4,bedroom_1,bedroom_2,bedroom_3,bedroom_4,entry,bedroom_2,bedroom_3,entry,bedroom_1,bedroom_2,bedroom_3,bedroom_4,bedroom_1,bedroom_2,living,bedroom_4,bedroom_1,bedroom_2,living,bedroom_4,living,bedroom_1,bedroom_2,bedroom_3,bedroom_4,bedroom_1,bedroom_2,bedroom_3,bedroom_4,bedroom_1,kitchen,kitchen,bedroom_4,bedroom_2,bedroom_3,bedroom_1,bedroom_4,kitchen,living,bedroom_2,bedroom_4,bedroom_1,living,living,bathroom,bathroom,bedroom_3,entry,kitchen,kitchen,entry,entry,entry,entry
5820,d04 Fri 01:00,kitchen,kitchen,bedroom_1,bedroom_2,bedroom_3,bedroom_4,bedroom_1,bedroom_2,bedroom_3,bedroom_4,entry,bedroom_2,bedroom_3,entry,bedroom_1,bedroom_2,bedroom_3,bedroom_4,bedroom_1,bedroom_2,living,bedroom_4,bedroom_1,bedroom_2,living,bedroom_4,living,bedroom_1,bedroom_2,bedroom_3,bedroom_4,bedroom_1,bedroom_2,bedroom_3,bedroom_4,bedroom_1,kitchen,kitchen,bedroom_4,bedroom_2,bedroom_3,bedroom_1,bedroom_4,kitchen,living,bedroom_2,bedroom_4,bedroom_1,living,living,bathroom,bathroom,bedroom_3,entry,kitchen,kitchen,entry,entry,entry,entry
5880,d04 Fri 02:00,kitchen,kitchen,bedroom_1,bedroom_2,bedroom_3,bedroom_4,bedroom_1,bedroom_2,bedroom_3,bedroom_4,entry,bedroom_2,bedroom_3,entry,bedroom_1,bedroom_2,bedroom_3,bedroom_4,bedroom_1,bedroom_2,living,bedroom_4,bedroom_1,bedroom_2,living,bedroom_4,living,bedroom_1,bedroom_2,bedroom_3,bedroom_4,bedroom_1,bedroom_2,bedroom_3,bedroom_4,bedroom_1,kitchen,kitchen,bedroom_4,bedroom_2,bedroom_3,bedroom_1,bedroom_4,kitchen,living,bedroom_2,bedroom_4,bedroom_1,living,living,bathroom,bathroom,bedroom_3,entry,kitchen,kitchen,entry,entry,entry,entry
5940,d04 Fri 03:00,kitchen,kitchen,bedroom_1,bedroom_2,bedroom_3,bedroom_4,bedroom_1,bedroom_2,bedroom_3,bedroom_4,entry,bedroom_2,bedroom_3,entry,bedroom_1,bedroom_2,bedroom_3,bedroom_4,bedroom_1,bedroom_2,living,bedroom_4,bedroom_1,bedroom_2,living,bedroom_4,living,bedroom_1,bedroom_2,bedroom_3,bedroom_4,bedroom_1,bedroom_2,bedroom_3,bedroom_4,bedroom_1,kitchen,kitchen,bedroom_4,bedroom_2,bedroom_3,bedroom_1,bedroom_4,kitchen,living,bedroom_2,bedroom_4,bedroom_1,living,living,bathroom,bathroom,bedroom_3,entry,kitchen,kitchen,entry,entry,entry,entry
6000,d04 Fri 04:00,kitchen,kitchen,bedroom_1,bedroom_2,bedroom_3,bedroom_4,bedroom_1,bedroom_2,bedroom_3,bedroom_4,entry,bedroom_2,bedroom_3,entry,bedroom_1,bedroom_2,bedroom_3,bedroom_4,bedroom_1,bedroom_2,living,bedroom_4,bedroom_1,bedroom_2,living,bedroom_4,living,bedroom_1,bedroom_2,bedroom_3,bedroom_4,bedroom_1,bedroom_2,bedroom_3,bedroom_4,bedroom_1,kitchen,kitchen,bedroom_4,bedroom_2,bedroom_3,bedroom_1,bedroom_4,kitchen,living,bedroom_2,bedroom_4,bedroom_1,living,living,bathroom,bathroom,bedroom_3,entry,kitchen,kitchen,entry,entry,entry,entry
6060,d04 Fri 05:00,kitchen,kitchen,bedroom_1,bedroom_2,bedroom_3,bedroom_4,bedroom_1,bedroom_2,bedroom_3,bedroom_4,entry,bedroom_2,bedroom_3,entry,bedroom_1,bedroom_2,bedroom_3,bedroom_4,bedroom_1,bedroom_2,living,bedroom_4,bedroom_1,bedroom_2,living,bedroom_4,living,bedroom_1,bedroom_2,bedroom_3,bedroom_4,bedroom_1,bedroom_2,bedroom_3,bedroom_4,bedroom_1,kitchen,kitchen,bedroom_4,bedroom_2,bedroom_3,bedroom_1,bedroom_4,kitchen,living,bedroom_2,bedroom_4,bedroom_1,living,living,bathroom,bathroom,bedroom_3,entry,kitchen,kitchen,entry,entry,entry,entry
6120,d04 Fri 06:00,kitchen,kitchen,bedroom_1,bedroom_2,bedroom_3,bedroom_4,bedroom_1,bedroom_2,bedroom_3,bedroom_4,entry,bedroom_2,bedroom_3,entry,bedroom_1,bedroom_2,bedroom_3,bedroom_4,bedroom_1,bedroom_2,living,bedroom_4,bedroom_1,bedroom_2,living,bedroom_4,living,bedroom_1,bedroom_2,bedroom_3,bedroom_4,bedroom_1,bedroom_2,bedroom_3,bedroom_4,bedroom_1,kitchen,kitchen,bedroom_4,bedroom_2,bedroom_3,bedroom_1,bedroom_4,kitchen,living,bedroom_2,bedroom_4,bedroom_1,living,living,bathroom,bathroom,bedroom_3,entry,kitchen,kitchen,entry,entry,entry,entry
6180,d04 Fri 07:00,kitchen,kitchen,bedroom_1,bedroom_2,bedroom_3,bedroom_4,bedroom_1,bedroom_2,bedroom_3,bedroom_4,entry,bedroom_2,bedroom_3,entry,bedroom_1,bedroom_2,bedroom_3,bedroom_4,bedroom_1,bedroom_2,living,bedroom_4,bedroom_1,bedroom_2,living,bedroom_4,living,bedroom_1,bedroom_2,bedroom_3,bedroom_4,bedroom_1,bedroom_2,bedroom_3,bedroom_4,bedroom_1,kitchen,kitchen,bedroom_4,bedroom_2,bedroom_3,bedroom_1,bedroom_4,kitchen,bedroom_4,bedroom_1,bedroom_4,bedroom_1,living,living,bathroom,bathroom,bedroom_3,entry,kitchen,kitchen,entry,entry,entry,entry
6240,d04 Fri 08:00,kitchen,kitchen,outside,bedroom_2,bedroom_3,outside,outside,bedroom_2,bedroom_3,outside,outside,bedroom_2,bedroom_3,outside,outside,bedroom_2,bedroom_3,outside,outside,bedroom_2,living,outside,outside,bedroom_2,living,outside,living,bedroom_1,bedroom_2,bedroom_3,outside,outside,bedroom_2,bedroom_3,outside,outside,kitchen,kitchen,outside,bedroom_2,bedroom_3,outside,outside,kitchen,outside,kitchen,bedroom_4,bedroom_1,living,living,bathroom,bathroom,bedroom_3,entry,outside,outside,outside,entry,entry,entry
6300,d04 Fri 09:00,kitchen,kitchen,outside,bedroom_2,bedroom_3,outside,outside,bedroom_2,bedroom_3,outside,outside,bedroom_2,bedroom_3,outside,outside,bedroom_2,bedroom_3,outside,outside,bedroom_2,living,outside,outside,bedroom_2,living,outside,living,bedroom_1,bedroom_2,bedroom_3,outside,outside,bedroom_2,bedroom_3,outside,outside,kitchen,kitchen,outside,bedroom_2,bedroom_3,outside,outside,kitchen,outside,kitchen,bedroom_4,bedroom_1,living,living,bathroom,bathroom,bedroom_3,entry,outside,outside,outside,entry,entry,entry
6360,d04 Fri 10:00,kitchen,kitchen,outside,bedroom_2,bedroom_3,outside,outside,bedroom_2,bedroom_3,outside,outside,bedroom_2,bedroom_3,outside,outside,bedroom_2,bedroom_3,outside,outside,bedroom_2,living,outside,outside,bedroom_2,living,outside,living,bedroom_1,bedroom_2,bedroom_3,outside,outside,bedroom_2,bedroom_3,outside,outside,kitchen,kitchen,outside,bedroom_2,bedroom_3,outside,outside,kitchen,outside,kitchen,bedroom_4,bedroom_1,living,living,bathroom,bathroom,bedroom_3,entry,outside,outside,outside,entry,entry,entry
6420,d04 Fri 11:00,kitchen,kitchen,outside,bedroom_2,bedroom_3,outside,outside,bedroom_2,bathroom,outside,outside,bedroom_2,bathroom,outside,outside,bedroom_2,bedroom_3,outside,outside,bedroom_2,living,outside,outside,bedroom_2,living,outside,living,bedroom_1,bedroom_2,bedroom_3,outside,outside,bedroom_2,bedroom_3,outside,outside,kitchen,kitchen,outside,bedroom_2,bedroom_3,outside,outside,kitchen,outside,bedroom_2,bedroom_4,bedroom_1,living,living,bathroom,bathroom,bedroom_3,entry,outside,outside,outside,entry,entry,entry
6480,d04 Fri 12:00,kitchen,kitchen,outside,outside,bedroom_3,outside,outside,outside,kitchen,outside,outside,outside,kitchen,outside,outside,outside,bedroom_3,outside,outside,outside,living,outside,outside,outside,living,outside,living,bedroom_1,outside,bedroom_3,outside,outside,outside,bedroom_3,outside,outside,outside,kitchen,outside,outside,bedroom_3,outside,outside,outside,outside,kitchen,bedroom_4,bedroom_1,living,living,bathroom,bathroom,bedroom_3,entry,outside,outside,outside,entry,entry,entry
6540,d04 Fri 13:00,kitchen,kitchen,bedroom_1,outside,outside,outside,bedroom_1,outside,outside,outside,entry,outside,outside,outside,bedroom_1,outside,outside,outside,bedroom_1,outside,outside,outside,bedroom_1,outside,outside,outside,living,bedroom_1,outside,outside,outside,bedroom_1,outside,outside,outside,bedroom_1,outside,outside,outside,outside,outside,bedroom_1,outside,outside,outside,bedroom_1,outside,bedroom_1,outside,living,bathroom,bathroom,bedroom_3,entry,kitchen,outside,outside,entry,entry,entry
6600,d04 Fri 14:00,kitchen,kitchen,bedroom_1,outside,outside,bedroom_4,bedroom_1,outside,outside,bedroom_4,entry,outside,outside,bedroom_4,bedroom_1,outside,outside,bedroom_4,bedroom_1,outside,outside,bedroom_4,bedroom_1,outside,outside,bedroom_4,living,bedroom_1,outside,outside,bedroom_4,bedroom_1,outside,outside,bedroom_4,bedroom_1,outside,outside,bedroom_4,outside,outside,bedroom_1,bedroom_4,outside,bedroom_4,bedroom_4,bedroom_4,bedroom_1,outside,living,bathroom,bathroom,bedroom_3,entry,kitchen,kitchen,entry,entry,entry,entry
6660,d04 Fri 15:00,kitchen,kitchen,bedroom_1,bedroom_2,outside,bedroom_4,bedroom_1,bedroom_2,outside,bedroom_4,entry,kitchen,outside,bedroom_4,bedroom_1,bedroom_2,outside,bedroom_4,bedroom_1,bedroom_2,outside,bedroom_4,bedroom_1,bedroom_2,outside,bedroom_4,living,bedroom_1,kitchen,outside,bedroom_4,bedroom_1,entry,outside,bedroom_4,bedroom_1,bedroom_2,outside,bedroom_4,bedroom_2,outside,bedroom_1,bedroom_4,bedroom_2,bedroom_4,bedroom_4,bedroom_4,bedroom_1,outside,living,bathroom,bathroom,bedroom_3,entry,kitchen,kitchen,entry,entry,entry,entry
6720,d04 Fri 16:00,kitchen,kitchen,bedroom_1,bedroom_2,bedroom_3,outside,bedroom_1,bedroom_2,living,outside,entry,entry,entry,outside,bedroom_1,bedroom_2,bedroom_3,outside,bedroom_1,bedroom_2,bedroom_3,outside,bedroom_1,bedroom_2,bedroom_3,outside,living,bedroom_1,kitchen,bedroom_3,outside,bedroom_1,entry,bedroom_3,outside,bedroom_1,kitchen,living,outside,bedroom_2,bedroom_3,bedroom_1,outside,bedroom_2,outside,kitchen,living,bedroom_1,bedroom_3,living,bathroom,bathroom,bedroom_3,entry,kitchen,outside,outside,entry,entry,entry
6780,d04 Fri 17:00,kitchen,kitchen,bedroom_1,bedroom_2,bedroom_3,bedroom_4,bedroom_1,bedroom_2,living,bedroom_4,entry,entry,entry,entry,bedroom_1,kitchen,bedroom_3,bedroom_4,bedroom_1,bedroom_2,bedroom_3,bedroom_4,bedroom_1,bedroom_2,bedroom_3,bedroom_4,living,bedroom_1,kitchen,bedroom_3,bedroom_4,bedroom_1,kitchen,bedroom_3,bedroom_4,bedroom_1,kitchen,living,bedroom_4,bedroom_2,bedroom_3,bedroom_1,bedroom_4,bedroom_2,bedroom_4,bedroom_2,bedroom_4,bedroom_1,bedroom_3,living,bathroom,bathroom,bedroom_3,entry,kitchen,kitchen,entry,entry,entry,entry
6840,d04 Fri 18:00,kitchen,kitchen,bedroom_1,bedroom_2,bedroom_3,bedroom_4,bedroom_1,bedroom_2,living,bedroom_4,entry,entry,entry,entry,bedroom_1,kitchen,bedroom_3,bedroom_4,bedroom_1,bedroom_2,bedroom_3,bedroom_4,bedroom_1,bedroom_2,bedroom_3,bedroom_4,living,bedroom_1,kitchen,bedroom_3,bedroom_4,bedroom_1,kitchen,bedroom_3,bedroom_4,bedroom_1,kitchen,living,bedroom_4,bedroom_2,bedroom_3,bedroom_1,bedroom_4,bedroom_2,bedroom_4,bedroom_2,bedroom_4,bedroom_1,bedroom_3,living,bathroom,bathroom,living,entry,kitchen,kitchen,entry,entry,entry,entry
6900,d04 Fri 19:00,kitchen,kitchen,kitchen,bedroom_2,outside,bedroom_4,kitchen,bedroom_2,outside,bedroom_4,entry,kitchen,outside,entry,kitchen,bedroom_2,outside,bedroom_4,bedroom_1,bedroom_2,outside,living,bedroom_1,bedroom_2,outside,bedroom_4,living,bedroom_1,kitchen,outside,bedroom_4,bedroom_1,entry,outside,bedroom_4,kitchen,bedroom_2,outside,bedroom_4,bedroom_2,outside,kitchen,bedroom_4,bedroom_2,living,bedroom_2,kitchen,bedroom_1,outside,living,bathroom,bathroom,bedroom_3,entry,kitchen,kitchen,entry,entry,entry,entry
6960,d04 Fri 20:00,kitchen,kitchen,bedroom_1,outside,outside,outside,bedroom_1,outside,outside,outside,entry,outside,kitchen,outside,bedroom_1,outside,outside,outside,bedroom_1,kitchen,outside,outside,bedroom_1,outside,outside,outside,living,bedroom_1,outside,outside,outside,bedroom_1,outside,outside,outside,bedroom_1,outside,outside,outside,outside,outside,bedroom_1,outside,outside,outside,bedroom_2,bedroom_1,bedroom_1,outside,living,bathroom,bathroom,bedroom_3,entry,kitchen,outside,outside,entry,entry,entry
7020,d04 Fri 21:00,kitchen,kitchen,bedroom_1,outside,outside,outside,bedroom_1,outside,outside,outside,entry,outside,kitchen,outside,bedroom_1,outside,outside,outside,bedroom_1,kitchen,outside,outside,bedroom_1,outside,outside,outside,living,bedroom_1,outside,outside,outside,bedroom_1,outside,outside,outside,bedroom_1,outside,outside,outside,outside,outside,bedroom_1,outside,outside,outside,bedroom_2,bedroom_1,bedroom_1,outside,living,bathroom,bathroom,bedroom_3,entry,kitchen,outside,outside,entry,entry,entry
7080,d04 Fri 22:00,kitchen,kitchen,bedroom_1,outside,outside,outside,bedroom_1,outside,outside,outside,entry,outside,kitchen,outside,bedroom_1,outside,outside,outside,bedroom_1,kitchen,outside,outside,bedroom_1,outside,outside,outside,living,bedroom_1,outside,outside,outside,bedroom_1,outside,outside,outside,bedroom_1,outside,outside,outside,outside,outside,bedroom_1,outside,outside,outside,bedroom_2,bedroom_4,bedroom_1,outside,kitchen,bathroom,bathroom,bedroom_3,entry,kitchen,outside,outside,entry,entry,entry
7140,d04 Fri 23:00,kitchen,kitchen,bedroom_1,bedroom_2,bedroom_3,bedroom_4,bedroom_1,bedroom_2,bedroom_3,bedroom_4,entry,entry,entry,entry,bedroom_1,bedroom_2,bedroom_3,bedroom_4,bedroom_1,kitchen,bedroom_3,bedroom_4,bedroom_1,bedroom_2,bedroom_3,bedroom_4,living,bedroom_1,bedroom_2,bedroom_3,bedroom_4,bedroom_1,entry,bedroom_3,bedroom_4,bedroom_1,kitchen,living,bedroom_4,bedroom_2,bedroom_3,bedroom_1,bedroom_4,bedroom_2,bedroom_4,bedroom_2,bedroom_4,bedroom_1,bedroom_3,kitchen,bathroom,bathroom,bedroom_3,entry,kitchen,kitchen,entry,entry,entry,entry
7200,d05 Sat 00:00,kitchen,kitchen,bedroom_1,bedroom_2,bedroom_3,bedroom_4,bedroom_1,bedroom_2,bedroom_3,bedroom_4,entry,entry,entry,entry,bedroom_1,bedroom_2,bedroom_3,bedroom_4,bedroom_1,kitchen,bedroom_3,bedroom_4,bedroom_1,bedroom_2,bedroom_3,bedroom_4,living,bedroom_1,bedroom_2,bedroom_3,bedroom_4,bedroom_1,entry,bedroom_3,bedroom_4,bedroom_1,kitchen,living,bedroom_4,bedroom_2,bedroom_3,bedroom_1,bedroom_4,bedroom_2,bedroom_4,bedroom_2,bedroom_4,bedroom_1,bedroom_3,kitchen,bathroom,bathroom,bedroom_3,entry,kitchen,kitchen,entry,entry,entry,entry
7260,d05 Sat 01:00,kitchen,kitchen,bedroom_1,bedroom_2,bedroom_3,bedroom_4,bedroom_1,bedroom_2,bedroom_3,bedroom_4,entry,entry,entry,entry,bedroom_1,bedroom_2,bedroom_3,bedroom_4,bedroom_1,kitchen,bedroom_3,bedroom_4,bedroom_1,bedroom_2,bedroom_3,bedroom_4,living,bedroom_1,bedroom_2,bedroom_3,bedroom_4,bedroom_1,entry,bedroom_3,bedroom_4,bedroom_1,kitchen,living,bedroom_4,bedroom_2,bedroom_3,bedroom_1,bedroom_4,bedroom_2,bedroom_4,bedroom_2,bedroom_4,bedroom_1,bedroom_3,kitchen,bathroom,bathroom,bedroom_3,entry,kitchen,kitchen,entry,entry,entry,entry
7320,d05 Sat 02:00,kitchen,kitchen,bedroom_1,bedroom_2,bedroom_3,bedroom_4,bedroom_1,bedroom_2,bedroom_3,bedroom_4,entry,entry,entry,entry,bedroom_1,bedroom_2,bedroom_3,bedroom_4,bedroom_1,kitchen,bedroom_3,bedroom_4,bedroom_1,bedroom_2,bedroom_3,bedroom_4,living,bedroom_1,bedroom_2,bedroom_3,bedroom_4,bedroom_1,entry,bedroom_3,bedroom_4,bedroom_1,kitchen,living,bedroom_4,bedroom_2,bedroom_3,bedroom_1,bedroom_4,bedroom_2,bedroom_4,bedroom_2,bedroom_4,bedroom_1,bedroom_3,kitchen,bathroom,bathroom,bedroom_3,entry,kitchen,kitchen,entry,entry,entry,entry
7380,d05 Sat 03:00,kitchen,kitchen,bedroom_1,bedroom_2,bedroom_3,bedroom_4,bedroom_1,bedroom_2,bedroom_3,bedroom_4,entry,entry,entry,entry,bedroom_1,bedroom_2,bedroom_3,bedroom_4,bedroom_1,kitchen,bedroom_3,bedroom_4,bedroom_1,bedroom_2,bedroom_3,bedroom_4,living,bedroom_1,bedroom_2,bedroom_3,bedroom_4,bedroom_1,entry,bedroom_3,bedroom_4,bedroom_1,kitchen,living,bedroom_4,bedroom_2,bedroom_3,bedroom_1,bedroom_4,bedroom_2,bedroom_4,bedroom_2,bedroom_4,bedroom_1,bedroom_3,kitchen,bathroom,bathroom,bedroom_3,entry,kitchen,kitchen,entry,entry,entry,entry
7440,d05 Sat 04:00,kitchen,kitchen,bedroom_1,bedroom_2,bedroom_3,bedroom_4,bedroom_1,bedroom_2,bedroom_3,bedroom_4,entry,entry,entry,entry,bedroom_1,bedroom_2,bedroom_3,bedroom_4,bedroom_1,kitchen,bedroom_3,bedroom_4,bedroom_1,bedroom_2,bedroom_3,bedroom_4,living,bedroom_1,bedroom_2,bedroom_3,bedroom_4,bedroom_1,entry,bedroom_3,bedroom_4,bedroom_1,kitchen,living,bedroom_4,bedroom_2,bedroom_3,bedroom_1,bedroom_4,bedroom_2,bedroom_4,bedroom_2,bedroom_4,bedroom_1,bedroom_3,kitchen,bathroom,bathroom,bedroom_3,entry,kitchen,kitchen,entry,entry,entry,entry
7500,d05 Sat 05:00,kitchen,kitchen,bedroom_1,bedroom_2,bedroom_3,bedroom_4,bedroom_1,bedroom_2,bedroom_3,bedroom_4,entry,entry,entry,entry,bedroom_1,bedroom_2,bedroom_3,bedroom_4,bedroom_1,kitchen,bedroom_3,bedroom_4,bedroom_1,bedroom_2,bedroom_3,bedroom_4,living,bedroom_1,bedroom_2,bedroom_3,bedroom_4,bedroom_1,entry,bedroom_3,bedroom_4,bedroom_1,kitchen,living,bedroom_4,bedroom_2,bedroom_3,bedroom_1,bedroom_4,bedroom_2,bedroom_4,bedroom_2,bedroom_4,bedroom_1,bedroom_3,kitchen,bathroom,bathroom,bedroom_3,entry,kitchen,kitchen,entry,entry,entry,entry
7560,d05 Sat 06:00,kitchen,kitchen,bedroom_1,bedroom_2,bedroom_3,bedroom_4,bedroom_1,bedroom_2,bedroom_3,bedroom_4,entry,entry,entry,entry,bedroom_1,bedroom_2,bedroom_3,bedroom_4,bedroom_1,kitchen,bedroom_3,bedroom_4,bedroom_1,bedroom_2,bedroom_3,bedroom_4,living,bedroom_1,bedroom_2,bedroom_3,bedroom_4,bedroom_1,entry,bedroom_3,bedroom_4,bedroom_1,kitchen,living,bedroom_4,bedroom_2,bedroom_3,bedroom_1,bedroom_4,bedroom_2,bedroom_4,bedroom_2,bedroom_4,bedroom_1,bedroom_3,kitchen,bathroom,bathroom,bedroom_3,entry,kitchen,kitchen,entry,entry,entry,entry
