t,stamp,laptop_arthur,phone_arthur,keys_arthur,glasses_arthur,water_bottle_arthur,tablet_elena,phone_elena,keys_elena,makeup_kit_elena,notebook_elena,pen_elena,toy_leo,blanket_leo,water_bottle_leo,plate_shared,bowl_shared,mug_arthur,mug_elena,remote_shared,laundry_basket_shared
4920,d03 Thu 10:00,desk_b1,nightstand_b1,entry_table_e1,kitchen_table_k1,counter_k1,kitchen_table_k1,couch_l1,kitchen_table_k1,bathroom_shelf_ba1,couch_l1,desk_b1,couch_l1,couch_l1,counter_k1,dish_rack_k1,cupboard_k1,counter_k1,counter_k1,coffee_table_l1,entry_floor_e1
4980,d03 Thu 11:00,desk_b1,nightstand_b1,entry_table_e1,kitchen_table_k1,counter_k1,kitchen_table_k1,kitchen_table_k1,entry_table_e1,bathroom_shelf_ba1,couch_l1,desk_b1,couch_l1,couch_l1,counter_k1,cupboard_k1,cupboard_k1,counter_k1,counter_k1,coffee_table_l1,entry_floor_e1
5040,d03 Thu 12:00,desk_b1,counter_k1,entry_table_e1,kitchen_table_k1,counter_k1,couch_l1,kitchen_table_k1,couch_l1,bathroom_shelf_ba1,kitchen_table_k1,couch_l1,couch_l1,couch_l1,couch_l1,cupboard_k1,couch_l1,desk_b1,kitchen_table_k1,couch_l1,entry_floor_e1
5100,d03 Thu 13:00,desk_b1,nightstand_b1,entry_table_e1,couch_l1,couch_l1,couch_l1,couch_l1,couch_l1,bathroom_shelf_ba1,couch_l1,couch_l1,couch_l1,bed_b2,counter_k1,cupboard_k1,counter_k1,couch_l1,couch_l1,counter_k1,entry_floor_e1
5160,d03 Thu 14:00,desk_b1,nightstand_b1,entry_table_e1,desk_b1,couch_l1,couch_l1,kitchen_table_k1,entry_table_e1,bathroom_shelf_ba1,kitchen_table_k1,couch_l1,couch_l1,bed_b2,counter_k1,cupboard_k1,counter_k1,couch_l1,couch_l1,counter_k1,entry_floor_e1
5220,d03 Thu 15:00,desk_b1,nightstand_b1,entry_table_e1,desk_b1,couch_l1,couch_l1,kitchen_table_k1,entry_table_e1,bathroom_shelf_ba1,armchair_l1,couch_l1,couch_l1,bed_b2,counter_k1,cupboard_k1,counter_k1,couch_l1,couch_l1,counter_k1,entry_floor_e1
5280,d03 Thu 16:00,desk_b1,nightstand_b1,entry_table_e1,desk_b1,couch_l1,couch_l1,kitchen_table_k1,entry_table_e1,bathroom_shelf_ba1,armchair_l1,couch_l1,couch_l1,bed_b2,counter_k1,cupboard_k1,counter_k1,couch_l1,couch_l1,counter_k1,entry_floor_e1
5340,d03 Thu 17:00,desk_b1,nightstand_b1,entry_table_e1,desk_b1,couch_l1,couch_l1,kitchen_table_k1,entry_table_e1,bathroom_shelf_ba1,kitchen_table_k1,coffee_table_l1,couch_l1,couch_l1,coffee_table_l1,cupboard_k1,counter_k1,couch_l1,couch_l1,coffee_table_l1,entry_floor_e1
5400,d03 Thu 18:00,desk_b1,nightstand_b1,entry_table_e1,desk_b1,coffee_table_l1,coffee_table_l1,kitchen_table_k1,entry_table_e1,bathroom_shelf_ba1,kitchen_table_k1,coffee_table_l1,couch_l1,couch_l1,coffee_table_l1,cupboard_k1,sink_k1,coffee_table_l1,couch_l1,coffee_table_l1,entry_floor_e1
5460,d03 Thu 19:00,bed_b1,desk_b1,kitchen_table_k1,kitchen_table_k1,counter_k1,couch_l1,kitchen_table_k1,entry_table_e1,bathroom_shelf_ba1,kitchen_table_k1,couch_l1,couch_l1,couch_l1,kitchen_table_k1,kitchen_table_k1,cupboard_k1,counter_k1,couch_l1,coffee_table_l1,entry_floor_e1
5520,d03 Thu 20:00,bed_b1,couch_l1,entry_table_e1,desk_b1,counter_k1,couch_l1,couch_l1,entry_table_e1,nightstand_b1,couch_l1,coffee_table_l1,counter_k1,couch_l1,counter_k1,dish_rack_k1,cupboard_k1,counter_k1,couch_l1,couch_l1,entry_floor_e1
5580,d03 Thu 21:00,bed_b1,couch_l1,entry_table_e1,desk_b1,counter_k1,couch_l1,couch_l1,entry_table_e1,nightstand_b1,couch_l1,coffee_table_l1,counter_k1,couch_l1,counter_k1,dish_rack_k1,cupboard_k1,counter_k1,couch_l1,couch_l1,entry_floor_e1
5640,d03 Thu 22:00,bed_b1,couch_l1,entry_table_e1,desk_b1,counter_k1,couch_l1,couch_l1,entry_table_e1,nightstand_b1,couch_l1,coffee_table_l1,counter_k1,couch_l1,counter_k1,dish_rack_k1,cupboard_k1,counter_k1,couch_l1,couch_l1,entry_floor_e1
5700,d03 Thu 23:00,bed_b1,armchair_l1,entry_table_e1,armchair_l1,counter_k1,couch_l1,couch_l1,entry_table_e1,bed_b1,couch_l1,coffee_table_l1,counter_k1,couch_l1,counter_k1,dish_rack_k1,cupboard_k1,counter_k1,couch_l1,armchair_l1,entry_floor_e1
5760,d04 Fri 00:00,bed_b1,armchair_l1,entry_table_e1,armchair_l1,counter_k1,couch_l1,couch_l1,entry_table_e1,nightstand_b1,couch_l1,coffee_table_l1,counter_k1,couch_l1,counter_k1,dish_rack_k1,cupboard_k1,counter_k1,couch_l1,armchair_l1,entry_floor_e1
5820,d04 Fri 01:00,bed_b1,armchair_l1,entry_table_e1,armchair_l1,counter_k1,couch_l1,couch_l1,entry_table_e1,nightstand_b1,couch_l1,coffee_table_l1,counter_k1,couch_l1,counter_k1,dish_rack_k1,cupboard_k1,counter_k1,couch_l1,armchair_l1,entry_floor_e1
5880,d04 Fri 02:00,bed_b1,armchair_l1,entry_table_e1,armchair_l1,counter_k1,couch_l1,couch_l1,entry_table_e1,nightstand_b1,couch_l1,coffee_table_l1,counter_k1,couch_l1,counter_k1,dish_rack_k1,cupboard_k1,counter_k1,couch_l1,armchair_l1,entry_floor_e1
5940,d04 Fri 03:00,bed_b1,armchair_l1,entry_table_e1,armchair_l1,counter_k1,couch_l1,couch_l1,entry_table_e1,nightstand_b1,couch_l1,coffee_table_l1,counter_k1,couch_l1,counter_k1,dish_rack_k1,cupboard_k1,counter_k1,couch_l1,armchair_l1,entry_floor_e1
6000,d04 Fri 04:00,bed_b1,armchair_l1,entry_table_e1,armchair_l1,counter_k1,couch_l1,couch_l1,entry_table_e1,nightstand_b1,couch_l1,coffee_table_l1,counter_k1,couch_l1,counter_k1,dish_rack_k1,cupboard_k1,counter_k1,couch_l1,armchair_l1,entry_floor_e1
6060,d04 Fri 05:00,bed_b1,armchair_l1,entry_table_e1,armchair_l1,counter_k1,couch_l1,couch_l1,entry_table_e1,nightstand_b1,couch_l1,coffee_table_l1,counter_k1,couch_l1,counter_k1,dish_rack_k1,cupboard_k1,counter_k1,couch_l1,armchair_l1,entry_floor_e1
6120,d04 Fri 06:00,bed_b1,armchair_l1,entry_table_e1,armchair_l1,counter_k1,couch_l1,couch_l1,entry_table_e1,nightstand_b1,couch_l1,coffee_table_l1,counter_k1,couch_l1,counter_k1,dish_rack_k1,cupboard_k1,counter_k1,couch_l1,armchair_l1,entry_floor_e1
6180,d04 Fri 07:00,desk_b1,nightstand_b1,entry_table_e1,desk_b1,counter_k1,couch_l1,kitchen_table_k1,entry_table_e1,bathroom_shelf_ba1,kitchen_table_k1,kitchen_table_k1,couch_l1,bed_b2,counter_k1,cupboard_k1,cupboard_k1,counter_k1,kitchen_table_k1,coffee_table_l1,entry_floor_e1
6240,d04 Fri 08:00,desk_b1,kitchen_table_k1,desk_b1,desk_b1,counter_k1,kitchen_table_k1,kitchen_table_k1,entry_table_e1,bathroom_shelf_ba1,kitchen_table_k1,kitchen_table_k1,couch_l1,couch_l1,counter_k1,cupboard_k1,cupboard_k1,counter_k1,counter_k1,coffee_table_l1,entry_floor_e1
6300,d04 Fri 09:00,desk_b1,nightstand_b1,entry_table_e1,desk_b1,couch_l1,couch_l1,kitchen_table_k1,couch_l1,bathroom_shelf_ba1,kitchen_table_k1,couch_l1,couch_l1,bed_b2,couch_l1,dish_rack_k1,cupboard_k1,couch_l1,kitchen_table_k1,couch_l1,entry_floor_e1
6360,d04 Fri 10:00,desk_b1,nightstand_b1,entry_table_e1,desk_b1,couch_l1,couch_l1,kitchen_table_k1,couch_l1,bathroom_shelf_ba1,kitchen_table_k1,couch_l1,couch_l1,bed_b2,couch_l1,dish_rack_k1,cupboard_k1,couch_l1,kitchen_table_k1,couch_l1,entry_floor_e1
6420,d04 Fri 11:00,desk_b1,nightstand_b1,entry_table_e1,desk_b1,couch_l1,couch_l1,kitchen_table_k1,couch_l1,bathroom_shelf_ba1,kitchen_table_k1,couch_l1,couch_l1,bed_b2,couch_l1,dish_rack_k1,cupboard_k1,couch_l1,kitchen_table_k1,couch_l1,entry_floor_e1
6480,d04 Fri 12:00,desk_b1,nightstand_b1,entry_table_e1,desk_b1,couch_l1,couch_l1,kitchen_table_k1,couch_l1,bathroom_shelf_ba1,kitchen_table_k1,couch_l1,couch_l1,bed_b2,couch_l1,dish_rack_k1,cupboard_k1,couch_l1,kitchen_table_k1,couch_l1,entry_floor_e1
6540,d04 Fri 13:00,desk_b1,nightstand_b1,entry_table_e1,kitchen_table_k1,counter_k1,couch_l1,couch_l1,entry_table_e1,bathroom_shelf_ba1,couch_l1,couch_l1,couch_l1,bed_b2,couch_l1,dish_rack_k1,couch_l1,kitchen_table_k1,kitchen_table_k1,couch_l1,entry_floor_e1
6600,d04 Fri 14:00,desk_b1,nightstand_b1,entry_table_e1,kitchen_table_k1,counter_k1,couch_l1,couch_l1,entry_table_e1,bathroom_shelf_ba1,couch_l1,kitchen_table_k1,couch_l1,bed_b2,counter_k1,dish_rack_k1,couch_l1,couch_l1,kitchen_table_k1,couch_l1,entry_floor_e1
6660,d04 Fri 15:00,desk_b1,nightstand_b1,entry_table_e1,kitchen_table_k1,counter_k1,couch_l1,couch_l1,entry_table_e1,bathroom_shelf_ba1,couch_l1,kitchen_table_k1,sink_k1,bed_b2,counter_k1,dish_rack_k1,couch_l1,couch_l1,kitchen_table_k1,couch_l1,entry_floor_e1
6720,d04 Fri 16:00,desk_b1,nightstand_b1,entry_table_e1,desk_b1,counter_k1,couch_l1,couch_l1,couch_l1,bathroom_shelf_ba1,couch_l1,couch_l1,couch_l1,bed_b2,counter_k1,dish_rack_k1,couch_l1,couch_l1,couch_l1,couch_l1,entry_floor_e1
6780,d04 Fri 17:00,desk_b1,nightstand_b1,entry_table_e1,desk_b1,counter_k1,couch_l1,counter_k1,entry_table_e1,bathroom_shelf_ba1,couch_l1,kitchen_table_k1,couch_l1,bed_b2,counter_k1,dish_rack_k1,cupboard_k1,couch_l1,kitchen_table_k1,coffee_table_l1,entry_floor_e1
6840,d04 Fri 18:00,bed_b1,kitchen_table_k1,kitchen_table_k1,desk_b1,desk_b1,couch_l1,kitchen_table_k1,entry_table_e1,bathroom_shelf_ba1,kitchen_table_k1,kitchen_table_k1,couch_l1,bed_b2,counter_k1,dish_rack_k1,cupboard_k1,counter_k1,counter_k1,coffee_table_l1,entry_floor_e1
6900,d04 Fri 19:00,desk_b1,nightstand_b1,entry_table_e1,desk_b1,counter_k1,couch_l1,kitchen_table_k1,entry_table_e1,bathroom_shelf_ba1,kitchen_table_k1,kitchen_table_k1,couch_l1,bed_b2,counter_k1,cupboard_k1,cupboard_k1,counter_k1,kitchen_table_k1,coffee_table_l1,entry_floor_e1
6960,d04 Fri 20:00,desk_b1,nightstand_b1,entry_table_e1,desk_b1,counter_k1,couch_l1,kitchen_table_k1,entry_table_e1,bathroom_shelf_ba1,kitchen_table_k1,kitchen_table_k1,counter_k1,bed_b2,counter_k1,sink_k1,cupboard_k1,counter_k1,kitchen_table_k1,coffee_table_l1,entry_floor_e1
7020,d04 Fri 21:00,desk_b1,armchair_l1,entry_table_e1,desk_b1,counter_k1,couch_l1,kitchen_table_k1,entry_table_e1,bathroom_shelf_ba1,kitchen_table_k1,kitchen_table_k1,counter_k1,bed_b2,counter_k1,sink_k1,cupboard_k1,counter_k1,kitchen_table_k1,coffee_table_l1,entry_floor_e1
7080,d04 Fri 22:00,desk_b1,armchair_l1,entry_table_e1,desk_b1,counter_k1,couch_l1,kitchen_table_k1,entry_table_e1,bed_b1,kitchen_table_k1,kitchen_table_k1,counter_k1,bed_b2,counter_k1,sink_k1,cupboard_k1,counter_k1,kitchen_table_k1,coffee_table_l1,entry_floor_e1
7140,d04 Fri 23:00,desk_b1,armchair_l1,counter_k1,desk_b1,counter_k1,couch_l1,kitchen_table_k1,entry_table_e1,bed_b1,kitchen_table_k1,kitchen_table_k1,counter_k1,bed_b2,counter_k1,sink_k1,cupboard_k1,counter_k1,kitchen_table_k1,coffee_table_l1,entry_floor_e1
7200,d05 Sat 00:00,desk_b1,armchair_l1,counter_k1,desk_b1,counter_k1,couch_l1,kitchen_table_k1,entry_table_e1,bed_b1,kitchen_table_k1,kitchen_table_k1,counter_k1,bed_b2,counter_k1,sink_k1,cupboard_k1,counter_k1,kitchen_table_k1,coffee_table_l1,entry_floor_e1
7260,d05 Sat 01:00,desk_b1,armchair_l1,counter_k1,desk_b1,counter_k1,couch_l1,kitchen_table_k1,entry_table_e1,bed_b1,kitchen_table_k1,kitchen_table_k1,counter_k1,bed_b2,counter_k1,sink_k1,cupboard_k1,counter_k1,kitchen_table_k1,coffee_table_l1,entry_floor_e1
7320,d05 Sat 02:00,desk_b1,armchair_l1,counter_k1,desk_b1,counter_k1,couch_l1,kitchen_table_k1,entry_table_e1,bed_b1,kitchen_table_k1,kitchen_table_k1,counter_k1,bed_b2,counter_k1,sink_k1,cupboard_k1,counter_k1,kitchen_table_k1,coffee_table_l1,entry_floor_e1
7380,d05 Sat 03:00,desk_b1,armchair_l1,counter_k1,desk_b1,counter_k1,couch_l1,kitchen_table_k1,entry_table_e1,bed_b1,kitchen_table_k1,kitchen_table_k1,counter_k1,bed_b2,counter_k1,sink_k1,cupboard_k1,counter_k1,kitchen_table_k1,coffee_table_l1,entry_floor_e1
7440,d05 Sat 04:00,desk_b1,armchair_l1,counter_k1,desk_b1,counter_k1,couch_l1,kitchen_table_k1,entry_table_e1,bed_b1,kitchen_table_k1,kitchen_table_k1,counter_k1,bed_b2,counter_k1,sink_k1,cupboard_k1,counter_k1,kitchen_table_k1,coffee_table_l1,entry_floor_e1
7500,d05 Sat 05:00,desk_b1,armchair_l1,counter_k1,desk_b1,counter_k1,couch_l1,kitchen_table_k1,entry_table_e1,bed_b1,kitchen_table_k1,kitchen_table_k1,counter_k1,bed_b2,counter_k1,sink_k1,cupboard_k1,counter_k1,kitchen_table_k1,coffee_table_l1,entry_floor_e1
7560,d05 Sat 06:00,desk_b1,armchair_l1,counter_k1,desk_b1,counter_k1,couch_l1,kitchen_table_k1,entry_table_e1,bed_b1,kitchen_table_k1,kitchen_table_k1,counter_k1,bed_b2,counter_k1,kitchen_table_k1,kitchen_table_k1,counter_k1,kitchen_table_k1,coffee_table_l1,entry_floor_e1
7620,d05 Sat 07:00,desk_b1,nightstand_b1,entry_table_e1,desk_b1,counter_k1,couch_l1,kitchen_table_k1,entry_table_e1,nightstand_b1,kitchen_table_k1,kitchen_table_k1,counter_k1,bed_b2,counter_k1,cupboard_k1,kitchen_table_k1,counter_k1,kitchen_table_k1,coffee_table_l1,entry_floor_e1
7680,d05 Sat 08:00,desk_b1,nightstand_b1,entry_table_e1,desk_b1,counter_k1,couch_l1,kitchen_table_k1,entry_table_e1,bathroom_shelf_ba1,kitchen_table_k1,kitchen_table_k1,couch_l1,bed_b2,counter_k1,cupboard_k1,cupboard_k1,counter_k1,kitchen_table_k1,coffee_table_l1,entry_floor_e1
7740,d05 Sat 09:00,desk_b1,nightstand_b1,entry_table_e1,desk_b1,counter_k1,couch_l1,kitchen_table_k1,entry_table_e1,bathroom_shelf_ba1,kitchen_table_k1,kitchen_table_k1,couch_l1,bed_b2,counter_k1,cupboard_k1,sink_k1,counter_k1,kitchen_table_k1,coffee_table_l1,entry_floor_e1
7800,d05 Sat 10:00,desk_b1,nightstand_b1,entry_table_e1,desk_b1,counter_k1,couch_l1,kitchen_table_k1,entry_table_e1,bathroom_shelf_ba1,kitchen_table_k1,couch_l1,couch_l1,couch_l1,counter_k1,dish_rack_k1,sink_k1,couch_l1,couch_l1,couch_l1,entry_floor_e1
7860,d05 Sat 11:00,desk_b1,nightstand_b1,entry_table_e1,desk_b1,counter_k1,couch_l1,kitchen_table_k1,entry_table_e1,bathroom_shelf_ba1,kitchen_table_k1,couch_l1,couch_l1,couch_l1,counter_k1,dish_rack_k1,cupboard_k1,couch_l1,couch_l1,couch_l1,entry_floor_e1
7920,d05 Sat 12:00,desk_b1,nightstand_b1,entry_table_e1,desk_b1,counter_k1,couch_l1,kitchen_table_k1,entry_table_e1,bathroom_shelf_ba1,kitchen_table_k1,couch_l1,couch_l1,couch_l1,counter_k1,dish_rack_k1,cupboard_k1,couch_l1,couch_l1,couch_l1,entry_floor_e1
7980,d05 Sat 13:00,desk_b1,nightstand_b1,entry_table_e1,desk_b1,counter_k1,couch_l1,kitchen_table_k1,entry_table_e1,bathroom_shelf_ba1,kitchen_table_k1,couch_l1,couch_l1,couch_l1,counter_k1,dish_rack_k1,cupboard_k1,couch_l1,couch_l1,couch_l1,entry_floor_e1
8040,d05 Sat 14:00,desk_b1,nightstand_b1,entry_table_e1,desk_b1,couch_l1,couch_l1,kitchen_table_k1,entry_table_e1,bathroom_shelf_ba1,kitchen_table_k1,couch_l1,couch_l1,bed_b2,counter_k1,dish_rack_k1,couch_l1,counter_k1,couch_l1,coffee_table_l1,entry_floor_e1
8100,d05 Sat 15:00,desk_b1,nightstand_b1,entry_table_e1,desk_b1,couch_l1,couch_l1,kitchen_table_k1,entry_table_e1,bathroom_shelf_ba1,kitchen_table_k1,couch_l1,couch_l1,bed_b2,counter_k1,dish_rack_k1,couch_l1,counter_k1,couch_l1,coffee_table_l1,entry_floor_e1
8160,d05 Sat 16:00,desk_b1,nightstand_b1,entry_table_e1,desk_b1,couch_l1,couch_l1,kitchen_table_k1,entry_table_e1,bathroom_shelf_ba1,kitchen_table_k1,couch_l1,couch_l1,bed_b2,counter_k1,dish_rack_k1,couch_l1,counter_k1,couch_l1,coffee_table_l1,entry_table_e1
8220,d05 Sat 17:00,desk_b1,nightstand_b1,entry_table_e1,desk_b1,couch_l1,couch_l1,kitchen_table_k1,entry_table_e1,bathroom_shelf_ba1,kitchen_table_k1,couch_l1,couch_l1,bed_b2,counter_k1,dish_rack_k1,couch_l1,counter_k1,couch_l1,coffee_table_l1,entry_table_e1
8280,d05 Sat 18:00,desk_b1,nightstand_b1,entry_table_e1,desk_b1,couch_l1,couch_l1,kitchen_table_k1,entry_table_e1,bathroom_shelf_ba1,kitchen_table_k1,coffee_table_l1,counter_k1,couch_l1,counter_k1,dish_rack_k1,couch_l1,coffee_table_l1,coffee_table_l1,coffee_table_l1,entry_table_e1
8340,d05 Sat 19:00,desk_b1,nightstand_b1,entry_table_e1,desk_b1,counter_k1,couch_l1,kitchen_table_k1,bookshelf_l1,bathroom_shelf_ba1,kitchen_table_k1,kitchen_table_k1,couch_l1,bed_b2,counter_k1,cupboard_k1,cupboard_k1,counter_k1,kitchen_table_k1,coffee_table_l1,entry_floor_e1
8400,d05 Sat 20:00,desk_b1,nightstand_b1,entry_table_e1,desk_b1,counter_k1,couch_l1,kitchen_table_k1,bookshelf_l1,bathroom_shelf_ba1,kitchen_table_k1,kitchen_table_k1,counter_k1,bed_b2,counter_k1,kitchen_table_k1,cupboard_k1,counter_k1,kitchen_table_k1,coffee_table_l1,entry_floor_e1
8460,d05 Sat 21:00,desk_b1,couch_l1,entry_table_e1,couch_l1,counter_k1,couch_l1,kitchen_table_k1,bookshelf_l1,bathroom_shelf_ba1,couch_l1,kitchen_table_k1,counter_k1,bed_b2,counter_k1,kitchen_table_k1,cupboard_k1,counter_k1,kitchen_table_k1,coffee_table_l1,entry_floor_e1
8520,d05 Sat 22:00,desk_b1,couch_l1,entry_table_e1,couch_l1,counter_k1,couch_l1,armchair_l1,bookshelf_l1,nightstand_b1,kitchen_table_k1,kitchen_table_k1,couch_l1,bed_b2,counter_k1,kitchen_table_k1,cupboard_k1,counter_k1,kitchen_table_k1,couch_l1,entry_floor_e1
8580,d05 Sat 23:00,desk_b1,armchair_l1,entry_table_e1,couch_l1,counter_k1,couch_l1,armchair_l1,bookshelf_l1,bed_b1,coffee_table_l1,kitchen_table_k1,couch_l1,bed_b2,counter_k1,kitchen_table_k1,cupboard_k1,counter_k1,kitchen_table_k1,couch_l1,entry_floor_e1
8640,d06 Sun 00:00,desk_b1,coffee_table_l1,entry_table_e1,armchair_l1,counter_k1,couch_l1,couch_l1,bookshelf_l1,bed_b1,coffee_table_l1,kitchen_table_k1,couch_l1,bed_b2,counter_k1,kitchen_table_k1,cupboard_k1,counter_k1,kitchen_table_k1,armchair_l1,entry_floor_e1
8700,d06 Sun 01:00,desk_b1,coffee_table_l1,entry_table_e1,armchair_l1,counter_k1,couch_l1,couch_l1,bookshelf_l1,bed_b1,coffee_table_l1,kitchen_table_k1,couch_l1,bed_b2,counter_k1,kitchen_table_k1,cupboard_k1,counter_k1,kitchen_table_k1,armchair_l1,entry_floor_e1
8760,d06 Sun 02:00,desk_b1,coffee_table_l1,entry_table_e1,armchair_l1,counter_k1,couch_l1,couch_l1,bookshelf_l1,bed_b1,coffee_table_l1,kitchen_table_k1,couch_l1,bed_b2,counter_k1,kitchen_table_k1,cupboard_k1,counter_k1,kitchen_table_k1,armchair_l1,entry_floor_e1
8820,d06 Sun 03:00,desk_b1,coffee_table_l1,counter_k1,armchair_l1,counter_k1,couch_l1,couch_l1,bookshelf_l1,bed_b1,coffee_table_l1,kitchen_table_k1,couch_l1,bed_b2,counter_k1,kitchen_table_k1,cupboard_k1,counter_k1,kitchen_table_k1,armchair_l1,entry_floor_e1
8880,d06 Sun 04:00,desk_b1,coffee_table_l1,counter_k1,armchair_l1,counter_k1,couch_l1,couch_l1,bookshelf_l1,bed_b1,coffee_table_l1,kitchen_table_k1,couch_l1,bed_b2,counter_k1,kitchen_table_k1,cupboard_k1,counter_k1,kitchen_table_k1,armchair_l1,entry_floor_e1
8940,d06 Sun 05:00,desk_b1,coffee_table_l1,counter_k1,armchair_l1,counter_k1,couch_l1,couch_l1,bookshelf_l1,bed_b1,coffee_table_l1,kitchen_table_k1,couch_l1,bed_b2,counter_k1,kitchen_table_k1,cupboard_k1,counter_k1,kitchen_table_k1,armchair_l1,entry_floor_e1
9000,d06 Sun 06:00,desk_b1,coffee_table_l1,counter_k1,armchair_l1,counter_k1,couch_l1,couch_l1,bookshelf_l1,nightstand_b1,coffee_table_l1,kitchen_table_k1,couch_l1,bed_b2,counter_k1,cupboard_k1,kitchen_table_k1,counter_k1,kitchen_table_k1,armchair_l1,entry_floor_e1
9060,d06 Sun 07:00,desk_b1,nightstand_b1,entry_table_e1,desk_b1,counter_k1,couch_l1,kitchen_table_k1,entry_table_e1,bathroom_shelf_ba1,kitchen_table_k1,kitchen_table_k1,couch_l1,bed_b2,counter_k1,cupboard_k1,cupboard_k1,counter_k1,kitchen_table_k1,coffee_table_l1,entry_floor_e1
9120,d06 Sun 08:00,desk_b1,nightstand_b1,entry_table_e1,desk_b1,counter_k1,couch_l1,kitchen_table_k1,entry_table_e1,bathroom_shelf_ba1,kitchen_table_k1,kitchen_table_k1,couch_l1,bed_b2,counter_k1,cupboard_k1,cupboard_k1,counter_k1,kitchen_table_k1,coffee_table_l1,entry_floor_e1
9180,d06 Sun 09:00,desk_b1,nightstand_b1,entry_table_e1,desk_b1,counter_k1,couch_l1,kitchen_table_k1,entry_table_e1,bathroom_shelf_ba1,kitchen_table_k1,kitchen_table_k1,couch_l1,bed_b2,tv_stand_l1,dish_rack_k1,dish_rack_k1,counter_k1,kitchen_table_k1,coffee_table_l1,entry_floor_e1
9240,d06 Sun 10:00,desk_b1,nightstand_b1,entry_table_e1,desk_b1,counter_k1,couch_l1,kitchen_table_k1,entry_table_e1,bathroom_shelf_ba1,kitchen_table_k1,kitchen_table_k1,couch_l1,bed_b2,tv_stand_l1,dish_rack_k1,dish_rack_k1,counter_k1,kitchen_table_k1,coffee_table_l1,entry_floor_e1
9300,d06 Sun 11:00,desk_b1,nightstand_b1,entry_table_e1,desk_b1,couch_l1,couch_l1,kitchen_table_k1,entry_table_e1,bathroom_shelf_ba1,kitchen_table_k1,kitchen_table_k1,couch_l1,bed_b2,counter_k1,sink_k1,kitchen_table_k1,couch_l1,couch_l1,coffee_table_l1,entry_floor_e1
9360,d06 Sun 12:00,desk_b1,nightstand_b1,entry_table_e1,desk_b1,couch_l1,couch_l1,kitchen_table_k1,entry_table_e1,bathroom_shelf_ba1,kitchen_table_k1,kitchen_table_k1,couch_l1,bed_b2,counter_k1,sink_k1,kitchen_table_k1,couch_l1,couch_l1,coffee_table_l1,entry_floor_e1
9420,d06 Sun 13:00,desk_b1,nightstand_b1,entry_table_e1,desk_b1,couch_l1,couch_l1,kitchen_table_k1,entry_table_e1,bathroom_shelf_ba1,kitchen_table_k1,kitchen_table_k1,couch_l1,bed_b2,counter_k1,sink_k1,kitchen_table_k1,couch_l1,couch_l1,coffee_table_l1,entry_floor_e1
9480,d06 Sun 14:00,desk_b1,nightstand_b1,entry_table_e1,desk_b1,couch_l1,couch_l1,kitchen_table_k1,entry_table_e1,bathroom_shelf_ba1,kitchen_table_k1,kitchen_table_k1,couch_l1,bed_b2,counter_k1,sink_k1,kitchen_table_k1,couch_l1,couch_l1,coffee_table_l1,entry_floor_e1
9540,d06 Sun 15:00,desk_b1,nightstand_b1,entry_table_e1,desk_b1,couch_l1,couch_l1,couch_l1,entry_table_e1,bathroom_shelf_ba1,kitchen_table_k1,coffee_table_l1,couch_l1,bed_b2,counter_k1,sink_k1,sink_k1,counter_k1,kitchen_table_k1,coffee_table_l1,entry_floor_e1
9600,d06 Sun 16:00,desk_b1,nightstand_b1,entry_table_e1,desk_b1,couch_l1,couch_l1,couch_l1,entry_table_e1,bathroom_shelf_ba1,kitchen_table_k1,coffee_table_l1,couch_l1,bed_b2,counter_k1,sink_k1,sink_k1,counter_k1,kitchen_table_k1,coffee_table_l1,entry_floor_e1
9660,d06 Sun 17:00,desk_b1,nightstand_b1,entry_table_e1,desk_b1,couch_l1,couch_l1,couch_l1,entry_table_e1,bathroom_shelf_ba1,kitchen_table_k1,couch_l1,couch_l1,bed_b2,counter_k1,sink_k1,couch_l1,couch_l1,kitchen_table_k1,coffee_table_l1,entry_floor_e1
9720,d06 Sun 18:00,desk_b1,nightstand_b1,entry_table_e1,desk_b1,counter_k1,couch_l1,kitchen_table_k1,entry_table_e1,bathroom_shelf_ba1,kitchen_table_k1,kitchen_table_k1,couch_l1,bed_b2,counter_k1,cupboard_k1,couch_l1,couch_l1,kitchen_table_k1,coffee_table_l1,entry_floor_e1
9780,d06 Sun 19:00,desk_b1,nightstand_b1,entry_table_e1,desk_b1,coffee_table_l1,couch_l1,kitchen_table_k1,entry_table_e1,bathroom_shelf_ba1,kitchen_table_k1,couch_l1,kitchen_table_k1,couch_l1,kitchen_table_k1,kitchen_table_k1,cupboard_k1,counter_k1,kitchen_table_k1,couch_l1,entry_floor_e1
9840,d06 Sun 20:00,desk_b1,nightstand_b1,entry_table_e1,desk_b1,counter_k1,couch_l1,kitchen_table_k1,entry_table_e1,bathroom_shelf_ba1,kitchen_table_k1,kitchen_table_k1,counter_k1,bed_b2,counter_k1,sink_k1,cupboard_k1,counter_k1,kitchen_table_k1,couch_l1,entry_floor_e1
9900,d06 Sun 21:00,desk_b1,couch_l1,entry_table_e1,desk_b1,counter_k1,couch_l1,couch_l1,entry_table_e1,bathroom_shelf_ba1,couch_l1,kitchen_table_k1,counter_k1,bed_b2,counter_k1,sink_k1,cupboard_k1,counter_k1,kitchen_table_k1,couch_l1,entry_floor_e1
