t,stamp,mug_arthur,mug_martha,mug_shared_1,phone_arthur,phone_martha,keys_arthur,keys_martha,wallet_arthur,wallet_martha,glasses_arthur,glasses_martha,book_arthur_1,book_martha_1,notebook_arthur,notebook_martha,water_bottle_arthur,water_bottle_martha,remote_shared,laptop_martha,watering_can_shared,jacket_martha,blanket_shared,pen_arthur,vacuum_cleaner_shared
6900,d04 Fri 19:00,bedroom_1,kitchen,kitchen,bedroom_1,kitchen,kitchen,entry,kitchen,entry,living,living,bedroom_1,living,bedroom_1,kitchen,bedroom_1,kitchen,living,kitchen,entry,entry,living,bedroom_1,entry
6960,d04 Fri 20:00,bedroom_1,kitchen,kitchen,bedroom_1,kitchen,kitchen,entry,kitchen,entry,living,living,bedroom_1,living,bedroom_1,kitchen,bedroom_1,kitchen,living,living,entry,entry,living,bedroom_1,entry
7020,d04 Fri 21:00,bedroom_1,kitchen,kitchen,bedroom_1,kitchen,kitchen,entry,kitchen,entry,living,living,bedroom_1,living,bedroom_1,kitchen,bedroom_1,kitchen,living,living,entry,entry,living,bedroom_1,entry
7080,d04 Fri 22:00,bedroom_1,kitchen,bathroom,bedroom_1,living,kitchen,entry,kitchen,entry,living,living,bedroom_1,living,bedroom_1,kitchen,bedroom_1,kitchen,living,kitchen,entry,entry,living,bedroom_1,bathroom
7140,d04 Fri 23:00,bedroom_1,kitchen,kitchen,bedroom_1,living,kitchen,entry,kitchen,entry,living,living,bedroom_1,kitchen,bedroom_1,kitchen,bedroom_1,kitchen,living,kitchen,entry,entry,living,bedroom_1,entry
7200,d05 Sat 00:00,bedroom_1,kitchen,kitchen,bedroom_1,living,kitchen,entry,kitchen,entry,living,living,bedroom_1,kitchen,bedroom_1,kitchen,bedroom_1,kitchen,living,kitchen,entry,entry,living,bedroom_1,entry
7260,d05 Sat 01:00,bedroom_1,kitchen,kitchen,bedroom_1,living,kitchen,entry,kitchen,entry,living,living,bedroom_1,kitchen,bedroom_1,kitchen,bedroom_1,kitchen,living,kitchen,entry,entry,living,bedroom_1,entry
7320,d05 Sat 02:00,bedroom_1,kitchen,kitchen,bedroom_1,living,kitchen,entry,kitchen,entry,living,living,bedroom_1,kitchen,bedroom_1,kitchen,bedroom_1,kitchen,living,kitchen,entry,entry,living,bedroom_1,entry
7380,d05 Sat 03:00,bedroom_1,kitchen,kitchen,bedroom_1,living,kitchen,entry,kitchen,entry,living,living,bedroom_1,kitchen,bedroom_1,kitchen,bedroom_1,kitchen,living,kitchen,entry,entry,living,bedroom_1,entry
7440,d05 Sat 04:00,bedroom_1,kitchen,kitchen,bedroom_1,living,kitchen,entry,kitchen,entry,living,living,bedroom_1,kitchen,bedroom_1,kitchen,bedroom_1,kitchen,living,kitchen,entry,entry,living,bedroom_1,entry
7500,d05 Sat 05:00,bedroom_1,kitchen,kitchen,bedroom_1,living,kitchen,entry,kitchen,entry,living,living,bedroom_1,kitchen,bedroom_1,kitchen,bedroom_1,kitchen,living,kitchen,entry,entry,living,bedroom_1,entry
7560,d05 Sat 06:00,bedroom_1,kitchen,kitchen,bedroom_1,living,kitchen,entry,kitchen,entry,living,living,bedroom_1,kitchen,bedroom_1,kitchen,bedroom_1,kitchen,living,kitchen,entry,entry,living,bedroom_1,entry
7620,d05 Sat 07:00,bedroom_1,kitchen,kitchen,bedroom_1,living,kitchen,entry,kitchen,entry,living,kitchen,bedroom_1,kitchen,bedroom_1,kitchen,bedroom_1,kitchen,living,kitchen,entry,entry,living,bedroom_1,entry
7680,d05 Sat 08:00,kitchen,kitchen,kitchen,bedroom_1,living,kitchen,entry,kitchen,entry,living,kitchen,bedroom_1,kitchen,kitchen,kitchen,kitchen,kitchen,living,kitchen,entry,entry,living,bedroom_1,kitchen
7740,d05 Sat 09:00,bedroom_1,kitchen,kitchen,bedroom_1,kitchen,kitchen,entry,kitchen,entry,living,kitchen,bedroom_1,kitchen,kitchen,kitchen,bedroom_1,kitchen,kitchen,kitchen,entry,entry,kitchen,bedroom_1,entry
7800,d05 Sat 10:00,bedroom_1,kitchen,kitchen,bedroom_1,kitchen,kitchen,entry,kitchen,entry,living,kitchen,bedroom_1,kitchen,kitchen,kitchen,bedroom_1,kitchen,kitchen,kitchen,entry,entry,kitchen,bedroom_1,entry
7860,d05 Sat 11:00,bedroom_1,kitchen,kitchen,bedroom_1,kitchen,outside,kitchen,outside,entry,living,kitchen,bedroom_1,kitchen,kitchen,kitchen,bedroom_1,kitchen,kitchen,kitchen,entry,entry,kitchen,bedroom_1,entry
7920,d05 Sat 12:00,bedroom_1,kitchen,kitchen,bedroom_1,kitchen,kitchen,kitchen,kitchen,entry,living,kitchen,bedroom_1,kitchen,kitchen,kitchen,kitchen,kitchen,living,kitchen,entry,entry,living,bedroom_1,entry
7980,d05 Sat 13:00,bedroom_1,kitchen,kitchen,bedroom_1,kitchen,kitchen,kitchen,kitchen,entry,living,living,bedroom_1,living,kitchen,kitchen,bedroom_1,kitchen,living,kitchen,entry,entry,living,bedroom_1,entry
8040,d05 Sat 14:00,bedroom_1,kitchen,kitchen,bedroom_1,kitchen,kitchen,kitchen,kitchen,entry,living,living,bedroom_1,living,kitchen,kitchen,bedroom_1,kitchen,living,kitchen,entry,entry,living,bedroom_1,entry
8100,d05 Sat 15:00,bedroom_1,kitchen,kitchen,bedroom_1,kitchen,kitchen,kitchen,kitchen,entry,bedroom_1,living,bedroom_1,living,bedroom_1,kitchen,bedroom_1,kitchen,living,kitchen,entry,entry,living,bedroom_1,entry
8160,d05 Sat 16:00,bedroom_1,kitchen,kitchen,bedroom_1,kitchen,kitchen,kitchen,kitchen,entry,bedroom_1,living,bedroom_1,living,bedroom_1,kitchen,bedroom_1,kitchen,living,kitchen,entry,entry,living,bedroom_1,entry
8220,d05 Sat 17:00,bedroom_1,kitchen,kitchen,bedroom_1,kitchen,kitchen,kitchen,kitchen,entry,bedroom_1,living,bedroom_1,living,bedroom_1,kitchen,bedroom_1,kitchen,living,kitchen,entry,entry,living,bedroom_1,entry
8280,d05 Sat 18:00,bedroom_1,kitchen,kitchen,bedroom_1,kitchen,kitchen,kitchen,kitchen,entry,living,living,bedroom_1,living,bedroom_1,kitchen,bedroom_1,kitchen,living,kitchen,entry,entry,living,bedroom_1,entry
8340,d05 Sat 19:00,bedroom_1,kitchen,kitchen,bedroom_1,kitchen,kitchen,kitchen,kitchen,entry,living,living,bedroom_1,living,bedroom_1,kitchen,kitchen,living,living,living,entry,entry,living,bedroom_1,entry
8400,d05 Sat 20:00,bedroom_1,kitchen,kitchen,bedroom_1,kitchen,kitchen,kitchen,kitchen,entry,living,living,bedroom_1,living,bedroom_1,kitchen,kitchen,living,living,living,entry,entry,living,bedroom_1,entry
8460,d05 Sat 21:00,bedroom_1,kitchen,kitchen,bedroom_1,kitchen,kitchen,kitchen,kitchen,entry,living,living,bedroom_1,living,bedroom_1,kitchen,kitchen,living,living,living,entry,entry,living,bedroom_1,entry
8520,d05 Sat 22:00,bedroom_1,kitchen,kitchen,bedroom_1,living,kitchen,kitchen,kitchen,entry,living,living,bedroom_1,living,bedroom_1,kitchen,kitchen,kitchen,living,kitchen,entry,entry,living,bedroom_1,entry
8580,d05 Sat 23:00,bedroom_1,kitchen,kitchen,bedroom_1,living,kitchen,kitchen,kitchen,entry,living,living,bedroom_1,living,bedroom_1,kitchen,kitchen,kitchen,living,kitchen,entry,entry,living,bedroom_1,entry
8640,d06 Sun 00:00,bedroom_1,kitchen,kitchen,bedroom_1,living,kitchen,kitchen,kitchen,entry,living,living,bedroom_1,living,bedroom_1,kitchen,kitchen,kitchen,living,kitchen,entry,entry,living,bedroom_1,entry
8700,d06 Sun 01:00,bedroom_1,kitchen,kitchen,bedroom_1,living,kitchen,kitchen,kitchen,entry,living,living,bedroom_1,living,bedroom_1,kitchen,kitchen,kitchen,living,kitchen,entry,entry,living,bedroom_1,entry
8760,d06 Sun 02:00,bedroom_1,kitchen,kitchen,bedroom_1,living,kitchen,kitchen,kitchen,entry,living,living,bedroom_1,living,bedroom_1,kitchen,kitchen,kitchen,living,kitchen,entry,entry,living,bedroom_1,entry
8820,d06 Sun 03:00,bedroom_1,kitchen,kitchen,bedroom_1,living,kitchen,kitchen,kitchen,entry,living,living,bedroom_1,living,bedroom_1,kitchen,kitchen,kitchen,living,kitchen,entry,entry,living,bedroom_1,entry
8880,d06 Sun 04:00,bedroom_1,kitchen,kitchen,bedroom_1,living,kitchen,kitchen,kitchen,entry,living,living,bedroom_1,living,bedroom_1,kitchen,kitchen,kitchen,living,kitchen,entry,entry,living,bedroom_1,entry
8940,d06 Sun 05:00,bedroom_1,kitchen,kitchen,bedroom_1,living,kitchen,kitchen,kitchen,entry,living,living,bedroom_1,living,bedroom_1,kitchen,kitchen,kitchen,living,kitchen,entry,entry,living,bedroom_1,entry
9000,d06 Sun 06:00,bedroom_1,kitchen,kitchen,bedroom_1,living,kitchen,kitchen,kitchen,entry,living,living,bedroom_1,living,bedroom_1,kitchen,kitchen,kitchen,living,kitchen,entry,entry,living,bedroom_1,entry
9060,d06 Sun 07:00,bedroom_1,kitchen,kitchen,bedroom_1,living,kitchen,kitchen,kitchen,entry,living,living,bedroom_1,living,bedroom_1,kitchen,kitchen,kitchen,living,kitchen,entry,kitchen,living,bedroom_1,entry
9120,d06 Sun 08:00,kitchen,kitchen,kitchen,bedroom_1,living,kitchen,kitchen,kitchen,entry,living,living,bedroom_1,living,bedroom_1,kitchen,kitchen,kitchen,living,kitchen,entry,kitchen,living,bedroom_1,kitchen
9180,d06 Sun 09:00,kitchen,kitchen,kitchen,bedroom_1,kitchen,kitchen,kitchen,kitchen,entry,living,living,bedroom_1,living,bedroom_1,kitchen,bedroom_1,kitchen,kitchen,kitchen,entry,kitchen,kitchen,bedroom_1,entry
9240,d06 Sun 10:00,kitchen,kitchen,kitchen,bedroom_1,kitchen,kitchen,kitchen,kitchen,entry,living,living,bedroom_1,living,bedroom_1,kitchen,bedroom_1,kitchen,kitchen,kitchen,entry,kitchen,kitchen,bedroom_1,entry
9300,d06 Sun 11:00,kitchen,kitchen,kitchen,bedroom_1,living,kitchen,kitchen,kitchen,entry,living,kitchen,living,kitchen,living,kitchen,bedroom_1,kitchen,living,kitchen,entry,kitchen,kitchen,living,entry
9360,d06 Sun 12:00,kitchen,kitchen,kitchen,bedroom_1,living,kitchen,kitchen,kitchen,entry,bedroom_1,kitchen,bedroom_1,kitchen,bedroom_1,kitchen,kitchen,kitchen,living,kitchen,entry,kitchen,kitchen,bedroom_1,entry
9420,d06 Sun 13:00,kitchen,kitchen,kitchen,bedroom_1,outside,kitchen,outside,kitchen,outside,bedroom_1,living,bedroom_1,living,bedroom_1,kitchen,bedroom_1,kitchen,living,kitchen,entry,outside,kitchen,bedroom_1,entry
9480,d06 Sun 14:00,kitchen,kitchen,kitchen,bedroom_1,outside,outside,outside,outside,outside,bedroom_1,living,bedroom_1,living,bedroom_1,kitchen,bedroom_1,kitchen,living,kitchen,entry,outside,kitchen,bedroom_1,entry
9540,d06 Sun 15:00,kitchen,kitchen,kitchen,bedroom_1,outside,kitchen,outside,kitchen,outside,bedroom_1,kitchen,bedroom_1,living,bedroom_1,kitchen,bedroom_1,kitchen,living,kitchen,entry,outside,kitchen,bedroom_1,entry
9600,d06 Sun 16:00,kitchen,kitchen,kitchen,bedroom_1,kitchen,kitchen,entry,kitchen,entry,bedroom_1,kitchen,bedroom_1,living,bedroom_1,kitchen,bedroom_1,kitchen,living,kitchen,entry,entry,kitchen,bedroom_1,entry
9660,d06 Sun 17:00,kitchen,kitchen,kitchen,bedroom_1,kitchen,kitchen,entry,kitchen,entry,bedroom_1,kitchen,bedroom_1,living,bedroom_1,kitchen,bedroom_1,kitchen,living,kitchen,entry,entry,kitchen,bedroom_1,entry
9720,d06 Sun 18:00,kitchen,kitchen,kitchen,bedroom_1,kitchen,kitchen,entry,kitchen,entry,living,living,bedroom_1,living,bedroom_1,kitchen,bedroom_1,kitchen,living,living,entry,entry,living,bedroom_1,entry
9780,d06 Sun 19:00,kitchen,kitchen,kitchen,bedroom_1,kitchen,kitchen,entry,kitchen,entry,living,kitchen,bedroom_1,kitchen,bedroom_1,kitchen,kitchen,kitchen,living,living,entry,entry,living,bedroom_1,entry
9840,d06 Sun 20:00,kitchen,kitchen,kitchen,bedroom_1,kitchen,kitchen,entry,kitchen,entry,living,living,bedroom_1,living,bedroom_1,kitchen,bedroom_1,kitchen,living,living,entry,entry,living,bedroom_1,entry
9900,d06 Sun 21:00,kitchen,kitchen,kitchen,bedroom_1,kitchen,kitchen,entry,kitchen,entry,living,living,bedroom_1,living,bedroom_1,kitchen,bedroom_1,kitchen,living,living,entry,entry,living,bedroom_1,entry
9960,d06 Sun 22:00,kitchen,kitchen,bathroom,bedroom_1,living,kitchen,entry,kitchen,entry,living,living,bedroom_1,living,bedroom_1,kitchen,bedroom_1,living,living,living,entry,entry,living,bedroom_1,bathroom
10020,d06 Sun 23:00,kitchen,kitchen,kitchen,bedroom_1,living,kitchen,entry,kitchen,entry,living,living,bedroom_1,living,bedroom_1,kitchen,bedroom_1,living,living,living,entry,entry,living,bedroom_1,bathroom
10080,d07 Mon 00:00,kitchen,kitchen,kitchen,bedroom_1,living,kitchen,entry,kitchen,entry,living,living,bedroom_1,living,bedroom_1,kitchen,bedroom_1,living,living,living,entry,entry,living,bedroom_1,entry
10140,d07 Mon 01:00,kitchen,kitchen,kitchen,bedroom_1,living,kitchen,entry,kitchen,entry,living,living,bedroom_1,living,bedroom_1,kitchen,bedroom_1,living,living,living,entry,entry,living,bedroom_1,entry
10200,d07 Mon 02:00,kitchen,kitchen,kitchen,bedroom_1,living,kitchen,entry,kitchen,entry,living,living,bedroom_1,living,bedroom_1,kitchen,bedroom_1,living,living,living,entry,entry,living,bedroom_1,entry
10260,d07 Mon 03:00,kitchen,kitchen,kitchen,bedroom_1,living,kitchen,entry,kitchen,entry,living,living,bedroom_1,living,bedroom_1,kitchen,bedroom_1,living,living,living,entry,entry,living,bedroom_1,entry
10320,d07 Mon 04:00,kitchen,kitchen,kitchen,bedroom_1,living,kitchen,entry,kitchen,entry,living,living,bedroom_1,living,bedroom_1,kitchen,bedroom_1,living,living,living,entry,entry,living,bedroom_1,entry
10380,d07 Mon 05:00,kitchen,kitchen,kitchen,bedroom_1,living,kitchen,entry,kitchen,entry,living,living,bedroom_1,living,bedroom_1,kitchen,bedroom_1,living,living,living,entry,entry,living,bedroom_1,entry
10440,d07 Mon 06:00,kitchen,kitchen,kitchen,bedroom_1,living,kitchen,entry,kitchen,entry,living,living,bedroom_1,living,bedroom_1,kitchen,bedroom_1,living,living,living,entry,entry,living,bedroom_1,entry
10500,d07 Mon 07:00,kitchen,kitchen,kitchen,bedroom_1,living,kitchen,entry,kitchen,entry,living,living,bedroom_1,living,bedroom_1,kitchen,bedroom_1,living,living,living,entry,entry,living,bedroom_1,entry
10560,d07 Mon 08:00,bedroom_1,kitchen,kitchen,bedroom_1,living,kitchen,entry,kitchen,entry,kitchen,kitchen,bedroom_1,kitchen,kitchen,kitchen,bedroom_1,kitchen,living,living,entry,entry,living,bedroom_1,entry
10620,d07 Mon 09:00,bedroom_1,kitchen,kitchen,bedroom_1,kitchen,kitchen,entry,kitchen,entry,kitchen,kitchen,bedroom_1,kitchen,kitchen,kitchen,bedroom_1,kitchen,living,living,entry,entry,living,bedroom_1,entry
10680,d07 Mon 10:00,bedroom_1,kitchen,kitchen,bedroom_1,kitchen,kitchen,entry,kitchen,entry,kitchen,kitchen,bedroom_1,kitchen,kitchen,kitchen,bedroom_1,kitchen,living,living,entry,entry,living,bedroom_1,entry
10740,d07 Mon 11:00,bedroom_1,kitchen,kitchen,bedroom_1,kitchen,kitchen,entry,kitchen,entry,bedroom_1,kitchen,bedroom_1,kitchen,bedroom_1,kitchen,bedroom_1,kitchen,living,living,entry,entry,living,bedroom_1,entry
10800,d07 Mon 12:00,bedroom_1,kitchen,kitchen,bedroom_1,kitchen,kitchen,entry,kitchen,entry,living,kitchen,bedroom_1,kitchen,bedroom_1,kitchen,kitchen,kitchen,living,living,entry,entry,living,bedroom_1,entry
10860,d07 Mon 13:00,bedroom_1,kitchen,kitchen,bedroom_1,kitchen,kitchen,entry,kitchen,entry,living,kitchen,bedroom_1,kitchen,bedroom_1,kitchen,kitchen,kitchen,living,living,entry,entry,living,bedroom_1,entry
10920,d07 Mon 14:00,bedroom_1,kitchen,kitchen,bedroom_1,kitchen,outside,entry,outside,entry,living,living,bedroom_1,living,bedroom_1,kitchen,bedroom_1,kitchen,living,living,entry,entry,living,bedroom_1,entry
10980,d07 Mon 15:00,bedroom_1,kitchen,kitchen,bedroom_1,kitchen,kitchen,entry,kitchen,entry,bedroom_1,living,bedroom_1,living,bedroom_1,kitchen,bedroom_1,kitchen,living,living,entry,entry,living,bedroom_1,entry
11040,d07 Mon 16:00,bedroom_1,kitchen,kitchen,bedroom_1,living,kitchen,entry,kitchen,entry,bedroom_1,living,bedroom_1,living,bedroom_1,kitchen,bedroom_1,living,living,living,entry,entry,living,bedroom_1,entry
11100,d07 Mon 17:00,bedroom_1,kitchen,kitchen,bedroom_1,living,kitchen,entry,kitchen,entry,bedroom_1,living,bedroom_1,living,bedroom_1,kitchen,bedroom_1,living,living,living,entry,entry,living,bedroom_1,entry
11160,d07 Mon 18:00,kitchen,kitchen,kitchen,bedroom_1,living,kitchen,entry,kitchen,entry,bedroom_1,kitchen,bedroom_1,kitchen,bedroom_1,kitchen,kitchen,kitchen,living,living,entry,entry,living,bedroom_1,entry
11220,d07 Mon 19:00,bedroom_1,kitchen,kitchen,bedroom_1,living,kitchen,entry,kitchen,entry,bedroom_1,living,bedroom_1,living,bedroom_1,kitchen,bedroom_1,kitchen,living,living,entry,entry,living,bedroom_1,entry
11280,d07 Mon 20:00,bedroom_1,kitchen,kitchen,bedroom_1,living,kitchen,entry,kitchen,entry,bedroom_1,living,bedroom_1,living,bedroom_1,kitchen,bedroom_1,kitchen,living,living,entry,entry,living,bedroom_1,entry
11340,d07 Mon 21:00,bedroom_1,kitchen,kitchen,bedroom_1,living,kitchen,entry,kitchen,entry,bedroom_1,living,bedroom_1,living,bedroom_1,kitchen,bedroom_1,kitchen,living,living,entry,entry,living,bedroom_1,entry
11400,d07 Mon 22:00,bedroom_1,kitchen,bathroom,bedroom_1,living,kitchen,entry,kitchen,entry,bedroom_1,living,bedroom_1,living,bedroom_1,kitchen,bedroom_1,kitchen,living,living,entry,entry,living,bedroom_1,bathroom
11460,d07 Mon 23:00,bedroom_1,kitchen,kitchen,bedroom_1,living,kitchen,entry,kitchen,entry,bedroom_1,living,bedroom_1,living,bedroom_1,kitchen,bedroom_1,kitchen,living,living,entry,entry,living,bedroom_1,entry
11520,d08 Tue 00:00,bedroom_1,kitchen,kitchen,bedroom_1,living,kitchen,entry,kitchen,entry,bedroom_1,living,bedroom_1,living,bedroom_1,kitchen,bedroom_1,kitchen,living,kitchen,entry,entry,living,bedroom_1,entry
11580,d08 Tue 01:00,bedroom_1,kitchen,kitchen,bedroom_1,living,kitchen,entry,kitchen,entry,bedroom_1,living,bedroom_1,living,bedroom_1,kitchen,bedroom_1,kitchen,living,kitchen,entry,entry,living,bedroom_1,entry
11640,d08 Tue 02:00,bedroom_1,kitchen,kitchen,bedroom_1,living,kitchen,entry,kitchen,entry,bedroom_1,living,bedroom_1,living,bedroom_1,kitchen,bedroom_1,kitchen,living,kitchen,entry,entry,living,bedroom_1,entry
11700,d08 Tue 03:00,bedroom_1,kitchen,kitchen,bedroom_1,living,kitchen,entry,kitchen,entry,bedroom_1,living,bedroom_1,living,bedroom_1,kitchen,bedroom_1,kitchen,living,kitchen,entry,entry,living,bedroom_1,entry
11760,d08 Tue 04:00,bedroom_1,kitchen,kitchen,bedroom_1,living,kitchen,entry,kitchen,entry,bedroom_1,living,bedroom_1,living,bedroom_1,kitchen,bedroom_1,kitchen,living,kitchen,entry,entry,living,bedroom_1,entry
11820,d08 Tue 05:00,bedroom_1,kitchen,kitchen,bedroom_1,living,kitchen,entry,kitchen,entry,bedroom_1,living,bedroom_1,living,bedroom_1,kitchen,bedroom_1,kitchen,living,kitchen,entry,entry,living,bedroom_1,entry
11880,d08 Tue 06:00,bedroom_1,kitchen,kitchen,bedroom_1,living,kitchen,entry,kitchen,entry,bedroom_1,living,bedroom_1,living,bedroom_1,kitchen,bedroom_1,kitchen,living,kitchen,entry,entry,living,bedroom_1,entry
11940,d08 Tue 07:00,bedroom_1,kitchen,kitchen,bedroom_1,living,kitchen,entry,kitchen,entry,bedroom_1,living,bedroom_1,living,bedroom_1,kitchen,bedroom_1,kitchen,living,kitchen,entry,entry,living,bedroom_1,entry
12000,d08 Tue 08:00,kitchen,kitchen,kitchen,bedroom_1,living,kitchen,entry,kitchen,entry,bedroom_1,living,bedroom_1,living,bedroom_1,kitchen,kitchen,kitchen,living,kitchen,entry,entry,living,bedroom_1,kitchen
12060,d08 Tue 09:00,bedroom_1,kitchen,kitchen,bedroom_1,living,kitchen,entry,kitchen,entry,bedroom_1,kitchen,bedroom_1,living,bedroom_1,kitchen,bedroom_1,kitchen,living,kitchen,entry,entry,living,bedroom_1,entry
12120,d08 Tue 10:00,bedroom_1,kitchen,kitchen,bedroom_1,kitchen,kitchen,entry,kitchen,entry,living,kitchen,living,living,living,kitchen,bedroom_1,kitchen,living,kitchen,entry,entry,living,living,entry
12180,d08 Tue 11:00,bedroom_1,kitchen,kitchen,bedroom_1,kitchen,kitchen,entry,kitchen,entry,living,kitchen,living,living,living,kitchen,bedroom_1,kitchen,living,kitchen,entry,entry,living,living,entry
12240,d08 Tue 12:00,kitchen,kitchen,kitchen,bedroom_1,kitchen,kitchen,entry,kitchen,entry,bedroom_1,kitchen,bedroom_1,kitchen,bedroom_1,kitchen,kitchen,kitchen,living,kitchen,entry,entry,living,bedroom_1,entry
12300,d08 Tue 13:00,kitchen,kitchen,kitchen,bedroom_1,kitchen,outside,entry,outside,entry,bedroom_1,kitchen,bedroom_1,kitchen,bedroom_1,kitchen,bedroom_1,kitchen,living,kitchen,entry,entry,living,bedroom_1,entry
12360,d08 Tue 14:00,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,entry,kitchen,entry,kitchen,living,kitchen,living,kitchen,kitchen,bedroom_1,kitchen,living,kitchen,entry,entry,living,kitchen,entry
12420,d08 Tue 15:00,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,entry,kitchen,entry,bedroom_1,living,bedroom_1,living,bedroom_1,kitchen,bedroom_1,kitchen,living,kitchen,entry,entry,living,bedroom_1,entry
12480,d08 Tue 16:00,bedroom_1,kitchen,kitchen,bedroom_1,kitchen,kitchen,entry,kitchen,entry,kitchen,living,bedroom_1,living,bedroom_1,kitchen,bedroom_1,living,living,living,entry,entry,living,bedroom_1,entry
12540,d08 Tue 17:00,bedroom_1,kitchen,kitchen,bedroom_1,living,kitchen,entry,kitchen,entry,kitchen,living,bedroom_1,living,bedroom_1,kitchen,bedroom_1,living,living,kitchen,entry,entry,living,bedroom_1,entry
12600,d08 Tue 18:00,kitchen,kitchen,kitchen,bedroom_1,kitchen,kitchen,entry,kitchen,entry,kitchen,living,bedroom_1,living,bedroom_1,kitchen,bedroom_1,kitchen,living,living,entry,entry,living,bedroom_1,entry
12660,d08 Tue 19:00,bedroom_1,kitchen,kitchen,bedroom_1,kitchen,kitchen,entry,kitchen,entry,living,living,bedroom_1,living,bedroom_1,kitchen,bedroom_1,kitchen,living,living,entry,entry,living,bedroom_1,entry
12720,d08 Tue 20:00,bedroom_1,kitchen,kitchen,bedroom_1,kitchen,kitchen,entry,kitchen,entry,living,living,bedroom_1,living,bedroom_1,kitchen,bedroom_1,kitchen,living,living,entry,entry,living,bedroom_1,entry
12780,d08 Tue 21:00,bedroom_1,kitchen,kitchen,bedroom_1,kitchen,kitchen,entry,kitchen,entry,living,living,bedroom_1,living,bedroom_1,kitchen,bedroom_1,kitchen,living,living,entry,entry,living,bedroom_1,entry
12840,d08 Tue 22:00,bedroom_1,kitchen,bathroom,bedroom_1,kitchen,kitchen,entry,kitchen,entry,living,living,bedroom_1,living,bedroom_1,kitchen,bedroom_1,kitchen,living,kitchen,entry,entry,living,bedroom_1,bathroom
12900,d08 Tue 23:00,bedroom_1,kitchen,kitchen,bedroom_1,kitchen,kitchen,entry,kitchen,entry,living,living,bedroom_1,living,bedroom_1,kitchen,bedroom_1,kitchen,living,kitchen,entry,entry,living,bedroom_1,entry
12960,d09 Wed 00:00,bedroom_1,kitchen,kitchen,bedroom_1,kitchen,kitchen,entry,kitchen,entry,living,living,bedroom_1,living,bedroom_1,kitchen,bedroom_1,kitchen,living,kitchen,entry,entry,living,bedroom_1,entry
13020,d09 Wed 01:00,bedroom_1,kitchen,kitchen,bedroom_1,kitchen,kitchen,entry,kitchen,entry,living,living,bedroom_1,living,bedroom_1,kitchen,bedroom_1,kitchen,living,kitchen,entry,entry,living,bedroom_1,entry
13080,d09 Wed 02:00,bedroom_1,kitchen,kitchen,bedroom_1,kitchen,kitchen,entry,kitchen,entry,living,living,bedroom_1,living,bedroom_1,kitchen,bedroom_1,kitchen,living,kitchen,entry,entry,living,bedroom_1,entry
13140,d09 Wed 03:00,bedroom_1,kitchen,kitchen,bedroom_1,kitchen,kitchen,entry,kitchen,entry,living,living,bedroom_1,living,bedroom_1,kitchen,bedroom_1,kitchen,living,kitchen,entry,entry,living,bedroom_1,entry
13200,d09 Wed 04:00,bedroom_1,kitchen,kitchen,bedroom_1,kitchen,kitchen,entry,kitchen,entry,living,living,bedroom_1,living,bedroom_1,kitchen,bedroom_1,kitchen,living,kitchen,entry,entry,living,bedroom_1,entry
13260,d09 Wed 05:00,bedroom_1,kitchen,kitchen,bedroom_1,kitchen,kitchen,entry,kitchen,entry,living,living,bedroom_1,living,bedroom_1,kitchen,bedroom_1,kitchen,living,kitchen,entry,entry,living,bedroom_1,entry
13320,d09 Wed 06:00,bedroom_1,kitchen,kitchen,bedroom_1,kitchen,kitchen,entry,kitchen,entry,living,living,bedroom_1,living,bedroom_1,kitchen,bedroom_1,kitchen,living,kitchen,entry,entry,living,bedroom_1,entry
13380,d09 Wed 07:00,bedroom_1,kitchen,kitchen,bedroom_1,kitchen,kitchen,entry,kitchen,entry,living,living,bedroom_1,living,bedroom_1,kitchen,bedroom_1,kitchen,living,kitchen,entry,entry,living,bedroom_1,entry
13440,d09 Wed 08:00,bedroom_1,kitchen,kitchen,bedroom_1,kitchen,kitchen,entry,kitchen,entry,living,living,bedroom_1,living,bedroom_1,kitchen,bedroom_1,kitchen,living,kitchen,entry,entry,living,bedroom_1,entry
13500,d09 Wed 09:00,bedroom_1,kitchen,kitchen,bedroom_1,kitchen,kitchen,entry,kitchen,entry,living,kitchen,bedroom_1,kitchen,bedroom_1,kitchen,bedroom_1,kitchen,living,kitchen,entry,entry,living,bedroom_1,entry
13560,d09 Wed 10:00,bedroom_1,kitchen,kitchen,bedroom_1,kitchen,kitchen,entry,kitchen,entry,living,living,bedroom_1,living,bedroom_1,kitchen,bedroom_1,living,living,kitchen,entry,entry,living,bedroom_1,entry
13620,d09 Wed 11:00,bedroom_1,kitchen,kitchen,bedroom_1,kitchen,kitchen,entry,kitchen,entry,bedroom_1,living,bedroom_1,living,bedroom_1,kitchen,bedroom_1,living,living,kitchen,entry,entry,living,bedroom_1,entry
13680,d09 Wed 12:00,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,entry,kitchen,entry,kitchen,living,kitchen,living,kitchen,kitchen,kitchen,living,living,kitchen,entry,entry,living,kitchen,entry
