t,stamp,laptop_elena,phone_elena,keys_elena,wallet_elena,backpack_elena,charger_elena,notebook_elena,pen_elena,water_bottle_elena,mug_elena,book_elena,glasses_elena,jacket_elena,lunchbox_elena,hairbrush_elena,makeup_kit_elena,yoga_mat_elena,phone_marcus,keys_marcus,wallet_marcus,backpack_marcus,water_bottle_marcus,jacket_marcus,mug_marcus,charger_marcus,headphones_marcus,lunchbox_marcus,umbrella_marcus,medication_bottle_marcus,remote_shared,blanket_shared,plate_shared_1,plate_shared_2,bowl_shared_1,pot_shared_1,pan_shared_1,towel_shared_1,laundry_basket_shared,vacuum_cleaner_shared,watering_can_shared,suitcase_shared
9300,d06 Sun 11:00,bedroom_2,bedroom_1,entry,entry,entry,bedroom_2,kitchen,kitchen,kitchen,kitchen,bedroom_1,bedroom_1,entry,kitchen,bedroom_1,bedroom_1,bedroom_2,entry,entry,entry,entry,bedroom_2,entry,living,bedroom_1,bedroom_1,kitchen,entry,kitchen,living,living,kitchen,kitchen,kitchen,kitchen,kitchen,bathroom,bedroom_2,bedroom_2,bedroom_2,bedroom_2
9360,d06 Sun 12:00,bedroom_2,living,entry,entry,entry,bedroom_2,kitchen,kitchen,kitchen,kitchen,bedroom_1,bedroom_1,entry,kitchen,bedroom_1,bedroom_1,bedroom_2,entry,entry,entry,entry,entry,entry,living,bedroom_1,bedroom_1,kitchen,entry,kitchen,living,living,kitchen,kitchen,kitchen,kitchen,kitchen,bathroom,bedroom_2,entry,bedroom_2,bedroom_2
9420,d06 Sun 13:00,bedroom_2,living,entry,kitchen,entry,bedroom_2,kitchen,kitchen,kitchen,kitchen,bedroom_1,bedroom_1,entry,kitchen,bedroom_1,bedroom_1,bedroom_2,entry,entry,entry,entry,kitchen,entry,living,bedroom_1,bedroom_1,kitchen,entry,kitchen,living,living,kitchen,kitchen,kitchen,kitchen,kitchen,bathroom,bedroom_2,entry,bedroom_2,bedroom_2
9480,d06 Sun 14:00,bedroom_2,living,entry,kitchen,entry,bedroom_2,kitchen,kitchen,kitchen,kitchen,bedroom_1,bedroom_1,entry,kitchen,bedroom_1,bedroom_1,bedroom_2,entry,entry,entry,entry,living,entry,living,living,bedroom_1,kitchen,entry,kitchen,living,living,kitchen,kitchen,kitchen,kitchen,kitchen,bathroom,bedroom_2,entry,bedroom_2,bedroom_2
9540,d06 Sun 15:00,bedroom_2,living,entry,kitchen,entry,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom_1,bathroom,entry,kitchen,bedroom_1,bedroom_1,bedroom_2,living,entry,entry,entry,bedroom_1,entry,living,living,bedroom_1,kitchen,entry,kitchen,living,living,kitchen,kitchen,kitchen,kitchen,kitchen,bathroom,bedroom_2,entry,bedroom_2,bedroom_2
9600,d06 Sun 16:00,bedroom_2,living,entry,kitchen,entry,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom_1,bedroom_1,entry,kitchen,bedroom_1,bedroom_1,bedroom_2,living,entry,entry,entry,bedroom_1,entry,living,bedroom_1,bedroom_1,kitchen,entry,kitchen,living,living,kitchen,kitchen,kitchen,kitchen,kitchen,bathroom,bedroom_2,entry,bedroom_2,bedroom_2
9660,d06 Sun 17:00,bedroom_2,living,entry,kitchen,entry,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom_1,bedroom_1,entry,kitchen,bedroom_1,bedroom_1,bedroom_2,living,entry,entry,entry,bedroom_1,entry,living,bedroom_1,bedroom_1,kitchen,entry,kitchen,living,living,kitchen,kitchen,kitchen,kitchen,kitchen,bathroom,bedroom_2,entry,bedroom_2,bedroom_2
9720,d06 Sun 18:00,bedroom_2,living,entry,kitchen,entry,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom_1,bedroom_1,entry,kitchen,bedroom_1,bedroom_1,bedroom_2,living,entry,entry,entry,bedroom_1,entry,living,bedroom_1,bedroom_1,kitchen,entry,kitchen,living,living,kitchen,kitchen,kitchen,kitchen,kitchen,bathroom,bedroom_2,entry,bedroom_2,bedroom_2
9780,d06 Sun 19:00,bedroom_2,living,entry,kitchen,entry,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom_1,bedroom_1,entry,kitchen,bedroom_1,bedroom_1,bedroom_2,living,entry,entry,entry,bedroom_1,entry,living,bedroom_1,bedroom_1,kitchen,entry,kitchen,living,living,kitchen,kitchen,kitchen,kitchen,kitchen,bathroom,bedroom_2,entry,bedroom_2,bedroom_2
9840,d06 Sun 20:00,bedroom_2,living,entry,kitchen,entry,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom_1,bedroom_1,entry,kitchen,bedroom_1,bedroom_1,bedroom_2,living,entry,entry,entry,bedroom_1,entry,living,bedroom_1,bedroom_1,kitchen,entry,kitchen,living,living,kitchen,kitchen,kitchen,kitchen,kitchen,bathroom,bedroom_2,entry,bedroom_2,bedroom_2
9900,d06 Sun 21:00,bedroom_2,living,entry,kitchen,entry,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom_1,kitchen,entry,kitchen,bedroom_1,bedroom_1,bedroom_2,living,entry,entry,entry,bedroom_1,entry,living,bedroom_1,bedroom_1,kitchen,entry,kitchen,living,living,kitchen,kitchen,kitchen,kitchen,kitchen,bathroom,bedroom_2,entry,bedroom_2,bedroom_2
9960,d06 Sun 22:00,bedroom_2,living,entry,kitchen,entry,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom_1,kitchen,entry,kitchen,bedroom_1,bedroom_1,bedroom_2,living,entry,entry,entry,bedroom_1,entry,living,bedroom_1,bedroom_1,kitchen,entry,kitchen,living,living,kitchen,kitchen,kitchen,kitchen,kitchen,bathroom,bedroom_2,entry,bedroom_2,bedroom_2
10020,d06 Sun 23:00,bedroom_2,living,entry,kitchen,entry,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom_1,kitchen,entry,kitchen,bedroom_1,bedroom_1,bedroom_2,living,entry,entry,entry,bedroom_1,entry,living,bedroom_1,bedroom_1,kitchen,entry,kitchen,living,living,kitchen,kitchen,kitchen,kitchen,kitchen,bathroom,bedroom_2,entry,bedroom_2,bedroom_2
10080,d07 Mon 00:00,bedroom_2,living,entry,kitchen,entry,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom_1,kitchen,entry,kitchen,bedroom_1,bedroom_1,bedroom_2,living,entry,entry,entry,bedroom_1,entry,living,bedroom_1,bedroom_1,kitchen,entry,kitchen,living,living,kitchen,kitchen,kitchen,kitchen,kitchen,bathroom,bedroom_2,entry,bedroom_2,bedroom_2
10140,d07 Mon 01:00,bedroom_2,living,entry,kitchen,entry,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom_1,kitchen,entry,kitchen,bedroom_1,bedroom_1,bedroom_2,living,entry,entry,entry,bedroom_1,entry,living,bedroom_1,bedroom_1,kitchen,entry,kitchen,living,living,kitchen,kitchen,kitchen,kitchen,kitchen,bathroom,bedroom_2,entry,bedroom_2,bedroom_2
10200,d07 Mon 02:00,bedroom_2,living,entry,kitchen,entry,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom_1,kitchen,entry,kitchen,bedroom_1,bedroom_1,bedroom_2,living,entry,entry,entry,bedroom_1,entry,living,bedroom_1,bedroom_1,kitchen,entry,kitchen,living,living,kitchen,kitchen,kitchen,kitchen,kitchen,bathroom,bedroom_2,entry,bedroom_2,bedroom_2
10260,d07 Mon 03:00,bedroom_2,living,entry,kitchen,entry,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom_1,kitchen,entry,kitchen,bedroom_1,bedroom_1,bedroom_2,living,entry,entry,entry,bedroom_1,entry,living,bedroom_1,bedroom_1,kitchen,entry,kitchen,living,living,kitchen,kitchen,kitchen,kitchen,kitchen,bathroom,bedroom_2,entry,bedroom_2,bedroom_2
10320,d07 Mon 04:00,bedroom_2,living,entry,kitchen,entry,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom_1,kitchen,entry,kitchen,bedroom_1,bedroom_1,bedroom_2,living,entry,entry,entry,bedroom_1,entry,living,bedroom_1,bedroom_1,kitchen,entry,kitchen,living,living,kitchen,kitchen,kitchen,kitchen,kitchen,bathroom,bedroom_2,entry,bedroom_2,bedroom_2
10380,d07 Mon 05:00,bedroom_2,living,entry,kitchen,entry,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom_1,kitchen,entry,kitchen,bedroom_1,bedroom_1,bedroom_2,living,entry,entry,entry,bedroom_1,entry,living,bedroom_1,bedroom_1,kitchen,entry,kitchen,living,living,kitchen,kitchen,kitchen,kitchen,kitchen,bathroom,bedroom_2,entry,bedroom_2,bedroom_2
10440,d07 Mon 06:00,bedroom_2,bedroom_1,entry,kitchen,entry,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom_1,kitchen,entry,kitchen,bedroom_1,bedroom_1,bedroom_2,living,entry,entry,entry,bathroom,entry,living,bedroom_1,bedroom_1,kitchen,entry,bathroom,living,living,kitchen,kitchen,kitchen,kitchen,kitchen,bathroom,bedroom_2,entry,bedroom_2,bedroom_2
10500,d07 Mon 07:00,bedroom_2,kitchen,entry,kitchen,entry,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom_1,kitchen,entry,kitchen,bedroom_1,bedroom_1,bedroom_2,living,entry,entry,entry,kitchen,entry,kitchen,bedroom_1,bedroom_1,kitchen,entry,bathroom,living,living,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom_2,bedroom_2,entry,bedroom_2,bedroom_2
10560,d07 Mon 08:00,bedroom_2,kitchen,entry,kitchen,entry,kitchen,kitchen,kitchen,kitchen,bedroom_2,bedroom_1,kitchen,entry,kitchen,bedroom_1,bedroom_1,bedroom_2,living,entry,entry,entry,kitchen,entry,kitchen,bedroom_1,bedroom_1,kitchen,kitchen,bathroom,living,living,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom_2,bedroom_2,entry,bedroom_2,bedroom_2
10620,d07 Mon 09:00,outside,outside,outside,outside,outside,outside,outside,outside,outside,bedroom_2,bedroom_1,kitchen,outside,outside,bedroom_1,outside,outside,outside,outside,outside,outside,outside,outside,kitchen,bedroom_1,outside,outside,outside,bathroom,living,living,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom_2,bedroom_2,entry,bedroom_2,bedroom_2
10680,d07 Mon 10:00,outside,outside,outside,outside,outside,outside,outside,outside,outside,bedroom_2,bedroom_1,kitchen,outside,outside,bedroom_1,outside,outside,outside,outside,outside,outside,outside,outside,kitchen,bedroom_1,outside,outside,outside,bathroom,living,living,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom_2,bedroom_2,entry,bedroom_2,bedroom_2
10740,d07 Mon 11:00,outside,outside,outside,outside,outside,outside,outside,outside,outside,bedroom_2,bedroom_1,kitchen,outside,outside,bedroom_1,outside,outside,outside,outside,outside,outside,outside,outside,kitchen,bedroom_1,outside,outside,outside,bathroom,living,living,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom_2,bedroom_2,entry,bedroom_2,bedroom_2
10800,d07 Mon 12:00,outside,outside,outside,outside,outside,outside,outside,outside,outside,bedroom_2,bedroom_1,kitchen,outside,outside,bedroom_1,outside,outside,outside,outside,outside,outside,outside,outside,kitchen,bedroom_1,outside,outside,outside,bathroom,living,living,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom_2,bedroom_2,entry,bedroom_2,bedroom_2
10860,d07 Mon 13:00,outside,outside,outside,outside,outside,outside,outside,outside,outside,bedroom_2,bedroom_1,kitchen,outside,outside,bedroom_1,outside,outside,outside,outside,outside,outside,outside,outside,kitchen,bedroom_1,outside,outside,outside,bathroom,living,living,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom_2,bedroom_2,entry,bedroom_2,bedroom_2
10920,d07 Mon 14:00,outside,outside,outside,outside,outside,outside,outside,outside,outside,bedroom_2,bedroom_1,kitchen,outside,outside,bedroom_1,outside,outside,outside,outside,outside,outside,outside,outside,kitchen,bedroom_1,outside,outside,outside,bathroom,living,living,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom_2,bedroom_2,entry,bedroom_2,bedroom_2
10980,d07 Mon 15:00,outside,outside,outside,outside,outside,outside,outside,outside,outside,bedroom_2,bedroom_1,kitchen,outside,outside,bedroom_1,outside,outside,entry,entry,entry,entry,kitchen,kitchen,kitchen,bedroom_1,entry,kitchen,kitchen,bathroom,living,living,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom_2,bedroom_2,entry,bedroom_2,bedroom_2
11040,d07 Mon 16:00,outside,outside,outside,outside,outside,outside,outside,outside,outside,bedroom_2,bedroom_1,kitchen,outside,outside,bedroom_1,outside,outside,entry,entry,entry,kitchen,kitchen,kitchen,kitchen,bedroom_1,entry,kitchen,kitchen,bathroom,living,living,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom_2,bedroom_2,entry,bedroom_2,bedroom_2
11100,d07 Mon 17:00,bedroom_2,entry,entry,entry,kitchen,bedroom_2,kitchen,kitchen,kitchen,bedroom_2,bedroom_1,kitchen,kitchen,kitchen,bedroom_1,bedroom_1,bedroom_2,bedroom_1,entry,entry,entry,kitchen,kitchen,kitchen,bedroom_1,bedroom_1,kitchen,kitchen,bathroom,living,living,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom_2,bedroom_2,entry,bedroom_2,bedroom_2
11160,d07 Mon 18:00,bedroom_2,entry,entry,entry,kitchen,bedroom_2,kitchen,kitchen,kitchen,kitchen,bedroom_1,kitchen,kitchen,kitchen,bedroom_1,bedroom_1,bedroom_2,bedroom_1,entry,entry,entry,kitchen,kitchen,kitchen,bedroom_1,bedroom_1,kitchen,kitchen,bathroom,living,living,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom_2,entry,bedroom_2,bedroom_2
11220,d07 Mon 19:00,bedroom_2,entry,entry,entry,kitchen,bedroom_2,kitchen,kitchen,kitchen,kitchen,bedroom_1,bathroom,kitchen,kitchen,bedroom_1,bedroom_1,bedroom_2,living,entry,entry,entry,living,living,kitchen,bedroom_1,bedroom_1,kitchen,living,bathroom,kitchen,living,kitchen,kitchen,kitchen,kitchen,kitchen,bathroom,bedroom_2,entry,bedroom_2,bedroom_2
11280,d07 Mon 20:00,bedroom_2,entry,entry,entry,kitchen,bedroom_2,kitchen,kitchen,kitchen,kitchen,bedroom_1,bathroom,kitchen,kitchen,bedroom_1,bedroom_1,bedroom_2,living,entry,entry,entry,living,living,kitchen,bedroom_1,bedroom_1,kitchen,living,bathroom,kitchen,living,kitchen,kitchen,kitchen,kitchen,kitchen,bathroom,bedroom_2,entry,bedroom_2,bedroom_2
11340,d07 Mon 21:00,bedroom_2,entry,entry,entry,kitchen,bedroom_2,kitchen,kitchen,kitchen,kitchen,bedroom_1,bathroom,kitchen,kitchen,bedroom_1,bedroom_1,bedroom_2,living,entry,entry,entry,living,living,kitchen,bedroom_1,bedroom_1,kitchen,living,bathroom,kitchen,living,kitchen,kitchen,kitchen,kitchen,kitchen,bathroom,bedroom_2,entry,bedroom_2,bedroom_2
11400,d07 Mon 22:00,bedroom_2,entry,entry,entry,kitchen,bedroom_2,kitchen,kitchen,kitchen,kitchen,bedroom_1,bathroom,kitchen,kitchen,bedroom_1,bedroom_1,bedroom_2,living,entry,entry,entry,living,living,kitchen,bedroom_1,bedroom_1,kitchen,living,bathroom,kitchen,living,kitchen,kitchen,kitchen,kitchen,kitchen,bathroom,bedroom_2,entry,bedroom_2,bedroom_2
11460,d07 Mon 23:00,bedroom_2,entry,entry,entry,kitchen,bedroom_2,kitchen,kitchen,kitchen,kitchen,kitchen,bathroom,kitchen,kitchen,bedroom_1,bedroom_1,bedroom_2,living,entry,entry,entry,living,living,kitchen,bedroom_1,bedroom_1,kitchen,living,bathroom,kitchen,living,kitchen,kitchen,kitchen,kitchen,kitchen,bathroom,bedroom_2,entry,bedroom_2,bedroom_2
11520,d08 Tue 00:00,bedroom_2,entry,entry,entry,kitchen,bedroom_2,kitchen,kitchen,kitchen,kitchen,kitchen,bathroom,kitchen,kitchen,bedroom_1,bedroom_1,bedroom_2,living,entry,entry,entry,living,living,kitchen,bedroom_1,bedroom_1,kitchen,living,bathroom,kitchen,living,kitchen,kitchen,kitchen,kitchen,kitchen,bathroom,bedroom_2,entry,bedroom_2,bedroom_2
11580,d08 Tue 01:00,bedroom_2,entry,entry,entry,kitchen,bedroom_2,kitchen,kitchen,kitchen,kitchen,kitchen,bathroom,kitchen,kitchen,bedroom_1,bedroom_1,bedroom_2,living,entry,entry,entry,bedroom_1,bedroom_1,kitchen,bedroom_1,bedroom_1,kitchen,bedroom_1,bathroom,kitchen,living,kitchen,kitchen,kitchen,kitchen,kitchen,bathroom,bedroom_2,entry,bedroom_2,bedroom_2
11640,d08 Tue 02:00,bedroom_2,entry,entry,entry,kitchen,bedroom_2,kitchen,kitchen,kitchen,kitchen,kitchen,bathroom,kitchen,kitchen,bedroom_1,bedroom_1,bedroom_2,living,entry,entry,entry,bedroom_1,bedroom_1,kitchen,bedroom_1,bedroom_1,kitchen,bedroom_1,bathroom,kitchen,living,kitchen,kitchen,kitchen,kitchen,kitchen,bathroom,bedroom_2,entry,bedroom_2,bedroom_2
11700,d08 Tue 03:00,bedroom_2,entry,entry,entry,kitchen,bedroom_2,kitchen,kitchen,kitchen,kitchen,kitchen,bathroom,kitchen,kitchen,bedroom_1,bedroom_1,bedroom_2,living,entry,entry,entry,bedroom_1,bedroom_1,kitchen,bedroom_1,bedroom_1,kitchen,bedroom_1,bathroom,kitchen,living,kitchen,kitchen,kitchen,kitchen,kitchen,bathroom,bedroom_2,entry,bedroom_2,bedroom_2
11760,d08 Tue 04:00,bedroom_2,entry,entry,entry,kitchen,bedroom_2,kitchen,kitchen,kitchen,kitchen,kitchen,bathroom,kitchen,kitchen,bedroom_1,bedroom_1,bedroom_2,living,entry,entry,entry,bedroom_1,bedroom_1,kitchen,bedroom_1,bedroom_1,kitchen,bedroom_1,bathroom,kitchen,living,kitchen,kitchen,kitchen,kitchen,kitchen,bathroom,bedroom_2,entry,bedroom_2,bedroom_2
11820,d08 Tue 05:00,bedroom_2,entry,entry,entry,kitchen,bedroom_2,kitchen,kitchen,kitchen,kitchen,kitchen,bathroom,kitchen,kitchen,bedroom_1,bedroom_1,bedroom_2,living,entry,entry,entry,bedroom_1,bedroom_1,kitchen,bedroom_1,bedroom_1,kitchen,bedroom_1,bathroom,kitchen,living,kitchen,kitchen,kitchen,kitchen,kitchen,bathroom,bedroom_2,entry,bedroom_2,bedroom_2
11880,d08 Tue 06:00,bedroom_2,entry,entry,entry,kitchen,bedroom_2,kitchen,kitchen,kitchen,kitchen,kitchen,bathroom,kitchen,kitchen,bedroom_1,bedroom_1,bedroom_2,living,entry,entry,entry,bedroom_1,bedroom_1,kitchen,bedroom_1,bedroom_1,kitchen,bedroom_1,bathroom,kitchen,living,kitchen,kitchen,kitchen,kitchen,kitchen,bathroom,bedroom_2,entry,bedroom_2,bedroom_2
11940,d08 Tue 07:00,bedroom_2,bathroom,entry,entry,kitchen,bedroom_2,kitchen,kitchen,kitchen,kitchen,kitchen,bathroom,kitchen,kitchen,bedroom_1,bedroom_1,bedroom_2,living,entry,entry,entry,kitchen,kitchen,kitchen,bedroom_1,bedroom_1,kitchen,kitchen,bathroom,kitchen,living,kitchen,kitchen,kitchen,kitchen,kitchen,bathroom,bedroom_2,entry,bedroom_2,bedroom_2
12000,d08 Tue 08:00,bedroom_2,living,entry,entry,kitchen,bedroom_2,kitchen,kitchen,kitchen,kitchen,kitchen,bathroom,kitchen,kitchen,bedroom_1,bedroom_1,bedroom_2,outside,outside,outside,outside,outside,outside,living,bedroom_1,outside,outside,outside,bathroom,kitchen,living,kitchen,kitchen,kitchen,kitchen,kitchen,bathroom,bedroom_2,entry,bedroom_2,bedroom_2
12060,d08 Tue 09:00,bedroom_2,living,entry,entry,kitchen,bedroom_2,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom_2,kitchen,kitchen,bedroom_1,bedroom_1,bedroom_2,outside,outside,outside,outside,outside,outside,living,bedroom_1,outside,outside,outside,bathroom,kitchen,living,kitchen,kitchen,kitchen,kitchen,kitchen,bathroom,bedroom_2,entry,bedroom_2,bedroom_2
12120,d08 Tue 10:00,bedroom_2,kitchen,entry,entry,kitchen,bedroom_2,kitchen,kitchen,kitchen,kitchen,bedroom_1,bedroom_2,kitchen,kitchen,bedroom_1,bedroom_1,bedroom_2,outside,outside,outside,outside,outside,outside,living,bedroom_1,outside,outside,outside,bathroom,kitchen,living,kitchen,kitchen,kitchen,kitchen,kitchen,bathroom,bedroom_2,entry,bedroom_2,bedroom_2
12180,d08 Tue 11:00,bedroom_2,kitchen,entry,entry,kitchen,bedroom_2,kitchen,kitchen,kitchen,kitchen,bedroom_1,bedroom_2,kitchen,kitchen,bedroom_1,bedroom_1,bedroom_2,outside,outside,outside,outside,outside,outside,living,bedroom_1,outside,outside,outside,bathroom,kitchen,living,kitchen,kitchen,kitchen,kitchen,kitchen,bathroom,bedroom_2,entry,bedroom_2,bedroom_2
12240,d08 Tue 12:00,bedroom_2,kitchen,entry,entry,kitchen,bedroom_2,kitchen,kitchen,kitchen,kitchen,bedroom_1,bedroom_2,kitchen,kitchen,bedroom_1,bedroom_1,bedroom_2,outside,outside,outside,outside,outside,outside,living,bedroom_1,outside,outside,outside,bathroom,kitchen,living,kitchen,kitchen,kitchen,kitchen,kitchen,bathroom,bedroom_2,entry,bedroom_2,bedroom_2
12300,d08 Tue 13:00,bedroom_2,kitchen,entry,entry,kitchen,bedroom_2,kitchen,kitchen,kitchen,kitchen,living,bedroom_2,kitchen,kitchen,bedroom_1,bedroom_1,bedroom_2,outside,outside,kitchen,outside,outside,outside,living,bedroom_1,outside,outside,outside,bathroom,kitchen,living,kitchen,kitchen,kitchen,kitchen,kitchen,bathroom,bedroom_2,entry,bedroom_2,bedroom_2
12360,d08 Tue 14:00,bedroom_2,kitchen,entry,entry,kitchen,bedroom_2,kitchen,kitchen,kitchen,kitchen,living,bedroom_2,kitchen,kitchen,bedroom_1,bedroom_1,bedroom_2,outside,outside,kitchen,outside,outside,outside,living,bedroom_1,outside,outside,outside,bathroom,kitchen,living,kitchen,kitchen,kitchen,kitchen,kitchen,bathroom,bedroom_2,entry,bedroom_2,bedroom_2
12420,d08 Tue 15:00,kitchen,kitchen,entry,entry,entry,bedroom_2,bedroom_2,kitchen,kitchen,kitchen,bedroom_1,bedroom_2,entry,kitchen,bedroom_1,bedroom_1,bedroom_2,entry,entry,entry,entry,kitchen,entry,living,bedroom_1,entry,kitchen,entry,bathroom,kitchen,living,kitchen,kitchen,kitchen,kitchen,kitchen,bathroom,bedroom_2,entry,bedroom_2,bedroom_2
12480,d08 Tue 16:00,kitchen,kitchen,entry,entry,entry,bedroom_2,bedroom_2,kitchen,kitchen,kitchen,bedroom_1,bedroom_2,entry,kitchen,bedroom_1,bedroom_1,bedroom_2,entry,entry,entry,entry,kitchen,entry,living,living,entry,kitchen,entry,bathroom,living,living,kitchen,kitchen,kitchen,kitchen,kitchen,bathroom,bedroom_2,entry,bedroom_2,bedroom_2
12540,d08 Tue 17:00,kitchen,kitchen,entry,entry,entry,bedroom_2,bedroom_2,kitchen,kitchen,kitchen,bedroom_1,bedroom_1,entry,kitchen,bedroom_1,bedroom_1,bedroom_2,living,entry,entry,entry,kitchen,entry,living,bedroom_1,entry,kitchen,entry,bathroom,living,living,kitchen,kitchen,kitchen,kitchen,kitchen,bathroom,bedroom_2,entry,bedroom_2,bedroom_2
12600,d08 Tue 18:00,kitchen,kitchen,entry,entry,entry,bedroom_2,bedroom_2,kitchen,kitchen,kitchen,bedroom_1,bedroom_1,entry,kitchen,bedroom_1,bedroom_1,bedroom_2,living,entry,entry,entry,kitchen,entry,living,living,entry,kitchen,entry,bathroom,living,living,kitchen,kitchen,kitchen,kitchen,kitchen,bathroom,bedroom_2,entry,bedroom_2,bedroom_2
12660,d08 Tue 19:00,kitchen,kitchen,entry,entry,entry,bedroom_2,bedroom_2,kitchen,kitchen,kitchen,bedroom_1,bedroom_1,entry,kitchen,bedroom_1,bedroom_1,bedroom_2,living,entry,entry,entry,kitchen,entry,living,living,entry,kitchen,entry,bathroom,living,living,kitchen,kitchen,kitchen,kitchen,kitchen,bathroom,bedroom_2,entry,bedroom_2,bedroom_2
12720,d08 Tue 20:00,kitchen,kitchen,entry,entry,entry,bedroom_2,bedroom_2,kitchen,kitchen,kitchen,bedroom_1,bathroom,kitchen,kitchen,bedroom_1,bedroom_1,bedroom_2,living,entry,entry,entry,kitchen,entry,living,bathroom,entry,kitchen,entry,bathroom,living,living,kitchen,kitchen,kitchen,kitchen,kitchen,bathroom,bedroom_2,entry,bedroom_2,bedroom_2
12780,d08 Tue 21:00,kitchen,kitchen,entry,entry,kitchen,bedroom_2,bedroom_2,kitchen,kitchen,kitchen,bedroom_1,bedroom_1,kitchen,kitchen,bedroom_1,bedroom_1,bedroom_2,living,entry,entry,entry,kitchen,entry,living,bedroom_1,entry,kitchen,entry,kitchen,living,living,kitchen,kitchen,kitchen,kitchen,kitchen,bathroom,bedroom_2,entry,bedroom_2,bedroom_2
12840,d08 Tue 22:00,kitchen,kitchen,entry,entry,kitchen,bedroom_2,bedroom_2,kitchen,kitchen,kitchen,bedroom_1,bedroom_1,kitchen,kitchen,bedroom_1,bedroom_1,bedroom_2,living,entry,entry,entry,kitchen,entry,living,bedroom_1,entry,kitchen,entry,kitchen,living,living,kitchen,kitchen,kitchen,kitchen,kitchen,bathroom,bedroom_2,entry,bedroom_2,bedroom_2
12900,d08 Tue 23:00,kitchen,kitchen,entry,entry,kitchen,bedroom_2,bedroom_2,kitchen,kitchen,kitchen,bedroom_1,bedroom_1,kitchen,kitchen,bedroom_1,bedroom_1,bedroom_2,living,entry,entry,entry,kitchen,entry,living,bedroom_1,entry,kitchen,entry,kitchen,living,living,kitchen,kitchen,kitchen,kitchen,kitchen,bathroom,bedroom_2,entry,bedroom_2,bedroom_2
12960,d09 Wed 00:00,kitchen,kitchen,entry,entry,kitchen,bedroom_2,bedroom_2,kitchen,kitchen,kitchen,bedroom_1,bedroom_1,kitchen,kitchen,bedroom_1,bedroom_1,bedroom_2,living,entry,entry,entry,kitchen,entry,living,bedroom_1,entry,kitchen,entry,kitchen,living,living,kitchen,kitchen,kitchen,kitchen,kitchen,bathroom,bedroom_2,entry,bedroom_2,bedroom_2
13020,d09 Wed 01:00,kitchen,kitchen,entry,entry,kitchen,bedroom_2,bedroom_2,kitchen,kitchen,kitchen,bedroom_1,bedroom_1,kitchen,kitchen,bedroom_1,bedroom_1,bedroom_2,living,entry,entry,entry,kitchen,entry,living,bedroom_1,entry,kitchen,entry,kitchen,living,living,kitchen,kitchen,kitchen,kitchen,kitchen,bathroom,bedroom_2,entry,bedroom_2,bedroom_2
13080,d09 Wed 02:00,kitchen,kitchen,entry,entry,kitchen,bedroom_2,bedroom_2,kitchen,kitchen,kitchen,bedroom_1,bedroom_1,kitchen,kitchen,bedroom_1,bedroom_1,bedroom_2,living,entry,entry,entry,kitchen,entry,living,bedroom_1,entry,kitchen,entry,kitchen,living,living,kitchen,kitchen,kitchen,kitchen,kitchen,bathroom,bedroom_2,entry,bedroom_2,bedroom_2
13140,d09 Wed 03:00,kitchen,kitchen,entry,entry,kitchen,bedroom_2,bedroom_2,kitchen,kitchen,kitchen,bedroom_1,bedroom_1,kitchen,kitchen,bedroom_1,bedroom_1,bedroom_2,living,entry,entry,entry,kitchen,entry,living,bedroom_1,entry,kitchen,entry,kitchen,living,living,kitchen,kitchen,kitchen,kitchen,kitchen,bathroom,bedroom_2,entry,bedroom_2,bedroom_2
