t,stamp,phone_marie,keys_marie,wallet_marie,laptop_marie,charger_marie,backpack_marie,jacket_marie,water_bottle_marie,mug_marie,bowl_marie,plate_marie,pot_shared_1,pan_shared_1,book_marie,notebook_marie,pen_marie,headphones_marie,remote_shared_1,blanket_marie,yoga_mat_marie,towel_marie,laundry_basket_marie,hairbrush_marie,umbrella_marie,suitcase_marie
7200,d05 Sat 00:00,bedroom,entry,kitchen,kitchen,kitchen,entry,kitchen,bedroom,kitchen,entry,kitchen,kitchen,kitchen,bedroom,kitchen,entry,entry,living,kitchen,living,bedroom,bedroom,bathroom,entry,bedroom
7260,d05 Sat 01:00,bedroom,entry,kitchen,kitchen,kitchen,entry,kitchen,bedroom,kitchen,entry,kitchen,kitchen,kitchen,bedroom,kitchen,entry,entry,living,kitchen,living,bedroom,bedroom,bathroom,entry,bedroom
7320,d05 Sat 02:00,bedroom,entry,kitchen,kitchen,kitchen,entry,kitchen,bedroom,kitchen,entry,kitchen,kitchen,kitchen,bedroom,kitchen,entry,entry,living,kitchen,living,bedroom,bedroom,bathroom,entry,bedroom
7380,d05 Sat 03:00,bedroom,entry,kitchen,kitchen,kitchen,entry,kitchen,bedroom,kitchen,entry,kitchen,kitchen,kitchen,bedroom,kitchen,entry,entry,living,kitchen,living,bedroom,bedroom,bathroom,entry,bedroom
7440,d05 Sat 04:00,bedroom,entry,kitchen,kitchen,kitchen,entry,kitchen,bedroom,kitchen,entry,kitchen,kitchen,kitchen,bedroom,kitchen,entry,entry,living,kitchen,living,bedroom,bedroom,bathroom,entry,bedroom
7500,d05 Sat 05:00,bedroom,entry,kitchen,kitchen,kitchen,entry,kitchen,bedroom,kitchen,entry,kitchen,kitchen,kitchen,bedroom,kitchen,entry,entry,living,kitchen,living,bedroom,bedroom,bathroom,entry,bedroom
7560,d05 Sat 06:00,bedroom,entry,kitchen,kitchen,kitchen,entry,kitchen,bedroom,kitchen,entry,kitchen,kitchen,kitchen,bedroom,kitchen,entry,entry,living,kitchen,living,bedroom,bedroom,bathroom,entry,bedroom
7620,d05 Sat 07:00,bedroom,entry,kitchen,kitchen,kitchen,entry,kitchen,bedroom,kitchen,entry,kitchen,kitchen,kitchen,bedroom,kitchen,entry,entry,living,kitchen,living,bedroom,bedroom,bathroom,entry,bedroom
7680,d05 Sat 08:00,kitchen,entry,kitchen,kitchen,kitchen,entry,kitchen,bedroom,kitchen,entry,kitchen,kitchen,kitchen,bedroom,kitchen,entry,entry,living,kitchen,living,bedroom,bedroom,bathroom,entry,bedroom
7740,d05 Sat 09:00,kitchen,entry,kitchen,kitchen,kitchen,entry,kitchen,bedroom,kitchen,entry,kitchen,kitchen,kitchen,bedroom,kitchen,entry,entry,living,kitchen,living,bedroom,bathroom,bathroom,entry,bedroom
7800,d05 Sat 10:00,kitchen,entry,kitchen,kitchen,kitchen,entry,kitchen,bedroom,kitchen,entry,kitchen,kitchen,kitchen,bedroom,kitchen,entry,kitchen,living,kitchen,living,bedroom,bathroom,bathroom,entry,bedroom
7860,d05 Sat 11:00,outside,entry,kitchen,kitchen,kitchen,entry,outside,bedroom,kitchen,entry,kitchen,kitchen,kitchen,bedroom,kitchen,entry,outside,living,kitchen,living,bedroom,bathroom,bathroom,entry,bedroom
7920,d05 Sat 12:00,outside,entry,kitchen,kitchen,kitchen,entry,outside,bedroom,kitchen,entry,kitchen,kitchen,kitchen,bedroom,kitchen,entry,outside,living,kitchen,living,bedroom,bathroom,bathroom,entry,bedroom
7980,d05 Sat 13:00,entry,entry,kitchen,kitchen,kitchen,entry,kitchen,bedroom,kitchen,entry,kitchen,kitchen,kitchen,bedroom,kitchen,entry,entry,living,kitchen,living,bedroom,bathroom,kitchen,entry,bedroom
8040,d05 Sat 14:00,entry,entry,kitchen,kitchen,kitchen,entry,kitchen,bedroom,kitchen,entry,kitchen,kitchen,kitchen,living,kitchen,entry,entry,living,kitchen,living,bedroom,bathroom,kitchen,entry,bedroom
8100,d05 Sat 15:00,entry,entry,kitchen,kitchen,kitchen,entry,kitchen,bedroom,kitchen,entry,kitchen,kitchen,kitchen,living,kitchen,kitchen,entry,living,kitchen,living,bedroom,bathroom,kitchen,entry,bedroom
8160,d05 Sat 16:00,entry,entry,kitchen,kitchen,kitchen,entry,kitchen,bedroom,kitchen,entry,kitchen,kitchen,kitchen,living,kitchen,kitchen,entry,living,kitchen,living,bedroom,bathroom,kitchen,entry,bedroom
8220,d05 Sat 17:00,entry,entry,kitchen,kitchen,kitchen,entry,kitchen,bedroom,kitchen,entry,kitchen,kitchen,kitchen,living,kitchen,kitchen,entry,living,kitchen,living,bathroom,bedroom,kitchen,entry,bedroom
8280,d05 Sat 18:00,outside,entry,outside,kitchen,kitchen,kitchen,kitchen,bedroom,kitchen,entry,kitchen,kitchen,kitchen,living,kitchen,kitchen,entry,living,kitchen,living,bathroom,bedroom,bathroom,entry,bedroom
8340,d05 Sat 19:00,outside,entry,outside,kitchen,kitchen,kitchen,kitchen,bedroom,kitchen,entry,kitchen,kitchen,kitchen,living,kitchen,kitchen,entry,living,kitchen,living,bathroom,bedroom,bathroom,entry,bedroom
8400,d05 Sat 20:00,outside,entry,outside,kitchen,kitchen,kitchen,kitchen,bedroom,kitchen,entry,kitchen,kitchen,kitchen,living,kitchen,kitchen,entry,living,kitchen,living,bathroom,bedroom,bathroom,entry,bedroom
8460,d05 Sat 21:00,outside,entry,outside,kitchen,kitchen,kitchen,kitchen,bedroom,kitchen,entry,kitchen,kitchen,kitchen,living,kitchen,kitchen,entry,living,kitchen,living,bathroom,bedroom,bathroom,entry,bedroom
8520,d05 Sat 22:00,outside,entry,outside,kitchen,kitchen,kitchen,kitchen,bedroom,kitchen,entry,kitchen,kitchen,kitchen,living,kitchen,kitchen,entry,living,kitchen,living,bathroom,bedroom,bathroom,entry,bedroom
8580,d05 Sat 23:00,entry,entry,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,kitchen,entry,kitchen,kitchen,kitchen,living,kitchen,kitchen,entry,living,kitchen,living,bathroom,bedroom,bathroom,entry,bedroom
8640,d06 Sun 00:00,bedroom,entry,kitchen,kitchen,bedroom,kitchen,kitchen,bedroom,kitchen,entry,kitchen,kitchen,kitchen,living,kitchen,kitchen,entry,living,kitchen,living,bathroom,bedroom,bathroom,entry,bedroom
8700,d06 Sun 01:00,bedroom,entry,kitchen,kitchen,bedroom,kitchen,kitchen,bedroom,kitchen,entry,kitchen,kitchen,kitchen,living,kitchen,kitchen,entry,living,kitchen,living,bathroom,bedroom,bathroom,entry,bedroom
8760,d06 Sun 02:00,bedroom,entry,kitchen,kitchen,bedroom,kitchen,kitchen,bedroom,kitchen,entry,kitchen,kitchen,kitchen,living,kitchen,kitchen,entry,living,kitchen,living,bathroom,bedroom,bathroom,entry,bedroom
8820,d06 Sun 03:00,bedroom,entry,kitchen,kitchen,bedroom,kitchen,kitchen,bedroom,kitchen,entry,kitchen,kitchen,kitchen,living,kitchen,kitchen,entry,living,kitchen,living,bathroom,bedroom,bathroom,entry,bedroom
8880,d06 Sun 04:00,bedroom,entry,kitchen,kitchen,bedroom,kitchen,kitchen,bedroom,kitchen,entry,kitchen,kitchen,kitchen,living,kitchen,kitchen,entry,living,kitchen,living,bathroom,bedroom,bathroom,entry,bedroom
8940,d06 Sun 05:00,bedroom,entry,kitchen,kitchen,bedroom,kitchen,kitchen,bedroom,kitchen,entry,kitchen,kitchen,kitchen,living,kitchen,kitchen,entry,living,kitchen,living,bathroom,bedroom,bathroom,entry,bedroom
9000,d06 Sun 06:00,bedroom,entry,kitchen,kitchen,bedroom,kitchen,kitchen,bedroom,kitchen,entry,kitchen,kitchen,kitchen,living,kitchen,kitchen,entry,living,kitchen,living,bathroom,bedroom,bathroom,entry,bedroom
9060,d06 Sun 07:00,bedroom,entry,kitchen,kitchen,bedroom,kitchen,kitchen,bedroom,kitchen,entry,kitchen,kitchen,kitchen,living,kitchen,kitchen,entry,living,kitchen,living,bathroom,bedroom,bathroom,entry,bedroom
9120,d06 Sun 08:00,living,entry,kitchen,kitchen,bedroom,kitchen,kitchen,bedroom,kitchen,entry,kitchen,kitchen,kitchen,living,kitchen,kitchen,entry,living,kitchen,living,bathroom,bedroom,bathroom,entry,bedroom
9180,d06 Sun 09:00,kitchen,entry,kitchen,kitchen,bedroom,kitchen,kitchen,bedroom,kitchen,entry,kitchen,kitchen,kitchen,living,kitchen,kitchen,entry,living,kitchen,living,bathroom,bedroom,bathroom,entry,bedroom
9240,d06 Sun 10:00,kitchen,entry,kitchen,kitchen,bedroom,kitchen,kitchen,bedroom,kitchen,entry,kitchen,kitchen,kitchen,living,kitchen,kitchen,entry,living,kitchen,living,bathroom,bedroom,bathroom,entry,bedroom
9300,d06 Sun 11:00,outside,entry,kitchen,kitchen,kitchen,kitchen,outside,bedroom,kitchen,entry,kitchen,kitchen,kitchen,living,kitchen,kitchen,outside,living,kitchen,living,bathroom,bedroom,bathroom,entry,bedroom
9360,d06 Sun 12:00,outside,entry,kitchen,kitchen,kitchen,kitchen,outside,bedroom,kitchen,entry,kitchen,kitchen,kitchen,living,kitchen,kitchen,outside,living,kitchen,living,bathroom,bedroom,bathroom,entry,bedroom
9420,d06 Sun 13:00,entry,entry,kitchen,kitchen,kitchen,kitchen,entry,bedroom,kitchen,entry,kitchen,kitchen,kitchen,living,kitchen,kitchen,entry,living,living,living,bathroom,bedroom,bathroom,kitchen,bedroom
9480,d06 Sun 14:00,entry,entry,kitchen,kitchen,kitchen,kitchen,entry,bedroom,kitchen,entry,kitchen,kitchen,kitchen,living,kitchen,kitchen,entry,living,living,living,bathroom,bedroom,bathroom,kitchen,bedroom
9540,d06 Sun 15:00,entry,entry,kitchen,kitchen,kitchen,kitchen,entry,bedroom,kitchen,entry,kitchen,kitchen,kitchen,living,kitchen,kitchen,entry,living,living,living,bathroom,bedroom,bathroom,kitchen,bedroom
9600,d06 Sun 16:00,entry,entry,kitchen,kitchen,kitchen,kitchen,entry,bedroom,kitchen,entry,kitchen,kitchen,kitchen,living,kitchen,kitchen,entry,living,living,living,bathroom,bedroom,bathroom,kitchen,bedroom
9660,d06 Sun 17:00,entry,entry,kitchen,kitchen,kitchen,kitchen,entry,bedroom,kitchen,entry,kitchen,kitchen,kitchen,living,kitchen,kitchen,entry,living,living,living,bathroom,bedroom,bathroom,kitchen,bedroom
9720,d06 Sun 18:00,entry,entry,kitchen,kitchen,kitchen,kitchen,entry,bedroom,kitchen,entry,kitchen,kitchen,kitchen,living,kitchen,kitchen,entry,living,living,living,bathroom,bedroom,bathroom,kitchen,bedroom
9780,d06 Sun 19:00,entry,entry,kitchen,kitchen,kitchen,kitchen,entry,kitchen,kitchen,entry,kitchen,kitchen,kitchen,living,kitchen,kitchen,entry,living,living,living,bathroom,bedroom,bathroom,kitchen,bedroom
9840,d06 Sun 20:00,entry,entry,kitchen,kitchen,kitchen,kitchen,entry,kitchen,kitchen,entry,kitchen,kitchen,kitchen,living,kitchen,entry,entry,living,living,living,bathroom,bedroom,bathroom,kitchen,bedroom
9900,d06 Sun 21:00,entry,entry,kitchen,kitchen,kitchen,kitchen,entry,kitchen,kitchen,entry,kitchen,kitchen,kitchen,living,kitchen,entry,entry,living,living,living,bathroom,bedroom,bathroom,kitchen,bedroom
9960,d06 Sun 22:00,entry,entry,kitchen,kitchen,kitchen,kitchen,entry,kitchen,kitchen,entry,kitchen,kitchen,kitchen,living,kitchen,entry,entry,living,living,living,bathroom,bedroom,bathroom,kitchen,bedroom
10020,d06 Sun 23:00,bedroom,entry,kitchen,kitchen,kitchen,kitchen,entry,kitchen,kitchen,entry,kitchen,kitchen,kitchen,living,kitchen,entry,entry,living,living,living,bathroom,bedroom,bathroom,kitchen,bedroom
10080,d07 Mon 00:00,bedroom,entry,kitchen,kitchen,kitchen,kitchen,entry,kitchen,kitchen,entry,kitchen,kitchen,kitchen,living,kitchen,entry,entry,living,living,living,bathroom,bedroom,bathroom,kitchen,bedroom
10140,d07 Mon 01:00,bedroom,entry,kitchen,kitchen,kitchen,kitchen,entry,kitchen,kitchen,entry,kitchen,kitchen,kitchen,living,kitchen,entry,entry,living,living,living,bathroom,bedroom,bathroom,kitchen,bedroom
10200,d07 Mon 02:00,bedroom,entry,kitchen,kitchen,kitchen,kitchen,entry,kitchen,kitchen,entry,kitchen,kitchen,kitchen,living,kitchen,entry,entry,living,living,living,bathroom,bedroom,bathroom,kitchen,bedroom
10260,d07 Mon 03:00,bedroom,entry,kitchen,kitchen,kitchen,kitchen,entry,kitchen,kitchen,entry,kitchen,kitchen,kitchen,living,kitchen,entry,entry,living,living,living,bathroom,bedroom,bathroom,kitchen,bedroom
10320,d07 Mon 04:00,bedroom,entry,kitchen,kitchen,kitchen,kitchen,entry,kitchen,kitchen,entry,kitchen,kitchen,kitchen,living,kitchen,entry,entry,living,living,living,bathroom,bedroom,bathroom,kitchen,bedroom
10380,d07 Mon 05:00,bedroom,entry,kitchen,kitchen,kitchen,kitchen,entry,kitchen,kitchen,entry,kitchen,kitchen,kitchen,living,kitchen,entry,entry,living,living,living,bathroom,bedroom,bathroom,kitchen,bedroom
10440,d07 Mon 06:00,kitchen,entry,kitchen,kitchen,kitchen,kitchen,entry,kitchen,kitchen,entry,kitchen,kitchen,kitchen,living,kitchen,entry,entry,living,living,living,bathroom,bedroom,bathroom,kitchen,bedroom
10500,d07 Mon 07:00,kitchen,entry,kitchen,kitchen,kitchen,kitchen,entry,kitchen,kitchen,entry,kitchen,kitchen,kitchen,living,kitchen,entry,entry,living,living,living,bathroom,bedroom,bathroom,kitchen,bedroom
10560,d07 Mon 08:00,bedroom,entry,kitchen,kitchen,kitchen,kitchen,entry,kitchen,kitchen,entry,kitchen,kitchen,kitchen,living,kitchen,entry,kitchen,living,living,living,bathroom,bedroom,bathroom,kitchen,bedroom
10620,d07 Mon 09:00,outside,outside,outside,outside,outside,outside,outside,outside,kitchen,entry,kitchen,kitchen,kitchen,living,outside,outside,kitchen,living,living,living,bathroom,bedroom,bathroom,kitchen,bedroom
10680,d07 Mon 10:00,outside,outside,outside,outside,outside,outside,outside,outside,kitchen,entry,kitchen,kitchen,kitchen,living,outside,outside,kitchen,living,living,living,bathroom,bedroom,bathroom,kitchen,bedroom
10740,d07 Mon 11:00,outside,outside,outside,outside,outside,outside,outside,outside,kitchen,entry,kitchen,kitchen,kitchen,living,outside,outside,kitchen,living,living,living,bathroom,bedroom,bathroom,kitchen,bedroom
10800,d07 Mon 12:00,outside,outside,outside,outside,outside,outside,outside,outside,kitchen,entry,kitchen,kitchen,kitchen,living,outside,outside,kitchen,living,living,living,bathroom,bedroom,bathroom,kitchen,bedroom
10860,d07 Mon 13:00,outside,outside,outside,outside,outside,outside,outside,outside,kitchen,entry,kitchen,kitchen,kitchen,living,outside,outside,kitchen,living,living,living,bathroom,bedroom,bathroom,kitchen,bedroom
10920,d07 Mon 14:00,outside,outside,outside,outside,outside,outside,outside,outside,kitchen,entry,kitchen,kitchen,kitchen,living,outside,outside,kitchen,living,living,living,bathroom,bedroom,bathroom,kitchen,bedroom
10980,d07 Mon 15:00,outside,outside,outside,outside,outside,outside,outside,outside,kitchen,entry,kitchen,kitchen,kitchen,living,outside,outside,kitchen,living,living,living,bathroom,bedroom,bathroom,kitchen,bedroom
11040,d07 Mon 16:00,entry,entry,kitchen,kitchen,entry,entry,kitchen,bedroom,kitchen,entry,kitchen,kitchen,kitchen,living,entry,entry,kitchen,living,living,living,bathroom,bedroom,bathroom,kitchen,bedroom
11100,d07 Mon 17:00,entry,entry,kitchen,kitchen,entry,entry,kitchen,bedroom,kitchen,entry,kitchen,kitchen,kitchen,living,entry,entry,kitchen,living,living,living,bathroom,bedroom,bathroom,kitchen,bedroom
11160,d07 Mon 18:00,entry,entry,kitchen,kitchen,entry,entry,kitchen,bedroom,kitchen,entry,kitchen,kitchen,kitchen,living,entry,entry,kitchen,living,living,living,bathroom,bedroom,bathroom,kitchen,bedroom
11220,d07 Mon 19:00,entry,entry,kitchen,kitchen,entry,entry,kitchen,bedroom,kitchen,entry,kitchen,kitchen,kitchen,living,entry,entry,kitchen,living,living,living,bathroom,bedroom,bathroom,kitchen,bedroom
11280,d07 Mon 20:00,entry,entry,kitchen,kitchen,entry,entry,kitchen,bedroom,living,entry,kitchen,kitchen,kitchen,living,entry,entry,kitchen,living,living,living,bathroom,bedroom,bathroom,kitchen,bedroom
11340,d07 Mon 21:00,entry,entry,kitchen,kitchen,entry,entry,kitchen,bedroom,kitchen,entry,kitchen,kitchen,kitchen,living,entry,entry,kitchen,living,living,living,bathroom,bedroom,bathroom,kitchen,bedroom
11400,d07 Mon 22:00,entry,entry,kitchen,kitchen,entry,entry,kitchen,bedroom,kitchen,entry,kitchen,kitchen,kitchen,living,entry,entry,kitchen,living,living,living,bathroom,bedroom,bathroom,kitchen,bedroom
11460,d07 Mon 23:00,bedroom,entry,kitchen,kitchen,bedroom,entry,kitchen,bedroom,kitchen,entry,kitchen,kitchen,kitchen,living,entry,entry,kitchen,living,living,living,bathroom,bedroom,bathroom,kitchen,bedroom
11520,d08 Tue 00:00,bedroom,entry,kitchen,kitchen,bedroom,entry,kitchen,bedroom,kitchen,entry,kitchen,kitchen,kitchen,living,entry,entry,kitchen,living,living,living,bathroom,bedroom,bathroom,kitchen,bedroom
11580,d08 Tue 01:00,bedroom,entry,kitchen,kitchen,bedroom,entry,kitchen,bedroom,kitchen,entry,kitchen,kitchen,kitchen,living,entry,entry,kitchen,living,living,living,bathroom,bedroom,bathroom,kitchen,bedroom
11640,d08 Tue 02:00,bedroom,entry,kitchen,kitchen,bedroom,entry,kitchen,bedroom,kitchen,entry,kitchen,kitchen,kitchen,living,entry,entry,kitchen,living,living,living,bathroom,bedroom,bathroom,kitchen,bedroom
11700,d08 Tue 03:00,bedroom,entry,kitchen,kitchen,bedroom,entry,kitchen,bedroom,kitchen,entry,kitchen,kitchen,kitchen,living,entry,entry,kitchen,living,living,living,bathroom,bedroom,bathroom,kitchen,bedroom
11760,d08 Tue 04:00,bedroom,entry,kitchen,kitchen,bedroom,entry,kitchen,bedroom,kitchen,entry,kitchen,kitchen,kitchen,living,entry,entry,kitchen,living,living,living,bathroom,bedroom,bathroom,kitchen,bedroom
11820,d08 Tue 05:00,bedroom,entry,kitchen,kitchen,bedroom,entry,kitchen,bedroom,kitchen,entry,kitchen,kitchen,kitchen,living,entry,entry,kitchen,living,living,living,bathroom,bedroom,bathroom,kitchen,bedroom
11880,d08 Tue 06:00,bedroom,entry,kitchen,kitchen,bedroom,entry,kitchen,bedroom,kitchen,entry,kitchen,kitchen,kitchen,living,entry,entry,kitchen,living,living,living,bathroom,bedroom,bathroom,kitchen,bedroom
11940,d08 Tue 07:00,kitchen,entry,kitchen,kitchen,bedroom,entry,kitchen,bedroom,kitchen,entry,kitchen,kitchen,kitchen,living,entry,kitchen,kitchen,living,living,living,bathroom,bedroom,bathroom,kitchen,bedroom
12000,d08 Tue 08:00,kitchen,entry,kitchen,kitchen,bedroom,entry,kitchen,bedroom,kitchen,entry,kitchen,kitchen,kitchen,living,entry,kitchen,kitchen,living,living,living,bathroom,bedroom,bathroom,kitchen,bedroom
12060,d08 Tue 09:00,kitchen,entry,kitchen,kitchen,bedroom,entry,kitchen,bedroom,kitchen,entry,kitchen,kitchen,kitchen,living,entry,kitchen,kitchen,living,living,living,bathroom,bedroom,bathroom,kitchen,bedroom
12120,d08 Tue 10:00,kitchen,entry,kitchen,kitchen,kitchen,entry,kitchen,bedroom,kitchen,entry,kitchen,kitchen,kitchen,living,kitchen,entry,kitchen,living,living,living,bathroom,bedroom,bathroom,kitchen,bedroom
12180,d08 Tue 11:00,kitchen,outside,outside,kitchen,kitchen,outside,kitchen,bedroom,kitchen,entry,kitchen,kitchen,kitchen,living,kitchen,entry,kitchen,living,living,living,bathroom,bedroom,bathroom,outside,bedroom
12240,d08 Tue 12:00,kitchen,outside,outside,kitchen,kitchen,outside,kitchen,bedroom,kitchen,entry,kitchen,kitchen,kitchen,living,kitchen,entry,kitchen,living,living,living,bathroom,bedroom,bathroom,outside,bedroom
12300,d08 Tue 13:00,kitchen,entry,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,kitchen,entry,kitchen,kitchen,kitchen,living,kitchen,entry,kitchen,living,living,living,bathroom,bedroom,bathroom,entry,bedroom
12360,d08 Tue 14:00,kitchen,entry,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,kitchen,entry,kitchen,kitchen,kitchen,living,kitchen,entry,kitchen,living,living,living,bathroom,bedroom,bathroom,entry,bedroom
12420,d08 Tue 15:00,entry,entry,kitchen,living,kitchen,kitchen,kitchen,bedroom,kitchen,entry,kitchen,kitchen,kitchen,living,kitchen,kitchen,kitchen,living,living,living,bedroom,bedroom,bathroom,entry,bedroom
12480,d08 Tue 16:00,living,entry,kitchen,living,kitchen,kitchen,kitchen,bedroom,kitchen,entry,kitchen,kitchen,kitchen,living,kitchen,kitchen,kitchen,living,living,living,bedroom,bedroom,bathroom,entry,bedroom
12540,d08 Tue 17:00,living,entry,kitchen,living,kitchen,kitchen,kitchen,bedroom,kitchen,entry,kitchen,kitchen,kitchen,living,kitchen,kitchen,kitchen,living,living,living,bedroom,bedroom,bathroom,entry,bedroom
12600,d08 Tue 18:00,living,entry,kitchen,living,kitchen,kitchen,kitchen,bedroom,kitchen,entry,kitchen,kitchen,kitchen,living,kitchen,kitchen,kitchen,living,living,living,bedroom,bedroom,bathroom,entry,bedroom
12660,d08 Tue 19:00,living,entry,kitchen,living,kitchen,kitchen,kitchen,kitchen,kitchen,entry,kitchen,kitchen,kitchen,living,kitchen,kitchen,kitchen,living,living,living,bedroom,bedroom,bathroom,entry,bedroom
12720,d08 Tue 20:00,living,entry,kitchen,living,kitchen,kitchen,kitchen,kitchen,kitchen,entry,kitchen,kitchen,kitchen,living,kitchen,kitchen,kitchen,living,living,living,bedroom,bedroom,bathroom,entry,bedroom
12780,d08 Tue 21:00,living,entry,kitchen,living,kitchen,kitchen,kitchen,kitchen,kitchen,entry,kitchen,kitchen,kitchen,living,kitchen,kitchen,kitchen,living,living,living,bedroom,bedroom,bathroom,entry,bedroom
12840,d08 Tue 22:00,living,entry,kitchen,living,kitchen,kitchen,kitchen,kitchen,kitchen,entry,kitchen,kitchen,kitchen,living,kitchen,kitchen,kitchen,living,living,living,bedroom,bedroom,bathroom,entry,bedroom
12900,d08 Tue 23:00,living,entry,kitchen,living,kitchen,kitchen,kitchen,kitchen,kitchen,entry,kitchen,kitchen,kitchen,living,kitchen,kitchen,kitchen,living,living,living,bedroom,bedroom,bathroom,entry,bedroom
12960,d09 Wed 00:00,bedroom,entry,kitchen,living,bedroom,kitchen,kitchen,kitchen,kitchen,entry,kitchen,kitchen,kitchen,living,kitchen,kitchen,kitchen,living,living,living,bedroom,bedroom,bathroom,entry,bedroom
13020,d09 Wed 01:00,bedroom,entry,kitchen,living,bedroom,kitchen,kitchen,kitchen,kitchen,entry,kitchen,kitchen,kitchen,living,kitchen,kitchen,kitchen,living,living,living,bedroom,bedroom,bathroom,entry,bedroom
13080,d09 Wed 02:00,bedroom,entry,kitchen,living,bedroom,kitchen,kitchen,kitchen,kitchen,entry,kitchen,kitchen,kitchen,living,kitchen,kitchen,kitchen,living,living,living,bedroom,bedroom,bathroom,entry,bedroom
13140,d09 Wed 03:00,bedroom,entry,kitchen,living,bedroom,kitchen,kitchen,kitchen,kitchen,entry,kitchen,kitchen,kitchen,living,kitchen,kitchen,kitchen,living,living,living,bedroom,bedroom,bathroom,entry,bedroom
13200,d09 Wed 04:00,bedroom,entry,kitchen,living,bedroom,kitchen,kitchen,kitchen,kitchen,entry,kitchen,kitchen,kitchen,living,kitchen,kitchen,kitchen,living,living,living,bedroom,bedroom,bathroom,entry,bedroom
13260,d09 Wed 05:00,bedroom,entry,kitchen,living,bedroom,kitchen,kitchen,kitchen,kitchen,entry,kitchen,kitchen,kitchen,living,kitchen,kitchen,kitchen,living,living,living,bedroom,bedroom,bathroom,entry,bedroom
13320,d09 Wed 06:00,kitchen,kitchen,kitchen,living,bedroom,kitchen,kitchen,kitchen,kitchen,entry,kitchen,kitchen,kitchen,living,kitchen,kitchen,kitchen,living,living,living,bedroom,bedroom,bedroom,kitchen,bedroom
13380,d09 Wed 07:00,outside,outside,outside,outside,outside,outside,outside,outside,kitchen,entry,kitchen,kitchen,kitchen,living,outside,outside,entry,living,living,living,bedroom,bedroom,bedroom,kitchen,bedroom
13440,d09 Wed 08:00,outside,outside,outside,outside,outside,outside,outside,outside,kitchen,entry,kitchen,kitchen,kitchen,living,outside,outside,entry,living,living,living,bedroom,bedroom,bedroom,kitchen,bedroom
13500,d09 Wed 09:00,outside,outside,outside,outside,outside,outside,outside,outside,kitchen,entry,kitchen,kitchen,kitchen,living,outside,outside,entry,living,living,living,bedroom,bedroom,bedroom,kitchen,bedroom
13560,d09 Wed 10:00,outside,outside,outside,outside,outside,outside,outside,outside,kitchen,entry,kitchen,kitchen,kitchen,living,outside,outside,entry,living,living,living,bedroom,bedroom,bedroom,kitchen,bedroom
13620,d09 Wed 11:00,outside,outside,outside,outside,outside,outside,outside,outside,kitchen,entry,kitchen,kitchen,kitchen,living,outside,outside,entry,living,living,living,bedroom,bedroom,bedroom,kitchen,bedroom
13680,d09 Wed 12:00,outside,outside,outside,outside,outside,outside,outside,outside,kitchen,entry,kitchen,kitchen,kitchen,living,outside,outside,entry,living,living,living,bedroom,bedroom,bedroom,kitchen,bedroom
13740,d09 Wed 13:00,outside,outside,outside,outside,outside,outside,outside,outside,kitchen,entry,kitchen,kitchen,kitchen,living,outside,outside,entry,living,living,living,bedroom,bedroom,bedroom,kitchen,bedroom
13800,d09 Wed 14:00,outside,outside,outside,outside,outside,outside,outside,outside,kitchen,entry,kitchen,kitchen,kitchen,living,outside,outside,entry,living,living,living,bedroom,bedroom,bedroom,kitchen,bedroom
13860,d09 Wed 15:00,outside,outside,outside,outside,outside,outside,outside,outside,kitchen,entry,kitchen,kitchen,kitchen,living,outside,outside,entry,living,living,living,bedroom,bedroom,bedroom,kitchen,bedroom
13920,d09 Wed 16:00,outside,outside,outside,outside,outside,outside,outside,outside,kitchen,entry,kitchen,kitchen,kitchen,living,outside,outside,entry,living,living,living,bedroom,bedroom,bedroom,kitchen,bedroom
13980,d09 Wed 17:00,outside,outside,outside,outside,outside,outside,outside,outside,kitchen,entry,kitchen,kitchen,kitchen,living,outside,outside,entry,living,living,living,bedroom,bedroom,bedroom,kitchen,bedroom
14040,d09 Wed 18:00,entry,entry,entry,kitchen,kitchen,entry,entry,living,kitchen,entry,kitchen,kitchen,kitchen,living,entry,entry,entry,living,living,living,bedroom,bedroom,bedroom,kitchen,bedroom
14100,d09 Wed 19:00,entry,entry,entry,kitchen,kitchen,entry,entry,living,kitchen,entry,kitchen,kitchen,kitchen,living,entry,entry,entry,living,living,living,bedroom,bedroom,bedroom,kitchen,bedroom
14160,d09 Wed 20:00,entry,entry,entry,kitchen,kitchen,entry,entry,living,kitchen,entry,kitchen,kitchen,kitchen,living,entry,entry,entry,living,living,living,bedroom,bedroom,bedroom,kitchen,bedroom
14220,d09 Wed 21:00,entry,entry,entry,kitchen,kitchen,entry,entry,living,kitchen,entry,kitchen,kitchen,kitchen,living,entry,entry,entry,living,living,living,bedroom,bedroom,bedroom,kitchen,bedroom
14280,d09 Wed 22:00,bedroom,entry,entry,kitchen,kitchen,entry,entry,living,kitchen,entry,kitchen,kitchen,kitchen,living,entry,entry,entry,living,living,living,bedroom,bedroom,bedroom,kitchen,bedroom
