t,stamp,mug_elena,mug_leo,mug_maya,bowl_1,bowl_2,plate_1,plate_2,laptop_leo,laptop_maya,phone_elena,phone_leo,phone_maya,keys_elena,keys_leo,keys_maya,wallet_elena,book_maya,notebook_elena,headphones_leo,water_bottle_maya,towel_maya,jacket_leo,backpack_leo,backpack_maya,gaming_controller_leo,blanket_elena,lunchbox_bag_maya
5160,d03 Thu 14:00,kitchen,kitchen,kitchen,kitchen,outside,kitchen,kitchen,bedroom_2,bedroom_3,kitchen,outside,bedroom_3,entry,kitchen,bedroom_3,entry,bedroom_3,living,kitchen,bedroom_3,bathroom,bedroom_2,entry,bedroom_3,bedroom_2,living,bedroom_3
5220,d03 Thu 15:00,kitchen,kitchen,kitchen,kitchen,outside,kitchen,kitchen,bedroom_2,bedroom_3,kitchen,outside,bedroom_3,entry,kitchen,bedroom_3,entry,bedroom_3,living,kitchen,bedroom_3,bathroom,bedroom_2,entry,bedroom_3,bedroom_2,living,bedroom_3
5280,d03 Thu 16:00,kitchen,kitchen,kitchen,kitchen,outside,kitchen,kitchen,bedroom_2,bedroom_3,kitchen,outside,bedroom_3,entry,kitchen,bedroom_3,entry,bedroom_3,kitchen,kitchen,bedroom_3,bathroom,bedroom_2,entry,bedroom_3,bedroom_2,living,bedroom_3
5340,d03 Thu 17:00,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom_2,bedroom_3,kitchen,entry,bedroom_3,entry,entry,bedroom_3,entry,bedroom_3,kitchen,kitchen,bedroom_3,bathroom,kitchen,entry,bedroom_3,kitchen,living,bedroom_3
5400,d03 Thu 18:00,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom_3,kitchen,kitchen,bedroom_3,entry,kitchen,bedroom_3,entry,bedroom_3,kitchen,kitchen,bedroom_3,bathroom,kitchen,entry,bedroom_3,kitchen,living,bedroom_3
5460,d03 Thu 19:00,kitchen,kitchen,bedroom_3,kitchen,kitchen,kitchen,kitchen,bedroom_2,living,kitchen,kitchen,living,entry,kitchen,bedroom_3,bedroom_1,bedroom_3,kitchen,bedroom_2,living,bathroom,kitchen,entry,bedroom_3,bedroom_2,living,bedroom_3
5520,d03 Thu 20:00,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom_3,kitchen,kitchen,kitchen,entry,kitchen,bedroom_3,bedroom_1,bedroom_3,kitchen,kitchen,bedroom_3,bathroom,kitchen,entry,bedroom_3,bedroom_2,living,bedroom_3
5580,d03 Thu 21:00,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bathroom,bedroom_1,kitchen,bedroom_3,entry,kitchen,bedroom_3,bedroom_1,bedroom_3,living,kitchen,bedroom_3,bathroom,kitchen,entry,bedroom_3,bedroom_2,living,bedroom_3
5640,d03 Thu 22:00,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom_3,bedroom_1,kitchen,bedroom_3,entry,kitchen,bedroom_3,bedroom_1,bedroom_3,living,kitchen,bedroom_3,bathroom,kitchen,entry,bedroom_3,bedroom_2,living,bedroom_3
5700,d03 Thu 23:00,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom_3,bedroom_1,kitchen,bedroom_3,entry,kitchen,bedroom_3,bedroom_1,bedroom_3,living,kitchen,bedroom_3,bathroom,kitchen,entry,bedroom_3,bedroom_2,living,bedroom_3
5760,d04 Fri 00:00,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom_3,bedroom_1,kitchen,bedroom_3,entry,kitchen,bedroom_3,bedroom_1,bedroom_3,living,kitchen,bedroom_3,bathroom,kitchen,entry,bedroom_3,bedroom_2,living,bedroom_3
5820,d04 Fri 01:00,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom_3,bedroom_1,kitchen,bedroom_3,entry,kitchen,bedroom_3,bedroom_1,bedroom_3,living,kitchen,bedroom_3,bathroom,kitchen,entry,bedroom_3,bedroom_2,living,bedroom_3
5880,d04 Fri 02:00,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom_3,bedroom_1,kitchen,bedroom_3,entry,kitchen,bedroom_3,bedroom_1,bedroom_3,living,kitchen,bedroom_3,bathroom,kitchen,entry,bedroom_3,bedroom_2,living,bedroom_3
5940,d04 Fri 03:00,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom_3,bedroom_1,kitchen,bedroom_3,entry,kitchen,bedroom_3,bedroom_1,bedroom_3,living,kitchen,bedroom_3,bathroom,kitchen,entry,bedroom_3,bedroom_2,living,bedroom_3
6000,d04 Fri 04:00,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom_3,bedroom_1,kitchen,bedroom_3,entry,kitchen,bedroom_3,bedroom_1,bedroom_3,living,kitchen,bedroom_3,bathroom,kitchen,entry,bedroom_3,bedroom_2,living,bedroom_3
6060,d04 Fri 05:00,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom_3,bedroom_1,kitchen,bedroom_3,entry,kitchen,bedroom_3,bedroom_1,bedroom_3,living,kitchen,bedroom_3,bathroom,kitchen,entry,bedroom_3,bedroom_2,living,bedroom_3
6120,d04 Fri 06:00,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom_3,bedroom_1,kitchen,bedroom_3,entry,kitchen,bedroom_3,bedroom_1,bedroom_3,living,kitchen,bedroom_3,bathroom,kitchen,entry,bedroom_3,bedroom_2,living,bedroom_3
6180,d04 Fri 07:00,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom_3,bedroom_1,kitchen,bedroom_3,entry,kitchen,bedroom_3,bedroom_1,bedroom_3,living,kitchen,bedroom_3,bathroom,kitchen,entry,bedroom_3,bedroom_2,living,bedroom_3
6240,d04 Fri 08:00,kitchen,kitchen,bedroom_3,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom_3,kitchen,kitchen,bedroom_3,entry,bedroom_3,bedroom_3,bedroom_1,bedroom_3,kitchen,kitchen,bedroom_3,bathroom,bedroom_3,bedroom_3,bedroom_3,bedroom_2,living,bedroom_3
6300,d04 Fri 09:00,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom_3,kitchen,kitchen,bedroom_3,entry,outside,bedroom_3,bedroom_1,bedroom_3,kitchen,kitchen,bedroom_3,bathroom,outside,outside,outside,bedroom_2,living,bedroom_3
6360,d04 Fri 10:00,kitchen,kitchen,bedroom_3,kitchen,outside,kitchen,kitchen,kitchen,bedroom_3,kitchen,outside,bedroom_3,entry,bedroom_2,bedroom_3,bedroom_1,bedroom_3,living,kitchen,bedroom_3,bathroom,kitchen,entry,bedroom_3,bedroom_2,living,bedroom_3
6420,d04 Fri 11:00,kitchen,kitchen,bedroom_3,kitchen,outside,kitchen,kitchen,kitchen,bedroom_3,kitchen,outside,bedroom_3,entry,bedroom_2,bedroom_3,bedroom_1,bedroom_3,living,kitchen,bedroom_3,bathroom,kitchen,entry,bedroom_3,bedroom_2,living,bedroom_3
6480,d04 Fri 12:00,kitchen,kitchen,bedroom_3,kitchen,outside,kitchen,kitchen,kitchen,bedroom_3,kitchen,outside,bedroom_3,entry,bedroom_2,bedroom_3,bedroom_1,bedroom_3,living,kitchen,bedroom_3,bathroom,kitchen,entry,bedroom_3,bedroom_2,living,bedroom_3
6540,d04 Fri 13:00,kitchen,kitchen,bedroom_3,kitchen,outside,kitchen,kitchen,kitchen,bedroom_3,kitchen,outside,bedroom_3,entry,bedroom_2,bedroom_3,bedroom_1,bedroom_3,living,kitchen,bedroom_3,bathroom,kitchen,entry,bedroom_3,bedroom_2,living,bedroom_3
6600,d04 Fri 14:00,kitchen,kitchen,bedroom_3,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom_3,kitchen,bedroom_2,bedroom_3,entry,kitchen,bedroom_3,bedroom_1,bedroom_3,living,kitchen,bedroom_3,bathroom,kitchen,bedroom_2,bedroom_3,kitchen,living,bedroom_3
6660,d04 Fri 15:00,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom_3,kitchen,bedroom_2,bedroom_3,entry,kitchen,bedroom_3,bedroom_1,bedroom_3,living,kitchen,bedroom_3,bathroom,kitchen,bedroom_2,bedroom_3,kitchen,living,bedroom_3
6720,d04 Fri 16:00,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom_3,kitchen,bedroom_2,bedroom_3,entry,kitchen,bedroom_3,bedroom_1,bedroom_3,living,kitchen,bedroom_3,bathroom,kitchen,bedroom_2,bedroom_3,kitchen,living,bedroom_3
6780,d04 Fri 17:00,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom_3,kitchen,bedroom_2,bedroom_3,entry,entry,bedroom_3,bedroom_1,bedroom_3,living,kitchen,bedroom_3,bathroom,entry,entry,entry,kitchen,living,entry
6840,d04 Fri 18:00,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom_3,outside,bedroom_2,bedroom_3,outside,kitchen,bedroom_3,outside,bedroom_3,outside,kitchen,outside,bathroom,kitchen,entry,bedroom_3,bedroom_2,living,bedroom_3
6900,d04 Fri 19:00,kitchen,kitchen,bedroom_3,kitchen,kitchen,kitchen,kitchen,kitchen,living,outside,kitchen,bedroom_3,outside,kitchen,bedroom_3,outside,living,outside,kitchen,living,bathroom,kitchen,entry,bedroom_3,bedroom_2,living,bedroom_3
6960,d04 Fri 20:00,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom_2,living,outside,kitchen,bedroom_3,outside,bedroom_3,bedroom_3,outside,living,outside,kitchen,bedroom_3,bathroom,bedroom_3,bedroom_3,bedroom_3,bedroom_2,living,bedroom_3
7020,d04 Fri 21:00,bathroom,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom_2,bathroom,bathroom,kitchen,bathroom,outside,kitchen,bedroom_3,outside,bathroom,outside,kitchen,bathroom,bathroom,kitchen,entry,bathroom,bedroom_2,bathroom,bathroom
7080,d04 Fri 22:00,bathroom,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom_2,bedroom_3,bedroom_1,kitchen,bedroom_3,outside,kitchen,bedroom_3,bedroom_1,bedroom_3,outside,kitchen,bedroom_3,bathroom,kitchen,entry,bedroom_3,bedroom_2,bedroom_1,bedroom_3
7140,d04 Fri 23:00,bathroom,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom_2,bedroom_3,bedroom_1,bedroom_2,bedroom_3,outside,kitchen,bedroom_3,bedroom_1,bedroom_3,outside,bedroom_2,bedroom_3,bathroom,kitchen,entry,bedroom_3,bedroom_2,bedroom_1,bedroom_3
7200,d05 Sat 00:00,bathroom,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom_2,bedroom_3,bedroom_1,bedroom_2,bedroom_3,outside,kitchen,bedroom_3,bedroom_1,bedroom_3,outside,bedroom_2,bedroom_3,bathroom,kitchen,entry,bedroom_3,bedroom_2,bedroom_1,bedroom_3
7260,d05 Sat 01:00,bathroom,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom_2,bedroom_3,bedroom_1,bedroom_2,bedroom_3,outside,kitchen,bedroom_3,bedroom_1,bedroom_3,outside,bedroom_2,bedroom_3,bathroom,kitchen,entry,bedroom_3,bedroom_2,bedroom_1,bedroom_3
7320,d05 Sat 02:00,bathroom,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom_2,bedroom_3,bedroom_1,bedroom_2,bedroom_3,outside,kitchen,bedroom_3,bedroom_1,bedroom_3,outside,bedroom_2,bedroom_3,bathroom,kitchen,entry,bedroom_3,bedroom_2,bedroom_1,bedroom_3
7380,d05 Sat 03:00,bathroom,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom_2,bedroom_3,bedroom_1,bedroom_2,bedroom_3,outside,kitchen,bedroom_3,bedroom_1,bedroom_3,outside,bedroom_2,bedroom_3,bathroom,kitchen,entry,bedroom_3,bedroom_2,bedroom_1,bedroom_3
7440,d05 Sat 04:00,bathroom,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom_2,bedroom_3,bedroom_1,bedroom_2,bedroom_3,outside,kitchen,bedroom_3,bedroom_1,bedroom_3,outside,bedroom_2,bedroom_3,bathroom,kitchen,entry,bedroom_3,bedroom_2,bedroom_1,bedroom_3
7500,d05 Sat 05:00,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom_2,bedroom_3,bedroom_1,bedroom_2,bedroom_3,outside,kitchen,bedroom_3,bedroom_1,bedroom_3,outside,bedroom_2,bedroom_3,bathroom,kitchen,entry,bedroom_3,bedroom_2,bedroom_1,bedroom_3
7560,d05 Sat 06:00,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom_2,bedroom_3,bedroom_1,bedroom_2,bedroom_3,outside,kitchen,bedroom_3,bedroom_1,bedroom_3,outside,bedroom_2,bedroom_3,bathroom,kitchen,entry,bedroom_3,bedroom_2,bedroom_1,bedroom_3
7620,d05 Sat 07:00,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom_2,bedroom_3,bedroom_1,bedroom_2,bedroom_3,outside,kitchen,bedroom_3,bedroom_1,bedroom_3,outside,bedroom_2,bedroom_3,bathroom,kitchen,entry,bedroom_3,bedroom_2,bedroom_1,bedroom_3
7680,d05 Sat 08:00,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom_2,bedroom_3,bedroom_1,bedroom_2,bedroom_3,outside,kitchen,bedroom_3,bedroom_1,bedroom_3,outside,bedroom_2,bedroom_3,bathroom,kitchen,entry,bedroom_3,bedroom_2,bedroom_1,bedroom_3
7740,d05 Sat 09:00,kitchen,kitchen,bedroom_3,kitchen,kitchen,kitchen,kitchen,living,living,kitchen,kitchen,living,entry,kitchen,bedroom_3,bedroom_1,bedroom_3,kitchen,kitchen,living,bathroom,kitchen,entry,bedroom_3,bedroom_2,bedroom_1,bedroom_3
7800,d05 Sat 10:00,kitchen,kitchen,bedroom_3,kitchen,kitchen,kitchen,kitchen,living,living,kitchen,kitchen,living,entry,kitchen,bedroom_3,bedroom_1,bedroom_3,kitchen,kitchen,living,bathroom,kitchen,entry,bedroom_3,bedroom_2,bedroom_1,bedroom_3
7860,d05 Sat 11:00,kitchen,kitchen,living,kitchen,kitchen,kitchen,kitchen,kitchen,living,kitchen,kitchen,bedroom_3,entry,kitchen,bedroom_3,bedroom_1,bedroom_3,kitchen,kitchen,outside,bathroom,kitchen,entry,bedroom_3,bedroom_2,bedroom_1,bedroom_3
7920,d05 Sat 12:00,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,kitchen,kitchen,bedroom_3,entry,kitchen,bedroom_3,bedroom_1,bedroom_3,kitchen,kitchen,outside,bathroom,kitchen,entry,bedroom_3,bedroom_2,bedroom_1,bedroom_3
7980,d05 Sat 13:00,kitchen,kitchen,living,kitchen,kitchen,kitchen,kitchen,kitchen,living,kitchen,kitchen,living,entry,kitchen,bedroom_3,bedroom_1,living,kitchen,kitchen,living,bathroom,kitchen,entry,bedroom_3,bedroom_2,bedroom_1,bedroom_3
8040,d05 Sat 14:00,kitchen,kitchen,living,kitchen,kitchen,kitchen,kitchen,kitchen,living,kitchen,kitchen,living,entry,kitchen,bedroom_3,bedroom_1,living,kitchen,kitchen,living,bathroom,kitchen,entry,bedroom_3,bedroom_2,bedroom_1,bedroom_3
8100,d05 Sat 15:00,kitchen,kitchen,bedroom_3,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom_3,kitchen,kitchen,kitchen,entry,kitchen,bedroom_3,bedroom_1,living,kitchen,kitchen,kitchen,bathroom,kitchen,entry,bedroom_3,kitchen,bedroom_1,bedroom_3
8160,d05 Sat 16:00,kitchen,bedroom_2,bedroom_3,bedroom_2,kitchen,kitchen,bedroom_2,bedroom_2,bedroom_3,kitchen,bedroom_2,bedroom_3,entry,bedroom_3,bedroom_3,bedroom_1,living,kitchen,bedroom_2,bedroom_3,kitchen,kitchen,bedroom_3,bedroom_3,bedroom_2,bedroom_1,bedroom_3
8220,d05 Sat 17:00,kitchen,kitchen,bedroom_3,kitchen,kitchen,kitchen,bedroom_2,kitchen,bedroom_3,kitchen,bedroom_2,bedroom_3,entry,bedroom_3,bedroom_3,bedroom_1,bedroom_3,bedroom_1,bedroom_2,bedroom_3,kitchen,kitchen,entry,bedroom_3,bedroom_2,bedroom_1,bedroom_3
8280,d05 Sat 18:00,kitchen,kitchen,bedroom_3,kitchen,kitchen,kitchen,kitchen,bedroom_3,bedroom_3,kitchen,kitchen,bedroom_3,living,kitchen,bedroom_3,bedroom_1,bedroom_3,bedroom_1,bedroom_2,bedroom_3,kitchen,kitchen,entry,bedroom_3,bedroom_2,bedroom_1,bedroom_3
8340,d05 Sat 19:00,kitchen,kitchen,living,kitchen,kitchen,kitchen,kitchen,bedroom_2,bedroom_3,kitchen,kitchen,bedroom_3,entry,kitchen,bedroom_3,bedroom_1,bedroom_3,bedroom_1,bedroom_2,kitchen,kitchen,kitchen,entry,bedroom_3,living,bedroom_1,bedroom_3
8400,d05 Sat 20:00,kitchen,kitchen,bedroom_3,kitchen,kitchen,kitchen,kitchen,bedroom_2,bedroom_3,kitchen,kitchen,bedroom_3,entry,kitchen,bedroom_3,bedroom_1,bedroom_3,bedroom_1,bedroom_2,bedroom_3,kitchen,kitchen,entry,bedroom_3,living,bedroom_3,bedroom_3
8460,d05 Sat 21:00,bathroom,kitchen,bedroom_3,kitchen,kitchen,kitchen,kitchen,bedroom_2,bathroom,bathroom,kitchen,bathroom,entry,kitchen,bedroom_3,bedroom_1,bathroom,bedroom_1,bedroom_2,bathroom,kitchen,kitchen,kitchen,bathroom,bedroom_2,bathroom,bathroom
8520,d05 Sat 22:00,kitchen,kitchen,bedroom_3,kitchen,kitchen,kitchen,kitchen,bedroom_2,bedroom_3,bedroom_1,kitchen,bedroom_3,entry,kitchen,bedroom_3,bedroom_1,bedroom_3,bedroom_1,bedroom_2,bedroom_3,kitchen,kitchen,kitchen,bedroom_3,bedroom_2,living,bathroom
8580,d05 Sat 23:00,bathroom,kitchen,bedroom_3,kitchen,kitchen,kitchen,kitchen,bedroom_2,bathroom,bathroom,kitchen,bathroom,entry,kitchen,bedroom_3,bedroom_1,bathroom,bedroom_1,bedroom_2,bathroom,kitchen,kitchen,kitchen,bathroom,bedroom_2,bathroom,bathroom
8640,d06 Sun 00:00,kitchen,kitchen,bedroom_3,kitchen,kitchen,kitchen,kitchen,bedroom_2,bedroom_3,kitchen,kitchen,bedroom_3,entry,kitchen,bedroom_3,bedroom_1,bedroom_3,bedroom_1,bedroom_2,bedroom_3,kitchen,kitchen,kitchen,bedroom_3,bedroom_2,bedroom_1,bedroom_3
8700,d06 Sun 01:00,kitchen,kitchen,bedroom_3,kitchen,kitchen,kitchen,kitchen,bedroom_2,bedroom_3,kitchen,kitchen,bedroom_3,entry,kitchen,bedroom_3,bedroom_1,bedroom_3,bedroom_1,bedroom_2,bedroom_3,kitchen,kitchen,kitchen,bedroom_3,bedroom_2,bedroom_1,bedroom_3
8760,d06 Sun 02:00,kitchen,kitchen,bedroom_3,kitchen,kitchen,kitchen,kitchen,bedroom_2,bedroom_3,kitchen,kitchen,bedroom_3,entry,kitchen,bedroom_3,bedroom_1,bedroom_3,bedroom_1,bedroom_2,bedroom_3,kitchen,kitchen,kitchen,bedroom_3,bedroom_2,bedroom_1,bedroom_3
8820,d06 Sun 03:00,kitchen,kitchen,bedroom_3,kitchen,kitchen,kitchen,kitchen,bedroom_2,bedroom_3,kitchen,kitchen,bedroom_3,entry,kitchen,bedroom_3,bedroom_1,bedroom_3,bedroom_1,bedroom_2,bedroom_3,kitchen,kitchen,kitchen,bedroom_3,bedroom_2,bedroom_1,bedroom_3
8880,d06 Sun 04:00,kitchen,kitchen,bedroom_3,kitchen,kitchen,kitchen,kitchen,bedroom_2,bedroom_3,kitchen,kitchen,bedroom_3,entry,kitchen,bedroom_3,bedroom_1,bedroom_3,bedroom_1,bedroom_2,bedroom_3,kitchen,kitchen,kitchen,bedroom_3,bedroom_2,bedroom_1,bedroom_3
8940,d06 Sun 05:00,kitchen,kitchen,bedroom_3,kitchen,kitchen,kitchen,kitchen,bedroom_2,bedroom_3,kitchen,kitchen,bedroom_3,entry,kitchen,bedroom_3,bedroom_1,bedroom_3,bedroom_1,bedroom_2,bedroom_3,kitchen,kitchen,kitchen,bedroom_3,bedroom_2,bedroom_1,bedroom_3
9000,d06 Sun 06:00,kitchen,kitchen,bedroom_3,kitchen,kitchen,kitchen,kitchen,bedroom_2,bedroom_3,kitchen,kitchen,bedroom_3,entry,kitchen,bedroom_3,bedroom_1,bedroom_3,bedroom_1,bedroom_2,bedroom_3,kitchen,kitchen,kitchen,bedroom_3,bedroom_2,bedroom_1,bedroom_3
9060,d06 Sun 07:00,kitchen,kitchen,bedroom_3,kitchen,kitchen,kitchen,kitchen,bedroom_2,bedroom_3,kitchen,kitchen,bedroom_3,entry,kitchen,bedroom_3,bedroom_1,bedroom_3,bedroom_1,bedroom_2,bedroom_3,bathroom,kitchen,kitchen,bedroom_3,bedroom_2,bedroom_1,bedroom_3
9120,d06 Sun 08:00,kitchen,kitchen,bedroom_3,kitchen,kitchen,kitchen,kitchen,bedroom_2,bedroom_3,kitchen,kitchen,bedroom_3,entry,kitchen,bedroom_3,bedroom_1,bedroom_3,bedroom_1,bedroom_2,bedroom_3,bathroom,kitchen,kitchen,bedroom_3,bedroom_2,bedroom_1,bedroom_3
9180,d06 Sun 09:00,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom_2,bedroom_3,kitchen,kitchen,bedroom_3,entry,bedroom_2,bedroom_3,bedroom_1,bedroom_3,kitchen,bedroom_2,bedroom_3,bathroom,kitchen,entry,bedroom_3,bedroom_2,bedroom_1,bedroom_3
9240,d06 Sun 10:00,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom_2,bedroom_3,kitchen,kitchen,bedroom_3,entry,bedroom_2,bedroom_3,bedroom_1,bedroom_3,kitchen,bedroom_2,bedroom_3,bathroom,kitchen,entry,bedroom_3,bedroom_2,bedroom_1,bedroom_3
9300,d06 Sun 11:00,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom_2,bedroom_3,kitchen,kitchen,bedroom_3,entry,bedroom_2,bedroom_3,bedroom_1,bedroom_3,bedroom_1,bedroom_2,bedroom_3,bathroom,kitchen,entry,bedroom_3,bedroom_2,bedroom_1,bedroom_3
9360,d06 Sun 12:00,kitchen,kitchen,bedroom_3,kitchen,kitchen,kitchen,kitchen,bedroom_2,bedroom_3,kitchen,kitchen,bedroom_3,entry,bedroom_2,bedroom_3,bedroom_1,bedroom_3,living,bedroom_2,bedroom_3,bathroom,kitchen,entry,bedroom_3,bedroom_2,living,bedroom_3
9420,d06 Sun 13:00,kitchen,kitchen,bedroom_3,kitchen,kitchen,kitchen,kitchen,bedroom_3,bedroom_3,kitchen,kitchen,bedroom_3,entry,bedroom_2,bedroom_3,bedroom_1,bedroom_3,living,bedroom_2,bedroom_3,bathroom,kitchen,entry,bedroom_3,bedroom_2,living,bedroom_3
9480,d06 Sun 14:00,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom_3,kitchen,bedroom_2,kitchen,entry,bedroom_2,bedroom_3,bedroom_1,kitchen,living,kitchen,bedroom_3,bathroom,bedroom_2,entry,bedroom_3,bedroom_2,living,bedroom_3
9540,d06 Sun 15:00,kitchen,kitchen,bedroom_3,kitchen,kitchen,kitchen,kitchen,bedroom_2,bedroom_3,kitchen,bedroom_2,bedroom_3,entry,bedroom_2,bedroom_3,bedroom_1,bedroom_3,living,kitchen,bedroom_3,bathroom,bedroom_2,entry,bedroom_3,living,living,bedroom_3
9600,d06 Sun 16:00,kitchen,kitchen,living,kitchen,kitchen,kitchen,kitchen,bedroom_2,bedroom_3,kitchen,bedroom_2,living,entry,bedroom_3,bedroom_3,bedroom_1,living,living,kitchen,bedroom_3,bathroom,bedroom_3,bedroom_3,bedroom_3,living,living,bedroom_3
9660,d06 Sun 17:00,kitchen,kitchen,bedroom_3,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom_3,kitchen,kitchen,bedroom_3,entry,bedroom_3,bedroom_3,bedroom_1,living,living,kitchen,bedroom_3,bathroom,bedroom_3,bedroom_3,bedroom_3,living,living,bedroom_3
9720,d06 Sun 18:00,kitchen,bedroom_2,kitchen,bedroom_2,kitchen,kitchen,bedroom_2,bedroom_2,bedroom_3,kitchen,bedroom_2,bedroom_3,entry,kitchen,bedroom_3,bedroom_1,bedroom_3,living,bedroom_2,kitchen,bathroom,bedroom_2,entry,bedroom_3,bedroom_2,living,bedroom_3
9780,d06 Sun 19:00,bathroom,bedroom_2,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bathroom,bathroom,bedroom_2,bathroom,entry,kitchen,bedroom_3,bedroom_1,bathroom,living,bedroom_2,bathroom,bathroom,kitchen,entry,bathroom,living,bathroom,bathroom
9840,d06 Sun 20:00,bathroom,bedroom_2,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom_3,kitchen,bedroom_2,bedroom_3,entry,kitchen,bedroom_3,bedroom_1,living,living,bedroom_2,bedroom_3,bathroom,kitchen,entry,bedroom_3,living,living,bedroom_3
9900,d06 Sun 21:00,bathroom,bedroom_2,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom_3,bedroom_1,bedroom_2,bedroom_3,entry,kitchen,bedroom_3,bedroom_1,bedroom_3,living,bedroom_2,bedroom_3,bathroom,kitchen,entry,bedroom_3,living,living,bedroom_3
9960,d06 Sun 22:00,bathroom,bedroom_2,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom_3,bedroom_1,bedroom_2,bedroom_3,entry,kitchen,bedroom_3,bedroom_1,bedroom_3,living,bedroom_2,bedroom_3,bathroom,kitchen,entry,bedroom_3,living,living,bedroom_3
10020,d06 Sun 23:00,bathroom,bedroom_2,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom_3,bedroom_1,bedroom_2,bedroom_3,entry,kitchen,bedroom_3,bedroom_1,bedroom_3,living,bedroom_2,bedroom_3,bathroom,kitchen,entry,bedroom_3,living,living,bedroom_3
10080,d07 Mon 00:00,bathroom,bedroom_2,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bathroom,bedroom_1,bedroom_2,bedroom_3,entry,kitchen,bedroom_3,bedroom_1,bedroom_3,living,bedroom_2,bedroom_3,bathroom,kitchen,entry,bedroom_3,living,bedroom_1,bedroom_3
10140,d07 Mon 01:00,bathroom,bedroom_2,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bathroom,bedroom_1,bedroom_2,bedroom_3,entry,kitchen,bedroom_3,bedroom_1,bedroom_3,living,bedroom_2,bedroom_3,bathroom,kitchen,entry,bedroom_3,living,bedroom_1,bedroom_3
10200,d07 Mon 02:00,bathroom,bedroom_2,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bathroom,bedroom_1,bedroom_2,bedroom_3,entry,kitchen,bedroom_3,bedroom_1,bedroom_3,living,bedroom_2,bedroom_3,bathroom,kitchen,entry,bedroom_3,living,bedroom_1,bedroom_3
