t,stamp,phone_dana,keys_dana,wallet_dana,lunchbox_dana,mug_dana,notebook_dana,pen_dana,book_dana,glasses_dana,jacket_dana,blanket_1,phone_maya,keys_maya,wallet_maya,laptop_maya,backpack_maya,mug_maya,headphones_maya,notebook_maya,makeup_kit_maya,hairbrush_maya,phone_eli,keys_eli,wallet_eli,backpack_eli,water_bottle_eli,lunchbox_eli,jacket_eli,gaming_controller_eli,headphones_eli,charger_1,remote_1,plate_1,plate_2,plate_3,bowl_1,bowl_2,pot_1,pan_1,laundry_basket_1,vacuum_cleaner_1,towel_1,towel_2
7500,d05 Sat 05:00,kitchen,entry,entry,kitchen,kitchen,kitchen,kitchen,living,bedroom_1,entry,living,bedroom_2,entry,kitchen,kitchen,kitchen,kitchen,bedroom_2,kitchen,bathroom,kitchen,living,entry,entry,entry,entry,kitchen,entry,living,living,bedroom_2,living,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom_2,entry,bathroom,bathroom
7560,d05 Sat 06:00,kitchen,entry,entry,kitchen,kitchen,kitchen,kitchen,living,bedroom_1,entry,living,bedroom_2,entry,kitchen,kitchen,kitchen,kitchen,bedroom_2,kitchen,bathroom,kitchen,living,entry,entry,entry,entry,kitchen,entry,living,living,bedroom_2,living,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom_2,entry,bathroom,bathroom
7620,d05 Sat 07:00,kitchen,entry,entry,kitchen,kitchen,kitchen,kitchen,living,bedroom_1,entry,living,bedroom_2,entry,kitchen,kitchen,kitchen,kitchen,bedroom_2,kitchen,bathroom,kitchen,living,entry,entry,entry,entry,kitchen,entry,living,living,bedroom_2,living,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom_2,entry,bathroom,bathroom
7680,d05 Sat 08:00,kitchen,entry,entry,kitchen,kitchen,kitchen,kitchen,living,bedroom_1,entry,living,bedroom_2,entry,kitchen,kitchen,kitchen,kitchen,bedroom_2,kitchen,bathroom,kitchen,kitchen,entry,entry,entry,entry,kitchen,entry,living,living,bedroom_2,living,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom_2,entry,bathroom,bathroom
7740,d05 Sat 09:00,kitchen,entry,entry,kitchen,kitchen,entry,entry,entry,bedroom_1,entry,living,bedroom_2,entry,kitchen,kitchen,kitchen,kitchen,bedroom_2,kitchen,bathroom,bathroom,bedroom_3,entry,entry,entry,entry,kitchen,entry,living,living,entry,living,kitchen,entry,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom_2,entry,bathroom,bathroom
7800,d05 Sat 10:00,entry,entry,kitchen,kitchen,kitchen,kitchen,kitchen,living,bedroom_1,entry,living,bedroom_2,entry,entry,kitchen,kitchen,kitchen,bedroom_2,kitchen,bathroom,bathroom,outside,outside,outside,outside,outside,outside,outside,outside,outside,bedroom_2,living,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom_3,entry,bathroom,bathroom
7860,d05 Sat 11:00,entry,entry,entry,kitchen,kitchen,kitchen,kitchen,living,bedroom_1,entry,living,outside,outside,outside,outside,outside,kitchen,outside,outside,bathroom,bathroom,bedroom_3,kitchen,bedroom_3,entry,entry,kitchen,entry,living,living,kitchen,living,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom_3,entry,bathroom,bathroom
7920,d05 Sat 12:00,entry,entry,entry,kitchen,kitchen,kitchen,kitchen,living,bedroom_1,entry,living,bedroom_2,entry,entry,bedroom_2,entry,kitchen,bedroom_2,bedroom_2,bathroom,bathroom,bedroom_3,kitchen,bedroom_3,entry,entry,kitchen,entry,living,living,kitchen,living,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom_3,entry,bathroom,bathroom
7980,d05 Sat 13:00,entry,entry,entry,kitchen,kitchen,kitchen,kitchen,living,bedroom_1,entry,living,bedroom_2,bedroom_2,entry,bedroom_2,entry,kitchen,bedroom_2,bedroom_2,bathroom,bathroom,living,entry,bedroom_3,entry,entry,kitchen,entry,living,living,kitchen,living,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom_3,entry,bathroom,bathroom
8040,d05 Sat 14:00,kitchen,entry,entry,kitchen,kitchen,kitchen,kitchen,living,bedroom_1,entry,living,kitchen,entry,entry,bedroom_2,entry,kitchen,bedroom_2,bedroom_2,bathroom,bathroom,living,entry,bedroom_3,entry,entry,kitchen,entry,living,living,kitchen,living,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom_3,entry,bathroom,bathroom
8100,d05 Sat 15:00,kitchen,entry,entry,kitchen,kitchen,kitchen,kitchen,living,bedroom_1,entry,living,kitchen,entry,entry,bedroom_2,entry,kitchen,bedroom_2,bedroom_2,bathroom,bathroom,living,entry,bedroom_3,entry,entry,kitchen,entry,living,living,kitchen,living,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom_3,entry,bathroom,bathroom
8160,d05 Sat 16:00,kitchen,entry,entry,kitchen,kitchen,kitchen,kitchen,living,bedroom_1,entry,living,kitchen,entry,entry,bedroom_2,entry,kitchen,bedroom_2,bedroom_2,bathroom,bathroom,living,entry,bedroom_3,entry,entry,kitchen,entry,living,living,kitchen,living,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom_3,entry,bathroom,bathroom
8220,d05 Sat 17:00,kitchen,entry,entry,kitchen,kitchen,kitchen,kitchen,living,kitchen,entry,living,kitchen,entry,entry,bedroom_2,entry,kitchen,bedroom_2,bedroom_2,bathroom,bathroom,living,entry,bedroom_3,entry,entry,kitchen,entry,living,living,kitchen,living,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom_3,entry,bathroom,bathroom
8280,d05 Sat 18:00,kitchen,entry,entry,kitchen,kitchen,kitchen,kitchen,living,kitchen,entry,living,kitchen,entry,entry,bedroom_2,entry,kitchen,bedroom_2,bedroom_2,bathroom,bathroom,living,entry,bedroom_3,entry,entry,kitchen,entry,living,living,kitchen,living,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom_3,entry,bathroom,bathroom
8340,d05 Sat 19:00,kitchen,entry,entry,kitchen,kitchen,kitchen,kitchen,living,kitchen,entry,living,kitchen,entry,entry,bedroom_2,entry,kitchen,bedroom_2,bedroom_2,bathroom,bathroom,living,entry,bedroom_3,entry,entry,kitchen,entry,living,living,kitchen,living,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom_3,entry,bathroom,bathroom
8400,d05 Sat 20:00,kitchen,entry,entry,kitchen,kitchen,kitchen,kitchen,living,kitchen,entry,living,kitchen,entry,entry,bedroom_2,entry,kitchen,bedroom_2,bedroom_2,bathroom,bathroom,living,entry,bedroom_3,entry,entry,kitchen,entry,living,living,kitchen,living,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom_3,entry,bathroom,bathroom
8460,d05 Sat 21:00,kitchen,entry,entry,kitchen,kitchen,kitchen,kitchen,living,bedroom_1,entry,living,kitchen,entry,entry,bedroom_2,entry,kitchen,bedroom_2,bedroom_2,bathroom,bathroom,living,entry,bedroom_3,entry,entry,kitchen,entry,living,living,kitchen,living,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom_3,entry,bathroom,bathroom
8520,d05 Sat 22:00,kitchen,entry,entry,kitchen,kitchen,kitchen,kitchen,living,bedroom_1,entry,living,kitchen,entry,entry,bedroom_2,entry,kitchen,bedroom_2,bedroom_2,bathroom,bathroom,living,entry,bedroom_3,entry,entry,kitchen,entry,living,living,kitchen,living,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom_3,entry,bathroom,bathroom
8580,d05 Sat 23:00,kitchen,entry,entry,kitchen,kitchen,kitchen,kitchen,living,bedroom_1,entry,living,kitchen,entry,entry,bedroom_2,entry,kitchen,bedroom_2,bedroom_2,bathroom,bathroom,living,entry,bedroom_3,entry,entry,kitchen,entry,living,living,kitchen,living,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom_3,entry,bathroom,bathroom
8640,d06 Sun 00:00,kitchen,entry,entry,kitchen,kitchen,kitchen,kitchen,living,bedroom_1,entry,living,kitchen,entry,entry,bedroom_2,entry,kitchen,bedroom_2,bedroom_2,bathroom,bathroom,living,entry,bedroom_3,entry,entry,kitchen,entry,living,living,kitchen,living,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom_3,entry,bedroom_1,bathroom
8700,d06 Sun 01:00,bedroom_1,entry,entry,kitchen,kitchen,kitchen,kitchen,living,bedroom_1,entry,living,kitchen,entry,entry,bedroom_2,entry,kitchen,bedroom_2,bedroom_2,bathroom,bathroom,living,entry,bedroom_3,entry,entry,kitchen,entry,living,living,kitchen,living,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom_3,entry,bathroom,bathroom
8760,d06 Sun 02:00,bedroom_1,entry,entry,kitchen,kitchen,kitchen,kitchen,living,bedroom_1,entry,living,kitchen,entry,entry,bedroom_2,entry,kitchen,bedroom_2,bedroom_2,bathroom,bathroom,living,entry,bedroom_3,entry,entry,kitchen,entry,living,living,kitchen,living,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom_3,entry,bathroom,bathroom
8820,d06 Sun 03:00,bedroom_1,entry,entry,kitchen,kitchen,kitchen,kitchen,living,bedroom_1,entry,living,kitchen,entry,entry,bedroom_2,entry,kitchen,bedroom_2,bedroom_2,bathroom,bathroom,living,entry,bedroom_3,entry,entry,kitchen,entry,living,living,kitchen,living,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom_3,entry,bathroom,bathroom
8880,d06 Sun 04:00,bedroom_1,entry,entry,kitchen,kitchen,kitchen,kitchen,living,bedroom_1,entry,living,kitchen,entry,entry,bedroom_2,entry,kitchen,bedroom_2,bedroom_2,bathroom,bathroom,living,entry,bedroom_3,entry,entry,kitchen,entry,living,living,kitchen,living,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom_3,entry,bathroom,bathroom
8940,d06 Sun 05:00,bedroom_1,entry,entry,kitchen,kitchen,kitchen,kitchen,living,bedroom_1,entry,living,kitchen,entry,entry,bedroom_2,entry,kitchen,bedroom_2,bedroom_2,bathroom,bathroom,living,entry,bedroom_3,entry,entry,kitchen,entry,living,living,kitchen,living,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom_3,entry,bathroom,bathroom
9000,d06 Sun 06:00,bedroom_1,entry,entry,kitchen,kitchen,kitchen,kitchen,living,bedroom_1,entry,living,kitchen,entry,entry,bedroom_2,entry,kitchen,bedroom_2,bedroom_2,bathroom,bathroom,living,entry,bedroom_3,entry,entry,kitchen,entry,living,living,kitchen,living,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom_3,entry,bathroom,bathroom
9060,d06 Sun 07:00,bedroom_1,entry,entry,kitchen,kitchen,kitchen,kitchen,living,bedroom_1,entry,living,kitchen,entry,entry,bedroom_2,entry,kitchen,bedroom_2,bedroom_2,bathroom,bathroom,kitchen,entry,bedroom_3,entry,entry,kitchen,entry,living,living,kitchen,living,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom_3,entry,bathroom,bathroom
9120,d06 Sun 08:00,bedroom_1,entry,entry,kitchen,kitchen,kitchen,kitchen,living,bedroom_1,entry,living,kitchen,entry,entry,bedroom_2,entry,kitchen,bedroom_2,bedroom_2,bathroom,bathroom,kitchen,entry,bedroom_3,entry,entry,kitchen,entry,living,living,kitchen,living,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom_3,entry,bathroom,bathroom
9180,d06 Sun 09:00,bedroom_1,entry,entry,kitchen,kitchen,kitchen,kitchen,living,bedroom_1,entry,living,kitchen,entry,entry,bedroom_2,entry,kitchen,bedroom_2,bedroom_2,bathroom,bathroom,bedroom_3,entry,kitchen,entry,entry,kitchen,entry,living,living,kitchen,living,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom_2,entry,bedroom_2,bedroom_2
9240,d06 Sun 10:00,bedroom_1,entry,entry,kitchen,kitchen,kitchen,kitchen,living,bedroom_1,entry,living,kitchen,entry,kitchen,bedroom_2,entry,kitchen,bedroom_2,bedroom_2,bathroom,bathroom,bedroom_3,entry,kitchen,entry,entry,kitchen,entry,living,living,kitchen,living,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom_3,entry,bathroom,bathroom
9300,d06 Sun 11:00,outside,outside,outside,outside,kitchen,kitchen,kitchen,living,bedroom_1,outside,living,outside,outside,outside,outside,outside,kitchen,outside,outside,bathroom,bathroom,outside,outside,outside,outside,outside,outside,outside,outside,outside,kitchen,living,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom_2,entry,bathroom,bathroom
9360,d06 Sun 12:00,entry,entry,entry,kitchen,kitchen,kitchen,kitchen,living,bedroom_1,entry,living,kitchen,bedroom_2,entry,bedroom_2,kitchen,kitchen,bedroom_2,bedroom_2,bathroom,bathroom,living,entry,entry,entry,entry,kitchen,entry,living,living,kitchen,living,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom_2,entry,bathroom,bathroom
9420,d06 Sun 13:00,entry,entry,entry,kitchen,kitchen,kitchen,kitchen,living,bedroom_1,entry,living,kitchen,bedroom_2,entry,bedroom_2,kitchen,kitchen,bedroom_2,bedroom_2,bathroom,bathroom,living,entry,entry,entry,entry,kitchen,entry,living,living,kitchen,living,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom_2,entry,bathroom,bathroom
9480,d06 Sun 14:00,entry,entry,entry,kitchen,kitchen,kitchen,kitchen,living,living,entry,living,kitchen,bedroom_2,entry,bedroom_2,kitchen,kitchen,bedroom_2,bedroom_2,bathroom,bathroom,living,entry,entry,entry,entry,kitchen,entry,living,living,bedroom_2,living,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom_2,entry,bathroom,bathroom
9540,d06 Sun 15:00,entry,entry,entry,kitchen,kitchen,kitchen,kitchen,living,kitchen,entry,living,bedroom_2,bedroom_2,entry,bedroom_2,kitchen,kitchen,bedroom_2,kitchen,bathroom,bathroom,living,entry,entry,entry,entry,kitchen,entry,living,kitchen,kitchen,living,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom_2,entry,bathroom,bathroom
9600,d06 Sun 16:00,entry,entry,entry,kitchen,kitchen,kitchen,kitchen,living,bedroom_1,entry,living,bedroom_2,bedroom_2,entry,bedroom_2,kitchen,kitchen,bedroom_2,kitchen,bathroom,bathroom,living,entry,entry,entry,entry,kitchen,entry,living,kitchen,kitchen,living,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom_2,entry,bathroom,bathroom
9660,d06 Sun 17:00,entry,entry,entry,kitchen,kitchen,kitchen,kitchen,living,bedroom_1,entry,living,bedroom_2,bedroom_2,entry,bedroom_2,kitchen,kitchen,bedroom_2,kitchen,bathroom,bathroom,living,entry,entry,entry,entry,kitchen,entry,living,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom_2,entry,bathroom,bathroom
9720,d06 Sun 18:00,entry,entry,entry,kitchen,kitchen,kitchen,kitchen,living,bedroom_1,entry,living,bedroom_2,bedroom_2,entry,bedroom_2,kitchen,kitchen,bedroom_2,kitchen,bathroom,bathroom,living,entry,entry,entry,entry,kitchen,entry,living,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom_2,entry,bathroom,bathroom
9780,d06 Sun 19:00,entry,entry,entry,kitchen,kitchen,kitchen,kitchen,living,bedroom_1,entry,living,bedroom_2,bedroom_2,entry,bedroom_2,kitchen,kitchen,bedroom_2,kitchen,bathroom,bathroom,living,entry,entry,entry,entry,kitchen,entry,living,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom_2,entry,bathroom,bathroom
9840,d06 Sun 20:00,entry,entry,entry,kitchen,kitchen,kitchen,kitchen,living,bedroom_1,entry,living,bedroom_2,bedroom_2,entry,bedroom_2,kitchen,kitchen,bedroom_2,kitchen,bedroom_2,bedroom_2,living,entry,entry,entry,entry,kitchen,entry,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom_2,entry,bathroom,bathroom
9900,d06 Sun 21:00,bedroom_1,entry,entry,kitchen,kitchen,kitchen,kitchen,living,kitchen,entry,living,bedroom_2,bedroom_2,entry,bedroom_2,kitchen,kitchen,bedroom_2,kitchen,bathroom,bathroom,living,entry,entry,entry,entry,kitchen,entry,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom_2,entry,bathroom,bathroom
9960,d06 Sun 22:00,bedroom_1,entry,entry,kitchen,kitchen,kitchen,kitchen,living,bedroom_1,entry,living,bedroom_2,bedroom_2,entry,bedroom_2,kitchen,kitchen,bedroom_2,kitchen,bathroom,bathroom,living,entry,entry,entry,entry,kitchen,entry,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom_2,entry,bathroom,bathroom
10020,d06 Sun 23:00,bedroom_1,entry,entry,kitchen,kitchen,kitchen,kitchen,living,bedroom_1,entry,living,bedroom_2,bedroom_2,entry,bedroom_2,kitchen,kitchen,bedroom_2,kitchen,bathroom,bathroom,living,entry,entry,entry,entry,kitchen,entry,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom_2,entry,bathroom,bathroom
10080,d07 Mon 00:00,bedroom_1,entry,entry,kitchen,kitchen,kitchen,kitchen,living,bedroom_1,entry,living,bedroom_2,bedroom_2,entry,bedroom_2,kitchen,kitchen,bedroom_2,kitchen,bathroom,bathroom,living,kitchen,entry,entry,entry,kitchen,entry,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom_2,entry,bathroom,bathroom
10140,d07 Mon 01:00,bedroom_1,entry,entry,kitchen,kitchen,kitchen,kitchen,living,bedroom_1,entry,living,bedroom_2,bedroom_2,entry,bedroom_2,kitchen,kitchen,bedroom_2,kitchen,bathroom,bathroom,living,kitchen,entry,entry,entry,kitchen,entry,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom_2,entry,bathroom,bathroom
10200,d07 Mon 02:00,bedroom_1,entry,entry,kitchen,kitchen,kitchen,kitchen,living,bedroom_1,entry,living,bedroom_2,bedroom_2,entry,bedroom_2,kitchen,kitchen,bedroom_2,kitchen,bathroom,bathroom,living,kitchen,entry,entry,entry,kitchen,entry,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom_2,entry,bathroom,bathroom
10260,d07 Mon 03:00,bedroom_1,entry,entry,kitchen,kitchen,kitchen,kitchen,living,bedroom_1,entry,living,bedroom_2,bedroom_2,entry,bedroom_2,kitchen,kitchen,bedroom_2,kitchen,bathroom,bathroom,living,kitchen,entry,entry,entry,kitchen,entry,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom_2,entry,bathroom,bathroom
10320,d07 Mon 04:00,bedroom_1,entry,entry,kitchen,kitchen,kitchen,kitchen,living,bedroom_1,entry,living,bedroom_2,bedroom_2,entry,bedroom_2,kitchen,kitchen,bedroom_2,kitchen,bathroom,bathroom,living,kitchen,entry,entry,entry,kitchen,entry,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom_2,entry,bathroom,bathroom
10380,d07 Mon 05:00,bedroom_1,entry,entry,kitchen,kitchen,kitchen,kitchen,living,bedroom_1,entry,living,bedroom_2,bedroom_2,entry,bedroom_2,kitchen,kitchen,bedroom_2,kitchen,bathroom,bathroom,living,kitchen,entry,entry,entry,kitchen,entry,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom_2,entry,bathroom,bathroom
10440,d07 Mon 06:00,bedroom_1,entry,entry,kitchen,kitchen,kitchen,kitchen,living,bedroom_1,entry,living,bedroom_2,bedroom_2,entry,bedroom_2,kitchen,kitchen,bedroom_2,kitchen,bathroom,bedroom_2,kitchen,kitchen,entry,entry,entry,kitchen,entry,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom_2,entry,bathroom,bedroom_3
10500,d07 Mon 07:00,outside,outside,outside,outside,kitchen,kitchen,kitchen,kitchen,kitchen,outside,living,bedroom_2,bedroom_2,entry,kitchen,kitchen,kitchen,bedroom_2,kitchen,bedroom_3,bedroom_3,bedroom_3,kitchen,entry,entry,entry,kitchen,entry,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom_2,entry,bathroom,bedroom_3
10560,d07 Mon 08:00,outside,outside,outside,outside,kitchen,kitchen,kitchen,kitchen,kitchen,outside,living,outside,outside,outside,outside,outside,kitchen,outside,outside,bathroom,bedroom_2,outside,outside,outside,outside,outside,outside,outside,outside,outside,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom_2,entry,bathroom,bedroom_3
10620,d07 Mon 09:00,outside,outside,outside,outside,kitchen,kitchen,kitchen,kitchen,kitchen,outside,living,outside,outside,outside,outside,outside,kitchen,outside,outside,bathroom,bedroom_2,outside,outside,outside,outside,outside,outside,outside,outside,outside,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom_2,entry,bathroom,bedroom_3
10680,d07 Mon 10:00,outside,outside,outside,outside,kitchen,kitchen,kitchen,kitchen,kitchen,outside,living,outside,outside,outside,outside,outside,kitchen,outside,outside,bathroom,bedroom_2,outside,outside,outside,outside,outside,outside,outside,outside,outside,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom_2,entry,bathroom,bedroom_3
10740,d07 Mon 11:00,outside,outside,outside,outside,kitchen,kitchen,kitchen,kitchen,kitchen,outside,living,outside,outside,outside,outside,outside,kitchen,outside,outside,bathroom,bedroom_2,outside,outside,outside,outside,outside,outside,outside,outside,outside,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom_2,entry,bathroom,bedroom_3
10800,d07 Mon 12:00,outside,outside,outside,outside,kitchen,kitchen,kitchen,kitchen,kitchen,outside,living,outside,outside,outside,outside,outside,kitchen,outside,outside,bathroom,bedroom_2,outside,outside,outside,outside,outside,outside,outside,outside,outside,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom_2,entry,bathroom,bedroom_3
10860,d07 Mon 13:00,outside,outside,outside,outside,kitchen,kitchen,kitchen,kitchen,kitchen,outside,living,outside,outside,outside,outside,outside,kitchen,outside,outside,bathroom,bedroom_2,outside,outside,outside,outside,outside,outside,outside,outside,outside,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom_2,entry,bathroom,bedroom_3
10920,d07 Mon 14:00,outside,outside,outside,outside,kitchen,kitchen,kitchen,kitchen,kitchen,outside,living,outside,outside,outside,outside,outside,kitchen,outside,outside,bathroom,bedroom_2,outside,outside,outside,outside,outside,outside,outside,outside,outside,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom_2,entry,bathroom,bedroom_3
10980,d07 Mon 15:00,outside,outside,outside,outside,kitchen,kitchen,kitchen,kitchen,kitchen,outside,living,kitchen,entry,kitchen,bedroom_2,kitchen,kitchen,bedroom_2,bedroom_2,bathroom,bedroom_2,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom_2,entry,bathroom,bedroom_3
11040,d07 Mon 16:00,outside,outside,outside,outside,kitchen,kitchen,kitchen,kitchen,kitchen,outside,living,kitchen,entry,kitchen,bedroom_2,kitchen,kitchen,bedroom_2,bedroom_2,bathroom,bedroom_2,outside,outside,outside,outside,outside,outside,outside,outside,outside,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom_2,entry,bathroom,bedroom_3
11100,d07 Mon 17:00,outside,outside,outside,outside,kitchen,kitchen,kitchen,kitchen,kitchen,outside,living,kitchen,entry,kitchen,bedroom_2,kitchen,kitchen,bedroom_2,bedroom_2,bathroom,bedroom_2,outside,outside,outside,outside,outside,outside,outside,outside,outside,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom_2,entry,bathroom,bedroom_3
11160,d07 Mon 18:00,entry,entry,entry,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom_1,entry,living,kitchen,entry,entry,bedroom_2,kitchen,kitchen,bedroom_2,kitchen,bathroom,bedroom_2,kitchen,entry,bedroom_3,kitchen,entry,kitchen,kitchen,living,living,kitchen,kitchen,kitchen,kitchen,kitchen,living,kitchen,kitchen,kitchen,bedroom_2,entry,bathroom,bedroom_3
11220,d07 Mon 19:00,entry,entry,entry,kitchen,kitchen,kitchen,kitchen,living,living,entry,living,kitchen,entry,entry,bedroom_2,kitchen,kitchen,bedroom_2,kitchen,bathroom,bedroom_2,kitchen,entry,bedroom_3,kitchen,entry,kitchen,kitchen,living,living,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom_2,entry,bathroom,bedroom_3
11280,d07 Mon 20:00,entry,entry,entry,kitchen,kitchen,kitchen,kitchen,living,bathroom,entry,living,kitchen,entry,kitchen,kitchen,kitchen,kitchen,bedroom_2,kitchen,bathroom,bedroom_2,kitchen,entry,bedroom_3,entry,entry,kitchen,kitchen,living,living,kitchen,living,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom_2,entry,bathroom,bedroom_3
11340,d07 Mon 21:00,kitchen,entry,entry,kitchen,kitchen,kitchen,kitchen,living,bedroom_1,entry,living,bedroom_2,kitchen,kitchen,bedroom_2,kitchen,kitchen,bedroom_2,bedroom_3,bathroom,bedroom_2,kitchen,entry,bedroom_3,entry,entry,kitchen,kitchen,living,living,bedroom_2,living,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom_2,entry,bathroom,bedroom_3
11400,d07 Mon 22:00,kitchen,entry,entry,kitchen,kitchen,kitchen,kitchen,living,bedroom_1,entry,living,bedroom_2,kitchen,kitchen,bedroom_2,kitchen,kitchen,bedroom_2,bedroom_3,bathroom,bedroom_2,kitchen,entry,bedroom_3,entry,entry,kitchen,kitchen,living,living,bedroom_2,living,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom_2,entry,bathroom,bedroom_3
11460,d07 Mon 23:00,kitchen,entry,entry,kitchen,kitchen,kitchen,kitchen,living,bedroom_1,entry,living,bedroom_2,kitchen,kitchen,bedroom_2,kitchen,kitchen,bedroom_2,bedroom_3,bathroom,bedroom_2,kitchen,entry,bedroom_3,entry,entry,kitchen,kitchen,living,living,bedroom_2,living,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom_2,entry,bathroom,bedroom_3
