t,stamp,laptop_leena,phone_leena,keys_leena,wallet_leena,backpack_leena,mug_leena,mug_1,bowl_1,bowl_2,plate_1,plate_2,pot_1,pan_1,water_bottle_leena,notebook_leena,pen_leena,tablet_leena,charger_leena,headphones_leena,book_leena,glasses_leena,blanket_leena,remote_1,yoga_mat_leena,watering_can_leena,jacket_leena,umbrella_leena,laundry_basket_leena,towel_leena,hairbrush_leena,makeup_kit_leena,suitcase_leena
5280,d03 Thu 16:00,kitchen,bedroom,entry,bedroom,entry,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,bedroom,bedroom,living,bedroom,bedroom,bedroom,bedroom,living,living,living,kitchen,entry,bedroom,bedroom,bathroom,bedroom,bedroom,bedroom
5340,d03 Thu 17:00,bedroom,bedroom,entry,bedroom,entry,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,bedroom,bedroom,living,bedroom,bedroom,bedroom,bedroom,living,living,living,kitchen,entry,bedroom,bedroom,bathroom,bedroom,bedroom,bedroom
5400,d03 Thu 18:00,bedroom,bedroom,bedroom,bedroom,entry,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,bedroom,bedroom,living,bedroom,bedroom,bedroom,bedroom,living,living,living,kitchen,entry,bedroom,bedroom,bathroom,bedroom,bedroom,bedroom
5460,d03 Thu 19:00,bedroom,bedroom,bedroom,bedroom,entry,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,bedroom,bedroom,living,bedroom,bedroom,bedroom,bedroom,living,living,living,kitchen,entry,bedroom,bedroom,bathroom,bedroom,bedroom,bedroom
5520,d03 Thu 20:00,bedroom,bedroom,bedroom,bedroom,entry,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,bedroom,bedroom,living,bedroom,bedroom,living,bedroom,living,living,living,kitchen,entry,bedroom,bedroom,bathroom,bedroom,bedroom,bedroom
5580,d03 Thu 21:00,bedroom,bedroom,bedroom,bedroom,entry,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,bedroom,bedroom,living,bedroom,bedroom,living,bedroom,living,living,living,kitchen,entry,bedroom,bedroom,bathroom,bedroom,bedroom,bedroom
5640,d03 Thu 22:00,bedroom,bedroom,bedroom,bedroom,entry,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,bedroom,bedroom,living,bedroom,bedroom,living,bedroom,living,living,living,kitchen,entry,bedroom,bedroom,bathroom,bedroom,bedroom,bedroom
5700,d03 Thu 23:00,bedroom,bedroom,bedroom,bedroom,entry,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,bedroom,bedroom,living,bedroom,bedroom,living,bedroom,living,living,living,kitchen,entry,bedroom,bedroom,bathroom,bedroom,bedroom,bedroom
5760,d04 Fri 00:00,bedroom,bedroom,bedroom,bedroom,entry,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,bedroom,bedroom,living,bedroom,bedroom,living,bedroom,living,living,living,kitchen,entry,bedroom,bedroom,bathroom,bedroom,bedroom,bedroom
5820,d04 Fri 01:00,bedroom,bedroom,bedroom,bedroom,entry,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,bedroom,bedroom,living,bedroom,bedroom,living,bedroom,living,living,living,kitchen,entry,bedroom,bedroom,bathroom,bedroom,bedroom,bedroom
5880,d04 Fri 02:00,bedroom,bedroom,bedroom,bedroom,entry,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,bedroom,bedroom,living,bedroom,bedroom,living,bedroom,living,living,living,kitchen,entry,bedroom,bedroom,bathroom,bedroom,bedroom,bedroom
5940,d04 Fri 03:00,bedroom,bedroom,bedroom,bedroom,entry,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,bedroom,bedroom,living,bedroom,bedroom,living,bedroom,living,living,living,kitchen,entry,bedroom,bedroom,bathroom,bedroom,bedroom,bedroom
6000,d04 Fri 04:00,bedroom,bedroom,bedroom,bedroom,entry,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,bedroom,bedroom,living,bedroom,bedroom,living,bedroom,living,living,living,kitchen,entry,bedroom,bedroom,bathroom,bedroom,bedroom,bedroom
6060,d04 Fri 05:00,bedroom,bedroom,bedroom,bedroom,entry,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,bedroom,bedroom,living,bedroom,bedroom,living,bedroom,living,living,living,kitchen,entry,bedroom,bedroom,bathroom,bedroom,bedroom,bedroom
6120,d04 Fri 06:00,bedroom,bedroom,bedroom,bedroom,entry,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,bedroom,bedroom,living,bedroom,bedroom,living,bedroom,living,living,living,kitchen,entry,bedroom,bedroom,bathroom,bedroom,bedroom,bedroom
6180,d04 Fri 07:00,bedroom,bedroom,bedroom,bedroom,entry,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,bedroom,bedroom,living,bedroom,bedroom,living,bedroom,living,living,living,kitchen,entry,bedroom,bedroom,bathroom,bedroom,bedroom,bedroom
6240,d04 Fri 08:00,bedroom,kitchen,bedroom,bedroom,entry,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,bedroom,bedroom,kitchen,bedroom,bedroom,living,bedroom,living,living,living,kitchen,entry,bedroom,bedroom,bathroom,bedroom,bedroom,bedroom
6300,d04 Fri 09:00,bedroom,bedroom,bedroom,bedroom,entry,bedroom,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,bedroom,bedroom,kitchen,bedroom,bedroom,living,bedroom,living,living,living,kitchen,entry,bedroom,bedroom,bathroom,bedroom,bedroom,bedroom
6360,d04 Fri 10:00,bedroom,bedroom,bedroom,bedroom,entry,bedroom,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,bedroom,bedroom,kitchen,bedroom,bedroom,living,bedroom,living,living,living,kitchen,entry,bedroom,bedroom,bathroom,bedroom,bedroom,bedroom
6420,d04 Fri 11:00,bedroom,bedroom,bedroom,bedroom,entry,bedroom,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,bedroom,bedroom,kitchen,bedroom,bedroom,living,bedroom,living,living,living,kitchen,entry,bedroom,bedroom,bathroom,bedroom,bedroom,bedroom
6480,d04 Fri 12:00,bedroom,bedroom,bedroom,bedroom,entry,bedroom,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,bedroom,bedroom,kitchen,bedroom,bedroom,living,bedroom,living,living,living,kitchen,entry,bedroom,bedroom,bathroom,bedroom,bedroom,bedroom
6540,d04 Fri 13:00,bedroom,kitchen,bedroom,bedroom,entry,bedroom,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,bedroom,kitchen,bedroom,bedroom,living,bedroom,living,living,living,kitchen,entry,bedroom,bedroom,bathroom,bedroom,bedroom,bedroom
6600,d04 Fri 14:00,bedroom,kitchen,bedroom,bedroom,entry,bedroom,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,bedroom,kitchen,kitchen,bedroom,living,bedroom,living,living,living,kitchen,entry,bedroom,bedroom,bathroom,bedroom,bedroom,bedroom
6660,d04 Fri 15:00,bedroom,bedroom,bedroom,bedroom,entry,bedroom,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,bedroom,kitchen,bedroom,bedroom,living,bedroom,living,living,living,kitchen,entry,bedroom,bedroom,bathroom,bedroom,bedroom,bedroom
6720,d04 Fri 16:00,bedroom,bedroom,bedroom,bedroom,entry,bedroom,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,bedroom,kitchen,bedroom,bedroom,living,bedroom,living,living,living,kitchen,entry,bedroom,bedroom,bathroom,bedroom,bedroom,bedroom
6780,d04 Fri 17:00,bedroom,bedroom,bedroom,bedroom,entry,bedroom,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,bedroom,kitchen,bedroom,bedroom,living,bedroom,living,living,living,kitchen,entry,bedroom,bedroom,bathroom,bedroom,bedroom,bedroom
6840,d04 Fri 18:00,kitchen,kitchen,bedroom,bedroom,entry,bedroom,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,bedroom,bedroom,kitchen,bedroom,bedroom,living,bedroom,living,living,living,kitchen,entry,bedroom,bedroom,bathroom,bedroom,bedroom,bedroom
6900,d04 Fri 19:00,kitchen,living,bedroom,bedroom,entry,bedroom,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,bedroom,bedroom,kitchen,bedroom,bedroom,living,bedroom,living,living,living,kitchen,entry,bedroom,bedroom,bathroom,bedroom,bedroom,bedroom
6960,d04 Fri 20:00,kitchen,bedroom,bedroom,bedroom,entry,bedroom,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,bedroom,bedroom,kitchen,bedroom,bedroom,bedroom,bedroom,living,bedroom,living,kitchen,entry,bedroom,bedroom,bathroom,bedroom,bedroom,bedroom
7020,d04 Fri 21:00,kitchen,bedroom,bedroom,bedroom,entry,bedroom,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,bedroom,bedroom,kitchen,bedroom,bedroom,bedroom,bedroom,living,bedroom,living,kitchen,entry,bedroom,bedroom,bathroom,bedroom,bedroom,bedroom
7080,d04 Fri 22:00,kitchen,bedroom,bedroom,bedroom,entry,bedroom,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,bedroom,bedroom,kitchen,bedroom,bedroom,bedroom,bedroom,living,bedroom,living,kitchen,entry,bedroom,bedroom,bathroom,bedroom,bedroom,bedroom
7140,d04 Fri 23:00,kitchen,bedroom,bedroom,bedroom,entry,bedroom,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,bedroom,bedroom,kitchen,bedroom,bedroom,bedroom,bedroom,living,bedroom,living,kitchen,entry,bedroom,bedroom,bathroom,bedroom,bedroom,bedroom
7200,d05 Sat 00:00,kitchen,bedroom,bedroom,bedroom,entry,bedroom,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,bedroom,bedroom,kitchen,bedroom,bedroom,bedroom,bedroom,living,bedroom,living,kitchen,entry,bedroom,bedroom,bathroom,bedroom,bedroom,bedroom
7260,d05 Sat 01:00,kitchen,bedroom,bedroom,bedroom,entry,bedroom,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,bedroom,bedroom,kitchen,bedroom,bedroom,bedroom,kitchen,living,bedroom,living,kitchen,entry,bedroom,bedroom,bathroom,bedroom,bedroom,bedroom
7320,d05 Sat 02:00,kitchen,bedroom,bedroom,bedroom,entry,bedroom,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,bedroom,bedroom,kitchen,bedroom,bedroom,bedroom,kitchen,living,bedroom,living,kitchen,entry,bedroom,bedroom,bathroom,bedroom,bedroom,bedroom
7380,d05 Sat 03:00,kitchen,bedroom,bedroom,bedroom,entry,bedroom,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,bedroom,bedroom,kitchen,bedroom,bedroom,bedroom,kitchen,living,bedroom,living,kitchen,entry,bedroom,bedroom,bathroom,bedroom,bedroom,bedroom
7440,d05 Sat 04:00,kitchen,bedroom,bedroom,bedroom,entry,bedroom,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,bedroom,bedroom,kitchen,bedroom,bedroom,bedroom,kitchen,living,bedroom,living,kitchen,entry,bedroom,bedroom,bathroom,bedroom,bedroom,bedroom
7500,d05 Sat 05:00,kitchen,bedroom,bedroom,bedroom,entry,bedroom,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,bedroom,bedroom,kitchen,bedroom,bedroom,bedroom,kitchen,living,bedroom,living,kitchen,entry,bedroom,bedroom,bathroom,bedroom,bedroom,bedroom
7560,d05 Sat 06:00,kitchen,bedroom,bedroom,bedroom,entry,bedroom,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,bedroom,bedroom,kitchen,bedroom,bedroom,bedroom,kitchen,living,bedroom,living,kitchen,entry,bedroom,bedroom,bathroom,bedroom,bedroom,bedroom
7620,d05 Sat 07:00,kitchen,bedroom,bedroom,bedroom,entry,bedroom,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,bedroom,bedroom,kitchen,bedroom,bedroom,bedroom,kitchen,living,bedroom,living,kitchen,entry,bedroom,bedroom,bathroom,bedroom,bedroom,bedroom
7680,d05 Sat 08:00,kitchen,bedroom,bedroom,bedroom,entry,bedroom,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,bedroom,bedroom,kitchen,bedroom,bedroom,bedroom,kitchen,living,bedroom,living,kitchen,entry,bedroom,bedroom,bathroom,bedroom,bedroom,bedroom
7740,d05 Sat 09:00,kitchen,bedroom,bedroom,bedroom,entry,bedroom,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,bedroom,bedroom,kitchen,bedroom,bedroom,bedroom,kitchen,living,bedroom,living,kitchen,entry,bedroom,bedroom,bathroom,bedroom,bedroom,bedroom
7800,d05 Sat 10:00,kitchen,bedroom,bedroom,bedroom,entry,bedroom,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,bedroom,bedroom,kitchen,bedroom,bedroom,bedroom,kitchen,living,bedroom,living,kitchen,entry,bedroom,bedroom,bathroom,bedroom,bedroom,bedroom
7860,d05 Sat 11:00,kitchen,entry,bedroom,bedroom,entry,bedroom,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,bedroom,bedroom,kitchen,bedroom,bedroom,bedroom,kitchen,living,bedroom,living,kitchen,entry,bedroom,bedroom,bathroom,entry,bedroom,bedroom
7920,d05 Sat 12:00,bedroom,bedroom,entry,entry,entry,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,bedroom,bedroom,kitchen,bedroom,bedroom,bedroom,kitchen,living,bedroom,living,kitchen,entry,kitchen,bedroom,bathroom,bedroom,bedroom,bedroom
7980,d05 Sat 13:00,bedroom,bedroom,entry,entry,entry,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,bedroom,bedroom,kitchen,bedroom,bedroom,bedroom,kitchen,living,bedroom,living,kitchen,entry,kitchen,bedroom,bathroom,bedroom,bedroom,bedroom
8040,d05 Sat 14:00,bedroom,bedroom,entry,entry,entry,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,bedroom,bedroom,kitchen,bedroom,bedroom,bedroom,kitchen,living,bedroom,living,kitchen,entry,bedroom,bedroom,bathroom,bedroom,bedroom,bedroom
8100,d05 Sat 15:00,outside,outside,outside,outside,outside,outside,kitchen,kitchen,kitchen,kitchen,outside,kitchen,kitchen,outside,bedroom,bedroom,kitchen,bedroom,outside,bedroom,kitchen,living,bedroom,living,kitchen,outside,outside,bedroom,bathroom,bedroom,outside,outside
8160,d05 Sat 16:00,outside,outside,outside,outside,outside,outside,kitchen,kitchen,kitchen,kitchen,outside,kitchen,kitchen,outside,bedroom,bedroom,kitchen,bedroom,outside,bedroom,kitchen,living,bedroom,living,kitchen,outside,outside,bedroom,bathroom,bedroom,outside,outside
8220,d05 Sat 17:00,outside,outside,outside,outside,outside,outside,kitchen,kitchen,kitchen,kitchen,outside,kitchen,kitchen,outside,bedroom,bedroom,kitchen,bedroom,outside,bedroom,kitchen,living,bedroom,living,kitchen,outside,outside,bedroom,bathroom,bedroom,outside,outside
8280,d05 Sat 18:00,bedroom,bedroom,entry,entry,entry,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,bedroom,kitchen,bedroom,bedroom,bedroom,kitchen,living,bedroom,living,kitchen,entry,entry,bedroom,bathroom,bedroom,bedroom,bedroom
8340,d05 Sat 19:00,bedroom,bedroom,entry,entry,entry,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,bedroom,living,bedroom,bedroom,living,kitchen,living,bedroom,living,kitchen,entry,entry,bedroom,bathroom,bedroom,bedroom,bedroom
8400,d05 Sat 20:00,bedroom,bedroom,entry,entry,entry,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,bedroom,living,bedroom,bedroom,living,kitchen,living,bedroom,living,kitchen,entry,entry,bedroom,bathroom,bedroom,bedroom,bedroom
8460,d05 Sat 21:00,bedroom,bedroom,entry,entry,entry,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,bedroom,living,bedroom,bedroom,living,kitchen,living,bedroom,living,kitchen,entry,entry,bedroom,bathroom,bedroom,bedroom,bedroom
8520,d05 Sat 22:00,bedroom,bedroom,entry,entry,entry,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,bedroom,living,bedroom,bedroom,living,kitchen,living,bedroom,living,kitchen,entry,entry,bedroom,bathroom,bedroom,bedroom,bedroom
8580,d05 Sat 23:00,bedroom,bedroom,entry,entry,entry,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,bedroom,living,bedroom,bedroom,living,kitchen,living,bedroom,living,kitchen,entry,entry,bedroom,bathroom,bedroom,bedroom,bedroom
8640,d06 Sun 00:00,bedroom,bedroom,entry,entry,entry,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,bedroom,living,bedroom,bedroom,living,kitchen,living,bedroom,living,kitchen,entry,entry,bedroom,bathroom,bedroom,bedroom,bedroom
8700,d06 Sun 01:00,bedroom,bedroom,entry,entry,entry,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,bedroom,living,bedroom,bedroom,living,kitchen,living,bedroom,living,kitchen,entry,entry,bedroom,bathroom,bedroom,bedroom,bedroom
8760,d06 Sun 02:00,bedroom,bedroom,entry,entry,entry,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,bedroom,living,bedroom,bedroom,living,kitchen,living,bedroom,living,kitchen,entry,entry,bedroom,bathroom,bedroom,bedroom,bedroom
8820,d06 Sun 03:00,bedroom,bedroom,entry,entry,entry,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,bedroom,living,bedroom,bedroom,living,kitchen,living,bedroom,living,kitchen,entry,entry,bedroom,bathroom,bedroom,bedroom,bedroom
8880,d06 Sun 04:00,bedroom,bedroom,entry,entry,entry,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,bedroom,living,bedroom,bedroom,living,kitchen,living,bedroom,living,kitchen,entry,entry,bedroom,bathroom,bedroom,bedroom,bedroom
8940,d06 Sun 05:00,bedroom,bedroom,entry,entry,entry,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,bedroom,living,bedroom,bedroom,living,kitchen,living,bedroom,living,kitchen,entry,entry,bedroom,bathroom,bedroom,bedroom,bedroom
9000,d06 Sun 06:00,bedroom,bedroom,entry,entry,entry,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,bedroom,living,bedroom,bedroom,living,kitchen,living,bedroom,living,kitchen,entry,entry,bedroom,bathroom,bedroom,bedroom,bedroom
9060,d06 Sun 07:00,bedroom,bedroom,entry,entry,entry,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,bedroom,living,bedroom,bedroom,living,kitchen,living,bedroom,living,kitchen,entry,entry,bedroom,bathroom,bedroom,bedroom,bedroom
9120,d06 Sun 08:00,bedroom,bedroom,entry,entry,entry,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,bedroom,living,bedroom,bedroom,living,kitchen,living,bedroom,living,kitchen,entry,entry,bedroom,bathroom,bedroom,bedroom,bedroom
9180,d06 Sun 09:00,bedroom,kitchen,entry,entry,entry,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,bedroom,living,bedroom,kitchen,living,kitchen,living,bedroom,living,kitchen,entry,entry,bedroom,bathroom,bedroom,bedroom,bedroom
9240,d06 Sun 10:00,bedroom,kitchen,entry,entry,entry,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,bedroom,kitchen,living,kitchen,living,kitchen,living,kitchen,entry,entry,bedroom,bathroom,bedroom,bedroom,bedroom
9300,d06 Sun 11:00,bedroom,kitchen,entry,entry,bedroom,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,bedroom,living,bedroom,kitchen,living,kitchen,living,living,living,kitchen,entry,entry,bedroom,bathroom,bedroom,bedroom,bedroom
9360,d06 Sun 12:00,bedroom,kitchen,entry,entry,bedroom,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,bedroom,living,bedroom,kitchen,living,kitchen,living,living,living,kitchen,entry,entry,bedroom,bathroom,bedroom,bedroom,bedroom
9420,d06 Sun 13:00,bedroom,kitchen,entry,entry,bedroom,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,bedroom,living,bedroom,kitchen,living,kitchen,living,living,living,kitchen,entry,entry,bedroom,bathroom,bedroom,bedroom,bedroom
9480,d06 Sun 14:00,outside,outside,outside,outside,outside,outside,kitchen,kitchen,kitchen,kitchen,outside,kitchen,kitchen,outside,bedroom,bedroom,living,bedroom,outside,living,kitchen,living,living,living,kitchen,outside,outside,bedroom,bathroom,bedroom,outside,outside
9540,d06 Sun 15:00,bedroom,bedroom,entry,entry,entry,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,bedroom,living,bedroom,bedroom,living,bedroom,living,living,living,kitchen,entry,entry,bedroom,bathroom,bedroom,bedroom,bedroom
9600,d06 Sun 16:00,kitchen,bedroom,entry,entry,entry,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,bedroom,bedroom,living,bedroom,bedroom,living,bedroom,living,living,living,kitchen,entry,entry,bedroom,bathroom,bedroom,bedroom,bedroom
9660,d06 Sun 17:00,kitchen,bedroom,entry,entry,entry,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,bedroom,bedroom,living,bedroom,bedroom,living,bedroom,living,living,living,kitchen,entry,entry,bedroom,bathroom,bedroom,bedroom,bedroom
9720,d06 Sun 18:00,kitchen,bedroom,entry,entry,entry,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,bedroom,bedroom,living,bedroom,bedroom,bedroom,bedroom,living,living,living,kitchen,entry,entry,bedroom,bathroom,bedroom,bedroom,bedroom
9780,d06 Sun 19:00,kitchen,bedroom,entry,entry,entry,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,bedroom,bedroom,living,bedroom,bedroom,bedroom,bedroom,living,bedroom,living,kitchen,entry,entry,bedroom,bathroom,bedroom,bedroom,bedroom
9840,d06 Sun 20:00,kitchen,bedroom,entry,entry,entry,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,bedroom,bedroom,living,bedroom,bedroom,bedroom,bedroom,living,bedroom,living,kitchen,entry,entry,bedroom,bathroom,bedroom,bedroom,bedroom
9900,d06 Sun 21:00,kitchen,bedroom,entry,entry,entry,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,bedroom,bedroom,living,bedroom,bedroom,bedroom,bedroom,living,bedroom,living,kitchen,entry,entry,bedroom,bathroom,bedroom,bedroom,bedroom
9960,d06 Sun 22:00,kitchen,bedroom,entry,entry,entry,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,bedroom,bedroom,living,bedroom,bedroom,bedroom,bedroom,living,bedroom,living,kitchen,entry,entry,bedroom,bathroom,bedroom,bedroom,bedroom
10020,d06 Sun 23:00,kitchen,bedroom,entry,entry,entry,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,bedroom,bedroom,living,bedroom,bedroom,bedroom,bedroom,living,bedroom,living,kitchen,entry,entry,bedroom,bathroom,bedroom,bedroom,bedroom
10080,d07 Mon 00:00,kitchen,bedroom,entry,entry,entry,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,bedroom,bedroom,living,bedroom,bedroom,bedroom,bedroom,living,bedroom,living,kitchen,entry,entry,bedroom,bathroom,bedroom,bedroom,bedroom
10140,d07 Mon 01:00,kitchen,bedroom,entry,entry,entry,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,bedroom,bedroom,living,bedroom,bedroom,bedroom,bedroom,living,bedroom,living,kitchen,entry,entry,bedroom,bathroom,bedroom,bedroom,bedroom
10200,d07 Mon 02:00,kitchen,bedroom,entry,entry,entry,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,bedroom,bedroom,living,bedroom,bedroom,bedroom,bedroom,living,bedroom,living,kitchen,entry,entry,bedroom,bathroom,bedroom,bedroom,bedroom
10260,d07 Mon 03:00,kitchen,bedroom,entry,entry,entry,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,bedroom,bedroom,living,bedroom,bedroom,bedroom,bedroom,living,bedroom,living,kitchen,entry,entry,bedroom,bathroom,bedroom,bedroom,bedroom
10320,d07 Mon 04:00,kitchen,bedroom,entry,entry,entry,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,bedroom,bedroom,living,bedroom,bedroom,bedroom,bedroom,living,bedroom,living,kitchen,entry,entry,bedroom,bathroom,bedroom,bedroom,bedroom
10380,d07 Mon 05:00,kitchen,bedroom,entry,entry,entry,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,bedroom,bedroom,living,bedroom,bedroom,bedroom,bedroom,living,bedroom,living,kitchen,entry,entry,bedroom,bathroom,bedroom,bedroom,bedroom
10440,d07 Mon 06:00,kitchen,bedroom,entry,entry,entry,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,bedroom,bedroom,living,bedroom,bedroom,bedroom,bedroom,living,bedroom,living,kitchen,entry,entry,bedroom,bathroom,bedroom,bedroom,bedroom
10500,d07 Mon 07:00,kitchen,bedroom,entry,entry,entry,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,bedroom,bedroom,living,bedroom,bedroom,bedroom,bedroom,living,bedroom,living,kitchen,entry,entry,bedroom,bathroom,bedroom,bedroom,bedroom
