t,stamp,laptop_mara,phone_mara,keys_mara,wallet_mara,backpack_mara,lunchbox_mara,water_bottle_mara,mug_mara,notebook_mara,pen_mara,book_mara,glasses_mara,charger_mara,jacket_mara,yoga_mat_mara,phone_darren,keys_darren,wallet_darren,backpack_darren,lunchbox_darren,water_bottle_darren,jacket_darren,headphones_darren,book_darren,glasses_darren,charger_darren,gaming_controller_darren,mug_shared_1,bowl_shared_1,plate_shared_1,remote_shared_1,blanket_shared_1,laundry_basket_shared_1,vacuum_cleaner_shared_1,pot_shared_1,pan_shared_1,towel_shared_1
9960,d06 Sun 22:00,living,bedroom_1,entry,entry,entry,kitchen,kitchen,kitchen,bedroom_1,kitchen,bedroom_1,bedroom_1,bedroom_1,entry,living,outside,outside,outside,outside,outside,outside,outside,outside,outside,outside,outside,living,kitchen,kitchen,kitchen,kitchen,living,bedroom_2,entry,kitchen,kitchen,kitchen
10020,d06 Sun 23:00,living,bedroom_1,entry,entry,entry,kitchen,kitchen,kitchen,bedroom_1,kitchen,bedroom_1,bedroom_1,bedroom_1,entry,living,outside,outside,outside,outside,outside,outside,outside,outside,outside,outside,outside,living,kitchen,kitchen,kitchen,kitchen,living,bedroom_2,entry,kitchen,kitchen,kitchen
10080,d07 Mon 00:00,living,bedroom_1,entry,entry,entry,kitchen,kitchen,kitchen,bedroom_1,kitchen,bedroom_1,bedroom_1,bedroom_1,entry,living,outside,outside,outside,outside,outside,outside,outside,outside,outside,outside,outside,living,kitchen,kitchen,kitchen,kitchen,living,bedroom_2,entry,kitchen,kitchen,kitchen
10140,d07 Mon 01:00,living,bedroom_1,entry,entry,entry,kitchen,kitchen,kitchen,bedroom_1,kitchen,bedroom_1,bedroom_1,bedroom_1,entry,living,outside,outside,outside,outside,outside,outside,outside,outside,outside,outside,outside,living,kitchen,kitchen,kitchen,kitchen,living,bedroom_2,entry,kitchen,kitchen,kitchen
10200,d07 Mon 02:00,living,bedroom_1,entry,entry,entry,kitchen,kitchen,kitchen,bedroom_1,kitchen,bedroom_1,bedroom_1,bedroom_1,entry,living,outside,outside,outside,outside,outside,outside,outside,outside,outside,outside,outside,living,kitchen,kitchen,kitchen,kitchen,living,bedroom_2,entry,kitchen,kitchen,kitchen
10260,d07 Mon 03:00,living,bedroom_1,entry,entry,entry,kitchen,kitchen,kitchen,bedroom_1,kitchen,bedroom_1,bedroom_1,bedroom_1,entry,living,outside,outside,outside,outside,outside,outside,outside,outside,outside,outside,outside,living,kitchen,kitchen,kitchen,kitchen,living,bedroom_2,entry,kitchen,kitchen,kitchen
10320,d07 Mon 04:00,living,bedroom_1,entry,entry,entry,kitchen,kitchen,kitchen,bedroom_1,kitchen,bedroom_1,bedroom_1,bedroom_1,entry,living,outside,outside,outside,outside,outside,outside,outside,outside,outside,outside,outside,living,kitchen,kitchen,kitchen,kitchen,living,bedroom_2,entry,kitchen,kitchen,kitchen
10380,d07 Mon 05:00,living,bedroom_1,entry,entry,entry,kitchen,kitchen,kitchen,bedroom_1,kitchen,bedroom_1,bedroom_1,bedroom_1,entry,living,outside,outside,outside,outside,outside,outside,outside,outside,outside,outside,outside,living,kitchen,kitchen,kitchen,kitchen,living,bedroom_2,entry,kitchen,kitchen,kitchen
10440,d07 Mon 06:00,living,kitchen,entry,entry,entry,kitchen,kitchen,kitchen,bedroom_1,kitchen,bedroom_1,bedroom_1,bedroom_1,entry,living,outside,outside,outside,outside,outside,outside,outside,outside,outside,outside,outside,living,kitchen,kitchen,kitchen,kitchen,living,bedroom_2,entry,kitchen,kitchen,bathroom
10500,d07 Mon 07:00,living,entry,entry,entry,entry,kitchen,kitchen,kitchen,bedroom_1,kitchen,bedroom_1,bedroom_1,bedroom_1,entry,living,outside,outside,outside,outside,outside,outside,outside,outside,outside,outside,outside,living,kitchen,kitchen,kitchen,kitchen,living,bedroom_2,entry,kitchen,kitchen,bathroom
10560,d07 Mon 08:00,outside,outside,outside,outside,outside,outside,outside,kitchen,bedroom_1,kitchen,outside,outside,outside,outside,living,outside,outside,outside,outside,outside,outside,outside,outside,outside,outside,outside,living,kitchen,kitchen,kitchen,kitchen,living,bedroom_2,entry,kitchen,kitchen,bathroom
10620,d07 Mon 09:00,outside,outside,outside,outside,outside,outside,outside,kitchen,bedroom_1,kitchen,outside,outside,outside,outside,living,living,entry,entry,kitchen,kitchen,kitchen,bedroom_2,entry,entry,entry,entry,living,kitchen,kitchen,kitchen,kitchen,living,bedroom_2,entry,kitchen,kitchen,bathroom
10680,d07 Mon 10:00,outside,outside,outside,outside,outside,outside,outside,kitchen,bedroom_1,kitchen,outside,outside,outside,outside,living,living,entry,entry,kitchen,kitchen,kitchen,bedroom_2,entry,entry,entry,entry,living,kitchen,kitchen,kitchen,kitchen,living,bedroom_2,entry,kitchen,kitchen,bathroom
10740,d07 Mon 11:00,outside,outside,outside,outside,outside,outside,outside,kitchen,bedroom_1,kitchen,outside,outside,outside,outside,living,living,entry,entry,kitchen,kitchen,kitchen,bedroom_2,entry,entry,entry,entry,living,kitchen,kitchen,kitchen,kitchen,living,bedroom_2,entry,kitchen,kitchen,bathroom
10800,d07 Mon 12:00,outside,outside,outside,outside,outside,outside,outside,kitchen,bedroom_1,kitchen,outside,outside,outside,outside,living,living,entry,entry,kitchen,kitchen,kitchen,bedroom_2,entry,entry,entry,entry,living,kitchen,kitchen,kitchen,kitchen,living,bedroom_2,entry,kitchen,kitchen,bathroom
10860,d07 Mon 13:00,outside,outside,outside,outside,outside,outside,outside,kitchen,bedroom_1,kitchen,outside,outside,outside,outside,living,living,entry,entry,kitchen,kitchen,kitchen,bedroom_2,entry,entry,entry,entry,living,kitchen,kitchen,kitchen,kitchen,living,bedroom_2,entry,kitchen,kitchen,bathroom
10920,d07 Mon 14:00,outside,outside,outside,outside,outside,outside,outside,kitchen,bedroom_1,kitchen,outside,outside,outside,outside,living,living,entry,entry,kitchen,kitchen,kitchen,bedroom_2,entry,entry,entry,entry,living,kitchen,kitchen,kitchen,kitchen,living,bedroom_2,entry,kitchen,kitchen,bathroom
10980,d07 Mon 15:00,outside,outside,outside,outside,outside,outside,outside,kitchen,bedroom_1,kitchen,outside,outside,outside,outside,living,living,entry,entry,kitchen,kitchen,kitchen,bedroom_2,entry,entry,entry,entry,living,kitchen,kitchen,kitchen,kitchen,living,bedroom_2,entry,kitchen,kitchen,bathroom
11040,d07 Mon 16:00,kitchen,bedroom_1,bedroom_1,bedroom_1,entry,kitchen,kitchen,kitchen,bedroom_1,kitchen,kitchen,bedroom_1,bedroom_1,kitchen,living,living,entry,entry,kitchen,kitchen,kitchen,bedroom_2,entry,entry,entry,entry,living,kitchen,kitchen,kitchen,kitchen,living,bedroom_1,entry,kitchen,kitchen,bathroom
11100,d07 Mon 17:00,kitchen,bedroom_2,bedroom_1,bedroom_1,entry,kitchen,kitchen,kitchen,bedroom_1,kitchen,kitchen,bedroom_1,bedroom_1,kitchen,living,living,entry,entry,kitchen,kitchen,kitchen,bedroom_2,entry,entry,entry,entry,living,kitchen,kitchen,kitchen,kitchen,living,bedroom_2,entry,kitchen,kitchen,bathroom
11160,d07 Mon 18:00,kitchen,bedroom_2,bedroom_1,bedroom_1,entry,kitchen,kitchen,kitchen,bedroom_1,kitchen,bedroom_1,bedroom_1,bedroom_1,kitchen,living,living,entry,entry,kitchen,kitchen,kitchen,entry,entry,living,bedroom_1,entry,living,kitchen,kitchen,kitchen,kitchen,living,bedroom_2,entry,kitchen,kitchen,bathroom
11220,d07 Mon 19:00,kitchen,bedroom_2,bedroom_1,bedroom_1,entry,kitchen,kitchen,kitchen,bedroom_1,kitchen,bedroom_1,bedroom_1,bedroom_1,kitchen,living,living,entry,entry,kitchen,kitchen,kitchen,entry,entry,living,bedroom_2,entry,living,kitchen,kitchen,kitchen,kitchen,living,bedroom_2,entry,kitchen,kitchen,bathroom
11280,d07 Mon 20:00,kitchen,bedroom_2,bedroom_1,bedroom_1,entry,kitchen,kitchen,kitchen,bedroom_1,kitchen,bedroom_1,bedroom_1,bedroom_1,kitchen,living,living,entry,entry,kitchen,kitchen,kitchen,entry,entry,living,bedroom_2,entry,living,kitchen,kitchen,kitchen,kitchen,living,bedroom_2,entry,kitchen,kitchen,bathroom
11340,d07 Mon 21:00,kitchen,bedroom_2,bedroom_1,bedroom_1,entry,kitchen,kitchen,kitchen,bedroom_1,kitchen,bedroom_1,bedroom_1,bedroom_1,kitchen,living,living,entry,entry,kitchen,kitchen,kitchen,entry,entry,living,bedroom_2,entry,living,kitchen,kitchen,kitchen,kitchen,living,bedroom_2,entry,kitchen,kitchen,bathroom
11400,d07 Mon 22:00,kitchen,bedroom_2,bedroom_1,bedroom_1,entry,kitchen,kitchen,kitchen,bedroom_1,kitchen,bedroom_1,bedroom_1,bedroom_1,kitchen,living,outside,outside,outside,outside,outside,outside,outside,outside,outside,outside,outside,living,kitchen,kitchen,kitchen,kitchen,living,bedroom_2,entry,kitchen,kitchen,bathroom
11460,d07 Mon 23:00,kitchen,bedroom_2,bedroom_1,bedroom_1,entry,kitchen,kitchen,kitchen,bedroom_1,kitchen,bedroom_1,bedroom_1,bedroom_1,kitchen,living,outside,outside,outside,outside,outside,outside,outside,outside,outside,outside,outside,living,kitchen,kitchen,kitchen,kitchen,living,bedroom_2,entry,kitchen,kitchen,bathroom
11520,d08 Tue 00:00,kitchen,bedroom_2,bedroom_1,bedroom_1,entry,kitchen,kitchen,kitchen,bedroom_1,kitchen,bedroom_1,bedroom_1,bedroom_1,kitchen,living,outside,outside,outside,outside,outside,outside,outside,outside,outside,outside,outside,living,kitchen,kitchen,kitchen,kitchen,living,bedroom_2,entry,kitchen,kitchen,bathroom
11580,d08 Tue 01:00,kitchen,bedroom_2,bedroom_1,bedroom_1,entry,kitchen,kitchen,kitchen,bedroom_1,kitchen,bedroom_1,bedroom_1,bedroom_1,kitchen,living,outside,outside,outside,outside,outside,outside,outside,outside,outside,outside,outside,living,kitchen,kitchen,kitchen,kitchen,living,bedroom_2,entry,kitchen,kitchen,bathroom
11640,d08 Tue 02:00,kitchen,bedroom_2,bedroom_1,bedroom_1,entry,kitchen,kitchen,kitchen,bedroom_1,kitchen,bedroom_1,bedroom_1,bedroom_1,kitchen,living,outside,outside,outside,outside,outside,outside,outside,outside,outside,outside,outside,living,kitchen,kitchen,kitchen,kitchen,living,bedroom_2,entry,kitchen,kitchen,bathroom
11700,d08 Tue 03:00,kitchen,bedroom_2,bedroom_1,bedroom_1,entry,kitchen,kitchen,kitchen,bedroom_1,kitchen,bedroom_1,bedroom_1,bedroom_1,kitchen,living,outside,outside,outside,outside,outside,outside,outside,outside,outside,outside,outside,living,kitchen,kitchen,kitchen,kitchen,living,bedroom_2,entry,kitchen,kitchen,bathroom
11760,d08 Tue 04:00,kitchen,bedroom_2,bedroom_1,bedroom_1,entry,kitchen,kitchen,kitchen,bedroom_1,kitchen,bedroom_1,bedroom_1,bedroom_1,kitchen,living,outside,outside,outside,outside,outside,outside,outside,outside,outside,outside,outside,living,kitchen,kitchen,kitchen,kitchen,living,bedroom_2,entry,kitchen,kitchen,bathroom
11820,d08 Tue 05:00,kitchen,bathroom,bedroom_1,bedroom_1,entry,kitchen,kitchen,kitchen,bedroom_1,kitchen,bedroom_1,bedroom_1,bedroom_1,kitchen,living,outside,outside,outside,outside,outside,outside,outside,outside,outside,outside,outside,living,kitchen,kitchen,kitchen,kitchen,living,bedroom_2,entry,kitchen,kitchen,bathroom
11880,d08 Tue 06:00,kitchen,kitchen,bedroom_1,bedroom_1,entry,kitchen,kitchen,kitchen,bedroom_1,kitchen,bedroom_1,bedroom_1,bedroom_1,kitchen,living,outside,outside,outside,outside,outside,outside,outside,outside,outside,outside,outside,living,kitchen,kitchen,kitchen,kitchen,living,bedroom_2,entry,kitchen,kitchen,bathroom
11940,d08 Tue 07:00,kitchen,entry,bedroom_1,bedroom_1,entry,kitchen,kitchen,kitchen,bedroom_1,kitchen,bedroom_1,bedroom_1,bedroom_1,kitchen,living,outside,outside,outside,outside,outside,outside,outside,outside,outside,outside,outside,living,kitchen,kitchen,kitchen,kitchen,living,bedroom_2,entry,kitchen,kitchen,kitchen
12000,d08 Tue 08:00,outside,outside,bedroom_1,outside,outside,outside,outside,kitchen,bedroom_1,kitchen,outside,outside,outside,outside,living,outside,outside,outside,outside,outside,outside,outside,outside,outside,outside,outside,living,kitchen,kitchen,kitchen,kitchen,living,bedroom_2,entry,kitchen,kitchen,kitchen
12060,d08 Tue 09:00,outside,outside,bedroom_1,outside,outside,outside,outside,kitchen,bedroom_1,kitchen,outside,outside,outside,outside,living,living,entry,kitchen,kitchen,kitchen,kitchen,bedroom_2,entry,living,kitchen,living,living,kitchen,kitchen,kitchen,kitchen,living,bedroom_2,entry,kitchen,kitchen,kitchen
12120,d08 Tue 10:00,outside,outside,bedroom_1,outside,outside,outside,outside,kitchen,bedroom_1,kitchen,outside,outside,outside,outside,living,living,entry,kitchen,kitchen,kitchen,kitchen,bedroom_2,entry,living,kitchen,living,living,kitchen,kitchen,kitchen,kitchen,living,bedroom_2,entry,kitchen,kitchen,kitchen
12180,d08 Tue 11:00,outside,outside,bedroom_1,outside,outside,outside,outside,kitchen,bedroom_1,kitchen,outside,outside,outside,outside,living,living,entry,kitchen,kitchen,kitchen,kitchen,bedroom_2,entry,living,kitchen,living,living,kitchen,kitchen,kitchen,kitchen,living,bedroom_2,entry,kitchen,kitchen,kitchen
12240,d08 Tue 12:00,outside,outside,bedroom_1,outside,outside,outside,outside,kitchen,bedroom_1,kitchen,outside,outside,outside,outside,living,living,entry,kitchen,kitchen,kitchen,kitchen,bedroom_2,entry,living,kitchen,living,living,kitchen,kitchen,kitchen,kitchen,living,bedroom_2,entry,kitchen,kitchen,kitchen
12300,d08 Tue 13:00,outside,outside,bedroom_1,outside,outside,outside,outside,kitchen,bedroom_1,kitchen,outside,outside,outside,outside,living,living,entry,kitchen,kitchen,kitchen,kitchen,bedroom_2,entry,living,kitchen,living,living,kitchen,kitchen,kitchen,kitchen,living,bedroom_2,entry,kitchen,kitchen,kitchen
12360,d08 Tue 14:00,outside,outside,bedroom_1,outside,outside,outside,outside,kitchen,bedroom_1,kitchen,outside,outside,outside,outside,living,living,entry,kitchen,kitchen,kitchen,kitchen,bedroom_2,entry,living,kitchen,living,living,kitchen,kitchen,kitchen,kitchen,living,bedroom_2,entry,kitchen,kitchen,kitchen
12420,d08 Tue 15:00,outside,outside,bedroom_1,outside,outside,outside,outside,kitchen,bedroom_1,kitchen,outside,outside,outside,outside,living,living,entry,kitchen,kitchen,kitchen,kitchen,bedroom_2,entry,living,kitchen,living,living,kitchen,kitchen,kitchen,kitchen,living,bedroom_2,entry,kitchen,kitchen,kitchen
12480,d08 Tue 16:00,kitchen,kitchen,bedroom_1,entry,entry,kitchen,living,kitchen,bedroom_1,kitchen,bedroom_1,bedroom_1,entry,entry,living,living,entry,kitchen,kitchen,kitchen,kitchen,bedroom_2,entry,living,kitchen,living,living,kitchen,kitchen,kitchen,kitchen,living,bedroom_2,entry,kitchen,kitchen,kitchen
12540,d08 Tue 17:00,kitchen,kitchen,bedroom_1,entry,entry,kitchen,living,kitchen,bedroom_1,kitchen,bedroom_1,bedroom_1,entry,entry,living,living,entry,kitchen,kitchen,kitchen,kitchen,bedroom_2,entry,living,kitchen,living,living,kitchen,kitchen,kitchen,kitchen,living,bedroom_2,entry,kitchen,kitchen,kitchen
12600,d08 Tue 18:00,kitchen,outside,outside,outside,entry,kitchen,outside,kitchen,bedroom_1,kitchen,outside,bedroom_1,entry,entry,living,living,entry,kitchen,kitchen,entry,kitchen,bedroom_2,entry,living,kitchen,living,living,kitchen,kitchen,kitchen,kitchen,living,bedroom_2,entry,kitchen,kitchen,kitchen
12660,d08 Tue 19:00,kitchen,outside,outside,outside,entry,kitchen,outside,kitchen,bedroom_1,kitchen,outside,bedroom_1,entry,entry,living,living,entry,kitchen,kitchen,entry,kitchen,bedroom_2,entry,living,living,living,living,kitchen,kitchen,kitchen,kitchen,living,bedroom_2,entry,kitchen,kitchen,kitchen
12720,d08 Tue 20:00,kitchen,outside,outside,outside,entry,kitchen,outside,kitchen,bedroom_1,kitchen,outside,bedroom_1,entry,entry,living,living,entry,kitchen,kitchen,entry,kitchen,bedroom_2,entry,living,living,living,living,kitchen,kitchen,kitchen,kitchen,living,bedroom_2,entry,kitchen,kitchen,kitchen
12780,d08 Tue 21:00,kitchen,outside,outside,outside,entry,kitchen,outside,kitchen,bedroom_1,kitchen,outside,bedroom_1,entry,entry,living,living,entry,kitchen,kitchen,entry,kitchen,bedroom_2,entry,living,living,living,living,kitchen,kitchen,kitchen,kitchen,living,bedroom_2,entry,kitchen,kitchen,kitchen
12840,d08 Tue 22:00,kitchen,outside,outside,outside,entry,kitchen,outside,kitchen,bedroom_1,kitchen,outside,bedroom_1,entry,entry,living,outside,outside,outside,outside,outside,outside,outside,outside,outside,outside,outside,living,kitchen,kitchen,kitchen,kitchen,living,bedroom_2,entry,kitchen,kitchen,kitchen
12900,d08 Tue 23:00,kitchen,outside,outside,outside,entry,kitchen,outside,kitchen,bedroom_1,kitchen,outside,bedroom_1,entry,entry,living,outside,outside,outside,outside,outside,outside,outside,outside,outside,outside,outside,living,kitchen,kitchen,kitchen,kitchen,living,bedroom_2,entry,kitchen,kitchen,kitchen
12960,d09 Wed 00:00,kitchen,outside,outside,outside,entry,kitchen,outside,kitchen,bedroom_1,kitchen,outside,bedroom_1,entry,entry,living,outside,outside,outside,outside,outside,outside,outside,outside,outside,outside,outside,living,kitchen,kitchen,kitchen,kitchen,living,bedroom_2,entry,kitchen,kitchen,kitchen
13020,d09 Wed 01:00,kitchen,bedroom_1,entry,entry,entry,kitchen,kitchen,kitchen,bedroom_1,kitchen,bedroom_1,bedroom_1,entry,entry,living,outside,outside,outside,outside,outside,outside,outside,outside,outside,outside,outside,living,kitchen,kitchen,kitchen,kitchen,living,bedroom_2,entry,kitchen,kitchen,kitchen
13080,d09 Wed 02:00,kitchen,bedroom_1,entry,entry,entry,kitchen,kitchen,kitchen,bedroom_1,kitchen,bedroom_1,bedroom_1,entry,entry,living,outside,outside,outside,outside,outside,outside,outside,outside,outside,outside,outside,living,kitchen,kitchen,kitchen,kitchen,living,bedroom_2,entry,kitchen,kitchen,kitchen
13140,d09 Wed 03:00,kitchen,bedroom_1,entry,entry,entry,kitchen,kitchen,kitchen,bedroom_1,kitchen,bedroom_1,bedroom_1,entry,entry,living,outside,outside,outside,outside,outside,outside,outside,outside,outside,outside,outside,living,kitchen,kitchen,kitchen,kitchen,living,bedroom_2,entry,kitchen,kitchen,kitchen
13200,d09 Wed 04:00,kitchen,bedroom_1,entry,entry,entry,kitchen,kitchen,kitchen,bedroom_1,kitchen,bedroom_1,bedroom_1,entry,entry,living,outside,outside,outside,outside,outside,outside,outside,outside,outside,outside,outside,living,kitchen,kitchen,kitchen,kitchen,living,bedroom_2,entry,kitchen,kitchen,kitchen
13260,d09 Wed 05:00,kitchen,bedroom_1,entry,entry,entry,kitchen,kitchen,kitchen,bedroom_1,kitchen,bedroom_1,bedroom_1,entry,entry,living,outside,outside,outside,outside,outside,outside,outside,outside,outside,outside,outside,living,kitchen,kitchen,kitchen,kitchen,living,bedroom_2,entry,kitchen,kitchen,kitchen
13320,d09 Wed 06:00,kitchen,bedroom_1,entry,entry,entry,kitchen,kitchen,kitchen,bedroom_1,kitchen,bedroom_1,bedroom_1,entry,entry,living,outside,outside,outside,outside,outside,outside,outside,outside,outside,outside,outside,living,kitchen,kitchen,kitchen,kitchen,living,bedroom_2,entry,kitchen,kitchen,bathroom
13380,d09 Wed 07:00,kitchen,entry,entry,entry,entry,kitchen,kitchen,kitchen,bedroom_1,kitchen,bedroom_1,bedroom_1,entry,entry,living,outside,outside,outside,outside,outside,outside,outside,outside,outside,outside,outside,living,kitchen,kitchen,kitchen,kitchen,living,bedroom_2,entry,kitchen,kitchen,bathroom
13440,d09 Wed 08:00,kitchen,entry,entry,entry,entry,kitchen,kitchen,kitchen,bedroom_1,kitchen,bedroom_1,bedroom_1,entry,entry,living,outside,outside,outside,outside,outside,outside,outside,outside,outside,outside,outside,living,kitchen,kitchen,kitchen,kitchen,living,bedroom_2,entry,kitchen,kitchen,bathroom
13500,d09 Wed 09:00,outside,outside,outside,outside,outside,outside,outside,kitchen,bedroom_1,kitchen,outside,outside,outside,outside,living,kitchen,entry,entry,kitchen,kitchen,kitchen,entry,entry,living,living,living,living,kitchen,kitchen,kitchen,kitchen,living,bedroom_2,entry,kitchen,kitchen,bathroom
13560,d09 Wed 10:00,outside,outside,outside,outside,outside,outside,outside,kitchen,bedroom_1,kitchen,outside,outside,outside,outside,living,kitchen,entry,entry,kitchen,kitchen,kitchen,entry,entry,living,living,living,living,kitchen,kitchen,kitchen,kitchen,living,bedroom_2,entry,kitchen,kitchen,bathroom
13620,d09 Wed 11:00,outside,outside,outside,outside,outside,outside,outside,kitchen,bedroom_1,kitchen,outside,outside,outside,outside,living,kitchen,entry,entry,kitchen,kitchen,kitchen,entry,entry,living,living,living,living,kitchen,kitchen,kitchen,kitchen,living,bedroom_2,entry,kitchen,kitchen,bathroom
13680,d09 Wed 12:00,outside,outside,outside,outside,outside,outside,outside,kitchen,bedroom_1,kitchen,outside,outside,outside,outside,living,kitchen,entry,entry,kitchen,kitchen,kitchen,entry,entry,living,living,living,living,kitchen,kitchen,kitchen,kitchen,living,bedroom_2,entry,kitchen,kitchen,bathroom
13740,d09 Wed 13:00,outside,outside,outside,outside,outside,outside,outside,kitchen,bedroom_1,kitchen,outside,outside,outside,outside,living,kitchen,entry,entry,kitchen,kitchen,kitchen,entry,entry,living,living,living,living,kitchen,kitchen,kitchen,kitchen,living,bedroom_2,entry,kitchen,kitchen,bathroom
13800,d09 Wed 14:00,outside,outside,outside,outside,outside,outside,outside,kitchen,bedroom_1,kitchen,outside,outside,outside,outside,living,kitchen,entry,entry,kitchen,kitchen,kitchen,entry,entry,living,living,living,living,kitchen,kitchen,kitchen,kitchen,living,bedroom_2,entry,kitchen,kitchen,bathroom
13860,d09 Wed 15:00,outside,outside,outside,outside,outside,outside,outside,kitchen,bedroom_1,kitchen,outside,outside,outside,outside,living,kitchen,entry,entry,kitchen,kitchen,kitchen,entry,entry,living,living,living,living,kitchen,kitchen,kitchen,kitchen,living,bedroom_2,entry,kitchen,kitchen,bathroom
13920,d09 Wed 16:00,outside,outside,outside,outside,outside,outside,outside,kitchen,bedroom_1,kitchen,outside,outside,outside,outside,living,kitchen,entry,entry,kitchen,kitchen,kitchen,entry,entry,living,living,living,living,kitchen,kitchen,kitchen,kitchen,living,bedroom_2,entry,kitchen,kitchen,bathroom
13980,d09 Wed 17:00,kitchen,kitchen,entry,entry,kitchen,kitchen,kitchen,kitchen,bedroom_1,kitchen,kitchen,bedroom_1,bedroom_1,kitchen,living,kitchen,entry,entry,kitchen,kitchen,kitchen,entry,entry,living,living,living,living,kitchen,kitchen,kitchen,kitchen,bedroom_1,bedroom_2,entry,kitchen,kitchen,bathroom
14040,d09 Wed 18:00,kitchen,kitchen,entry,entry,kitchen,kitchen,kitchen,kitchen,bedroom_1,kitchen,kitchen,bedroom_1,bedroom_1,kitchen,living,living,entry,entry,kitchen,entry,kitchen,entry,entry,living,living,living,living,kitchen,kitchen,kitchen,kitchen,bedroom_1,bedroom_2,entry,kitchen,kitchen,kitchen
14100,d09 Wed 19:00,kitchen,kitchen,entry,entry,kitchen,kitchen,kitchen,kitchen,bedroom_1,kitchen,bedroom_1,bedroom_1,bedroom_1,kitchen,living,living,entry,entry,kitchen,entry,kitchen,entry,entry,living,living,living,living,kitchen,kitchen,kitchen,kitchen,bedroom_1,bedroom_2,entry,kitchen,kitchen,kitchen
14160,d09 Wed 20:00,kitchen,kitchen,entry,entry,kitchen,kitchen,kitchen,kitchen,bedroom_1,kitchen,bedroom_1,bedroom_1,bedroom_1,kitchen,living,living,entry,entry,kitchen,entry,kitchen,entry,entry,living,living,living,living,kitchen,kitchen,kitchen,kitchen,bedroom_1,bedroom_2,entry,kitchen,kitchen,kitchen
14220,d09 Wed 21:00,kitchen,kitchen,entry,entry,kitchen,kitchen,kitchen,kitchen,bedroom_1,kitchen,bedroom_1,bedroom_1,bedroom_1,kitchen,living,living,entry,entry,entry,entry,kitchen,entry,entry,living,living,living,living,kitchen,kitchen,kitchen,kitchen,bedroom_1,bedroom_2,entry,kitchen,kitchen,kitchen
14280,d09 Wed 22:00,kitchen,kitchen,entry,entry,kitchen,kitchen,kitchen,kitchen,bedroom_1,kitchen,bedroom_1,bedroom_1,bedroom_1,kitchen,living,outside,outside,outside,outside,outside,outside,outside,outside,outside,outside,outside,living,kitchen,kitchen,kitchen,kitchen,bedroom_1,bedroom_2,entry,kitchen,kitchen,kitchen
14340,d09 Wed 23:00,kitchen,kitchen,entry,entry,kitchen,kitchen,kitchen,kitchen,bedroom_1,kitchen,bedroom_1,bedroom_1,bedroom_1,kitchen,living,outside,outside,outside,outside,outside,outside,outside,outside,outside,outside,outside,living,kitchen,kitchen,kitchen,kitchen,bedroom_1,bedroom_2,entry,kitchen,kitchen,kitchen
14400,d10 Thu 00:00,kitchen,kitchen,entry,entry,kitchen,kitchen,kitchen,kitchen,bedroom_1,kitchen,bedroom_1,bedroom_1,bedroom_1,kitchen,living,outside,outside,outside,outside,outside,outside,outside,outside,outside,outside,outside,living,kitchen,kitchen,kitchen,kitchen,bedroom_1,bedroom_2,entry,kitchen,kitchen,kitchen
14460,d10 Thu 01:00,kitchen,kitchen,entry,entry,kitchen,kitchen,kitchen,kitchen,bedroom_1,kitchen,bedroom_1,bedroom_1,bedroom_1,kitchen,living,outside,outside,outside,outside,outside,outside,outside,outside,outside,outside,outside,living,kitchen,kitchen,kitchen,kitchen,bedroom_1,bedroom_2,entry,kitchen,kitchen,kitchen
14520,d10 Thu 02:00,kitchen,kitchen,entry,entry,kitchen,kitchen,kitchen,kitchen,bedroom_1,kitchen,bedroom_1,bedroom_1,bedroom_1,kitchen,living,outside,outside,outside,outside,outside,outside,outside,outside,outside,outside,outside,living,kitchen,kitchen,kitchen,kitchen,bedroom_1,bedroom_2,entry,kitchen,kitchen,kitchen
14580,d10 Thu 03:00,kitchen,kitchen,entry,entry,kitchen,kitchen,kitchen,kitchen,bedroom_1,kitchen,bedroom_1,bedroom_1,bedroom_1,kitchen,living,outside,outside,outside,outside,outside,outside,outside,outside,outside,outside,outside,living,kitchen,kitchen,kitchen,kitchen,bedroom_1,bedroom_2,entry,kitchen,kitchen,kitchen
14640,d10 Thu 04:00,kitchen,kitchen,entry,entry,kitchen,kitchen,kitchen,kitchen,bedroom_1,kitchen,bedroom_1,bedroom_1,bedroom_1,kitchen,living,outside,outside,outside,outside,outside,outside,outside,outside,outside,outside,outside,living,kitchen,kitchen,kitchen,kitchen,bedroom_1,bedroom_2,entry,kitchen,kitchen,kitchen
14700,d10 Thu 05:00,kitchen,kitchen,entry,entry,kitchen,kitchen,kitchen,kitchen,bedroom_1,kitchen,bedroom_1,bedroom_1,bedroom_1,kitchen,living,outside,outside,outside,outside,outside,outside,outside,outside,outside,outside,outside,living,kitchen,kitchen,kitchen,kitchen,bedroom_1,bedroom_2,entry,kitchen,kitchen,kitchen
14760,d10 Thu 06:00,kitchen,kitchen,entry,entry,kitchen,kitchen,kitchen,kitchen,bedroom_1,kitchen,bedroom_1,bedroom_1,bedroom_1,kitchen,living,outside,outside,outside,outside,outside,outside,outside,outside,outside,outside,outside,living,kitchen,kitchen,kitchen,kitchen,bedroom_1,bedroom_2,entry,kitchen,kitchen,kitchen
