t,stamp,phone_elias,keys_elias,wallet_elias,laptop_elias,charger_elias,backpack_elias,mug_elias,water_bottle_elias,notebook_elias,pen_elias,headphones_elias,jacket_elias,phone_priya,keys_priya,wallet_priya,backpack_priya,lunchbox_priya,water_bottle_priya,mug_priya,jacket_priya,yoga_mat_priya,hairbrush_priya,makeup_kit_priya,blanket_noa,water_bottle_noa,backpack_noa,toy_noa,book_noa,towel_noa,medication_bottle_noa,plate_shared_1,bowl_shared_1,pot_shared_1,pan_shared_1,remote_shared_1,tablet_shared_1,charger_shared_1,laundry_basket_shared_1,vacuum_cleaner_shared_1,umbrella_shared_1,suitcase_shared_1
10440,d07 Mon 06:00,kitchen,bedroom_1,bedroom_1,bedroom_1,bedroom_1,entry,kitchen,kitchen,kitchen,kitchen,bedroom_1,entry,bathroom,entry,entry,entry,kitchen,kitchen,living,entry,bedroom_1,kitchen,bathroom,bedroom_2,living,kitchen,kitchen,bedroom_2,bathroom,kitchen,kitchen,kitchen,kitchen,kitchen,living,kitchen,kitchen,living,bedroom_1,entry,bedroom_1
10500,d07 Mon 07:00,entry,kitchen,bedroom_1,bedroom_1,bedroom_1,entry,kitchen,kitchen,kitchen,kitchen,bedroom_1,entry,bathroom,entry,entry,entry,kitchen,kitchen,kitchen,entry,bedroom_1,bathroom,bathroom,bedroom_2,kitchen,kitchen,kitchen,bedroom_2,bathroom,kitchen,kitchen,kitchen,kitchen,kitchen,living,kitchen,kitchen,living,bedroom_1,entry,bedroom_1
10560,d07 Mon 08:00,outside,outside,outside,outside,outside,outside,kitchen,outside,kitchen,kitchen,outside,outside,outside,kitchen,outside,outside,outside,outside,kitchen,outside,outside,bathroom,bathroom,outside,outside,outside,bathroom,bedroom_2,bathroom,kitchen,kitchen,living,kitchen,kitchen,living,kitchen,kitchen,living,bedroom_1,entry,bedroom_1
10620,d07 Mon 09:00,outside,outside,outside,outside,outside,outside,kitchen,outside,kitchen,kitchen,outside,outside,outside,kitchen,outside,outside,outside,outside,kitchen,outside,outside,bathroom,bathroom,outside,outside,outside,bathroom,bedroom_2,bathroom,kitchen,kitchen,living,kitchen,kitchen,living,kitchen,kitchen,living,bedroom_1,entry,bedroom_1
10680,d07 Mon 10:00,outside,outside,outside,outside,outside,outside,kitchen,outside,kitchen,kitchen,outside,outside,outside,kitchen,outside,outside,outside,outside,kitchen,outside,outside,bathroom,bathroom,outside,outside,outside,bathroom,bedroom_2,bathroom,kitchen,kitchen,living,kitchen,kitchen,living,kitchen,kitchen,living,bedroom_1,entry,bedroom_1
10740,d07 Mon 11:00,outside,outside,outside,outside,outside,outside,kitchen,outside,kitchen,kitchen,outside,outside,outside,kitchen,outside,outside,outside,outside,kitchen,outside,outside,bathroom,bathroom,outside,outside,outside,bathroom,bedroom_2,bathroom,kitchen,kitchen,living,kitchen,kitchen,living,kitchen,kitchen,living,bedroom_1,entry,bedroom_1
10800,d07 Mon 12:00,outside,outside,outside,outside,outside,outside,kitchen,outside,kitchen,kitchen,outside,outside,outside,kitchen,outside,outside,outside,outside,kitchen,outside,outside,bathroom,bathroom,outside,outside,outside,bathroom,bedroom_2,bathroom,kitchen,kitchen,living,kitchen,kitchen,living,kitchen,kitchen,living,bedroom_1,entry,bedroom_1
10860,d07 Mon 13:00,outside,outside,outside,outside,outside,outside,kitchen,outside,kitchen,kitchen,outside,outside,entry,entry,entry,kitchen,kitchen,kitchen,kitchen,entry,living,bathroom,bathroom,outside,outside,outside,bathroom,bedroom_2,bathroom,kitchen,kitchen,living,kitchen,kitchen,living,kitchen,kitchen,living,bedroom_1,entry,bedroom_1
10920,d07 Mon 14:00,outside,outside,outside,outside,outside,outside,kitchen,outside,kitchen,kitchen,outside,outside,entry,entry,entry,kitchen,kitchen,kitchen,kitchen,entry,living,bathroom,bathroom,outside,outside,outside,bathroom,bedroom_2,bathroom,kitchen,kitchen,living,kitchen,kitchen,living,kitchen,kitchen,living,bedroom_1,entry,bedroom_1
10980,d07 Mon 15:00,outside,outside,outside,outside,outside,outside,kitchen,outside,kitchen,kitchen,outside,outside,kitchen,entry,entry,entry,kitchen,kitchen,kitchen,entry,living,bathroom,bathroom,bedroom_2,living,entry,living,bedroom_2,bathroom,kitchen,kitchen,living,kitchen,kitchen,living,kitchen,kitchen,living,bedroom_1,entry,bedroom_1
11040,d07 Mon 16:00,entry,entry,entry,bedroom_1,kitchen,entry,kitchen,kitchen,kitchen,kitchen,bedroom_1,kitchen,kitchen,entry,entry,kitchen,kitchen,kitchen,kitchen,entry,living,bathroom,bathroom,living,kitchen,entry,living,bedroom_2,bathroom,kitchen,kitchen,living,kitchen,kitchen,living,kitchen,bedroom_1,living,bedroom_1,entry,bedroom_1
11100,d07 Mon 17:00,entry,entry,entry,bedroom_1,kitchen,entry,kitchen,kitchen,kitchen,kitchen,bedroom_1,kitchen,kitchen,entry,entry,kitchen,kitchen,kitchen,kitchen,entry,living,bathroom,bathroom,living,kitchen,entry,living,bedroom_2,bathroom,kitchen,kitchen,kitchen,kitchen,kitchen,living,kitchen,bedroom_1,living,bedroom_1,entry,bedroom_1
11160,d07 Mon 18:00,entry,entry,entry,bedroom_1,kitchen,entry,kitchen,kitchen,kitchen,kitchen,bedroom_1,kitchen,kitchen,entry,entry,kitchen,kitchen,kitchen,kitchen,entry,living,bathroom,bathroom,living,kitchen,entry,living,bedroom_2,bathroom,kitchen,kitchen,kitchen,kitchen,kitchen,living,kitchen,bedroom_1,living,bedroom_1,entry,bedroom_1
11220,d07 Mon 19:00,entry,entry,entry,bedroom_1,kitchen,entry,kitchen,kitchen,kitchen,kitchen,bedroom_1,kitchen,kitchen,entry,entry,kitchen,kitchen,kitchen,kitchen,entry,living,bathroom,bathroom,bedroom_2,kitchen,entry,living,living,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,kitchen,bedroom_1,living,bedroom_1,entry,bedroom_1
11280,d07 Mon 20:00,entry,entry,entry,bedroom_1,kitchen,entry,kitchen,kitchen,kitchen,kitchen,bedroom_1,kitchen,kitchen,entry,entry,kitchen,kitchen,kitchen,kitchen,entry,living,bathroom,bathroom,bedroom_2,kitchen,entry,living,living,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,kitchen,bedroom_1,living,bedroom_1,entry,bedroom_1
11340,d07 Mon 21:00,entry,entry,entry,kitchen,bedroom_1,entry,kitchen,kitchen,kitchen,bedroom_1,kitchen,kitchen,kitchen,entry,entry,kitchen,kitchen,kitchen,kitchen,entry,living,bathroom,bathroom,living,kitchen,entry,living,bedroom_1,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,kitchen,bedroom_1,living,bedroom_1,entry,bedroom_1
11400,d07 Mon 22:00,entry,entry,entry,kitchen,bedroom_1,entry,kitchen,kitchen,kitchen,bedroom_1,kitchen,kitchen,kitchen,entry,entry,kitchen,kitchen,kitchen,kitchen,entry,living,bathroom,bathroom,bedroom_2,kitchen,entry,living,bedroom_2,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,kitchen,bedroom_1,living,bedroom_1,entry,bedroom_1
11460,d07 Mon 23:00,entry,entry,entry,kitchen,bedroom_1,entry,kitchen,kitchen,kitchen,bedroom_1,kitchen,kitchen,kitchen,entry,entry,kitchen,kitchen,kitchen,kitchen,entry,living,bathroom,bathroom,bedroom_2,kitchen,entry,living,bedroom_2,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,kitchen,bedroom_1,living,bedroom_1,entry,bedroom_1
11520,d08 Tue 00:00,entry,entry,entry,kitchen,bedroom_1,entry,kitchen,kitchen,kitchen,bedroom_1,kitchen,kitchen,kitchen,entry,entry,kitchen,kitchen,kitchen,kitchen,entry,living,bathroom,bathroom,bedroom_2,kitchen,entry,living,bedroom_2,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,kitchen,bedroom_1,living,bedroom_1,entry,bedroom_1
11580,d08 Tue 01:00,entry,entry,entry,kitchen,bedroom_1,entry,kitchen,kitchen,kitchen,bedroom_1,kitchen,kitchen,kitchen,entry,entry,kitchen,kitchen,kitchen,kitchen,entry,living,bathroom,bathroom,bedroom_2,kitchen,entry,living,bedroom_2,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,kitchen,bedroom_1,living,bedroom_1,entry,bedroom_1
11640,d08 Tue 02:00,entry,entry,entry,kitchen,bedroom_1,entry,kitchen,kitchen,kitchen,bedroom_1,kitchen,kitchen,kitchen,entry,entry,kitchen,kitchen,kitchen,kitchen,entry,living,bathroom,bathroom,bedroom_2,kitchen,entry,living,bedroom_2,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,kitchen,bedroom_1,living,bedroom_1,entry,bedroom_1
11700,d08 Tue 03:00,entry,entry,entry,kitchen,bedroom_1,entry,kitchen,kitchen,kitchen,bedroom_1,kitchen,kitchen,kitchen,entry,entry,kitchen,kitchen,kitchen,kitchen,entry,living,bathroom,bathroom,bedroom_2,kitchen,entry,living,bedroom_2,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,kitchen,bedroom_1,living,bedroom_1,entry,bedroom_1
11760,d08 Tue 04:00,entry,entry,entry,kitchen,bedroom_1,entry,kitchen,kitchen,kitchen,bedroom_1,kitchen,kitchen,kitchen,entry,entry,kitchen,kitchen,kitchen,kitchen,entry,living,bathroom,bathroom,bedroom_2,kitchen,entry,living,bedroom_2,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,kitchen,bedroom_1,living,bedroom_1,entry,bedroom_1
11820,d08 Tue 05:00,entry,entry,entry,kitchen,bedroom_1,entry,kitchen,kitchen,kitchen,bedroom_1,kitchen,kitchen,kitchen,entry,entry,kitchen,kitchen,kitchen,kitchen,entry,living,bathroom,bathroom,bedroom_2,kitchen,entry,living,bedroom_2,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,kitchen,bedroom_1,living,bedroom_1,entry,bedroom_1
11880,d08 Tue 06:00,kitchen,entry,entry,kitchen,bedroom_1,entry,kitchen,kitchen,kitchen,bedroom_1,kitchen,kitchen,bathroom,entry,entry,kitchen,kitchen,kitchen,kitchen,entry,living,bathroom,bathroom,bedroom_2,kitchen,entry,living,bedroom_2,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,kitchen,bedroom_1,living,bedroom_1,entry,bedroom_1
11940,d08 Tue 07:00,entry,entry,entry,kitchen,bedroom_1,entry,kitchen,kitchen,kitchen,bedroom_1,kitchen,kitchen,bathroom,outside,outside,outside,outside,outside,kitchen,outside,outside,kitchen,bathroom,bedroom_2,kitchen,entry,living,bedroom_2,kitchen,kitchen,kitchen,living,kitchen,kitchen,living,kitchen,bedroom_1,living,bedroom_1,entry,bedroom_1
12000,d08 Tue 08:00,outside,outside,outside,outside,outside,outside,kitchen,outside,kitchen,bedroom_1,outside,outside,bathroom,outside,outside,outside,outside,outside,living,outside,outside,kitchen,entry,bedroom_2,kitchen,entry,living,bedroom_2,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,kitchen,bedroom_1,living,bedroom_1,entry,bedroom_1
12060,d08 Tue 09:00,outside,outside,outside,outside,outside,outside,kitchen,outside,kitchen,bedroom_1,outside,outside,bathroom,outside,outside,outside,outside,outside,living,outside,outside,kitchen,entry,outside,outside,outside,living,bedroom_2,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,kitchen,bedroom_1,living,bedroom_1,entry,bedroom_1
12120,d08 Tue 10:00,outside,outside,outside,outside,outside,outside,kitchen,outside,kitchen,bedroom_1,outside,outside,bathroom,outside,outside,outside,outside,outside,living,outside,outside,kitchen,entry,outside,outside,outside,living,bedroom_2,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,kitchen,bedroom_1,living,bedroom_1,entry,bedroom_1
12180,d08 Tue 11:00,outside,outside,outside,outside,outside,outside,kitchen,outside,kitchen,bedroom_1,outside,outside,bathroom,outside,outside,outside,outside,outside,living,outside,outside,kitchen,entry,outside,outside,outside,living,bedroom_2,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,kitchen,bedroom_1,living,bedroom_1,entry,bedroom_1
12240,d08 Tue 12:00,outside,outside,outside,outside,outside,outside,kitchen,outside,kitchen,bedroom_1,outside,outside,bathroom,outside,outside,outside,outside,outside,living,outside,outside,kitchen,entry,outside,outside,outside,living,bedroom_2,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,kitchen,bedroom_1,living,bedroom_1,entry,bedroom_1
12300,d08 Tue 13:00,outside,outside,outside,outside,outside,outside,kitchen,outside,kitchen,bedroom_1,outside,outside,kitchen,entry,entry,kitchen,kitchen,kitchen,living,entry,living,kitchen,entry,outside,outside,outside,living,bedroom_2,kitchen,kitchen,kitchen,living,kitchen,kitchen,living,entry,bedroom_1,living,bedroom_1,entry,bedroom_1
12360,d08 Tue 14:00,outside,outside,outside,outside,outside,outside,kitchen,outside,kitchen,bedroom_1,outside,outside,kitchen,entry,entry,kitchen,kitchen,kitchen,living,entry,living,kitchen,entry,outside,outside,outside,living,bedroom_2,kitchen,kitchen,kitchen,living,kitchen,kitchen,living,entry,bedroom_1,living,bedroom_1,entry,bedroom_1
12420,d08 Tue 15:00,outside,outside,outside,outside,outside,outside,kitchen,outside,kitchen,bedroom_1,outside,outside,kitchen,entry,entry,bedroom_1,kitchen,kitchen,living,entry,living,kitchen,entry,bedroom_2,kitchen,entry,living,bedroom_2,kitchen,kitchen,kitchen,living,kitchen,kitchen,living,entry,kitchen,living,bedroom_1,entry,bedroom_1
12480,d08 Tue 16:00,bedroom_1,entry,entry,bedroom_1,bedroom_1,entry,kitchen,kitchen,kitchen,bedroom_1,bedroom_1,entry,kitchen,entry,kitchen,kitchen,kitchen,kitchen,living,entry,living,kitchen,entry,bedroom_2,kitchen,entry,living,bedroom_2,kitchen,kitchen,kitchen,living,kitchen,kitchen,living,kitchen,kitchen,living,bedroom_1,entry,bedroom_1
12540,d08 Tue 17:00,bedroom_1,entry,entry,bedroom_1,kitchen,entry,kitchen,kitchen,kitchen,kitchen,bedroom_1,entry,kitchen,entry,kitchen,kitchen,kitchen,kitchen,living,entry,living,kitchen,entry,bedroom_2,kitchen,entry,bathroom,bedroom_2,kitchen,kitchen,kitchen,living,kitchen,kitchen,living,kitchen,kitchen,living,bedroom_1,entry,bedroom_1
12600,d08 Tue 18:00,bedroom_1,entry,entry,bedroom_1,kitchen,entry,kitchen,kitchen,kitchen,kitchen,bedroom_1,entry,kitchen,entry,kitchen,kitchen,kitchen,kitchen,living,entry,living,kitchen,entry,bedroom_2,kitchen,entry,bathroom,bedroom_2,kitchen,kitchen,kitchen,living,kitchen,kitchen,living,kitchen,kitchen,living,bedroom_1,entry,bedroom_1
12660,d08 Tue 19:00,bedroom_1,entry,entry,bedroom_1,kitchen,entry,kitchen,kitchen,kitchen,kitchen,kitchen,entry,kitchen,entry,kitchen,kitchen,kitchen,kitchen,kitchen,entry,living,kitchen,entry,bedroom_2,kitchen,kitchen,bathroom,bedroom_2,kitchen,kitchen,kitchen,living,kitchen,kitchen,living,kitchen,kitchen,living,bedroom_1,entry,bedroom_1
12720,d08 Tue 20:00,bedroom_1,entry,entry,bedroom_1,kitchen,entry,kitchen,kitchen,kitchen,kitchen,kitchen,entry,kitchen,entry,kitchen,kitchen,kitchen,kitchen,kitchen,entry,living,kitchen,entry,bedroom_2,kitchen,kitchen,bathroom,bedroom_2,kitchen,kitchen,kitchen,living,kitchen,kitchen,living,living,kitchen,living,bedroom_1,entry,bedroom_1
12780,d08 Tue 21:00,bedroom_1,entry,entry,bedroom_1,kitchen,entry,kitchen,kitchen,kitchen,kitchen,kitchen,entry,kitchen,entry,kitchen,kitchen,kitchen,kitchen,kitchen,entry,living,kitchen,entry,bedroom_2,kitchen,kitchen,bathroom,bedroom_2,kitchen,kitchen,kitchen,living,kitchen,kitchen,living,living,kitchen,living,bedroom_1,entry,bedroom_1
12840,d08 Tue 22:00,bedroom_1,entry,entry,bedroom_1,kitchen,entry,kitchen,kitchen,kitchen,kitchen,kitchen,entry,kitchen,entry,kitchen,kitchen,kitchen,kitchen,kitchen,entry,bedroom_1,kitchen,entry,bedroom_2,kitchen,kitchen,bathroom,bedroom_2,kitchen,kitchen,kitchen,living,kitchen,kitchen,living,kitchen,kitchen,living,bedroom_1,entry,bedroom_1
12900,d08 Tue 23:00,bedroom_1,entry,entry,bedroom_1,kitchen,entry,kitchen,kitchen,kitchen,kitchen,kitchen,entry,kitchen,entry,kitchen,kitchen,kitchen,kitchen,kitchen,entry,bedroom_1,kitchen,entry,bedroom_2,kitchen,kitchen,bathroom,bedroom_2,kitchen,kitchen,kitchen,living,kitchen,kitchen,living,kitchen,kitchen,living,bedroom_1,entry,bedroom_1
12960,d09 Wed 00:00,bedroom_1,entry,entry,bedroom_1,kitchen,entry,kitchen,kitchen,kitchen,kitchen,kitchen,entry,kitchen,entry,kitchen,kitchen,kitchen,kitchen,kitchen,entry,bedroom_1,kitchen,entry,bedroom_2,kitchen,kitchen,bathroom,bedroom_2,kitchen,kitchen,kitchen,living,kitchen,kitchen,living,kitchen,kitchen,living,bedroom_1,entry,bedroom_1
13020,d09 Wed 01:00,bedroom_1,entry,entry,bedroom_1,kitchen,entry,kitchen,kitchen,kitchen,kitchen,kitchen,entry,kitchen,entry,kitchen,kitchen,kitchen,kitchen,kitchen,entry,bedroom_1,kitchen,entry,bedroom_2,kitchen,kitchen,bathroom,bedroom_2,kitchen,kitchen,kitchen,living,kitchen,kitchen,living,kitchen,kitchen,living,bedroom_1,entry,bedroom_1
13080,d09 Wed 02:00,bedroom_1,entry,entry,bedroom_1,kitchen,entry,kitchen,kitchen,kitchen,kitchen,kitchen,entry,kitchen,entry,kitchen,kitchen,kitchen,kitchen,kitchen,entry,bedroom_1,kitchen,entry,bedroom_2,kitchen,kitchen,bathroom,bedroom_2,kitchen,kitchen,kitchen,living,kitchen,kitchen,living,kitchen,kitchen,living,bedroom_1,entry,bedroom_1
13140,d09 Wed 03:00,bedroom_1,entry,entry,bedroom_1,kitchen,entry,kitchen,kitchen,kitchen,kitchen,kitchen,entry,kitchen,entry,kitchen,kitchen,kitchen,kitchen,kitchen,entry,bedroom_1,kitchen,entry,bedroom_2,kitchen,kitchen,bathroom,bedroom_2,kitchen,kitchen,kitchen,living,kitchen,kitchen,kitchen,kitchen,kitchen,living,bedroom_1,entry,bedroom_1
13200,d09 Wed 04:00,bedroom_1,entry,entry,bedroom_1,kitchen,entry,kitchen,kitchen,kitchen,kitchen,kitchen,entry,kitchen,entry,kitchen,kitchen,kitchen,kitchen,kitchen,entry,bedroom_1,kitchen,entry,bedroom_2,kitchen,kitchen,bathroom,bedroom_2,kitchen,kitchen,kitchen,living,kitchen,kitchen,kitchen,kitchen,kitchen,living,bedroom_1,entry,bedroom_1
13260,d09 Wed 05:00,entry,entry,entry,bedroom_1,kitchen,entry,kitchen,kitchen,kitchen,kitchen,kitchen,entry,kitchen,entry,kitchen,kitchen,kitchen,kitchen,kitchen,entry,bedroom_1,kitchen,entry,bedroom_2,kitchen,kitchen,bathroom,bedroom_2,kitchen,kitchen,kitchen,living,kitchen,kitchen,kitchen,kitchen,kitchen,living,bedroom_1,entry,bedroom_1
13320,d09 Wed 06:00,entry,living,entry,bedroom_1,kitchen,entry,kitchen,kitchen,kitchen,kitchen,kitchen,entry,bathroom,entry,kitchen,kitchen,kitchen,kitchen,kitchen,entry,bedroom_1,kitchen,bathroom,bedroom_2,kitchen,kitchen,bathroom,bedroom_2,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,bedroom_1,entry,bedroom_1
13380,d09 Wed 07:00,kitchen,entry,entry,bedroom_1,kitchen,entry,kitchen,kitchen,kitchen,kitchen,kitchen,entry,outside,outside,outside,outside,outside,outside,living,outside,outside,entry,entry,bedroom_2,kitchen,kitchen,bathroom,bedroom_2,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,bedroom_1,entry,bedroom_1
13440,d09 Wed 08:00,kitchen,entry,entry,bedroom_1,kitchen,entry,kitchen,kitchen,kitchen,kitchen,kitchen,entry,outside,outside,outside,outside,outside,outside,living,outside,outside,bathroom,bathroom,outside,outside,outside,living,bedroom_2,kitchen,kitchen,kitchen,living,kitchen,kitchen,kitchen,kitchen,kitchen,living,bedroom_1,entry,bedroom_1
13500,d09 Wed 09:00,outside,outside,outside,outside,outside,outside,kitchen,outside,kitchen,kitchen,outside,outside,outside,outside,outside,outside,outside,outside,living,outside,outside,bathroom,bathroom,outside,outside,outside,living,bedroom_2,kitchen,kitchen,kitchen,living,kitchen,kitchen,kitchen,kitchen,kitchen,living,bedroom_1,entry,bedroom_1
13560,d09 Wed 10:00,outside,outside,outside,outside,outside,outside,kitchen,outside,kitchen,kitchen,outside,outside,outside,outside,outside,outside,outside,outside,living,outside,outside,bathroom,bathroom,outside,outside,outside,living,bedroom_2,kitchen,kitchen,kitchen,living,kitchen,kitchen,kitchen,kitchen,kitchen,living,bedroom_1,entry,bedroom_1
13620,d09 Wed 11:00,kitchen,outside,outside,outside,outside,outside,kitchen,outside,kitchen,kitchen,outside,outside,outside,outside,outside,outside,outside,outside,living,outside,outside,bathroom,bathroom,outside,outside,outside,living,bedroom_2,kitchen,kitchen,kitchen,living,kitchen,kitchen,kitchen,kitchen,kitchen,living,bedroom_1,entry,bedroom_1
13680,d09 Wed 12:00,kitchen,outside,outside,outside,outside,outside,kitchen,outside,kitchen,kitchen,outside,outside,outside,outside,outside,outside,outside,outside,living,outside,outside,bathroom,bathroom,outside,outside,outside,living,bedroom_2,kitchen,kitchen,kitchen,living,kitchen,kitchen,kitchen,kitchen,kitchen,living,bedroom_1,entry,bedroom_1
13740,d09 Wed 13:00,entry,outside,outside,outside,outside,outside,kitchen,outside,kitchen,kitchen,outside,outside,entry,entry,kitchen,kitchen,kitchen,kitchen,living,entry,living,bathroom,bathroom,outside,outside,outside,living,bedroom_2,kitchen,kitchen,kitchen,living,kitchen,kitchen,kitchen,kitchen,kitchen,living,bedroom_1,entry,bedroom_1
13800,d09 Wed 14:00,entry,outside,outside,outside,outside,outside,kitchen,outside,kitchen,kitchen,outside,outside,kitchen,entry,kitchen,entry,kitchen,kitchen,living,kitchen,living,bathroom,bathroom,bedroom_2,living,entry,living,bedroom_2,kitchen,kitchen,kitchen,living,kitchen,kitchen,kitchen,kitchen,kitchen,living,bedroom_1,entry,bedroom_1
13860,d09 Wed 15:00,entry,outside,outside,outside,outside,outside,kitchen,outside,kitchen,kitchen,outside,outside,kitchen,entry,kitchen,entry,kitchen,kitchen,living,kitchen,living,bathroom,bathroom,bedroom_2,living,entry,living,bedroom_2,kitchen,kitchen,kitchen,living,kitchen,kitchen,kitchen,kitchen,kitchen,living,bedroom_1,entry,bedroom_1
13920,d09 Wed 16:00,entry,entry,bedroom_1,bedroom_1,bedroom_1,entry,kitchen,kitchen,kitchen,kitchen,bedroom_1,kitchen,entry,entry,kitchen,kitchen,kitchen,kitchen,living,kitchen,living,bathroom,bathroom,bedroom_2,living,entry,living,bedroom_2,kitchen,kitchen,kitchen,living,kitchen,kitchen,kitchen,kitchen,kitchen,living,bedroom_1,entry,bedroom_1
13980,d09 Wed 17:00,entry,entry,bedroom_1,bedroom_1,bedroom_1,entry,kitchen,kitchen,kitchen,kitchen,bedroom_1,kitchen,entry,entry,kitchen,kitchen,kitchen,kitchen,living,kitchen,living,bathroom,bathroom,bedroom_2,living,entry,living,bedroom_2,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,bedroom_1,entry,bedroom_1
14040,d09 Wed 18:00,entry,entry,bedroom_1,bedroom_1,bedroom_1,entry,kitchen,kitchen,kitchen,kitchen,bedroom_1,kitchen,entry,entry,kitchen,kitchen,kitchen,kitchen,living,kitchen,living,bathroom,bathroom,kitchen,kitchen,entry,kitchen,bedroom_2,kitchen,kitchen,kitchen,living,kitchen,kitchen,kitchen,kitchen,kitchen,living,bedroom_1,entry,bedroom_1
14100,d09 Wed 19:00,entry,entry,bedroom_1,bedroom_1,bedroom_1,entry,kitchen,kitchen,kitchen,kitchen,bedroom_1,kitchen,entry,entry,kitchen,kitchen,kitchen,kitchen,living,kitchen,living,bathroom,bathroom,bedroom_2,kitchen,entry,living,living,kitchen,kitchen,kitchen,living,kitchen,kitchen,living,kitchen,kitchen,living,bedroom_1,entry,bedroom_1
14160,d09 Wed 20:00,entry,entry,bedroom_1,bedroom_1,bedroom_1,entry,kitchen,kitchen,kitchen,kitchen,bedroom_1,kitchen,entry,entry,kitchen,kitchen,kitchen,kitchen,living,kitchen,living,bathroom,bathroom,bedroom_2,kitchen,entry,living,living,kitchen,kitchen,kitchen,living,kitchen,kitchen,living,kitchen,kitchen,living,bedroom_1,entry,bedroom_1
14220,d09 Wed 21:00,entry,entry,bedroom_1,bedroom_1,bedroom_1,entry,kitchen,kitchen,kitchen,kitchen,bedroom_1,kitchen,entry,entry,kitchen,kitchen,kitchen,kitchen,living,kitchen,living,bathroom,bathroom,bedroom_2,kitchen,entry,living,bedroom_2,kitchen,kitchen,kitchen,living,kitchen,kitchen,living,kitchen,kitchen,living,bedroom_1,entry,bedroom_1
14280,d09 Wed 22:00,entry,entry,bedroom_1,bedroom_1,bedroom_1,entry,kitchen,kitchen,kitchen,kitchen,bedroom_1,kitchen,entry,entry,kitchen,kitchen,kitchen,kitchen,living,kitchen,living,bathroom,bathroom,bedroom_2,kitchen,entry,living,bedroom_2,kitchen,kitchen,kitchen,living,kitchen,kitchen,living,kitchen,kitchen,living,bedroom_1,entry,bedroom_1
14340,d09 Wed 23:00,entry,entry,bedroom_1,bedroom_1,bedroom_1,entry,kitchen,kitchen,kitchen,kitchen,bedroom_1,kitchen,entry,entry,kitchen,kitchen,kitchen,kitchen,living,kitchen,living,bathroom,bathroom,bedroom_2,kitchen,entry,living,bedroom_2,kitchen,kitchen,kitchen,living,kitchen,kitchen,living,kitchen,kitchen,living,bedroom_1,entry,bedroom_1
14400,d10 Thu 00:00,entry,entry,bedroom_1,bedroom_1,bedroom_1,entry,kitchen,kitchen,kitchen,kitchen,bedroom_1,kitchen,entry,entry,kitchen,kitchen,kitchen,kitchen,living,kitchen,living,bathroom,bathroom,bedroom_2,kitchen,entry,living,bedroom_2,kitchen,kitchen,kitchen,living,kitchen,kitchen,living,kitchen,kitchen,living,bedroom_1,entry,bedroom_1
14460,d10 Thu 01:00,entry,entry,bedroom_1,bedroom_1,bedroom_1,entry,kitchen,kitchen,kitchen,kitchen,bedroom_1,kitchen,entry,entry,kitchen,kitchen,kitchen,kitchen,living,kitchen,living,bathroom,bathroom,bedroom_2,kitchen,entry,living,bedroom_2,kitchen,kitchen,kitchen,living,kitchen,kitchen,living,kitchen,kitchen,living,bedroom_1,entry,bedroom_1
14520,d10 Thu 02:00,entry,entry,bedroom_1,bedroom_1,bedroom_1,entry,kitchen,kitchen,kitchen,kitchen,bedroom_1,kitchen,entry,entry,kitchen,kitchen,kitchen,kitchen,living,kitchen,living,bathroom,bathroom,bedroom_2,kitchen,entry,living,bedroom_2,kitchen,kitchen,kitchen,living,kitchen,kitchen,living,kitchen,kitchen,living,bedroom_1,entry,bedroom_1
14580,d10 Thu 03:00,entry,entry,bedroom_1,bedroom_1,bedroom_1,entry,kitchen,kitchen,kitchen,kitchen,bedroom_1,kitchen,entry,entry,kitchen,kitchen,kitchen,kitchen,living,kitchen,living,bathroom,bathroom,bedroom_2,kitchen,entry,living,bedroom_2,kitchen,kitchen,kitchen,living,kitchen,kitchen,living,kitchen,kitchen,living,bedroom_1,entry,bedroom_1
